# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
18,19,18,1,166829,1178,1146,32,4923.09,6183.36,
17,18,17,1,512297,1310,1214,96,16907,23339.3,
31,32,31,1,1.07324e+06,1974,1801,173,38326.9,10578.1,
24,25,24,1,792586,1639,1505,134,27526.4,7649.81,
24,25,24,1,664282,945,827,118,30073.1,994.103,
5,6,5,1,178530,1868,1830,38,21527.6,2035.06,
21,22,21,1,1.16809e+06,1789,1600,189,22607.3,20868.9,
49,50,49,1,2.15042e+06,1380,1030,350,9655.23,15673.6,
39,40,39,1,457621,856,778,78,33490.1,22203.1,
10,11,10,1,815832,518,392,126,36220.7,27915.9,
56,57,56,1,623204,1679,1552,127,6612.06,2304.09,
29,30,29,1,463285,1978,1893,85,35749.4,18128.1,
22,23,22,1,474424,1896,1820,76,14735.6,10568.3,
22,23,22,1,774233,1750,1629,121,21692.3,19458.7,
17,18,17,1,433058,1842,1755,87,24278.8,19051.3,
25,26,25,1,1.39291e+06,1119,941,178,18499.8,15715.9,
17,18,17,1,586900,1739,1666,73,6349.52,34435.5,
9,10,9,1,325463,1890,1832,58,39980.3,4700.41,
90,91,90,1,1.45323e+06,1479,1278,201,11548.6,2300.56,
6,7,6,1,183570,1947,1912,35,12699.7,20937.2,
77,79,78,1,2.6585e+06,2000,1527,473,39818.2,13025.7,
38,39,38,1,1.06708e+06,1975,1781,194,31406.3,25517.4,
32,33,32,1,705916,1419,1334,85,25417.7,16990.2,
27,28,27,1,767516,1913,1764,149,14526.6,27025.8,
21,22,21,1,1.00819e+06,751,601,150,31795.5,27780.7,
0,2,1,1,1.28115e+07,2000,1,1999,16147.1,4099.4,
18,19,18,1,428997,1998,1923,75,1108.57,19600,
16,17,16,1,125336,238,214,24,38641.9,3136.32,
26,27,26,1,1.56505e+06,1966,1759,207,11817.9,27083.3,
18,19,18,1,211795,697,659,38,34825.1,7138.65,
33,34,33,1,1.46775e+06,991,790,201,21908.1,17564.3,
23,25,24,1,1.11279e+06,2000,1805,195,25049.4,6690.74,
29,30,29,1,989694,1775,1601,174,11993.9,33769,
15,16,15,1,213436,1830,1789,41,35661.8,33044,
52,53,52,1,2.2935e+06,1977,1611,366,35446.5,38065.5,
38,39,38,1,1.44136e+06,1994,1782,212,34213.3,14224.6,
8,9,8,1,150778,519,489,30,24572,31285.3,
11,12,11,1,249793,1869,1818,51,38163.5,6697.66,
51,52,51,1,1.47084e+06,1988,1727,261,11443.5,6147.13,
29,30,29,1,804527,1487,1372,115,27802,20381.3,
10,11,10,1,153457,1640,1612,28,4064.84,13729.7,
17,18,17,1,611168,751,637,114,16121.4,23025.6,
10,11,10,1,162040,1198,1165,33,26903.6,2485.69,
26,27,26,1,863769,1996,1828,168,7413.1,14705.7,
32,33,32,1,668557,1781,1691,90,39184.4,21432.7,
36,37,36,1,1.12574e+06,1673,1478,195,35090.1,14784.4,
30,31,30,1,1.23751e+06,1631,1382,249,19406.7,11331.9,
42,43,42,1,901667,1823,1682,141,18002.5,965.234,
5,6,5,1,104537,1965,1945,20,36613.7,37912.1,
2,3,2,1,106677,1813,1795,18,35995.1,16358.3,
9,10,9,1,626717,283,169,114,37084.8,20494.3,
57,58,57,1,992849,1265,1093,172,30659.5,36874.4,
20,21,20,1,1.01506e+06,1583,1403,180,18926.2,20904.7,
19,20,19,1,355750,578,526,52,629.394,3018.67,
23,24,23,1,936370,1958,1789,169,25374.3,22813.1,
29,30,29,1,866157,1641,1498,143,25911,8902.19,
3,4,3,1,49402.9,856,848,8,22676.2,3487.56,
46,47,46,1,739600,1884,1766,118,4671.69,35766.8,
25,26,25,1,1.16983e+06,1891,1706,185,17126.4,30490.4,
66,68,67,1,2.59191e+06,2000,1576,424,39880.6,7192.99,
60,61,60,1,830410,1743,1602,141,38146.2,32893.7,
14,15,14,1,170282,1956,1929,27,10534.3,30457.9,
9,10,9,1,523729,1995,1950,45,23343.4,7677.62,
46,47,46,1,630344,1821,1720,101,19860.9,3189.87,
17,18,17,1,1.04392e+06,1330,1144,186,3478.01,18087.8,
17,18,17,1,536487,1883,1804,79,29809.7,12389.6,
18,19,18,1,934983,957,788,169,30529.3,5814.9,
2,3,2,1,106807,21,3,18,24590.2,31878.8,
23,24,23,1,1.67703e+06,1416,1158,258,29124.2,39503,
34,35,34,1,1.07987e+06,1935,1746,189,37121,5505.87,
9,10,9,1,442801,257,182,75,26238.6,36493.9,
31,32,31,1,600940,1239,1132,107,15899.4,28719.2,
12,13,12,1,260946,1423,1384,39,38790.8,29805.7,
33,34,33,1,614437,1804,1741,63,32393.7,8973.48,
29,30,29,1,815422,1841,1712,129,29072.7,38144.5,
41,42,41,1,1.57947e+06,1980,1678,302,4552.6,24965.7,
80,81,80,1,1.05703e+06,1934,1744,190,12392.3,7425.03,
