# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
9,10,9,1,44845.6,26,14,12,36699.1,28258.2,
2,3,2,1,154766,34,2,32,11657.9,19541,
8,9,8,1,210750,1904,1888,16,7235.8,23441.5,
1,2,1,1,301189,55,1,54,3734.87,2332.74,
418,420,419,1,8.86352e+06,2000,655,1345,38172.2,24660,
6,7,6,1,441487,1024,953,71,37474.4,37542.2,
0,1,0,1,149512,6,0,6,33036.7,28008.5,
0,1,0,1,12470.6,2,0,2,36723.1,13133.5,
4,6,5,1,1.32653e+07,2000,5,1995,36176.3,25764.5,
34,35,34,1,2.39579e+06,1839,1486,353,8157.36,29980,
2,3,2,1,424950,1822,1775,47,31003.8,38639,
0,2,1,1,1.40894e+07,2000,1,1999,25903.1,3851.15,
203,204,203,1,2.67813e+06,1999,1602,397,32114.3,29702.1,
8,9,8,1,1.15829e+06,1592,1428,164,30379.4,33310.6,
87,88,87,1,1.22396e+06,1995,1826,169,26485,8296.9,
8,9,8,1,554351,424,341,83,13372.3,3512.44,
22,23,22,1,1.22097e+06,1938,1752,186,37401.1,39072.4,
18,19,18,1,779964,543,431,112,7102.48,39527,
11,12,11,1,386041,1946,1888,58,28203.4,20038.4,
4,5,4,1,76697.1,315,298,17,25005.1,3574.7,
4,5,4,1,282186,758,717,41,23731.5,10344.2,
4,5,4,1,197515,1237,1203,34,34280,7731.72,
15,16,15,1,950354,1891,1742,149,39929.8,25471.8,
0,1,0,1,251477,29,0,29,11389.6,8820.88,
5,6,5,1,479982,1598,1521,77,31629.3,36715.5,
36,37,36,1,935067,265,128,137,6203.72,39373.3,
24,25,24,1,224258,1812,1767,45,32980.6,15850.9,
1,2,1,1,218165,25,1,24,34038.6,21454.4,
8,9,8,1,459930,89,9,80,624.607,30197.1,
39,40,39,1,2.0748e+06,1637,1317,320,1409.52,27945.3,
0,1,0,1,5839.56,1,0,1,25075.1,22986.2,
5,6,5,1,288447,962,914,48,34640,5879.36,
11,12,11,1,336936,1832,1784,48,26344.7,24058.1,
0,1,0,1,14305,4,0,4,33362.2,17775,
0,1,0,1,85502.9,20,0,20,22744.9,4163.51,
8,9,8,1,588637,1890,1797,93,5414.52,29535.1,
48,49,48,1,733869,510,415,95,11505.1,16000.9,
0,1,0,1,94622.9,19,0,19,33487.3,2085.44,
10,11,10,1,674662,1410,1299,111,11672.6,2668.21,
19,20,19,1,571067,819,728,91,9451.34,14516.7,
6,7,6,1,312561,1147,1092,55,39784.1,39799.7,
41,42,41,1,1.04913e+06,1470,1322,148,15036.6,12880.9,
11,12,11,1,325699,125,74,51,4149.03,35724.2,
22,23,22,1,2.34493e+06,1691,1339,352,11952,1917.29,
5,6,5,1,890584,592,449,143,17075,14561.3,
4,5,4,1,164943,191,159,32,17132.2,24206.5,
0,1,0,1,34714.2,7,0,7,32140,13216.3,
13,14,13,1,1.1322e+06,1730,1558,172,1980.18,686.13,
15,16,15,1,1.30414e+06,1331,1138,193,14647.1,22474.7,
4.29497e+09,1,0,1,1.37812e+07,2000,0,2000,16390.4,4419.69,
5,6,5,1,390895,704,655,49,11451.7,10657.9,
6,7,6,1,220216,904,866,38,37831,29078.2,
0,1,0,1,19835.6,3,0,3,25325.8,31300,
4,5,4,1,458348,419,349,70,39497.4,18240.3,
0,1,0,1,78105.3,16,0,16,32914.9,24538.6,
4.29497e+09,1,0,1,1.45643e+07,2000,0,2000,21756.5,28789.1,
0,1,0,1,121069,8,0,8,25293.9,28060.9,
4.29497e+09,1,0,1,1.43146e+07,2000,0,2000,39987.9,19761.2,
4.29497e+09,1,0,1,1.42185e+07,2000,0,2000,37145.1,23548.7,
0,1,0,1,68768.3,14,0,14,10094.7,27409.5,
3,4,3,1,217250,337,321,16,4753.01,12573.1,
0,2,1,1,1.42177e+07,2000,1,1999,21089.1,2291.41,
1,2,1,1,107544,22,1,21,18624.2,28160.7,
10,11,10,1,396592,1031,984,47,30408.7,26879.6,
1,2,1,1,11203.1,1635,1632,3,23853.8,1227.05,
9,10,9,1,941029,1394,1255,139,4692.09,6225.53,
303,304,303,1,6.8113e+06,1990,1059,931,30323,489.524,
1,2,1,1,113376,436,411,25,8356.56,27189.8,
10,11,10,1,360472,1901,1853,48,7157.64,6105.01,
21,22,21,1,1.57207e+06,1850,1636,214,22995.7,39951.3,
8,9,8,1,478546,948,874,74,20405.4,23583.2,
0,1,0,1,166371,11,0,11,10509.5,35737.6,
49,50,49,1,2.03774e+06,1985,1709,276,13365.3,35914,
11,12,11,1,182559,1171,1141,30,5121.73,10147,
10,11,10,1,1.33072e+06,1479,1311,168,17751.9,1638.14,
449,450,449,1,9.32745e+06,1998,765,1233,17877.4,35693.8,
17,18,17,1,534135,452,374,78,12771.6,18421,
8,9,8,1,469042,1765,1693,72,5165.57,22229.3,
4.29497e+09,1,0,1,1.4543e+07,2000,0,2000,6195.42,28660.3,
4.29497e+09,1,0,1,1.46848e+07,2000,0,2000,12241.8,40229.7,
0,1,0,1,28821.6,7,0,7,35480.1,34396.5,
4.29497e+09,1,0,1,1.48425e+07,2000,0,2000,7887.29,11813.9,
445,446,445,2,8.17584e+06,1995,842,1153,20944,8257.58,
4,5,4,2,132558,825,801,24,33758.3,38092.9,
5,6,5,2,418292,289,234,55,23517.6,28891.8,
0,1,0,2,3641.62,1,0,1,21239.1,32975.7,
1,2,1,2,259816,34,1,33,21703.9,37390.2,
0,1,0,2,4137,1,0,1,15931.2,27302.2,
1,2,1,2,23978.1,5,1,4,3012.44,8079.07,
2,3,2,2,170987,839,810,29,2840.24,25535,
0,1,0,2,6358.95,1,0,1,25538.8,17467.5,
0,1,0,2,3804.04,1,0,1,24623.6,9432.08,
4,5,4,2,29971.2,845,840,5,30984.2,30100.8,
12,13,12,2,635971,1872,1790,82,6412.85,33569.9,
13,14,13,2,278370,1706,1663,43,1821.86,39780.9,
7,8,7,2,52919.5,33,21,12,39712.1,2739.08,
0,1,0,2,2856.02,1,0,1,34122.4,21441.6,
10,11,10,2,1.18795e+06,1994,1839,155,6672.31,20169.2,
0,1,0,3,8315.53,3,0,3,28577.3,23017.2,
0,1,0,3,19357.6,1,0,1,22996.3,40065.6,
11,12,11,3,168852,1231,1202,29,28515.2,15915.1,
11,12,11,3,357870,1716,1667,49,24446.8,35669.6,
4,5,4,3,333942,1542,1487,55,13958.2,7957.54,
0,1,0,3,5644.79,1,0,1,3085.51,8272.41,
9,11,10,3,863550,1998,1879,119,24405.6,22472.6,
0,1,0,3,2785.25,1,0,1,33424.8,30011,
5,6,5,3,695751,1041,949,92,12509.5,12074,
0,1,0,3,3527.17,1,0,1,31578.3,25010.1,
0,1,0,3,23183.3,5,0,5,33099.4,16240.8,
0,1,0,3,4930.44,1,0,1,17836.8,2888.85,
5,6,5,3,140256,864,835,29,14697.1,23722.7,
0,1,0,3,3099.14,1,0,1,34783.9,6513.11,
0,1,0,4,6314.16,2,0,2,18464.7,2758.24,
1,2,1,4,15790.3,4,1,3,19576,35543,
11,12,11,4,1.1468e+06,1650,1499,151,37363.6,7509.4,
79,80,79,4,1.03048e+06,1811,1672,139,10276.1,19032.1,
0,1,0,4,6863.82,1,0,1,17435.5,7680.41,
0,1,0,4,2265.23,1,0,1,28813.4,15840,
16,17,16,4,338606,1974,1932,42,13577.2,35920.6,
0,1,0,4,2207.08,1,0,1,17782.7,35203.2,
0,1,0,4,3590.62,1,0,1,26724.9,32081.5,
8,9,8,4,584854,1529,1440,89,13158.2,14691.9,
0,1,0,4,7926.61,3,0,3,13818.9,35111.3,
389,391,390,4,3.89622e+06,1997,1454,543,17325.7,6148.95,
20,21,20,4,1.08957e+06,1939,1785,154,25275.2,36485.3,
0,1,0,5,5427.73,1,0,1,35012.4,4684.27,
1,2,1,5,9691.06,3,1,2,27005,25650.8,
3,4,3,5,184149,278,257,21,9292.53,7500.76,
0,1,0,5,9689.69,1,0,1,8289.63,27315.4,
17,19,18,5,1.4777e+07,1996,31,1965,24916.3,3192.5,
4,5,4,5,452926,429,376,53,39287.5,14662,
3,4,3,6,19838.4,368,364,4,25126.7,32329.5,
0,1,0,6,3017.1,1,0,1,16096,5842.91,
16,17,16,6,541379,928,844,84,9802.36,13148.9,
0,1,0,6,4354.77,1,0,1,17373.1,24265.6,
1,2,1,6,127961,10,1,9,7031.5,3435.94,
30,31,30,6,1.06062e+06,800,669,131,22240.7,18856.3,
13,14,13,6,828678,1817,1706,111,8271.98,13105.6,
2,3,2,7,24289.8,371,368,3,20236.7,13654.1,
19,20,19,7,1.04745e+06,1588,1435,153,12997,15917.2,
8,9,8,7,127657,1977,1968,9,1684.66,21415.8,
8,9,8,7,1.53265e+06,1541,1312,229,37087.9,4982.46,
1,2,1,7,6342.44,1950,1948,2,37969.7,13927.1,
17,18,17,7,262327,1852,1825,27,21801.3,23248.2,
0,1,0,7,7303.28,2,0,2,28518.2,18431.5,
0,1,0,7,4610.79,1,0,1,18453.7,1952.5,
187,188,187,7,1.51094e+06,1991,1771,220,32792.1,20348.4,
0,1,0,8,4006.04,1,0,1,619.896,12825.8,
33,34,33,8,388103,1919,1864,55,27778,23053.1,
20,21,20,8,249344,983,955,28,40161.1,2937.22,
