# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
63,64,63,1,2.28594e+06,2921,2479,442,29184.2,6877.25,
26,27,26,1,722319,2977,2819,158,23809.1,25238.5,
38,39,38,1,1.39897e+06,2616,2363,253,15698.9,21467.7,
108,110,109,1,1.25006e+07,3000,623,2377,36172.5,14813.8,
40,41,40,1,1.10192e+06,2898,2697,201,14507.9,14758.2,
2,3,2,1,37319.1,2322,2314,8,10403.8,2032.96,
31,32,31,1,1.42859e+06,2921,2626,295,17221.9,25725.8,
19,20,19,1,327135,2558,2490,68,1822.88,18159.7,
27,28,27,1,1.04747e+06,2997,2802,195,10884.1,20594.4,
52,53,52,1,1.34093e+06,2976,2722,254,19216.3,11825.6,
13,14,13,1,397465,1220,1134,86,2375.2,24867,
44,45,44,1,1.47435e+06,2999,2726,273,29271.6,4755.32,
83,84,83,1,1.14261e+06,2506,2313,193,36127.7,32848.5,
37,38,37,1,666951,1163,1054,109,8219.34,29984.4,
26,27,26,1,472187,2137,2046,91,1135.07,37240.1,
24,25,24,1,1.00268e+06,1777,1574,203,30895.2,36144.6,
192,194,193,1,2.6878e+06,3000,2491,509,38963.4,14826.1,
53,54,53,1,1.76334e+06,2190,1907,283,35669.1,38114.8,
12,13,12,1,176179,2622,2577,45,23766.2,40035.1,
5,6,5,1,220237,277,232,45,29687.3,30094.8,
5,6,5,1,140139,1759,1725,34,27917.4,35048.9,
56,57,56,1,1.44578e+06,2558,2291,267,31257.9,25351.3,
29,30,29,1,1.06097e+06,2604,2420,184,27736.3,18923.1,
48,49,48,1,935939,1864,1684,180,31019.8,33077.8,
45,46,45,1,1.45497e+06,2923,2680,243,3860.29,24536.9,
55,56,55,1,1.03004e+06,2787,2579,208,2202.33,17505.1,
23,24,23,1,950368,1118,969,149,22188.8,15312.5,
21,22,21,1,909922,1849,1674,175,7672.49,22976.8,
11,12,11,1,207604,1741,1691,50,13376.8,646.133,
0,1,0,1,4811.26,1,0,1,37662.5,18485.1,
73,74,73,1,1.37631e+06,2984,2700,284,35910.6,15774.7,
54,55,54,1,698035,2926,2807,119,39260.7,5443.65,
105,106,105,1,1.45129e+06,2869,2594,275,34538.5,2141.78,
9,10,9,1,294199,1326,1286,40,6840.51,36668.9,
74,75,74,1,995785,2263,2061,202,23917.9,10977.1,
64,66,65,1,797454,3000,2824,176,14982.5,26615.5,
55,56,55,1,1.94917e+06,2681,2318,363,29197.7,39949.7,
44,45,44,1,1.47578e+06,2657,2410,247,31741.8,4435.58,
21,22,21,1,307382,2651,2587,64,25753.6,13702.5,
3,4,3,1,132566,561,531,30,13607.7,27609.4,
562,563,562,1,6.79999e+06,2999,1654,1345,5345.46,4517.61,
49,50,49,1,1.0778e+06,2969,2770,199,21259,4914.51,
35,36,35,1,554359,2782,2672,110,39959.9,4096.44,
17,18,17,1,567458,833,709,124,37973.4,34012.6,
53,54,53,1,750857,1287,1141,146,23298.5,3946.76,
47,48,47,1,2.00608e+06,2458,2064,394,23408.1,853.104,
31,32,31,1,1.40448e+06,2117,1854,263,3120.82,26180.7,
28,29,28,1,683199,2958,2815,143,30933.4,25807.2,
50,51,50,1,851458,2089,1940,149,12308.1,14133.3,
4.29497e+09,1,0,1,1.67703e+07,3000,0,3000,12306.2,13164.1,
5,6,5,1,109765,389,364,25,18754.9,26443.7,
62,63,62,1,1.16795e+06,2507,2274,233,1941.78,3719.05,
134,135,134,1,1.85262e+06,2925,2574,351,3750.32,18937,
30,31,30,1,1.42778e+06,1765,1488,277,15931.6,14040.6,
92,93,92,1,938702,2673,2481,192,3579.72,7656.95,
24,25,24,1,268739,2783,2730,53,37566.6,8366.3,
51,52,51,1,1.09304e+06,2931,2735,196,36090.7,13809.1,
57,58,57,1,881406,2982,2822,160,18626.2,23432.7,
12,13,12,1,55067.4,1844,1830,14,23295.8,22648.4,
32,33,32,1,746701,2957,2822,135,31840.8,23507.8,
26,27,26,1,474822,1657,1590,67,39511.5,37502,
21,22,21,1,554341,2626,2521,105,37043.9,35316.6,
17,18,17,1,510530,2865,2790,75,30823.6,31990.3,
47,48,47,1,554489,2770,2641,129,20240.5,26254.8,
10,11,10,1,79854.7,2919,2902,17,4708.96,12598.6,
2,3,2,1,196972,421,383,38,23494.9,9092.07,
88,89,88,1,2.80003e+06,2960,2427,533,39368.7,11715.7,
44,45,44,1,1.77924e+06,2150,1813,337,29935.8,23998.3,
24,25,24,1,813673,2860,2705,155,16480.2,31578.9,
17,18,17,1,388392,446,377,69,26467.9,39656.6,
33,34,33,1,548716,2906,2802,104,17983.4,33370.4,
68,69,68,1,1.60364e+06,2829,2558,271,2765.35,13537.2,
115,116,115,1,1.94001e+06,2338,2005,333,31248.9,33989.4,
28,29,28,1,490877,523,412,111,14144.6,31984.7,
38,39,38,1,794280,2997,2842,155,29896.5,17982.4,
13,14,13,1,509719,1137,1053,84,9351.83,25353.5,
5,6,5,1,33436.4,1306,1299,7,28413,20149.4,
10,11,10,1,235420,2534,2483,51,28461.3,33283.1,
10,11,10,1,495477,210,102,108,11705.3,25430.3,
12,13,12,1,392843,784,716,68,21619.2,24928.1,
4.29497e+09,1,0,1,1.58625e+07,3000,0,3000,15887.8,37821.7,
22,23,22,1,1.08454e+06,2195,1992,203,28095.9,8083.11,
22,23,22,1,678376,1344,1195,149,21862.1,8323.99,
74,75,74,1,1.33313e+06,2565,2350,215,23433.7,34295.2,
0,1,0,1,8800.5,1,0,1,39619.5,24644.8,
1,2,1,1,241123,34,1,33,39805.7,13577.5,
8,9,8,1,394750,371,301,70,2196.09,7700.06,
10,11,10,1,330894,372,306,66,34221,13337.4,
6,7,6,1,243154,298,248,50,16079.8,36260.5,
37,38,37,1,861103,1506,1360,146,25683.4,23361.1,
19,20,19,1,526588,2569,2469,100,30957.5,27673.4,
22,23,22,1,413465,551,468,83,38870.4,23159.4,
49,50,49,1,793013,2758,2606,152,14917,19805.6,
19,20,19,1,821437,1503,1371,132,9142.99,35872.6,
0,1,0,1,3964.34,1,0,1,16294.9,29618,
24,25,24,1,1.12391e+06,2088,1893,195,22605.8,24525.4,
28,29,28,1,738408,2468,2337,131,29810,1917.3,
6,7,6,1,245957,43,6,37,13501.1,29147.7,
10,11,10,1,196439,410,359,51,27539.8,18269.5,
7,8,7,1,146955,2871,2844,27,25644.7,8006.3,
18,19,18,1,737349,922,785,137,12950.7,7023.1,
4,5,4,1,70864.9,1084,1069,15,27345.3,38694.3,
164,165,164,1,1.39575e+06,2913,2660,253,34443.8,39475.6,
13,14,13,1,265891,2427,2374,53,37781.6,16908.9,
41,42,41,1,423723,2763,2670,93,18285.5,11000.4,
48,49,48,1,847414,2814,2652,162,35833.9,34944.9,
8,9,8,1,226764,1900,1851,49,21036.8,14282.8,
26,27,26,1,2.38221e+06,2899,2453,446,27781.6,35795.4,
49,50,49,1,1.03596e+06,1394,1187,207,32963.2,3501.19,
32,33,32,1,543442,1473,1367,106,6239.06,9970.57,
41,42,41,1,1.96993e+06,2937,2627,310,25997.9,4320.81,
