# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
4.29497e+09,1,0,1,1.79117e+07,3000,0,3000,15941.2,38037.2,
42,43,42,1,1.1791e+06,823,635,188,40205.4,19479.2,
7,8,7,1,331678,856,808,48,610.811,31784.3,
3,5,4,1,1.73936e+07,3000,4,2996,36236.9,15032.4,
8,9,8,1,55683.8,1961,1950,11,18166.3,36676.8,
2,3,2,1,44556,20,8,12,33598.3,25207.8,
15,16,15,1,528937,1690,1600,90,32422.9,18973,
58,59,58,1,1.51566e+06,2975,2730,245,17375.9,1302.9,
17,18,17,1,1.00746e+06,1082,899,183,31146.3,1205.94,
1,2,1,1,162310,6,1,5,33597.2,2060.29,
18,19,18,1,1.46888e+06,2121,1889,232,25623.2,6647.24,
86,88,87,1,1.79494e+07,3000,88,2912,16165.2,9895.69,
10,11,10,1,341973,446,376,70,5491.83,36650.7,
5,6,5,1,194547,146,118,28,37938.8,13063.4,
24,25,24,1,574491,2951,2857,94,5499.07,25956.5,
7,9,8,1,1.7822e+07,3000,19,2981,6726.82,26560.8,
11,12,11,1,1.28403e+06,1451,1238,213,37390.5,21596.4,
0,1,0,1,5959.46,1,0,1,4958.17,8399.14,
4,5,4,1,149860,81,54,27,37616,28124.7,
5,6,5,1,225881,457,409,48,965.84,12760.6,
4.29497e+09,1,0,1,1.76037e+07,3000,0,3000,10579.6,28089.2,
2,3,2,1,112363,25,3,22,19416.6,9818.2,
14,15,14,1,191180,891,865,26,16323.5,36781.4,
3,4,3,1,245269,361,319,42,15114,11281.3,
4,5,4,1,351324,203,147,56,13150.4,10425.6,
20,21,20,1,983922,2615,2452,163,38000.8,988.095,
8,9,8,1,501372,1245,1156,89,32040.2,31995.2,
11,12,11,1,435476,901,829,72,9223.37,16598.8,
6,7,6,1,76469.4,389,372,17,30900.2,1631.38,
18,19,18,1,263835,1989,1960,29,15495.7,14658.8,
19,20,19,1,566401,2160,2072,88,1694.23,630.047,
15,16,15,1,539026,2990,2904,86,13492.5,991.943,
7,8,7,1,437266,721,642,79,39858.8,13665.7,
331,333,332,1,1.63283e+07,3000,388,2612,2637.83,37505.9,
1,2,1,1,27559.5,63,57,6,13130.1,6930.08,
35,36,35,1,1.52751e+06,2389,2131,258,3927.24,29430,
3,4,3,1,276575,47,3,44,5095.62,38698.6,
2,3,2,1,137657,159,135,24,21687.7,30819.9,
18,19,18,1,505667,1125,1062,63,28121.5,28176.1,
9,10,9,1,214601,933,900,33,9848.5,21280.6,
4.29497e+09,1,0,1,1.77724e+07,3000,0,3000,12357.9,13377,
1,2,1,1,200330,370,342,28,19333.3,3165.62,
0,1,0,1,26237.5,5,0,5,17398.3,8895.86,
28,29,28,1,1.81337e+06,2928,2621,307,24777.5,24762.9,
3,4,3,1,217075,2284,2252,32,15139.9,7273.99,
6,7,6,1,264024,927,878,49,38934.8,14490.6,
368,370,369,1,2.56383e+06,3000,2564,436,39505.5,39590.5,
4,5,4,1,117522,637,612,25,18640.1,10058.1,
3,4,3,1,341505,527,473,54,18151.1,5025.83,
28,29,28,1,1.53827e+06,2288,2043,245,16039.1,35926.7,
35,36,35,1,619056,1012,893,119,16064.2,16299.7,
12,13,12,1,575287,2874,2783,91,8880.51,25794.1,
4.29497e+09,1,0,1,1.84727e+07,3000,0,3000,31491.3,19744.1,
6,7,6,1,205837,541,503,38,35514.5,26735.4,
30,31,30,1,2.3695e+06,2959,2567,392,3311.32,21308.7,
23,24,23,1,930041,2584,2427,157,1195.53,3925.56,
8,9,8,1,147227,184,164,20,8930.7,993.291,
28,29,28,1,1.07519e+06,1108,931,177,34613,36845.2,
8,9,8,1,613098,585,469,116,28993.7,33575.7,
0,1,0,1,269881,40,0,40,26342.4,4188.29,
5,6,5,1,167552,526,492,34,12905.6,34964.1,
13,14,13,1,482222,1349,1285,64,14074.8,3876.84,
22,23,22,1,472449,2698,2618,80,4968.78,7072.96,
6,7,6,1,387028,470,403,67,24394.5,30125.8,
1,2,1,1,116411,30,1,29,8991.57,2428.55,
11,12,11,1,677584,668,550,118,17098.8,3789.21,
2,3,2,1,16404.3,6,2,4,13357.7,38477.9,
5,6,5,1,217222,1254,1224,30,3776.36,32471.2,
7,8,7,2,131202,2149,2123,26,3622.43,31030.1,
26,27,26,2,1.07747e+06,2395,2214,181,36314.3,39544.9,
5,6,5,2,31029.2,128,121,7,28737.4,2589.58,
0,1,0,2,4430.57,2,0,2,18195.6,36752.7,
2,3,2,2,33580.4,2106,2099,7,38727.8,504.298,
29,30,29,2,408501,2866,2796,70,9486.08,25616.1,
8,9,8,2,275563,676,619,57,20249.3,24549.8,
0,1,0,2,2937.67,1,0,1,17179.6,14098.7,
2,3,2,2,204586,310,277,33,33056.5,29341.5,
2,3,2,2,250363,461,416,45,16581.3,13645,
2,3,2,2,102894,10,4,6,14692.8,8837.36,
10,11,10,2,604789,1181,1066,115,27089.8,9964.9,
3,4,3,3,420098,1138,1072,66,11218.5,2766.69,
5,6,5,3,63797.1,708,697,11,26433.1,39597,
677,679,678,3,7.41244e+06,2998,1768,1230,5421.81,4711.52,
9,10,9,3,63574.8,634,620,14,15081.5,19807.8,
2,3,2,3,176527,263,240,23,6160.68,10879.8,
13,14,13,3,465192,1862,1782,80,36175.7,32835.3,
12,13,12,3,797130,1403,1264,139,17524.5,19138.3,
48,49,48,3,736965,2916,2798,118,9773.82,6652.04,
7,8,7,4,385408,2995,2920,75,6362.21,22846.2,
42,43,42,4,909745,2933,2774,159,30278,37366.3,
1,2,1,4,31402.7,9,1,8,39594.2,8648.93,
0,1,0,4,8175.31,2,0,2,14432.4,12636.3,
92,93,92,4,534445,2978,2871,107,8235.23,12408.2,
15,16,15,4,830819,1401,1278,123,3913.79,10692.9,
45,46,45,4,1.41533e+06,2494,2253,241,33837.3,36367.7,
8,9,8,4,332327,875,826,49,1685.32,31381.4,
0,1,0,4,6287.34,1,0,1,34991.5,4613.69,
0,1,0,4,3362.86,1,0,1,15876.2,16374.2,
6,7,6,5,88433,1259,1241,18,39497.5,10853.2,
20,21,20,5,808050,2083,1952,131,31028.8,1473.36,
28,29,28,5,794011,2952,2810,142,32975.8,14942.6,
1,2,1,6,5423.92,1502,1500,2,9276.26,25599.5,
5,6,5,6,198843,117,83,34,16002.9,35938.7,
65,66,65,6,436419,2979,2912,67,3133.23,28132,
4,5,4,6,399712,325,250,75,33393.1,22216.9,
19,20,19,6,546818,1395,1312,83,7547.07,26789.3,
27,28,27,6,1.01593e+06,2750,2580,170,35241.1,12157.8,
4,5,4,6,130834,506,483,23,9745.79,11820.5,
10,11,10,6,293615,2711,2667,44,29329.1,32843.8,
14,15,14,7,76732.1,78,61,17,34069.7,30309.8,
10,11,10,7,828596,1681,1544,137,31025.6,15557.9,
9,10,9,7,706652,1355,1249,106,22418,3233.59,
43,44,43,7,255589,2757,2704,53,5394.1,4721.67,
1,2,1,7,102140,1772,1767,5,2722.16,9628.42,
29,30,29,7,480450,907,826,81,32480.6,11073.8,
0,1,0,7,206689,24,0,24,28261.8,25454.4,
2,3,2,8,30864.1,374,367,7,23476.8,26379.8,
5,6,5,8,119487,1014,986,28,38241.2,26225,
28,29,28,8,316451,2819,2774,45,21347.6,24919,
