# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
13,14,13,1,637667,2255,2147,108,27049.5,999.154,
6,7,6,1,273392,1890,1853,37,29678.4,27959.6,
16,17,16,1,171769,1466,1435,31,36857.1,5750.44,
17,18,17,1,1.32336e+06,2837,2628,209,34784.2,19531.1,
4.29497e+09,1,0,1,1.92725e+07,3000,0,3000,24252.6,19561.7,
9,10,9,1,153140,727,692,35,1975.7,15081.3,
62,63,62,1,2.12229e+06,2663,2333,330,37722.2,2879.15,
0,1,0,1,40903.2,6,0,6,26499,26405.7,
44,45,44,1,1.43437e+06,2687,2449,238,19719.9,12222.2,
62,63,62,1,1.71569e+06,2842,2587,255,5837.44,14124,
33,34,33,1,274079,2841,2798,43,9532.4,17288.1,
8,9,8,1,186189,185,151,34,3305.59,14234.2,
1,2,1,1,32384.6,10,1,9,29065.4,10936.7,
34,35,34,1,1.44564e+06,2992,2789,203,31511.4,7317.61,
21,22,21,1,681663,2910,2792,118,36706.6,11149,
3,4,3,1,236365,184,151,33,26240.8,27947.5,
20,21,20,1,946239,1775,1638,137,12163.3,22256,
15,17,16,1,1.96725e+07,3000,24,2976,38428.8,15128.8,
56,57,56,1,1.3321e+06,2872,2661,211,24448.9,1886.87,
5,6,5,1,82237.6,44,27,17,23243.2,19260,
32,33,32,1,1.43975e+06,2990,2788,202,29874.9,14292.5,
56,57,56,1,2.20591e+06,2513,2174,339,6970.67,2488.54,
66,67,66,1,2.89387e+06,2987,2581,406,15315,39799.6,
12,13,12,1,1.45674e+06,1226,1005,221,25606.5,11507.9,
39,40,39,1,680773,2812,2693,119,30317.9,27958.6,
29,30,29,1,718934,2742,2636,106,26820.5,21910.8,
49,50,49,1,2.14281e+06,2845,2510,335,34519.1,33673.5,
52,53,52,1,1.18005e+06,2804,2633,171,20290.8,9041.17,
0,1,0,1,101520,22,0,22,35631.6,37496.2,
4.29497e+09,1,0,1,1.93829e+07,3000,0,3000,39642.8,26381.9,
16,17,16,1,150588,2888,2864,24,12339.9,10140.4,
7,8,7,1,100069,2710,2694,16,37957.5,1993.66,
39,40,39,1,1.00425e+06,2896,2732,164,25887.2,1757.19,
22,23,22,1,707287,2852,2735,117,31052.9,1156.95,
10,12,11,1,1.8969e+07,3000,12,2988,28622.5,18351.6,
30,31,30,1,736320,2806,2673,133,37553.9,4141.43,
3,4,3,1,122305,332,321,11,21650.9,17725.8,
1,2,1,1,13056.3,385,381,4,39147.1,35094.8,
54,55,54,1,1.12693e+06,1420,1227,193,10029,9828.31,
20,21,20,1,305224,2997,2954,43,15143.7,1784.71,
34,35,34,1,539829,2986,2885,101,9583.08,1728.65,
36,37,36,1,1.95777e+06,2874,2576,298,35338.1,2398.18,
0,1,0,1,2643.59,1,0,1,38137.1,24930.3,
13,14,13,1,428720,2324,2260,64,7160.98,28844.6,
16,17,16,1,662235,864,754,110,16130.3,33548.5,
31,32,31,1,848022,2783,2649,134,24870.2,23385.8,
83,85,84,1,1.66097e+07,3000,333,2667,29774,19116.4,
28,29,28,1,938735,1867,1737,130,11939.7,39987.6,
3,4,3,1,409061,1318,1253,65,17796.1,11034.6,
24,25,24,1,885612,2356,2188,168,7004.98,4742.11,
36,37,36,1,1.53704e+06,2855,2614,241,2077.98,2628.04,
5,6,5,1,369538,951,890,61,14259.6,9536.45,
22,23,22,1,549257,1162,1084,78,26849.3,9640.37,
1,2,1,1,37434.8,217,211,6,20958.1,23344.6,
34,35,34,1,1.94972e+06,2824,2497,327,1522.45,12992.7,
18,19,18,1,616232,2998,2893,105,30038.6,29311.9,
22,23,22,1,725793,2916,2816,100,10280.8,31606.3,
8,9,8,1,419142,546,461,85,37497.2,16356.8,
15,16,15,1,708441,1898,1760,138,19063.4,14561.6,
4,5,4,1,86082.3,14,4,10,19941.1,13823.8,
4.29497e+09,1,0,1,1.86718e+07,3000,0,3000,37326.5,587.289,
50,51,50,1,1.57385e+06,2924,2662,262,32819.5,5475.59,
35,36,35,1,1.56487e+06,2308,2055,253,26826.6,17827,
21,22,21,1,863185,1380,1254,126,2333.91,21499.3,
9,10,9,1,931116,1742,1583,159,32860.4,4711.7,
40,41,40,1,1.47954e+06,2422,2210,212,36537.4,28417.3,
34,35,34,1,893398,2927,2799,128,24747.6,5614.17,
58,59,58,1,1.4196e+06,2531,2288,243,36789.3,26450.5,
3,4,3,1,203174,295,260,35,8202.6,37973.4,
21,22,21,1,391045,2850,2803,47,9653.04,19234.6,
11,13,12,1,1.83855e+07,3000,19,2981,22560.3,8074.01,
19,20,19,1,568992,2079,1988,91,33371.2,10648.6,
56,57,56,1,1.60003e+06,2958,2697,261,3390.37,38335.6,
18,19,18,1,1.11964e+06,2134,1958,176,22285,24627.2,
42,43,42,1,1.80524e+06,2973,2694,279,16807.6,25579.4,
53,54,53,1,2.94414e+06,1677,1199,478,19832.3,17630.7,
180,181,180,1,1.5619e+07,2853,361,2492,12355.1,31887.2,
16,17,16,1,374064,650,598,52,9860.66,39388.1,
62,63,62,1,1.35083e+06,2983,2765,218,23210.6,33904.8,
1,2,1,1,209746,239,212,27,7308.01,11353.4,
32,33,32,1,471980,2501,2411,90,17359.3,3097.6,
2,3,2,1,31126.4,11,7,4,13061,39142.2,
27,28,27,1,1.05726e+06,2873,2711,162,39156.9,21713.4,
4.29497e+09,1,0,1,1.93285e+07,3000,0,3000,26930.8,35731.2,
62,63,62,1,2.12707e+06,2953,2611,342,34504.6,5229.3,
12,13,12,1,327110,2635,2590,45,32488,16570.2,
10,11,10,1,929183,862,704,158,21246.4,21867.1,
22,23,22,1,1.5161e+06,1051,822,229,35964.6,6385.19,
1,2,1,1,19570.3,1458,1453,5,3539.95,23809.7,
18,19,18,1,1.91247e+06,1864,1572,292,32755.6,23934.6,
232,234,233,1,8.12505e+06,3000,1714,1286,9967.53,24539.2,
40,41,40,1,1.05176e+06,1029,862,167,35569.7,30200.6,
7,8,7,1,111472,82,62,20,27308.6,24751.9,
12,13,12,1,563536,202,120,82,35947,40205.3,
20,21,20,1,683802,2780,2668,112,16749.5,7286.83,
18,19,18,1,448109,2913,2853,60,15924.6,5037.67,
49,50,49,1,1.10365e+06,2986,2831,155,37911.5,20427.3,
57,58,57,1,1.15671e+06,2847,2667,180,39849.1,29872.6,
50,52,51,1,1.10935e+06,3000,2806,194,4455.54,11961.2,
5,6,5,1,225040,1838,1793,45,38039.9,17777,
25,26,25,1,406423,2905,2841,64,20420.3,1840.3,
2,3,2,1,238234,113,96,17,25694.3,15561,
15,16,15,1,1.26095e+06,2615,2414,201,30351.9,12714.4,
2,3,2,1,476676,253,195,58,28201.7,19523,
20,21,20,1,651290,1453,1354,99,5521.18,8728.65,
54,55,54,1,2.01684e+06,2998,2682,316,21879.2,31773.4,
52,54,53,1,1.4612e+07,3000,786,2214,21338,9772.04,
21,22,21,1,385915,2977,2916,61,18924.5,30324.1,
24,25,24,1,581580,2136,2045,91,32065.4,8396.31,
30,31,30,1,1.04853e+06,1586,1430,156,38097.3,32419.6,
30,31,30,1,266929,1036,996,40,38625.4,15630.6,
35,36,35,1,1.55866e+06,2927,2671,256,8013.97,10866.9,
7,8,7,1,359592,506,439,67,16997.2,3771.79,
3,4,3,1,15390.2,9,5,4,13730.3,15663.7,
4,5,4,1,567904,459,384,75,3557.13,28990.2,
4.29497e+09,1,0,1,1.88824e+07,3000,0,3000,20911.4,13886.8,
29,30,29,1,1.06466e+06,959,816,143,16911,29396.7,
1,2,1,1,116205,69,56,13,24113.2,26467.6,
4,5,4,1,75882.6,2318,2307,11,6042.8,13366.5,
37,38,37,1,1.33606e+06,2924,2714,210,12668,7528.22,
16,17,16,1,439531,2995,2919,76,4820.31,22659.3,
2,3,2,1,69954.1,1188,1176,12,30428.2,26932.3,
591,592,591,1,8.339e+06,2998,1740,1258,33890.7,17335.4,
33,34,33,1,774588,2905,2787,118,26414.7,5248.83,
17,18,17,1,107995,2731,2708,23,34728.1,25011.5,
30,31,30,1,1.10511e+06,2630,2445,185,2646.24,34513.8,
14,15,14,1,644304,2582,2492,90,17854.4,2017.86,
2,3,2,1,146635,144,116,28,10093.2,27462,
7,8,7,1,104244,1841,1817,24,39853.1,5305.17,
2,3,2,1,91692.2,472,456,16,13268.6,34845.2,
27,28,27,1,607385,2518,2446,72,29537.7,26809.9,
15,16,15,1,353136,2775,2712,63,1205.08,2184.57,
20,21,20,1,1.35211e+06,1201,983,218,36007.6,15329,
22,23,22,1,1.03858e+06,2439,2271,168,3139.87,33438.4,
19,20,19,1,519440,1891,1815,76,33209.9,21127.5,
7,9,8,1,1.88966e+07,3000,12,2988,2894.26,10790.9,
46,47,46,1,2.83454e+06,2966,2531,435,37662.9,21173.6,
5,6,5,1,330201,1432,1373,59,11250.7,7037.15,
0,2,1,1,1.8797e+07,3000,1,2999,31622,3389.2,
25,26,25,1,1.52009e+06,2993,2773,220,15716.7,27339.7,
80,81,80,1,2.18543e+06,2892,2535,357,23349.7,26004.1,
29,30,29,1,551770,2670,2610,60,15576.6,17794.3,
23,24,23,1,1.06861e+06,923,738,185,3072.75,1275.83,
7,8,7,1,243372,1911,1872,39,3942.83,2163.3,
24,25,24,1,578107,2014,1920,94,18512,1816.55,
12,13,12,1,337284,1202,1155,47,35046.7,16121.8,
34,35,34,1,741305,2971,2854,117,9557.32,33737.8,
3,4,3,1,46152,345,337,8,35900.4,11396.9,
4.29497e+09,1,0,1,1.87178e+07,3000,0,3000,24048.2,3863.14,
6,7,6,1,309135,143,92,51,16736.8,12570.2,
3,4,3,1,36089.5,158,151,7,33775.9,20340.8,
52,53,52,1,1.72613e+06,2929,2650,279,22656.7,36225.6,
4,5,4,1,53699.6,1286,1275,11,6743.94,18812.3,
1,2,1,1,81753.2,107,88,19,37963,38664.6,
5,6,5,1,449745,430,380,50,30006.5,29885.4,
12,13,12,1,146766,2853,2822,31,5543.99,30652.9,
30,32,31,1,1.88055e+07,3000,46,2954,21760.6,28495.2,
7,8,7,1,196549,1490,1439,51,27733.5,28565.7,
15,16,15,1,592886,1372,1294,78,17369.5,12732.2,
37,39,38,1,1.03112e+06,3000,2808,192,14787.5,8791.79,
40,41,40,1,1.00463e+06,2497,2317,180,7136.32,34067,
