# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
14,15,14,1,1.10327e+06,1925,1789,136,6553.27,9807.08,
4,5,4,1,160658,158,133,25,27414.4,25406.7,
12,13,12,1,284290,48,24,24,38997.8,36127.3,
4.29497e+09,1,0,1,2.58219e+07,3000,0,3000,21002.8,14059.7,
22,23,22,1,983644,2796,2671,125,3937.53,21701.1,
0,2,1,1,2.62897e+07,3000,1,2999,2981.5,10961.8,
4.29497e+09,1,0,1,2.68228e+07,3000,0,3000,28711.5,18522.9,
0,1,0,1,33817.9,6,0,6,11706.2,13898.8,
20,21,20,1,644501,1425,1363,62,33844.1,22175.3,
4.29497e+09,1,0,1,2.68873e+07,3000,0,3000,39730.4,26553.1,
4,5,4,1,141657,18,8,10,27334.3,38957.2,
24,25,24,1,1.92448e+06,2710,2495,215,27066,17761.3,
0,1,0,1,4675.42,1,0,1,31180.8,790.434,
4.29497e+09,1,0,1,2.91242e+07,3000,0,3000,32592.1,10420.6,
45,46,45,1,1.1632e+06,1186,1068,118,37496.4,36894.2,
4.29497e+09,1,0,1,2.77975e+07,3000,0,3000,38511.6,15297.3,
8,9,8,1,316363,2604,2567,37,18485,25586.7,
3,4,3,1,664071,1449,1386,63,32499.6,5443.87,
4.29497e+09,1,0,1,2.80058e+07,3000,0,3000,24136.4,4027.64,
25,26,25,1,627836,2811,2734,77,10953.5,8976.27,
19,20,19,1,3.03249e+06,2874,2597,277,16678.7,20189.9,
6,7,6,1,761434,688,623,65,17424.5,14305.9,
636,637,636,1,1.8755e+07,2999,1015,1984,10043.2,24695.9,
78,79,78,1,2.34243e+06,2902,2637,265,1221.44,12598.1,
21,22,21,1,699797,1742,1678,64,17146.9,31167.6,
30,31,30,1,647597,2587,2534,53,8140.16,36875.2,
17,18,17,1,538780,2612,2542,70,25499.8,32066,
20,21,20,1,1.71584e+06,1313,1151,162,30066.5,14036.3,
11,12,11,1,1.24888e+06,2129,1999,130,26659.1,1748.61,
4,6,5,1,2.7699e+07,3000,6,2994,22642.7,8241.49,
8,9,8,1,1.19678e+06,562,427,135,16914,7429.39,
2,3,2,1,159651,25,3,22,13905.7,29917.4,
69,70,69,1,886530,2263,2168,95,13286.5,10153.9,
24,25,24,1,433351,1708,1663,45,37367.2,30588.6,
17,18,17,1,1.74482e+06,1685,1479,206,13025.2,8615.88,
22,23,22,1,1.43595e+06,2710,2535,175,8936.32,21013.6,
22,23,22,1,1.0539e+06,2973,2850,123,3093.62,20062.1,
6,7,6,1,704805,1425,1355,70,33715.9,13247.6,
9,10,9,1,48934,992,980,12,15398.5,489.273,
4.29497e+09,1,0,1,2.91319e+07,3000,0,3000,28683.6,15290.9,
10,11,10,1,444745,472,429,43,6117.3,19385.8,
22,23,22,1,586614,2747,2688,59,12375.5,26677,
2,3,2,1,571484,365,311,54,19959.1,2476.64,
4.29497e+09,1,0,1,3.03758e+07,3000,0,3000,37416.8,765.966,
14,15,14,1,1.07085e+06,818,717,101,36657,7984.42,
4,5,4,1,48121.5,317,308,9,6825.5,40049.3,
64,66,65,1,2.95061e+07,3000,69,2931,29854.4,19281,
21,22,21,1,1.26175e+06,2291,2165,126,5928.19,26591.4,
4,5,4,1,908590,1163,1063,100,28747.3,2837.67,
4.29497e+09,1,0,1,2.99294e+07,3000,0,3000,24340,19731.2,
7,9,8,1,3.15024e+07,3000,8,2992,21846.9,28670.6,
11,12,11,1,729535,524,457,67,20849.1,28137.5,
19,20,19,1,301888,170,132,38,23901.4,12520.5,
3,5,4,1,2.84882e+07,3000,4,2996,21431.3,9959.09,
4.29497e+09,1,0,1,3.07848e+07,3000,0,3000,31713.1,3558.59,
598,599,598,1,9.92704e+06,2997,2095,902,33970.5,17525.7,
6,7,6,1,135421,275,255,20,13501.6,21881.2,
1,2,1,1,181227,10,3,7,30689.1,9953.52,
13,14,13,1,190628,2899,2870,29,33490.3,1602.9,
3,4,3,1,158583,24,8,16,14176.2,24777.8,
561,563,562,1,2.50664e+07,3000,838,2162,15819.9,38566.3,
2,3,2,1,70993.9,215,210,5,18003.2,27172.7,
4.29497e+09,1,0,1,3.18741e+07,3000,0,3000,27021.1,35901.3,
0,1,0,1,120838,6,0,6,28380.1,3608.28,
4,5,4,2,164324,460,443,17,18283.2,11291.7,
40,41,40,2,2.08354e+06,2952,2785,167,19083.6,37664.9,
25,26,25,2,429900,511,471,40,11115.8,928.923,
7,8,7,2,953875,2127,2043,84,25292.8,13568.1,
57,58,57,2,3.20682e+06,1273,1025,248,5661.28,21141,
35,36,35,2,860222,1628,1543,85,31412.6,25131.1,
39,40,39,2,1.5275e+06,2594,2449,145,6687,32865.6,
0,1,0,2,8397.89,3,0,3,17458,14219.1,
3,4,3,2,102921,2365,2359,6,13626.2,4040.86,
1,2,1,2,4449.59,211,209,2,17115.1,31124.2,
20,21,20,2,397730,1149,1116,33,26089.1,33919.5,
17,18,17,2,1.35758e+06,1063,941,122,33938.5,1726.95,
6,7,6,3,139185,22,7,15,13273.5,23864.3,
15,16,15,3,450125,59,24,35,12063.8,34211,
10,11,10,3,208040,1176,1146,30,39079,12546.9,
5,6,5,3,312115,85,61,24,37746.1,23725.4,
41,42,41,3,964939,2954,2868,86,1760.07,29095,
66,67,66,4,1.20129e+06,2615,2501,114,39463.2,38583.1,
26,27,26,4,2.32374e+06,2836,2615,221,13719.5,20788.6,
4,5,4,4,199935,235,219,16,25218.7,20942.4,
2,3,2,4,104472,316,301,15,25994.5,6627.06,
300,302,301,4,2.929e+07,2997,352,2645,12431.1,32066.9,
3,4,3,4,105941,1135,1131,4,19164.7,37783.3,
16,17,16,5,249535,247,224,23,34895.4,13935.8,
0,1,0,5,2587.89,1,0,1,6939.86,32887.6,
16,17,16,5,460201,216,164,52,12841.4,38645.7,
0,1,0,5,6561.97,1,0,1,10989.9,10402.4,
10,11,10,5,1.2009e+06,2586,2481,105,36442.4,10711.1,
0,1,0,6,56998.3,2,0,2,36498.3,10756.6,
17,18,17,6,159801,2804,2786,18,12393.2,32179.4,
2,3,2,6,208748,126,103,23,8852.41,7429.01,
14,15,14,6,796199,540,470,70,5956.91,20786.5,
0,1,0,6,5395.65,1,0,1,25329.5,32103.1,
37,38,37,6,1.63633e+06,2319,2149,170,33949.7,8614.6,
19,20,19,6,223674,1842,1816,26,7807.49,19043.3,
7,8,7,6,97561.8,92,83,9,26873.8,30236.7,
52,53,52,7,1.61794e+06,2878,2714,164,2680.39,28379.3,
85,86,85,7,1.27519e+06,2895,2762,133,25260.7,39029.6,
2,3,2,7,33557,551,548,3,39562.2,38579.2,
1,2,1,7,6062.53,220,218,2,34046.2,8700.68,
2,3,2,7,93565.6,8,2,6,3083.15,5481.12,
