# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
1,2,1,1,22603.2,111,108,3,22343.6,21398.1,
2,3,2,1,149389,1757,1739,18,18346.8,17145.7,
1,2,1,1,47566.5,140,134,6,39255.5,27478.8,
7,8,7,1,583106,383,314,69,29362.3,9323.61,
4.29497e+09,1,0,1,2.5448e+07,3000,0,3000,6419.44,28334.9,
2,3,2,1,111782,28,17,11,14169.4,6475.74,
662,664,663,1,1.6102e+07,3000,1013,1987,8664.6,24097.2,
3,4,3,1,837992,115,3,112,16321.9,13464.8,
3,4,3,1,117546,83,70,13,30300.9,23023.9,
14,15,14,1,534101,315,249,66,896.891,17695.3,
9,10,9,1,1.4218e+06,673,498,175,5101.42,3982.83,
40,41,40,1,995050,476,348,128,28649.1,19706.6,
0,2,1,1,2.38176e+07,3000,2,2998,29695.5,3014.11,
30,31,30,1,1.09303e+06,2989,2859,130,33640.5,28839.8,
40,41,40,1,988427,2961,2839,122,21556.9,37408.3,
4,5,4,1,263224,141,110,31,32133.7,12699.7,
665,667,666,1,1.44499e+07,3000,1230,1770,36088,37299,
1,2,1,1,38974.7,5,1,4,3551,2288.58,
43,44,43,1,1.51877e+06,2364,2174,190,39962.6,18293.9,
36,37,36,1,1.36334e+06,2434,2255,179,34324.3,22152.9,
4.29497e+09,1,0,1,2.4315e+07,3000,0,3000,16364.2,39391.8,
3,4,3,1,284286,88,51,37,12134.8,2046.02,
6,7,6,1,411005,478,435,43,18088,6608.87,
4,5,4,1,88739.8,432,419,13,15227.4,6126.25,
11,12,11,1,931673,846,733,113,1013.64,7553.59,
2,3,2,1,339081,178,134,44,13728.1,19283.6,
4,5,4,1,290550,984,950,34,15954.7,20706.6,
4.29497e+09,1,0,1,2.45142e+07,3000,0,3000,7242.46,21890.2,
1,2,1,1,16718.9,28,26,2,32226.6,13149.2,
8,9,8,1,635650,414,330,84,34640.4,27835.3,
26,27,26,1,551103,2990,2916,74,35528.2,29938.7,
4.29497e+09,1,0,1,2.44078e+07,3000,0,3000,20703.1,34306,
671,673,672,1,1.10673e+07,3000,1649,1351,37875.4,22359.8,
