Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	3000	27453	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	3619.356142	184.371155	84.452042	0.410724	0.410724	0.000000	0.484677	-1.000000	-1.000000	0.000000
2	1	2	-1	4146.611486	74.915550	175.084549	0.852199	0.852199	0.000000	0.473163	-1.000000	-1.000000	0.000000
3	1	3	-1	4206.372485	131.494156	154.143936	0.658103	0.658103	0.000000	0.476984	-1.000000	-1.000000	0.000000
4	1	4	-1	3928.495098	111.738853	4.326246	0.609888	0.609888	0.000000	0.645712	-1.000000	-1.000000	0.000000
5	1	5	-1	3466.746881	108.359695	182.278885	0.876768	0.876768	0.000000	0.410923	-1.000000	-1.000000	0.000000
6	1	6	-1	3150.685466	166.368393	211.294586	0.685509	0.685509	0.000000	0.391323	-1.000000	-1.000000	0.000000
7	1	7	-1	10908.103181	190.450211	17.023396	1.000673	1.000673	0.000000	0.693274	-1.000000	-1.000000	0.000000
8	1	8	-1	4355.535273	242.213745	229.658569	0.923444	0.923444	0.000000	0.377285	-1.000000	-1.000000	0.000000
9	1	9	-1	5832.995096	111.761322	134.937744	0.832467	0.832467	0.000000	0.748586	-1.000000	-1.000000	0.000000
10	1	10	-1	10266.379208	169.119629	56.336002	0.947749	0.947749	0.000000	0.733469	-1.000000	-1.000000	0.000000
11	1	11	-1	6531.340936	226.875092	151.583023	0.749773	0.749773	0.000000	0.797332	-1.000000	-1.000000	0.000000
12	1	12	-1	5468.977218	113.740921	114.417587	1.039912	1.039912	0.000000	0.485306	-1.000000	-1.000000	0.000000
13	1	13	-1	22197.909879	45.152233	175.418396	0.960625	0.960625	0.000000	0.931755	-1.000000	-1.000000	0.000000
14	1	14	-1	6542.211404	37.206890	23.662333	0.854190	0.854190	0.000000	0.501066	-1.000000	-1.000000	0.000000
15	1	15	-1	4468.917309	59.321373	148.873260	0.801616	0.801616	0.000000	0.522378	-1.000000	-1.000000	0.000000
16	1	16	-1	4864.178076	217.894226	56.129974	1.032465	1.032465	0.000000	0.443153	-1.000000	-1.000000	0.000000
17	1	17	-1	7700.570878	243.575577	116.787766	0.972407	0.972407	0.000000	0.724608	-1.000000	-1.000000	0.000000
18	1	18	-1	6513.418549	85.965729	161.546936	0.902890	0.902890	0.000000	0.521716	-1.000000	-1.000000	0.000000
19	1	19	-1	5869.194475	247.634140	190.232391	0.879592	0.879592	0.000000	0.571352	-1.000000	-1.000000	0.000000
20	1	20	-1	8614.438979	107.116776	244.500275	0.868171	0.868171	0.000000	0.794691	-1.000000	-1.000000	0.000000
21	1	21	-1	5859.346713	27.632307	137.191605	0.922062	0.922062	0.000000	0.576217	-1.000000	-1.000000	0.000000
22	1	22	-1	19202.345188	134.101334	212.875549	0.941933	0.941933	0.000000	0.905331	-1.000000	-1.000000	0.000000
23	1	23	-1	5039.722742	75.294563	198.496582	0.942787	0.942787	0.000000	0.437134	-1.000000	-1.000000	0.000000
24	1	24	-1	28552.956407	50.224445	135.290237	0.946279	0.946279	0.000000	0.946231	-1.000000	-1.000000	0.000000
25	1	25	-1	7717.444336	185.806076	49.409531	1.111354	1.111354	0.000000	0.475058	-1.000000	-1.000000	0.000000
27	2	1	-1	19238.088946	44.943535	175.402252	0.993902	0.993902	0.000000	0.872622	-1.000000	-1.000000	0.000000
28	2	2	-1	4302.739483	75.553337	198.555054	0.809343	0.809343	0.000000	0.502545	-1.000000	-1.000000	0.000000
29	2	3	-1	9767.455828	190.425766	17.144901	0.939857	0.939857	0.000000	0.746975	-1.000000	-1.000000	0.000000
30	2	4	-1	19684.314629	134.263855	212.839264	0.933633	0.933633	0.000000	0.943698	-1.000000	-1.000000	0.000000
31	2	5	-1	5479.271834	242.001511	230.064468	1.082903	1.082903	0.000000	0.304632	-1.000000	-1.000000	0.000000
32	2	6	-1	10322.938187	185.939957	49.589828	1.096682	1.096682	0.000000	0.756304	-1.000000	-1.000000	0.000000
33	2	7	-1	8066.587107	27.440172	137.172852	1.089034	1.089034	0.000000	0.661295	-1.000000	-1.000000	0.000000
34	2	8	-1	2877.977928	165.574234	211.823090	0.548515	0.548515	0.000000	0.487850	-1.000000	-1.000000	0.000000
35	2	9	-1	8313.235836	36.950714	23.769184	0.937431	0.937431	0.000000	0.688115	-1.000000	-1.000000	0.000000
36	2	10	-1	4157.177223	28.068310	162.706329	0.773706	0.773706	0.000000	0.431505	-1.000000	-1.000000	0.000000
37	2	11	-1	10148.067044	112.099030	3.906490	1.284928	1.284928	0.000000	0.489388	-1.000000	-1.000000	0.000000
38	2	12	-1	5733.344999	59.177364	149.376007	1.090343	1.090343	0.000000	0.390015	-1.000000	-1.000000	0.000000
39	2	13	-1	5216.154222	12.380995	163.759323	0.803586	0.803586	0.000000	0.625150	-1.000000	-1.000000	0.000000
40	2	14	-1	7329.949099	243.231384	116.554436	1.141306	1.141306	0.000000	0.592562	-1.000000	-1.000000	0.000000
41	2	15	-1	5760.116090	131.096130	154.362381	0.804861	0.804861	0.000000	0.596214	-1.000000	-1.000000	0.000000
42	2	16	-1	9508.089256	107.188385	244.549164	0.821569	0.821569	0.000000	0.773769	-1.000000	-1.000000	0.000000
43	2	17	-1	9002.963434	169.129623	56.169395	0.841542	0.841542	0.000000	0.773600	-1.000000	-1.000000	0.000000
44	2	18	-1	4233.017760	85.401291	161.139252	0.844690	0.844690	0.000000	0.585168	-1.000000	-1.000000	0.000000
45	2	19	-1	10633.207268	111.340057	134.748795	1.311422	1.311422	0.000000	0.510193	-1.000000	-1.000000	0.000000
46	2	20	-1	28403.113444	50.234020	135.101883	0.916828	0.916828	0.000000	0.938950	-1.000000	-1.000000	0.000000
47	2	21	-1	5634.743953	185.028366	84.912628	0.871801	0.871801	0.000000	0.627966	-1.000000	-1.000000	0.000000
48	2	22	-1	7145.947768	113.485878	114.223488	0.878125	0.878125	0.000000	0.642893	-1.000000	-1.000000	0.000000
49	2	23	-1	7550.741485	247.503845	190.479614	0.876240	0.876240	0.000000	0.659191	-1.000000	-1.000000	0.000000
51	3	1	-1	4954.107126	168.968582	56.746655	0.714802	0.714802	0.000000	0.530791	-1.000000	-1.000000	0.000000
52	3	2	-1	6433.101618	241.799255	230.089020	0.971848	0.971848	0.000000	0.601771	-1.000000	-1.000000	0.000000
53	3	3	-1	8456.721319	107.119911	244.520660	0.831939	0.831939	0.000000	0.728701	-1.000000	-1.000000	0.000000
54	3	4	-1	4802.057094	113.475800	114.352196	0.743225	0.743225	0.000000	0.642698	-1.000000	-1.000000	0.000000
55	3	5	-1	3219.935268	243.257584	116.118477	0.595357	0.595357	0.000000	0.554163	-1.000000	-1.000000	0.000000
56	3	6	-1	20910.038060	44.970047	175.477280	0.983743	0.983743	0.000000	0.914074	-1.000000	-1.000000	0.000000
57	3	7	-1	5011.162946	114.537926	237.046860	0.823544	0.823544	0.000000	0.596997	-1.000000	-1.000000	0.000000
58	3	8	-1	5856.602073	111.132507	134.854279	1.069356	1.069356	0.000000	0.471429	-1.000000	-1.000000	0.000000
59	3	9	-1	10813.456588	190.160248	17.193512	0.893559	0.893559	0.000000	0.792522	-1.000000	-1.000000	0.000000
60	3	10	-1	5671.064610	27.401009	137.435944	0.878068	0.878068	0.000000	0.694387	-1.000000	-1.000000	0.000000
61	3	11	-1	9164.826640	36.938789	23.762444	1.011753	1.011753	0.000000	0.646485	-1.000000	-1.000000	0.000000
62	3	12	-1	5541.557272	186.058304	49.522755	0.889009	0.889009	0.000000	0.571970	-1.000000	-1.000000	0.000000
63	3	13	-1	7263.525434	85.579605	161.669022	1.073400	1.073400	0.000000	0.527361	-1.000000	-1.000000	0.000000
64	3	14	-1	6850.904670	74.691605	174.934860	1.077307	1.077307	0.000000	0.522845	-1.000000	-1.000000	0.000000
65	3	15	-1	5313.446128	59.188606	149.371902	0.913468	0.913468	0.000000	0.551849	-1.000000	-1.000000	0.000000
66	3	16	-1	29618.137064	50.180573	135.362366	0.875617	0.875617	0.000000	0.965233	-1.000000	-1.000000	0.000000
67	3	17	-1	6808.536042	131.624893	154.415512	0.922515	0.922515	0.000000	0.669053	-1.000000	-1.000000	0.000000
68	3	18	-1	20282.788532	134.241882	212.812881	1.010908	1.010908	0.000000	0.893497	-1.000000	-1.000000	0.000000
69	3	19	-1	5366.219705	184.961166	84.579636	1.006068	1.006068	0.000000	0.494749	-1.000000	-1.000000	0.000000
71	4	1	-1	6513.623025	111.750694	134.434937	0.790402	0.790402	0.000000	0.713043	-1.000000	-1.000000	0.000000
72	4	2	-1	7334.871525	74.637573	175.356812	0.986924	0.986924	0.000000	0.625181	-1.000000	-1.000000	0.000000
73	4	3	-1	7811.240116	107.069420	244.929642	0.907435	0.907435	0.000000	0.603148	-1.000000	-1.000000	0.000000
74	4	4	-1	6666.951965	168.801636	56.470139	0.891563	0.891563	0.000000	0.554959	-1.000000	-1.000000	0.000000
75	4	5	-1	7086.470937	131.487823	154.520554	0.929318	0.929318	0.000000	0.649051	-1.000000	-1.000000	0.000000
76	4	6	-1	4832.715793	108.831749	182.376038	0.954368	0.954368	0.000000	0.515908	-1.000000	-1.000000	0.000000
