# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
7,8,7,1,320656,177,117,60,25469.7,9552.12,
27,28,27,1,843885,1122,974,148,17567.8,21823,
4,5,4,1,545397,220,120,100,18081.8,2988.05,
93,94,93,1,824013,2856,2692,164,24777,7342.48,
1,2,1,1,107923,42,21,21,28413,4327.18,
1,2,1,1,145060,38,11,27,3270.72,11760,
62,63,62,1,837162,2005,1853,152,14845.8,28934.9,
18,19,18,1,738800,227,91,136,28190.2,13880.9,
4,5,4,1,58761.2,81,69,12,38068.4,15859,
1,2,1,1,35106.3,39,33,6,11078.8,14638.1,
2,3,2,1,190836,125,91,34,15446.1,8771.09,
20,21,20,1,726658,220,111,109,39144.7,5880.52,
11,12,11,1,372209,216,143,73,9018,9518.31,
522,524,523,1,1.27404e+07,3000,662,2338,39179.7,31152.9,
4,5,4,1,98745.2,66,47,19,10852.6,1108.53,
679,681,680,1,5.39195e+06,3000,1991,1009,16042.5,4151.37,
4,5,4,1,172853,100,64,36,4066.82,3761.7,
21,22,21,1,327442,476,415,61,19674.6,2876.09,
11,12,11,1,1.0334e+06,358,170,188,3079.61,21513,
14,16,15,1,1.61677e+07,3000,15,2985,24505.6,19933.1,
31,32,31,1,1.26067e+06,475,235,240,33694.4,28532.7,
46,47,46,1,606650,434,322,112,25068,33489.8,
5,6,5,1,351451,238,172,66,15323.9,5771.09,
12,13,12,1,116908,345,321,24,26690.5,32970.4,
22,23,22,1,489056,168,71,97,22266.8,32115.6,
0,1,0,1,57770.4,10,0,10,23519.9,20630.9,
10,11,10,1,431858,258,174,84,4225.62,1868.73,
4,5,4,1,160512,98,68,30,13920.2,6896.44,
1,2,1,1,16359.1,23,21,2,6334.43,9867.82,
4,5,4,1,28413.4,432,426,6,29659.3,34437.8,
19,20,19,1,585828,560,446,114,20769.4,10424.5,
4,5,4,1,221896,118,78,40,12781.2,8825.34,
6,7,6,1,179736,54,19,35,10415.7,20145.6,
0,1,0,2,8995.76,3,0,3,38496.9,17810.6,
19,21,20,2,720354,2999,2855,144,7187.73,10021,
16,17,16,2,131104,460,434,26,24250.6,35017.1,
23,24,23,2,138599,1353,1328,25,27262.7,38618.3,
21,22,21,2,295012,306,248,58,8976.43,7622.5,
9,10,9,2,67928,161,150,11,7360.23,17508.8,
14,15,14,2,210396,207,172,35,39921.5,27563.4,
2,3,2,3,24777.8,131,127,4,22457.4,32137,
6,7,6,3,31294.3,323,316,7,24802.7,32366.9,
97,98,97,3,1.33402e+06,741,484,257,37106.1,37422.6,
36,37,36,3,231300,836,789,47,10738.9,21377.2,
14,15,14,3,570104,357,242,115,30591.1,17959.2,
31,32,31,4,238257,272,231,41,9700.89,34926.2,
55,56,55,4,306097,2833,2776,57,34226,36735.6,
42,43,42,4,296187,714,658,56,2546.53,16531.6,
20,21,20,4,155265,736,705,31,14879.5,14935.5,
25,26,25,5,724350,408,265,143,16469.5,19496.8,
6,7,6,5,151396,66,41,25,37355.8,19861.5,
32,33,32,5,583571,457,344,113,34282.7,25018.5,
41,42,41,5,613632,343,237,106,9731.36,33369.9,
4,5,4,6,485712,164,76,88,32702.1,3865.14,
2,3,2,6,29113.9,27,21,6,2972.1,14810.3,
3,4,3,6,290973,1840,1791,49,15178.8,6671.43,
11,12,11,6,502861,287,188,99,11132.8,2979.54,
53,54,53,6,315174,822,758,64,1096.68,38926,
7,8,7,6,235474,174,130,44,40132.7,1315.4,
1,2,1,6,22193.6,50,46,4,18482.3,6094.13,
0,1,0,7,2672.56,1,0,1,29196.9,31840.3,
1,2,1,8,37081.7,34,26,8,3875.22,14522,
2,3,2,8,21840.5,30,26,4,9281.57,26355.4,
24,25,24,9,318499,226,164,62,28416.8,33321.2,
64,65,64,9,715816,733,592,141,9851.39,12206.8,
0,1,0,9,5494.37,1,0,1,33900.9,38339.3,
7,8,7,9,157511,144,112,32,13444.5,35568,
86,87,86,9,709609,847,712,135,36824.7,33423.6,
2,3,2,9,11474.5,89,86,3,24158.8,35086.2,
13,14,13,9,122281,239,214,25,30401.6,23431,
0,1,0,10,48147.4,8,0,8,5205.45,4106.22,
20,21,20,10,143790,992,962,30,35652.7,19178,
55,56,55,10,667218,2220,2090,130,28665,33167.8,
4,5,4,11,36712.7,16,7,9,11705.8,10619.1,
8,9,8,11,405206,173,89,84,10378,15547.3,
14,15,14,11,1.46804e+06,382,107,275,19125.5,10726.4,
3,4,3,12,128490,30,5,25,4826.56,5220.57,
3,4,3,12,60846.7,27,16,11,24944.2,29023.9,
5,6,5,12,33791.3,206,199,7,28865.1,23025.7,
0,1,0,14,9882.5,1,0,1,29112.9,31692.5,
4,5,4,14,148050,72,43,29,7326.34,18596.4,
1,2,1,14,86052,25,8,17,16548.4,21324.7,
22,23,22,14,727108,672,551,121,21035.5,28143.5,
1,2,1,15,10079.5,532,530,2,29581.5,13019.6,
25,26,25,15,151612,2893,2867,26,16112.8,4119.79,
53,54,53,15,371809,385,316,69,32001.4,39559.1,
11,12,11,16,309013,219,158,61,35959.3,10020.4,
0,1,0,18,4064.69,1,0,1,32039,39603.6,
46,47,46,18,322906,952,886,66,3774.55,9014.77,
0,1,0,18,9512.25,2,0,2,4831.12,5219.42,
0,1,0,19,4249.28,1,0,1,3302.64,7239.06,
40,41,40,19,1.13729e+06,521,297,224,14642.9,30537,
0,1,0,20,5124.4,1,0,1,4241.69,3159.98,
4,5,4,20,43187.3,707,699,8,1883.23,13232.3,
29,30,29,20,312036,1670,1603,67,29301.5,31183.4,
22,23,22,20,183104,356,320,36,15411.5,31525.1,
70,71,70,20,533712,437,331,106,1793.25,36314.1,
4,5,4,20,55774.6,42,32,10,38665.2,1090.32,
32,33,32,21,262164,221,166,55,7736.48,34022.4,
4,5,4,21,30808.6,56,50,6,14699.2,35842.6,
3,4,3,21,20729.2,54,49,5,27942.1,4846.42,
0,1,0,21,4570.28,1,0,1,29360.8,31342.9,
6,7,6,21,42354.3,66,58,8,32946.7,39352.1,
0,1,0,22,6244.64,1,0,1,14885.3,14827.7,
5,6,5,22,533043,160,52,108,29224.8,9119.65,
0,1,0,22,3879.34,1,0,1,4217.46,1669.61,
2,3,2,23,21432.5,391,388,3,25008,33414.6,
0,1,0,23,6556.58,1,0,1,20971.1,21398.6,
24,25,24,24,262023,212,162,50,9609.05,38402.4,
13,14,13,25,108310,133,114,19,1971.92,33096.6,
4,5,4,29,19395.6,188,183,5,32643.3,27350.8,
2,3,2,29,14739.7,780,777,3,36677.7,33549.8,
3,4,3,30,53280.8,14,4,10,34848,24721.1,
0,1,0,31,4684.3,1,0,1,30571.9,7360.91,
2,3,2,31,31448,151,146,5,27546.3,34352,
1,2,1,31,10439.4,517,515,2,36958.7,37365.7,
0,1,0,31,4776.49,1,0,1,32727.2,27548.1,
0,1,0,32,5203.61,1,0,1,9613.93,38563.4,
3,4,3,32,130582,39,14,25,11659.3,27176.6,
13,14,13,33,90311.1,389,374,15,29695.8,34397.7,
4,5,4,33,25044.9,412,407,5,7364.58,32243.9,
1,2,1,36,8106.74,22,20,2,24372.4,19739.9,
44,45,44,36,297513,842,781,61,15098,9757.12,
6,7,6,38,36295.3,67,60,7,35665.2,38353.7,
51,52,51,39,385238,2874,2798,76,19841,32993.7,
9,10,9,39,226231,201,158,43,24356.9,8069.42,
40,41,40,39,1.0137e+06,449,260,189,24905.9,24744.8,
0,1,0,40,5338.14,1,0,1,39103.8,5746.09,
10,11,10,41,188313,2544,2502,42,21001.3,19926.9,
0,1,0,41,5213.48,1,0,1,11698.3,33798,
29,30,29,43,230381,1453,1408,45,23786.9,18520.3,
0,1,0,43,3978.71,1,0,1,34463.7,6187.81,
7,8,7,44,67684.5,164,149,15,29982.1,34865.7,
0,1,0,44,7745.81,2,0,2,14572.1,35251.8,
10,11,10,46,252011,1299,1246,53,32503.9,20596.1,
14,15,14,47,96026.2,2831,2812,19,25345.6,27967,
1,2,1,49,11958.7,169,167,2,20743.2,10342.8,
1,2,1,50,10324,329,327,2,31978.3,39405.4,
0,1,0,50,5209.72,1,0,1,2605.01,29768.7,
7,8,7,51,63024.1,24,12,12,35494.4,5638.75,
15,16,15,51,79814.2,420,404,16,1850.17,39777.8,
17,18,17,52,126496,254,226,28,24676.6,26991.3,
1,2,1,52,14402.7,4,2,2,33517.7,23182.2,
0,1,0,52,8496.49,1,0,1,18416.6,6100.65,
1,2,1,55,58412.3,16,4,12,28312.7,16142.9,
0,1,0,56,2992.45,1,0,1,31871.4,39636.4,
15,16,15,58,468715,269,180,89,17491.1,17164.3,
2,3,2,58,298679,113,50,63,30363.5,5288.63,
1,2,1,58,79946.7,25,23,2,21002.6,1798,
36,37,36,60,1.27916e+06,2592,2348,244,12505.4,6518.52,
3,4,3,60,452622,98,9,89,30570.6,8275.93,
16,17,16,61,180722,162,128,34,8020.4,12241.8,
0,1,0,61,3581.86,1,0,1,19117.7,9534.26,
25,26,25,62,454204,247,155,92,13344.8,12930.3,
0,1,0,64,5463.29,1,0,1,9115.99,951.773,
12,13,12,64,59510.9,2747,2734,13,28675.1,11986.4,
1,2,1,67,8300.77,59,57,2,7211.47,32286.5,
20,21,20,68,576254,214,100,114,8709.54,21730.2,
0,1,0,68,6943.1,1,0,1,1983.49,13094.7,
51,52,51,68,652329,1328,1197,131,14663,33851.6,
0,1,0,72,6038.77,1,0,1,18212.5,5789.91,
95,96,95,72,2.43128e+06,692,226,466,8504.72,24733.1,
1,2,1,72,12987.3,39,37,2,19748.8,2747.15,
0,1,0,74,4725.68,1,0,1,20374.1,28340.7,
18,19,18,76,652497,786,655,131,11871.6,8075.32,
39,40,39,76,363018,1146,1075,71,20611.5,38724.2,
2,3,2,78,24427.7,25,20,5,38307.6,12374.9,
0,1,0,79,7542.99,1,0,1,38192.4,15747.6,
39,40,39,83,538353,461,355,106,8400.9,25511.6,
26,27,26,85,334137,173,110,63,28922.9,36645.7,
3,4,3,86,23908.7,1229,1224,5,3963.93,8996.79,
13,14,13,87,174294,77,45,32,2881.46,24858.7,
0,1,0,89,5120.06,1,0,1,21048.5,7790.14,
0,1,0,90,6287.42,1,0,1,39390.9,8205.7,
8,9,8,90,147570,665,639,26,24302.2,4760.81,
0,1,0,90,5742.53,1,0,1,6569.65,9651.4,
4,5,4,90,24605,109,103,6,18889.6,27505,
31,32,31,91,339820,757,694,63,30572.4,36975.3,
32,33,32,91,378487,512,446,66,37768.3,34367.8,
0,1,0,92,3855.41,1,0,1,35513.6,38302.2,
43,44,43,92,283084,2407,2355,52,8506.82,26875.3,
31,32,31,94,1.35859e+06,1187,933,254,10988.9,12824.7,
0,1,0,94,3227.55,1,0,1,30568,37038.5,
0,1,0,95,3466.24,1,0,1,21092.6,35756.1,
8,9,8,95,40186.7,2606,2597,9,2132.47,32826.1,
0,1,0,96,6015.96,1,0,1,7677.87,33871.7,
0,1,0,96,3823.57,1,0,1,19192.3,10864.1,
0,1,0,97,4427.88,1,0,1,35567.5,38536.6,
25,26,25,97,452259,260,175,85,19963.4,33707,
0,1,0,98,4296.71,1,0,1,25477.1,26665.3,
17,18,17,98,122008,170,148,22,4373.53,32349.3,
30,31,30,99,203491,433,390,43,32853,5786.25,
27,28,27,101,146188,2856,2825,31,30415.9,17698.8,
0,1,0,103,10245.7,1,0,1,18050,5934.28,
23,25,24,105,808872,2896,2773,123,34097.5,16516.2,
0,1,0,106,3912.22,1,0,1,12612.5,523.437,
0,1,0,106,4838.46,1,0,1,21001.5,10505.2,
5,6,5,107,164783,51,20,31,8947.39,13026.8,
0,1,0,108,8647.18,1,0,1,8885.61,12857.8,
17,18,17,111,110267,333,312,21,9016.75,39619.7,
6,7,6,111,58938.2,42,30,12,4387.74,27406.2,
1,2,1,113,5217.11,970,968,2,11018.1,12937.4,
1,2,1,113,11565.1,148,146,2,8563.77,25440.6,
6,7,6,113,63713.9,121,108,13,30664,21954.3,
100,101,100,113,955666,1691,1501,190,5523.5,31812.3,
0,1,0,116,2765.7,1,0,1,25675.9,6379.13,
10,11,10,117,102331,135,116,19,39056.6,32082.2,
4,5,4,118,43831,63,55,8,30653.6,22032.7,
23,24,23,121,202559,175,133,42,29064.5,33066.1,
16,17,16,124,142481,280,253,27,25732.7,24251.5,
40,41,40,128,386448,238,164,74,9599.39,1230.39,
0,1,0,129,8645.97,1,0,1,33762.3,28450.1,
0,1,0,131,7241.69,1,0,1,12287,793.722,
0,1,0,132,5770.44,1,0,1,9451.57,38253.5,
2,3,2,134,19066.6,926,922,4,27800.2,22133.7,
15,16,15,135,747690,385,253,132,27810.4,4416.87,
0,1,0,136,3881.6,1,0,1,36815.7,25814.4,
0,1,0,138,24107.8,1,0,1,12210.3,998.447,
8,9,8,139,449287,132,48,84,37082.5,1188.65,
30,31,30,141,767446,1154,1006,148,22273.6,8370.3,
11,12,11,144,100457,184,165,19,40180.7,33310.5,
0,1,0,146,3311.5,1,0,1,29143.1,33224.6,
1,2,1,150,53746.5,11,1,10,18639.3,30305.8,
10,11,10,150,238034,76,32,44,12772.9,32615.7,
0,1,0,152,3136.02,1,0,1,16304.2,4095.29,
6,7,6,152,44051.1,1820,1812,8,1195.57,40244.5,
10,11,10,154,73419.8,2236,2225,11,39073.6,31133.7,
0,1,0,155,4747.57,1,0,1,23062,35966.6,
22,23,22,155,198183,618,587,31,30023.5,13788.8,
5,6,5,156,132972,89,63,26,10061,26909.7,
14,15,14,156,306176,244,182,62,30844.3,22477.4,
4,5,4,156,48802.6,83,73,10,9180.44,17188,
0,1,0,161,4474.79,1,0,1,3043.87,24918.5,
0,1,0,161,4745.41,2,0,2,30392.7,23534.6,
17,18,17,164,936223,484,311,173,13008.1,10136.5,
1,2,1,166,13603.7,20,17,3,9750.91,28210.9,
0,1,0,167,5317.19,1,0,1,4389.29,32487.8,
17,18,17,168,442724,208,125,83,12544.8,8098.96,
