Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	3000	11223	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	11524.495098	154.680527	124.809212	0.919252	0.919252	0.000000	0.860039	-1.000000	-1.000000	0.000000
2	1	2	-1	4894.367375	215.029526	230.188461	0.979854	0.979854	0.000000	0.564615	-1.000000	-1.000000	0.000000
3	1	3	-1	4158.274044	205.304413	127.532623	0.625089	0.625089	0.000000	0.649307	-1.000000	-1.000000	0.000000
4	1	4	-1	5465.850009	246.507813	194.998245	0.687958	0.687958	0.000000	0.719816	-1.000000	-1.000000	0.000000
5	1	5	-1	3983.117570	101.997475	25.690174	0.835868	0.835868	0.000000	0.471801	-1.000000	-1.000000	0.000000
7	2	1	-1	5461.564688	101.575851	26.140749	1.156971	1.156971	0.000000	0.463456	-1.000000	-1.000000	0.000000
8	2	2	-1	8238.137523	246.376740	195.108948	1.115981	1.115981	0.000000	0.699090	-1.000000	-1.000000	0.000000
9	2	3	-1	10194.149711	154.888214	124.632965	0.917794	0.917794	0.000000	0.851293	-1.000000	-1.000000	0.000000
11	3	1	-1	8225.848818	246.260330	195.052780	0.884347	0.884347	0.000000	0.809412	-1.000000	-1.000000	0.000000
12	3	2	-1	3582.764556	215.383957	229.654785	0.767601	0.767601	0.000000	0.504809	-1.000000	-1.000000	0.000000
13	3	3	-1	10124.854091	154.741516	124.724335	0.941243	0.941243	0.000000	0.821365	-1.000000	-1.000000	0.000000
15	4	1	-1	4456.263149	215.112167	229.844727	0.973226	0.973226	0.000000	0.536307	-1.000000	-1.000000	0.000000
16	4	2	-1	7950.861639	246.183640	195.013840	1.069366	1.069366	0.000000	0.750353	-1.000000	-1.000000	0.000000
17	4	3	-1	7963.524674	154.775482	124.884872	0.775793	0.775793	0.000000	0.837365	-1.000000	-1.000000	0.000000
18	4	4	-1	5106.778285	29.099148	60.953407	1.157599	1.157599	0.000000	0.517327	-1.000000	-1.000000	0.000000
20	5	1	-1	7952.196817	102.489243	26.948195	1.606667	1.606667	0.000000	0.348717	-1.000000	-1.000000	0.000000
21	5	2	-1	10990.141891	155.000595	124.795036	0.990445	0.990445	0.000000	0.780531	-1.000000	-1.000000	0.000000
22	5	3	-1	9024.518869	246.472626	195.064987	0.993539	0.993539	0.000000	0.737839	-1.000000	-1.000000	0.000000
23	5	4	-1	3766.808081	215.462860	229.690414	0.882869	0.882869	0.000000	0.448604	-1.000000	-1.000000	0.000000
24	5	5	-1	14164.140936	28.740089	60.564400	1.683608	1.683608	0.000000	0.612191	-1.000000	-1.000000	0.000000
26	6	1	-1	5188.721103	246.377411	194.946136	0.625649	0.625649	0.000000	0.680245	-1.000000	-1.000000	0.000000
27	6	2	-1	4873.883647	28.860815	60.619541	1.103269	1.103269	0.000000	0.449623	-1.000000	-1.000000	0.000000
28	6	3	-1	10827.040023	154.824066	124.710129	0.853007	0.853007	0.000000	0.817098	-1.000000	-1.000000	0.000000
30	7	1	-1	4751.351211	180.002319	75.394241	1.093218	1.093218	0.000000	0.324091	-1.000000	-1.000000	0.000000
31	7	2	-1	10037.659469	29.170933	60.548191	1.475877	1.475877	0.000000	0.550110	-1.000000	-1.000000	0.000000
32	7	3	-1	5254.478749	246.490234	194.906799	0.697393	0.697393	0.000000	0.823133	-1.000000	-1.000000	0.000000
33	7	4	-1	8299.775317	154.669510	124.716759	0.872842	0.872842	0.000000	0.773521	-1.000000	-1.000000	0.000000
35	8	1	-1	6802.104491	246.403259	194.917709	0.813788	0.813788	0.000000	0.703179	-1.000000	-1.000000	0.000000
