density,frame,intensity,sigmaXY,x,y,
0.00257302,163,3460.04,0.938836,7161.98,26646.4,
0.00274473,192,3959.66,0.873923,7149.14,26651.4,
0.0133628,193,6069.61,0.942776,7156.72,26735,
0.0039364,194,8306.57,1.30452,7141.63,26664.6,
6.47274e-06,195,5336.69,1.04075,7102.89,26754.5,
0.00194557,196,6452.93,0.872684,7223.07,26705,
0.00256686,197,4092.46,0.682759,7190.36,26750.5,
5.41508e-05,198,3787.58,0.667716,7215.65,26666.5,
0.00971929,199,4159.97,0.711633,7119.39,26727.6,
3.09419e-05,200,6403.4,1.06843,7184.97,26757.5,
0.00928299,201,5923.47,1.01933,7139.25,26716.4,
0.00693391,202,5812.29,0.987947,7188.56,26668.9,
0.00989413,203,4808.82,0.845065,7190.79,26678.8,
0.000535152,249,6659.15,0.9705,7108.58,26725.9,
0.0120143,250,4381.32,0.908734,7199.63,26737.5,
1.94084e-05,251,11090.3,1.468,7225,26768.3,
0.00381504,252,5843.74,1.01002,7179.98,26662.3,
0.00995896,253,5831.74,1.00679,7120.24,26703.9,
0.0101852,254,6321.51,1.21057,7125.88,26721.9,
0.0036679,255,5491.98,1.11303,7109.03,26691.1,
0.0221101,256,5234.06,0.916411,7174.43,26687.8,
0.0119636,257,6476.15,0.951405,7123.23,26733.6,
0.0146823,258,9158.59,1.0508,7176.05,26715.7,
0.00772484,259,7596.23,1.24649,7117.45,26731.3,
0.0101198,260,5866.69,0.945558,7131.69,26720.7,
5.88397e-05,261,5707.76,1.04149,7142.75,26646,
0.00790436,262,4382.33,0.778606,7167.51,26682.1,
0.00745964,263,5267.13,0.877012,7156.25,26744.9,
0.0140778,264,7715.09,1.11664,7169.52,26723.8,
0.0073568,265,3678.79,0.577969,7129.21,26736,
0.0036898,271,5649.25,0.896393,7100.37,26703.6,
0.0253962,272,5498.09,1.02947,7175.94,26688.6,
0.0147128,273,5770.55,0.955944,7157.04,26723.9,
7.90411e-06,274,6909.19,1.25171,7127.6,26627.9,
0.0153348,275,5081.74,0.877824,7167.73,26686.2,
0.00427355,276,4626.39,0.964111,7198.07,26679.1,
0.0180229,306,5188.86,0.804134,7156.7,26729.2,
0.0172986,307,7049.91,0.981938,7167.82,26699.7,
1.43785e-05,308,3981.3,0.846274,7093.21,26746.3,
0.0141922,309,4257.76,0.738834,7175.76,26718.6,
0.00535484,310,6010.52,0.992973,7176.32,26750.6,
0.00447277,345,3935.01,0.772427,7206.21,26703.7,
0.0183836,346,4640.5,0.794136,7196.3,26732.3,
0.00859827,347,7695.68,1.27359,7187.88,26738.4,
0.015801,348,8807.86,1.24027,7164.86,26698.5,
0.0111079,349,5966.63,1.01238,7179.01,26734.5,
0.0119447,350,4672.27,0.772083,7130.38,26729.3,
3.11667e-05,351,6291.77,1.06369,7158.35,26769.8,
0.00997766,352,5954.38,1.08826,7192.95,26702,
