# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
5,6,5,1,3408.32,311,283,28,1454.65,12321,
44,45,44,1,23566.2,2798,2592,206,2029.43,9348.2,
69,70,69,1,30360.8,3996,3743,253,2259.26,23119.8,
38,39,38,1,23506.5,3780,3568,212,3139.11,38425.2,
57,58,57,1,15797.8,3997,3859,138,4040.6,36735.1,
17,18,17,1,8267.23,2385,2307,78,4081.33,2041.65,
12,13,12,1,11060,617,526,91,4492.22,16783.5,
39,40,39,1,19161.8,2147,1974,173,5757.28,9167.32,
0,1,0,1,459908,4000,0,4000,6564.7,30608.6,
51,52,51,1,32665.7,3962,3692,270,6352.87,1044.86,
16,17,16,1,6975,3281,3220,61,6690.49,13581.3,
37,38,37,1,11747.7,2600,2507,93,6853.05,33993.8,
12,13,12,1,3696.09,2288,2253,35,7020.98,532.198,
7,8,7,1,5000.43,3972,3924,48,7412.94,10440.7,
16,17,16,1,4944.28,1933,1888,45,7540.69,40088.1,
43,44,43,1,23079.6,3867,3660,207,7813.63,23987.9,
11,12,11,1,8245.46,3864,3799,65,8318.05,21246,
14,15,14,1,9509.56,3939,3852,87,8271.09,27606.2,
23,24,23,1,9434.11,3957,3875,82,8548.65,3268.18,
13,14,13,1,12024.5,4000,3891,109,8802.7,15984.7,
53,54,53,1,19270.8,3998,3824,174,8881.47,3962.65,
10,11,10,1,6516.23,657,597,60,8909.32,37967.4,
18,19,18,1,18053.9,903,742,161,9316.86,33602.3,
12,13,12,1,4748.13,1478,1429,49,9540.72,19598.4,
39,40,39,1,18733.7,3961,3795,166,9871.19,4220.31,
4,5,4,1,1901.26,2640,2622,18,9919.89,11800,
4,5,4,1,955.813,1901,1892,9,9940.49,23628.6,
8,9,8,1,3449.99,36,16,20,10446.4,36191.5,
50,51,50,1,22067.6,3335,3139,196,10484,28857.9,
16,17,16,1,8904.67,3014,2925,89,10686.6,32693.8,
63,64,63,1,28110.1,3827,3568,259,10590.2,14828.6,
31,32,31,1,19789.1,3950,3778,172,10929.5,638.125,
