# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
5,6,5,1,2375.2,2806,2783,23,652.533,7248.5,
3,4,3,1,582.686,2538,2533,5,1223.9,18364.2,
3,4,3,1,359.633,3894,3889,5,1857.4,16672.6,
2,3,2,1,1530.82,16,3,13,2597.86,3306.32,
6,7,6,1,6192.58,2704,2643,61,3251.14,8028.08,
4,5,4,1,3743.44,3740,3705,35,3752.44,18965.3,
16,17,16,1,13779.6,2915,2785,130,4724.68,21443,
1,2,1,1,193.402,3133,3131,2,4944.43,28371.7,
15,16,15,1,9041.15,3761,3687,74,5426.52,749.949,
30,32,31,1,455982,4000,32,3968,5832.01,15329.3,
75,76,75,1,20179.7,3720,3517,203,6591.59,2630.76,
61,62,61,1,33927.3,3584,3246,338,6715.79,29471.6,
14,15,14,1,12270.8,1272,1167,105,8751.07,34587.4,
5,6,5,1,1965.98,3344,3327,17,8891.6,14839.1,
9,10,9,1,10184.7,1897,1793,104,9318.08,20576.2,
1,2,1,1,179.632,1991,1989,2,9623.88,1940.63,
0,1,0,1,324.847,5,0,5,9551.47,21412.6,
4,5,4,1,11478.8,3549,3455,94,9703.02,9326.66,
1,2,1,1,28335.5,3585,3328,257,10401.5,27177.5,
0,1,0,1,92.2342,1,0,1,11538.1,36623.5,
14,15,14,1,12885.1,2369,2238,131,12087.2,27894.9,
4,5,4,1,454.292,3985,3979,6,13317.2,9039.29,
4,5,4,1,800.371,3428,3422,6,13906.5,13261.8,
3,4,3,1,293.198,2971,2967,4,13914.8,23953.2,
1,2,1,1,212.164,3080,3078,2,14502.8,37554.2,
2,3,2,1,315.86,3470,3467,3,14652.1,5678.52,
5,6,5,1,2293.97,3636,3616,20,14609.4,14472.9,
31,32,31,1,18029.9,3562,3376,186,14825.4,19550.9,
8,9,8,1,2112.77,2889,2866,23,15696.3,31054.2,
5,6,5,1,1318.15,3875,3859,16,15892.9,3987.42,
3,4,3,1,1572.92,275,258,17,18956.2,30468,
53,54,53,1,11327.8,3985,3867,118,19368.2,11080.8,
6,7,6,1,513.666,2927,2920,7,19406.9,19000.1,
1,2,1,1,448.684,67,64,3,19709.3,27312.8,
1,2,1,1,235.83,535,533,2,19744.5,3375.34,
30,31,30,1,25757.8,312,35,277,19826.7,23730.7,
71,72,71,1,31920.8,1882,1533,349,20504.1,9246.47,
0,1,0,1,740.927,9,0,9,21208.9,39060.4,
1,2,1,1,6232.76,76,3,73,21541.4,28239.5,
5,6,5,1,1272.76,2261,2244,17,21856.2,34726.1,
1,2,1,1,195.662,2603,2600,3,22048.3,27958.8,
24,25,24,1,7327.69,3119,3034,85,23110.7,10482.3,
16,17,16,1,10594.3,3894,3773,121,23162.9,13737.6,
3,4,3,1,626.431,3980,3972,8,24376.4,33981.2,
6,7,6,1,1282.13,3524,3515,9,24470.8,15001.1,
0,1,0,1,501.507,5,0,5,25056.3,13010,
0,1,0,1,131.481,2,0,2,25452.5,919.599,
8,9,8,1,1537.21,3982,3964,18,26061.5,1077.25,
10,11,10,1,18372.4,1300,1082,218,26461.5,30758.1,
1,2,1,1,124.164,3568,3566,2,26713.9,5353.91,
18,19,18,1,8048.34,2522,2419,103,26595.6,38127.9,
46,47,46,1,20408,3921,3681,240,27864.5,37095,
18,19,18,1,9293.42,3738,3624,114,28112.4,14795.8,
4,5,4,1,4906.61,1107,1053,54,29086.6,11842.3,
22,23,22,1,15061.6,3363,3190,173,29369.9,16503,
8,9,8,1,6533.46,922,859,63,29649.5,37883.7,
13,14,13,1,7394.77,1077,988,89,30322.7,32149.1,
