"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,899.44651,10019.6517,117.15322,37.1301,9.41632,2.3794,2402.33811,57.38722
2,1,2025.98826,4925.84842,147.56838,81.04834,8.6759,2.35854,2479.14296,43.30343
3,1,2551.91643,34948.5699,114.42776,52.91833,8.05579,2.2454,2878.38479,40.89056
4,1,2893.63753,15514.83125,156.27893,73.51957,9.51778,2.27161,2065.73499,49.69002
6,1,6476.25993,31181.30181,110.07359,34.17887,7.88019,2.08544,2021.27664,52.0176
7,1,9662.34669,36807.96111,178.26923,70.03364,8.22603,2.21221,2107.58984,61.8944
8,1,10622.72216,16980.83035,189.02422,59.57318,9.03317,2.32815,2189.44171,79.95503
9,1,10894.26049,2370.09103,131.04847,45.4552,8.91702,2.55678,2821.57465,60.09133
10,1,11874.17644,38633.97096,148.08455,64.1444,7.46222,2.16903,2445.94205,49.7864
11,1,13418.87633,2859.42958,144.38313,74.70704,9.50245,2.75604,2988.59415,48.74192
12,1,13521.6069,7686.22721,146.76013,288.13132,10.06028,2.87843,2563.15324,18.83482
13,1,13999.27843,33715.82972,84.03822,27.84073,8.53317,1.8795,1740.06913,40.55467
14,1,14540.6042,20810.36813,172.43762,66.54974,9.519,2.48362,2536.67552,65.81195
15,1,15328.88596,36288.83544,120.7176,75.93331,8.5567,1.7669,1412.01322,30.56727
16,1,15531.61005,913.66103,131.65427,57.10226,10.39762,2.78653,3109.16209,53.05199
17,1,15666.23374,11262.37374,149.2485,172.41959,9.78051,2.84524,2391.72127,27.50194
18,1,16218.05657,6005.95286,149.3135,53.96899,9.71783,1.99032,1477.92346,54.94015
19,1,16430.76504,13259.71078,113.21757,55.8716,9.68122,2.29722,2070.37765,39.14458
20,1,17040.27962,15091.11906,122.93023,76.33539,9.36914,2.21936,2171.25682,34.18376
21,1,20080.09482,9740.7824,198.18669,109.72839,8.73027,2.46282,2508.4101,54.24253
22,1,21955.75235,17955.22736,92.262,38.48256,8.25765,2.17886,2901.31424,38.49252
23,1,22297.3068,31776.42804,164.45016,281.33422,8.54357,2.52401,2352.75516,21.14204
24,1,22470.56113,23344.32274,95.27546,31.11183,8.46656,1.99231,1896.38975,44.97815
25,1,22630.88811,6715.34061,197.76792,70.62632,9.13653,2.02226,1823.94067,68.32488
26,1,23139.50171,25984.84506,86.21269,36.52954,9.35427,2.23284,2144.01384,37.16266
27,1,24879.04753,3517.06558,149.2487,60.6861,9.92395,2.33192,1929.8179,54.74633
28,1,25084.44091,15630.30296,163.03954,56.14256,8.16669,1.96409,1785.05904,60.1594
29,1,26850.62264,12573.7863,161.47928,124.44888,8.39902,2.57108,2693.86893,37.21567
30,1,26969.52304,10723.24991,140.21154,69.14711,9.66353,2.49563,2514.5814,46.86589
31,1,27926.87224,6801.06604,150.00345,142.86057,8.98054,2.52118,2342.56004,30.0576
32,1,30355.3199,32657.73102,163.52572,57.08026,7.5688,2.51211,3217.671,69.23759
33,1,30617.13653,881.67763,102.6468,54.47097,10.0984,2.15326,1920.67541,34.03273
35,1,33593.8816,2430.88352,123.08165,55.79344,9.29217,2.09717,1792.3699,41.9624
36,1,33850.56276,23194.81124,115.53365,99.13235,9.08971,2.83096,3040.48384,29.08688
37,1,34299.44236,18346.53731,155.28437,78.782,9.501,2.41604,2166.85228,48.26981
38,1,34505.53022,16791.23988,172.88591,268.54999,10.11858,1.88162,1010.20549,21.12168
39,1,34933.15184,18174.26812,152.51544,50.78235,9.70841,2.20856,1821.80692,63.09565
40,1,35549.15248,2737.44332,161.84046,60.79347,9.04746,2.07326,1808.2564,57.64426
41,1,35580.35632,21613.2259,156.17734,143.46817,9.3472,3.01973,3256.095,34.60352
42,1,36540.12307,39295.23873,103.20377,33.37052,8.16142,1.67,1508.79746,43.60566
43,1,36777.89219,9375.26368,144.84745,54.08626,9.13121,2.86035,3169.40122,65.27727
44,1,37017.79902,31228.1104,150.91109,126.66496,8.24539,2.81244,2853.45575,34.90133
45,1,39299.25103,13773.3004,153.63755,89.87379,8.31375,2.47928,2547.2504,43.53563
46,1,39452.63666,22758.27325,183.66569,70.3387,9.12407,2.02604,1770.66439,61.31104
47,1,40116.16292,12859.19789,147.10701,93.4927,8.89296,2.6234,2676.06549,40.88644
49,2,2571.19397,18447.4637,144.23211,51.14601,8.30758,1.96014,1974.56204,54.02563
50,2,2885.685,15593.07943,127.13426,53.08523,9.74302,2.2891,1948.64067,47.66653
51,2,4724.35894,38037.09444,131.44023,68.1362,7.64273,1.80517,1673.56698,37.05287
52,2,8928.13976,37520.30603,134.9324,51.35245,8.75877,2.0017,1600.72961,49.53959
53,2,9872.34503,33216.00258,150.74405,56.05364,7.21362,1.98752,1974.73357,54.06282
55,2,10418.80846,10142.84343,18.16255,25.62289,10.08392,2.26619,2173.86799,14.87128
56,2,10924.59141,2409.47856,152.49667,49.29452,9.10185,1.97673,1649.86481,60.55066
57,2,11502.55622,15162.75377,85.13276,35.28108,8.67221,2.02568,1989.26948,35.88817
58,2,13088.9415,23842.50555,175.87686,60.44622,8.29613,2.40267,2627.73451,71.92101
59,2,13536.63034,7677.43295,142.98518,270.02056,9.78284,2.86018,2476.76453,18.99651
61,2,15321.601,36303.35755,129.1118,182.81547,9.20497,2.30925,1884.27348,20.17871
62,2,15498.04764,851.80377,149.12151,100.48433,9.28636,2.52984,2519.11411,38.72116
63,2,15706.11986,11307.2338,98.79201,72.16303,9.99564,2.21613,2058.55108,26.90848
64,2,16188.88027,6079.07063,145.39989,68.61228,9.43333,2.36508,2234.96857,48.24595
65,2,16357.71316,13264.95966,158.06378,62.08623,8.72733,2.25462,2097.33062,57.43003
66,2,17066.34984,15054.30107,104.72622,99.24931,8.60967,2.48694,2193.92915,24.23136
69,2,20294.21109,1865.67119,89.83854,32.34025,9.33595,2.03226,1935.82097,40.93474
70,2,22315.69673,31772.96379,153.92393,257.65123,9.31011,3.03435,2361.25155,22.11072
71,2,22566.65199,8649.25415,131.25065,40.13523,8.50932,2.55601,2736.42833,66.69011
72,2,23511.10772,17812.53775,117.97516,84.31956,8.05094,2.53405,2876.82691,31.97962
73,2,26876.19769,12619.6889,128.01043,86.08484,8.48582,2.32651,2520.37959,33.77832
74,2,26969.63669,10655.58911,135.2623,39.97458,9.95624,2.27651,1939.60432,65.05677
75,2,27817.14785,6793.34607,138.25337,145.50949,9.53266,2.25398,1905.34241,25.44301
76,2,28165.52897,7975.33146,121.16818,42.27292,9.6452,2.33863,2117.22631,53.79586
77,2,28502.57334,28648.2989,143.66965,58.67229,7.59812,1.77538,1724.39282,46.1519
78,2,30063.14194,4122.00398,121.2361,38.70843,9.2685,2.40854,2459.19239,58.77
79,2,30458.96679,12114.1773,157.76736,55.10818,8.20992,2.22651,2224.19154,62.50115
80,2,30684.46945,859.20102,129.47572,52.95268,8.98735,2.2203,1935.57351,48.21009
81,2,30641.90778,33127.10306,107.57679,31.84249,8.14449,2.02524,1988.95643,52.39224
82,2,31222.18455,9909.75475,109.25869,40.13123,8.72078,2.53385,2853.58214,50.67276
83,2,32542.36717,8693.25259,139.27955,43.09754,8.6203,2.10134,1804.19411,60.9822
84,2,33540.40829,2445.06848,121.95876,50.17172,9.1962,2.27077,2424.55833,46.74871
85,2,33833.77716,23257.24998,155.10004,60.92138,7.91488,1.93428,1742.28257,52.10743
86,2,34285.70126,18273.93293,138.65384,124.0559,8.8719,2.53121,2426.11387,29.97204
87,2,34522.88572,16790.54565,169.36192,289.41788,8.7344,3.14856,3052.77377,23.53052
88,2,34512.11789,20022.03769,126.44911,41.06279,8.60196,2.4509,2773.86042,60.26261
89,2,35576.06449,21657.87347,147.41849,55.93876,8.31402,2.37743,2770.1152,57.99841
90,2,36019.26898,18010.98425,133.36377,44.11326,8.28418,2.38205,2658.3255,60.4895
91,2,36364.38316,829.57235,122.04356,127.14351,9.67182,2.1952,1736.76263,23.59935
92,2,36425.38183,39229.32449,86.79698,29.5575,7.87127,1.76161,1593.50708,39.25365
93,2,36721.82021,9313.77642,86.78277,36.15574,8.63721,2.22422,2264.88419,37.68555
94,2,37027.65706,31195.04621,108.4802,64.88793,9.94336,2.13926,1778.8891,32.12598
95,2,37628.18823,7466.33864,117.21688,49.68296,8.57439,2.20116,1984.53828,43.86323
96,2,38417.89997,5423.4709,137.33366,87.5062,9.96382,2.70574,2368.08199,39.62891
97,2,39357.61575,13814.51549,116.37858,52.69546,8.53871,2.67537,3068.844,46.12469
98,2,39317.73047,22781.26399,148.02025,64.79046,8.08859,1.87974,1769.0943,45.92758
99,3,703.97131,19652.20078,154.57354,81.84326,8.70408,2.18367,1909.00094,44.14002
101,3,2055.27497,5011.63322,94.07358,34.33804,9.74971,1.85562,1437.35306,39.81158
102,3,2479.24019,34976.46977,148.08064,54.58276,7.51997,2.00011,2100.42242,53.95855
103,3,2594.39774,16214.7587,129.61109,63.74783,8.48917,2.41514,2688.3434,43.80107
104,3,2938.24692,37555.52852,169.80356,57.02216,7.88852,2.35333,2471.27681,70.45616
105,3,3112.4464,32621.04824,105.02597,35.46617,7.56758,1.859,1830.02958,44.80728
106,3,4705.88391,38028.60247,145.3382,71.7225,8.3045,2.37079,2415.04114,46.65306
107,3,5747.28011,2275.08646,104.43936,50.89769,9.59602,2.91151,3137.78199,42.7298
108,3,8986.71161,5874.34146,95.21695,34.8887,9.07238,2.22786,2020.83965,43.62318
109,3,9082.57866,27171.28888,179.53186,59.91838,7.29432,1.98127,1975.19723,66.36196
110,3,9688.44134,36807.19109,151.48848,71.76594,8.1936,2.49475,2848.69254,50.98349
111,3,12575.30856,39415.71101,133.28093,44.94482,7.50476,1.99578,1861.81531,53.8092
112,3,13510.52276,7690.17673,140.26011,296.14271,10.42143,3.03432,2725.77445,17.78219
113,3,14467.74765,16462.5924,172.47345,133.65094,8.46141,2.33431,2491.89131,36.95425
115,3,15315.33742,36300.72933,175.34425,145.98843,7.69244,2.05955,1884.97246,33.53575
116,3,15524.32952,897.55714,127.12275,59.41987,9.22001,2.39255,2501.39018,44.75455
117,3,15687.97224,11320.05875,139.45212,85.83881,9.85474,2.08277,1767.47467,36.13656
118,3,16235.00855,6027.78263,138.55893,72.33477,9.11414,2.93292,3853.36395,48.82741
119,3,17008.03742,15073.10868,105.43699,77.21468,9.26407,2.61674,2967.14049,29.86038
120,3,20065.36961,9811.03234,120.99631,52.43193,9.3883,2.42407,2288.9177,46.29573
121,3,22321.14663,31754.51414,142.89466,247.47192,8.82181,2.70573,2239.5233,19.742
122,3,22623.87519,6788.58486,158.3521,103.7314,8.619,2.45417,2401.5215,40.54694
123,3,22797.95637,13000.54574,96.16119,39.83691,9.09209,2.0854,2059.54311,38.74472
124,3,23544.67947,17834.13211,145.11285,62.95144,8.19996,2.91892,3209.2511,58.4845
125,3,24803.00907,23552.88387,152.89963,53.19884,7.93288,1.82975,1694.04874,54.97872
126,3,24917.01098,3496.94334,124.30027,78.33192,9.24847,2.38201,2614.4991,35.1714
127,3,24924.47922,9674.41783,172.47243,59.25248,8.01811,2.04548,1870.15538,64.19387
128,3,25455.49438,38503.2412,168.89868,64.85755,7.53137,1.92348,1893.49069,56.0319
129,3,26120.0608,9147.61229,194.1787,73.19555,9.31013,2.28115,1697.99187,69.47241
131,3,26937.83877,10708.07762,110.89939,71.69291,8.80492,2.6493,3160.95208,33.9079
132,3,27546.4869,23305.75466,123.03442,42.88705,7.94256,2.06385,1929.60862,50.7248
133,3,27842.11356,6778.88859,125.32495,113.06716,10.09278,2.6474,2292.7525,28.55925
134,3,28113.79803,8072.79433,112.48877,38.06345,9.53916,2.16066,1839.59958,50.2901
135,3,30737.19266,913.12381,126.82333,59.49604,9.39149,2.35413,2361.34083,44.18051
136,3,34488.16935,16808.08283,165.46532,266.62595,9.52366,2.54238,1741.88646,22.16494
137,3,34564.99972,19938.2186,57.31163,28.54674,8.62483,2.28245,2483.31533,28.25239
138,3,37000.90736,31203.53471,155.11411,89.3862,8.74053,2.64802,2545.41243,45.97318
139,3,37612.89492,7548.13484,92.45349,41.73098,9.19453,2.47019,2681.31968,38.65383
140,3,37889.25033,13477.75252,163.5452,57.01775,7.7722,1.98107,1960.85761,59.99919
141,3,38418.33876,5406.8079,131.75554,66.83993,9.64648,2.33688,2115.27086,42.49574
