Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	16135	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	1602.932480	201.265411	72.576340	1.001856	1.001856	0.000000	0.663960	-1.000000	-1.000000	0.000000
2	1	2	-1	6535.860198	24.818748	250.462448	0.833619	0.833619	0.000000	0.927531	-1.000000	-1.000000	0.000000
3	1	3	-1	3963.959508	133.050964	128.406265	0.949667	0.949667	0.000000	0.880456	-1.000000	-1.000000	0.000000
4	1	4	-1	1766.065978	55.523548	182.836334	1.116496	1.116496	0.000000	0.553295	-1.000000	-1.000000	0.000000
5	1	5	-1	8471.071011	130.764786	179.310226	0.922489	0.922489	0.000000	0.945465	-1.000000	-1.000000	0.000000
7	2	1	-1	3071.546012	133.091400	128.252563	0.829256	0.829256	0.000000	0.866040	-1.000000	-1.000000	0.000000
8	2	2	-1	7727.221305	25.031956	250.558365	0.830252	0.830252	0.000000	0.962404	-1.000000	-1.000000	0.000000
9	2	3	-1	9484.011595	130.678452	179.145599	0.877662	0.877662	0.000000	0.953570	-1.000000	-1.000000	0.000000
10	2	4	-1	1258.313139	201.525970	72.485100	0.892612	0.892612	0.000000	0.466394	-1.000000	-1.000000	0.000000
11	2	5	-1	4366.574481	51.989338	181.034668	1.623262	1.623262	0.000000	0.490690	-1.000000	-1.000000	0.000000
12	2	6	-1	2596.407823	74.137375	249.462418	1.531460	1.531460	0.000000	0.520859	-1.000000	-1.000000	0.000000
14	3	1	-1	6699.632116	25.079475	250.394653	0.849769	0.849769	0.000000	0.933826	-1.000000	-1.000000	0.000000
15	3	2	-1	1758.518850	74.409538	249.193176	0.798357	0.798357	0.000000	0.742421	-1.000000	-1.000000	0.000000
16	3	3	-1	8285.405095	130.745239	179.225220	0.866192	0.866192	0.000000	0.958962	-1.000000	-1.000000	0.000000
17	3	4	-1	3423.969217	133.348068	128.420135	0.889274	0.889274	0.000000	0.865681	-1.000000	-1.000000	0.000000
18	3	5	-1	1382.397819	201.306686	72.445480	0.774701	0.774701	0.000000	0.609509	-1.000000	-1.000000	0.000000
20	4	1	-1	6509.726682	24.942078	250.406921	0.803447	0.803447	0.000000	0.945129	-1.000000	-1.000000	0.000000
21	4	2	-1	2156.617026	51.610161	193.544144	1.256568	1.256568	0.000000	0.628124	-1.000000	-1.000000	0.000000
22	4	3	-1	9308.034247	130.798355	179.268265	0.905259	0.905259	0.000000	0.965862	-1.000000	-1.000000	0.000000
23	4	4	-1	3263.927349	133.090042	128.297241	0.751232	0.751232	0.000000	0.900393	-1.000000	-1.000000	0.000000
25	5	1	-1	734.857884	74.600578	248.887177	0.638843	0.638843	0.000000	0.465574	-1.000000	-1.000000	0.000000
26	5	2	-1	1004.672943	201.670212	72.507721	0.740366	0.740366	0.000000	0.577549	-1.000000	-1.000000	0.000000
27	5	3	-1	3829.307178	133.166351	128.443802	0.868840	0.868840	0.000000	0.882526	-1.000000	-1.000000	0.000000
28	5	4	-1	9503.855376	130.715958	179.284622	0.861553	0.861553	0.000000	0.974679	-1.000000	-1.000000	0.000000
29	5	5	-1	7355.111969	24.979017	250.420853	0.848070	0.848070	0.000000	0.939134	-1.000000	-1.000000	0.000000
31	6	1	-1	8017.951698	24.923349	250.496948	0.944451	0.944451	0.000000	0.943746	-1.000000	-1.000000	0.000000
32	6	2	-1	9192.948436	130.735748	179.209976	0.844818	0.844818	0.000000	0.965005	-1.000000	-1.000000	0.000000
33	6	3	-1	2601.995334	133.238663	128.479294	0.776040	0.776040	0.000000	0.817453	-1.000000	-1.000000	0.000000
34	6	4	-1	1873.093771	201.608292	72.184364	0.992451	0.992451	0.000000	0.677701	-1.000000	-1.000000	0.000000
36	7	1	-1	8461.811643	24.955822	250.566132	0.870553	0.870553	0.000000	0.946478	-1.000000	-1.000000	0.000000
37	7	2	-1	10376.923132	130.664703	179.238739	0.885454	0.885454	0.000000	0.967856	-1.000000	-1.000000	0.000000
38	7	3	-1	3725.049711	133.122101	128.430206	0.902228	0.902228	0.000000	0.839903	-1.000000	-1.000000	0.000000
40	8	1	-1	7103.968630	24.980061	250.418701	0.798526	0.798526	0.000000	0.954636	-1.000000	-1.000000	0.000000
41	8	2	-1	9409.510264	130.783630	179.329239	0.904905	0.904905	0.000000	0.956586	-1.000000	-1.000000	0.000000
42	8	3	-1	2733.258580	133.184967	128.361023	0.833657	0.833657	0.000000	0.847301	-1.000000	-1.000000	0.000000
44	9	1	-1	7306.894373	24.934677	250.532425	0.935798	0.935798	0.000000	0.956559	-1.000000	-1.000000	0.000000
45	9	2	-1	3977.451489	133.058960	128.356171	0.869530	0.869530	0.000000	0.906516	-1.000000	-1.000000	0.000000
46	9	3	-1	9421.729135	130.712646	179.333725	0.865862	0.865862	0.000000	0.968276	-1.000000	-1.000000	0.000000
48	10	1	-1	7487.407743	24.912910	250.481735	0.879576	0.879576	0.000000	0.956222	-1.000000	-1.000000	0.000000
49	10	2	-1	9054.746344	130.712204	179.202347	0.852045	0.852045	0.000000	0.944665	-1.000000	-1.000000	0.000000
50	10	3	-1	2970.790622	133.117325	128.405624	0.937302	0.937302	0.000000	0.841173	-1.000000	-1.000000	0.000000
52	11	1	-1	2219.259243	201.729904	71.958687	1.377936	1.377936	0.000000	0.453149	-1.000000	-1.000000	0.000000
53	11	2	-1	7763.629660	24.964706	250.420792	0.885806	0.885806	0.000000	0.946150	-1.000000	-1.000000	0.000000
54	11	3	-1	9739.691479	130.781494	179.285767	0.949601	0.949601	0.000000	0.968901	-1.000000	-1.000000	0.000000
55	11	4	-1	3029.995967	133.202866	128.463943	0.921210	0.921210	0.000000	0.823370	-1.000000	-1.000000	0.000000
57	12	1	-1	1367.963714	74.621017	249.088760	1.040494	1.040494	0.000000	0.468226	-1.000000	-1.000000	0.000000
58	12	2	-1	1861.400543	201.365768	71.995155	1.027015	1.027015	0.000000	0.620515	-1.000000	-1.000000	0.000000
59	12	3	-1	7104.559971	25.018013	250.503174	0.823817	0.823817	0.000000	0.962075	-1.000000	-1.000000	0.000000
60	12	4	-1	9284.907394	130.777100	179.335464	0.869001	0.869001	0.000000	0.972568	-1.000000	-1.000000	0.000000
61	12	5	-1	5038.171401	133.251343	128.312973	1.000423	1.000423	0.000000	0.907388	-1.000000	-1.000000	0.000000
63	13	1	-1	1534.765250	201.384415	72.823860	1.154739	1.154739	0.000000	0.494112	-1.000000	-1.000000	0.000000
64	13	2	-1	6860.317269	24.899570	250.431915	0.817394	0.817394	0.000000	0.955633	-1.000000	-1.000000	0.000000
65	13	3	-1	2973.611700	133.184280	128.448441	0.892100	0.892100	0.000000	0.781075	-1.000000	-1.000000	0.000000
66	13	4	-1	8157.387547	130.767288	179.282150	0.790199	0.790199	0.000000	0.966416	-1.000000	-1.000000	0.000000
68	14	1	-1	8436.590603	24.984850	250.500336	0.916655	0.916655	0.000000	0.951763	-1.000000	-1.000000	0.000000
69	14	2	-1	8869.528982	130.637756	179.376114	0.907327	0.907327	0.000000	0.972958	-1.000000	-1.000000	0.000000
70	14	3	-1	4125.673708	133.216919	128.221313	1.005204	1.005204	0.000000	0.871040	-1.000000	-1.000000	0.000000
72	15	1	-1	9419.857581	130.663589	179.322617	0.854383	0.854383	0.000000	0.963950	-1.000000	-1.000000	0.000000
73	15	2	-1	1348.255102	201.401566	72.287003	1.030918	1.030918	0.000000	0.595447	-1.000000	-1.000000	0.000000
74	15	3	-1	3324.889417	133.124924	128.296921	0.787002	0.787002	0.000000	0.892496	-1.000000	-1.000000	0.000000
