# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
929,930,929,1,1.26268e+07,3999,1690,2309,32052.3,11477.3,
4.29497e+09,1,0,1,2.15771e+07,4000,0,4000,3798.06,39993.6,
4.29497e+09,1,0,1,2.17422e+07,4000,0,4000,21114.2,20454.5,
0,1,0,1,7912.04,1,0,1,8883.77,29253.8,
4.29497e+09,1,0,1,2.20847e+07,4000,0,4000,20724.2,28595.7,
0,1,0,2,1952.39,1,0,1,8318.29,28965.5,
3,4,3,2,32805.5,17,12,5,11924.7,39860.9,
0,1,0,4,8454.3,1,0,1,8257.63,30967.1,
0,1,0,17,2751.86,1,0,1,33621.6,8808.96,
0,1,0,26,3932.32,1,0,1,19022.7,19999.1,
0,1,0,26,10220.1,2,0,2,2876.12,28926.9,
0,1,0,32,8826.4,1,0,1,34038.9,23065,
0,1,0,53,8628.29,1,0,1,6238.81,32796.2,
0,1,0,55,3599.09,1,0,1,4270.98,31797.7,
0,1,0,56,2257.42,1,0,1,3636.77,31931.7,
0,1,0,57,7174.2,1,0,1,3175.09,32055.9,
0,1,0,59,2782.44,1,0,1,1587.62,34584.5,
0,1,0,60,16459.2,2,0,2,1608.1,34391.1,
0,1,0,62,2233.73,1,0,1,1654.7,34145.6,
0,1,0,72,10343.2,2,0,2,5611.07,39931.4,
0,1,0,74,12038.6,2,0,2,5190.32,39194.1,
0,1,0,78,3555.64,1,0,1,4890.14,38260.3,
0,1,0,79,1319.61,1,0,1,5090.32,38572.5,
0,1,0,90,7975.72,1,0,1,29953.2,20918.6,
3,4,3,91,28706.7,50,45,5,13062.4,27380.3,
0,1,0,102,8023.35,1,0,1,36598,27290.9,
0,1,0,104,731.797,1,0,1,36011.4,15053.1,
0,1,0,107,16527.5,4,0,4,36923.8,13667.4,
0,1,0,107,8266.14,1,0,1,36005.3,32600.8,
0,1,0,108,11494.5,2,0,2,35861.3,32375.3,
0,1,0,110,1335.69,1,0,1,36629.3,31751,
0,1,0,112,10192.6,2,0,2,39771.5,32936.5,
0,1,0,112,1783.93,1,0,1,12304.9,39360.3,
0,1,0,120,8314.98,1,0,1,15955.6,23549.2,
0,1,0,121,1021.04,1,0,1,9733.86,39411.6,
0,1,0,125,9202.4,1,0,1,14618.7,31901.3,
0,1,0,136,2783.58,1,0,1,15662.2,30708.4,
0,1,0,137,1625.18,1,0,1,15834.1,30677.6,
0,1,0,154,9743.94,1,0,1,36907.6,16422.9,
0,1,0,155,3821.81,1,0,1,35011.6,16607.2,
0,1,0,158,8153.97,1,0,1,37523.5,19675.7,
0,1,0,165,7700.92,1,0,1,17722.7,10857.8,
2,3,2,165,165781,32,2,30,25698.8,18816.4,
0,1,0,181,8911.84,1,0,1,17405.4,31010.6,
0,1,0,188,8079.54,1,0,1,1593.02,40010.3,
0,1,0,199,3612.72,1,0,1,25546.4,25340.6,
0,1,0,200,1471.5,1,0,1,24921.7,25190.4,
0,1,0,204,8489.64,1,0,1,30868,18733.2,
1,2,1,206,35771.1,8,1,7,27175.8,14144.8,
0,1,0,207,8206.98,2,0,2,36938.7,23991.5,
0,1,0,211,8186.65,1,0,1,37973.4,22936,
0,1,0,211,5944.1,2,0,2,34833.7,5398.41,
0,1,0,212,8260.83,1,0,1,2001.15,30542.4,
0,1,0,213,8974.06,1,0,1,35626.9,23113.7,
0,1,0,213,3573.74,1,0,1,35970.8,23631.1,
0,1,0,215,7418.45,1,0,1,36014.7,24313.9,
0,1,0,216,7555.39,1,0,1,35861.4,24476.3,
0,1,0,217,12983.7,3,0,3,16597,23516.5,
1,2,1,217,30655.3,6,1,5,32714.5,19072.4,
1,2,1,224,13081.5,743,741,2,34024.1,19686.8,
0,1,0,227,1476.05,1,0,1,33948.6,17416.4,
0,1,0,228,7839.77,1,0,1,35015.6,16235.1,
0,1,0,229,3320.94,1,0,1,34807.4,15712.5,
0,1,0,233,9412.48,1,0,1,39295.2,16608.8,
0,1,0,238,2948.43,1,0,1,6243.45,30044.3,
0,1,0,239,47634.3,7,0,7,6838.24,29930.4,
0,1,0,246,996.341,1,0,1,30789.7,26232,
0,1,0,253,8995.33,1,0,1,11890.9,33320.9,
0,1,0,255,7114.42,1,0,1,22174.4,39512.8,
1,2,1,264,10215.5,3,1,2,12579.4,17007.7,
0,1,0,266,2979.52,1,0,1,13089.3,29585.7,
0,1,0,273,1259.22,1,0,1,17703.6,28539,
0,1,0,288,3251.14,1,0,1,28529.9,4348.53,
0,1,0,292,17511.8,2,0,2,38240.5,16859.9,
0,1,0,341,3650.68,1,0,1,29690.9,12232,
0,1,0,344,10179.4,2,0,2,14153.8,29534.8,
0,1,0,346,15597.3,2,0,2,36144.2,16193.1,
0,1,0,348,1337.2,1,0,1,14170.2,20909.9,
0,1,0,349,3145.96,1,0,1,14246.4,21266.4,
0,1,0,364,1306.87,1,0,1,2429.24,36963.7,
0,1,0,393,6894.65,1,0,1,31821.7,23294.8,
1,2,1,395,29294.2,18,12,6,21210.7,31624.9,
0,1,0,399,174658,34,0,34,18634.9,23627.1,
0,1,0,420,2695.73,1,0,1,30286.6,23573.8,
0,1,0,421,1285.41,1,0,1,35957.9,38894.5,
5,6,5,431,35965.6,40,33,7,11117.1,38216.9,
0,1,0,434,7635.86,1,0,1,14763.9,23808.9,
0,1,0,438,3366.69,1,0,1,37064.3,23371.7,
0,1,0,454,10011.7,2,0,2,16626.1,37178.3,
0,1,0,463,2982.76,1,0,1,20994,16701.9,
0,1,0,467,8145.81,1,0,1,11228.3,38032,
0,1,0,471,7255.47,1,0,1,11037.8,18278.3,
1,2,1,497,19906.2,8,5,3,32178.6,11072.9,
0,1,0,508,8063.3,1,0,1,32170.5,11377.7,
2,3,2,520,10883.7,17,14,3,17676.4,40260.2,
0,1,0,539,1165.03,1,0,1,20171.1,39551.2,
0,1,0,540,3521.19,1,0,1,20199.3,39794.1,
1,2,1,541,19743.7,5,1,4,35548.8,29214.6,
0,1,0,541,1082.78,1,0,1,19800.3,39838.5,
0,1,0,578,7930.61,1,0,1,13614.2,21921.4,
0,1,0,601,3402.03,1,0,1,10653.2,35269.7,
0,1,0,619,7831.75,1,0,1,36074.5,1430.68,
0,1,0,629,9293.05,1,0,1,39836.5,31750.3,
1,2,1,655,14281,4,1,3,8245,33960.6,
1,2,1,668,11299.5,4,2,2,5080.81,19729.1,
0,1,0,677,11747.9,2,0,2,28822.6,27320.3,
0,1,0,683,7478.69,1,0,1,15805.6,26016,
0,1,0,684,8377.48,1,0,1,15682.6,26367.4,
0,1,0,688,2193.44,1,0,1,10406.2,26244.7,
0,1,0,689,1095.14,1,0,1,10965.4,25700.1,
0,1,0,693,8163.82,1,0,1,5929.98,22794,
1,2,1,696,13055.2,3,1,2,2854.87,24027.9,
0,1,0,699,1086.12,1,0,1,3222.22,23940.8,
1,2,1,701,15108.2,48,46,2,2718.85,22797.9,
0,1,0,706,22271.9,3,0,3,2704.09,23464,
0,1,0,708,2711.84,1,0,1,32104.4,19581.3,
0,1,0,709,1324.98,1,0,1,34977,18984.4,
0,1,0,710,15913,2,0,2,35189.8,18799.1,
0,1,0,712,3485.22,1,0,1,35511.6,19052.5,
0,1,0,713,947.573,1,0,1,36700.3,21346.5,
0,1,0,714,7572.7,1,0,1,35419.5,21263.6,
0,1,0,726,9246.04,1,0,1,18202.5,35775.5,
0,1,0,736,3742.64,1,0,1,14402.6,22135.2,
0,1,0,753,7692.2,1,0,1,3464.75,20517.6,
0,1,0,764,10522.8,2,0,2,35495.2,38192.1,
0,1,0,768,1146.98,1,0,1,37237.8,34922.8,
1,2,1,775,44349.6,8,1,7,5573.99,27914.8,
0,1,0,776,7385.34,1,0,1,9185.21,38037.6,
0,1,0,788,16346.7,2,0,2,38182.8,22759.6,
0,1,0,791,30392.1,7,0,7,39708.3,22740.9,
0,1,0,807,9007.25,1,0,1,39323.2,24232.4,
0,1,0,819,8159.99,1,0,1,38042,11015.1,
0,1,0,849,7599.82,1,0,1,33751.8,30981.8,
0,1,0,865,9029.97,1,0,1,18177.3,36372.3,
0,1,0,871,3801.86,1,0,1,35154.2,32353.1,
0,1,0,882,8642.79,1,0,1,17203.8,20590.9,
0,1,0,883,3698.03,1,0,1,34891.8,31998.1,
0,1,0,891,7528.48,1,0,1,1906.42,39509.4,
0,1,0,895,7957.78,1,0,1,8715.25,27168.8,
0,1,0,904,10912,2,0,2,35439.4,27373.5,
0,1,0,909,7194,1,0,1,23685.7,12100,
0,1,0,909,3032.22,1,0,1,36375.9,32715.5,
0,1,0,920,27240.4,4,0,4,31939.8,29811.8,
0,1,0,925,3464.33,1,0,1,11557.7,15809.5,
0,1,0,926,8441.93,1,0,1,32551.1,29860.9,
0,1,0,927,6588.48,1,0,1,9855.24,17233,
0,1,0,928,3038.92,1,0,1,34016,37485.5,
0,1,0,929,6961.39,1,0,1,11216.5,20800.6,
0,1,0,930,9565.07,1,0,1,25975.4,11435.7,
0,1,0,935,3206.61,1,0,1,9498.8,18386.5,
0,1,0,936,8316.2,1,0,1,38716,40279.2,
0,1,0,937,8397.52,1,0,1,26452.3,28226,
0,1,0,939,4486.36,1,0,1,32329.6,13562.5,
0,1,0,939,2908.18,1,0,1,27764.6,31099.1,
0,1,0,940,8989.4,1,0,1,32153.5,15222.5,
0,1,0,944,7542.04,1,0,1,38173.9,12778.8,
0,1,0,944,9139.92,2,0,2,5562.23,37928.8,
0,1,0,945,8400.49,1,0,1,38124.9,13094.7,
0,1,0,946,22345,4,0,4,26692.8,25814.9,
0,1,0,947,1201.25,1,0,1,22116.7,23813,
0,1,0,950,7476.39,1,0,1,40295.7,11667.6,
0,1,0,952,8782.68,1,0,1,21091.1,35826.9,
0,1,0,952,4456.5,2,0,2,26421.8,25099.1,
0,1,0,952,8043.76,1,0,1,16801,23082.6,
0,1,0,956,21012.7,4,0,4,20264.3,22891.3,
0,1,0,959,8136.89,1,0,1,5389.72,38043.1,
0,1,0,960,938.92,1,0,1,5318.05,32423.6,
0,1,0,960,3025.95,1,0,1,24028.5,13386.3,
1,2,1,961,21177,5,1,4,26733.6,13119.6,
0,1,0,964,3045.9,1,0,1,16352.5,10905.1,
0,1,0,964,7835.17,1,0,1,35341.5,6412.77,
0,1,0,967,8298.96,1,0,1,35555.9,18745.8,
1,2,1,971,9964.19,2918,2916,2,22360.6,16929.1,
0,1,0,972,8410.51,1,0,1,22251.8,17189.7,
0,1,0,974,3373.2,1,0,1,2232.5,38317.3,
0,1,0,985,1135.22,1,0,1,14675.6,19997.3,
0,1,0,1006,6936.17,1,0,1,15010,22633.9,
17,18,17,1008,180286,122,88,34,28158.3,5764.53,
0,1,0,1009,7831.84,1,0,1,16342.7,20704.4,
0,1,0,1012,8782.22,1,0,1,16944.6,14942.2,
0,1,0,1019,3549.82,1,0,1,10863.7,14072.4,
0,1,0,1020,2512.42,1,0,1,3725.13,28786,
0,1,0,1021,1482.37,1,0,1,3982.49,28426.2,
1,2,1,1022,19387.3,2275,2272,3,4538.63,29221.2,
0,1,0,1024,7699.67,1,0,1,3856.45,30877.3,
0,1,0,1036,3488.98,1,0,1,18883.5,39424.9,
0,1,0,1039,8986.49,1,0,1,15334.4,36833.4,
0,1,0,1043,2815.45,1,0,1,10707.4,29074.9,
0,1,0,1049,1418.69,1,0,1,22824.7,12351.2,
0,1,0,1059,8601.38,1,0,1,24476.4,39319,
0,1,0,1072,5188.89,1,0,1,6396.23,14719.6,
0,1,0,1076,3706.72,1,0,1,32303.3,24872.3,
0,1,0,1084,7999.83,1,0,1,14396.3,33744.3,
0,1,0,1090,1343.61,1,0,1,30515.2,13380.3,
0,1,0,1091,6339.82,1,0,1,30378.8,13247.7,
0,1,0,1095,32480,6,0,6,20161.5,27263.6,
0,1,0,1112,11374.5,2,0,2,31418.8,7155.54,
0,1,0,1113,9119.45,1,0,1,35230.3,33619.5,
0,1,0,1116,2800.2,1,0,1,32524.4,7467.98,
0,1,0,1123,3225.06,1,0,1,35384.4,11394.1,
7,8,7,1125,88130.2,32,12,20,35146.7,11465.6,
0,1,0,1126,17906.7,4,0,4,11996,23642.3,
0,1,0,1130,8808.57,1,0,1,12637.4,24550.2,
0,1,0,1131,3457.29,1,0,1,13164.9,25360.1,
0,1,0,1132,9166.88,1,0,1,16510.8,22986.5,
0,1,0,1132,1090.75,1,0,1,12415.5,16362.9,
0,1,0,1136,8501.35,1,0,1,11318.6,32279.2,
0,1,0,1137,2644.58,1,0,1,10781,32473.4,
0,1,0,1153,7699.9,1,0,1,37696.2,13035.4,
0,1,0,1154,3005.38,1,0,1,22906.7,20682.8,
0,1,0,1156,7408.82,1,0,1,26948.4,18256.7,
4,5,4,1165,71579.4,24,8,16,4180.82,19644.8,
0,1,0,1166,8182.29,1,0,1,24811,29286.3,
0,1,0,1184,7266.81,1,0,1,20778.4,16190.9,
0,1,0,1187,3060.04,1,0,1,23402,14791.8,
0,1,0,1187,1261.99,1,0,1,30897.3,36085.5,
0,1,0,1188,9734.9,1,0,1,31444.1,35463.6,
0,1,0,1189,4120.1,1,0,1,30633.7,34318.6,
1,2,1,1196,47468.2,10,1,9,37788.9,29578.8,
0,1,0,1207,8381.15,1,0,1,31063.8,36801.8,
0,1,0,1208,3479.86,1,0,1,29901.9,37838.2,
2,3,2,1209,23507,2511,2507,4,31360.2,36216.7,
0,1,0,1211,1534.43,1,0,1,31467.7,35045.5,
0,1,0,1214,7170.99,1,0,1,30959.2,35534.2,
0,1,0,1214,3396.17,1,0,1,34894.3,39356.4,
0,1,0,1215,993.689,1,0,1,28950.1,37101.3,
0,1,0,1215,7615.6,1,0,1,35996.8,39127.7,
0,1,0,1216,8996.15,1,0,1,35963.3,40081.9,
0,1,0,1216,3751.36,1,0,1,29316.8,37461.4,
0,1,0,1218,3449.3,1,0,1,17826.7,17196.6,
0,1,0,1221,939.09,1,0,1,16609.2,18021.1,
0,1,0,1223,8110.98,1,0,1,37227.7,38036.8,
0,1,0,1296,2879.67,1,0,1,6115.09,23971.2,
0,1,0,1304,8554.75,1,0,1,17223.4,22692.1,
0,1,0,1305,3252.62,1,0,1,17167.8,23040.2,
0,1,0,1307,1553.1,1,0,1,1667.93,33653.9,
0,1,0,1309,9309.97,1,0,1,21688.9,27689.7,
0,1,0,1310,2926.11,1,0,1,10069.6,20142,
0,1,0,1310,6802.86,1,0,1,22356,29167.3,
0,1,0,1313,9345.14,2,0,2,8533.64,23048.1,
0,1,0,1315,2779.07,1,0,1,8969.53,22821.2,
0,1,0,1317,12157,3,0,3,9010.78,21500,
0,1,0,1321,7726.43,1,0,1,10499.1,23316.3,
0,1,0,1323,4005.39,1,0,1,11065.6,24373.7,
0,1,0,1324,7429.65,1,0,1,12460.2,25923.4,
0,1,0,1325,2022.36,1,0,1,10822,27352,
0,1,0,1327,7179.48,1,0,1,8645.61,22849.1,
0,1,0,1329,8309.87,1,0,1,11032.3,23638,
0,1,0,1329,4235.05,1,0,1,18528.6,20120.8,
1,2,1,1331,83231.7,163,147,16,10548.2,22387.7,
1,2,1,1335,11096.5,7,5,2,29968.4,25417.2,
0,1,0,1339,7727.82,1,0,1,29748.1,25377.7,
1,2,1,1340,10134.6,552,550,2,30019.5,5061.72,
0,1,0,1359,3514.58,1,0,1,2221.25,28999.5,
1,2,1,1373,12234,5,3,2,21451.4,32942.4,
0,1,0,1374,7241.87,2,0,2,26467.9,14974.5,
1,2,1,1402,8102.08,31,29,2,22537.2,16557.9,
0,1,0,1409,8723.17,1,0,1,32055.5,37142.8,
0,1,0,1424,2724.37,1,0,1,19835,25823.9,
0,1,0,1425,8040.28,1,0,1,26655.3,25063.1,
0,1,0,1426,4107.84,1,0,1,20556.3,39343.2,
0,1,0,1428,6883.09,1,0,1,26978.1,27171.1,
2,3,2,1432,61808,16,3,13,27080,27456.6,
0,1,0,1441,2116.37,1,0,1,37875.1,27396.6,
0,1,0,1442,8105.49,1,0,1,38878.4,26864.5,
0,1,0,1443,11438.5,2,0,2,34938.9,36033.2,
1,2,1,1453,14523.2,89,86,3,6809.91,37738.3,
0,1,0,1464,7790.74,1,0,1,27755.6,36235.1,
0,1,0,1465,2915.84,1,0,1,26905.6,37245.6,
0,1,0,1465,7634.39,1,0,1,29790,34811.4,
0,1,0,1466,10816.9,2,0,2,28585.6,38017,
0,1,0,1467,3476.28,1,0,1,32421.3,31158.5,
0,1,0,1467,7852.56,1,0,1,29325.6,37909.1,
0,1,0,1468,8893.27,1,0,1,32713.6,31052.1,
0,1,0,1468,2998.5,1,0,1,29361.9,37732.8,
0,1,0,1469,1739.21,1,0,1,31143.2,31973.2,
0,1,0,1469,4406.67,1,0,1,31501.3,40084.4,
0,1,0,1472,8694.75,1,0,1,28807.7,39017.8,
0,1,0,1472,1630.76,1,0,1,30547.3,35159.9,
0,1,0,1473,3653.25,1,0,1,8818.19,18962.4,
0,1,0,1474,1591.14,1,0,1,34690.8,15822.4,
0,1,0,1475,48332.9,10,0,10,26423.8,35663.5,
0,1,0,1476,7336.35,1,0,1,14746.6,19842.2,
0,1,0,1477,1140.59,1,0,1,10833.1,21311.4,
0,1,0,1477,3569.03,1,0,1,38592.8,32890.6,
0,1,0,1477,19483.8,4,0,4,12664.5,11803.8,
0,1,0,1478,9235.03,1,0,1,11524.5,21807.6,
0,1,0,1478,6437.67,2,0,2,30380.2,24420.5,
0,1,0,1479,2147.72,1,0,1,10721.7,22337.9,
0,1,0,1485,1405.38,1,0,1,30167,24250,
0,1,0,1485,8472.38,1,0,1,26713.5,35348.4,
0,1,0,1494,7402.75,1,0,1,10424.1,23083.8,
0,1,0,1495,2544.66,1,0,1,11812.6,22982.2,
0,1,0,1497,8753.31,1,0,1,11490.3,24246,
0,1,0,1499,3473.97,1,0,1,37222,9641.35,
0,1,0,1502,6764.4,1,0,1,2456.98,3187.16,
0,1,0,1502,2200.59,1,0,1,4115.67,2895.12,
0,1,0,1502,722.733,1,0,1,27411,28706.8,
0,1,0,1515,9540.53,1,0,1,29801.5,32136.6,
0,1,0,1524,4010.64,1,0,1,37039.1,36814.1,
0,1,0,1527,2231.61,1,0,1,6564.62,24150.1,
1,2,1,1529,16540.1,948,946,2,19515.1,39005.4,
0,1,0,1532,2628.47,1,0,1,19070.8,26713,
0,1,0,1536,3574.49,1,0,1,22331.5,28678.2,
0,1,0,1537,1170.72,1,0,1,20834.9,30578.7,
0,1,0,1539,9979.41,1,0,1,11599.4,31621.4,
0,1,0,1540,3738.08,1,0,1,10786.6,30254.6,
0,1,0,1540,2361.13,1,0,1,29396.6,7121.27,
0,1,0,1541,7811.76,1,0,1,10518.6,30363.8,
0,1,0,1542,8404.03,1,0,1,10417.3,30553.5,
0,1,0,1544,9290.08,1,0,1,12179.4,31843.6,
0,1,0,1548,3262.68,1,0,1,4496.07,30430.7,
0,1,0,1551,2521.53,1,0,1,2734.79,29179.8,
0,1,0,1562,8342.49,1,0,1,10976.1,22190.9,
0,1,0,1564,7731.31,1,0,1,10180.1,24907.7,
0,1,0,1567,1008.63,1,0,1,8090.59,20602.8,
1,2,1,1567,13370.3,347,344,3,26002.8,34214.7,
0,1,0,1568,3167.89,1,0,1,7796.61,21113.5,
0,1,0,1569,702.314,1,0,1,7903.66,21247,
0,1,0,1571,1238.69,1,0,1,7655.3,19694.7,
0,1,0,1572,51076.8,10,0,10,6396.47,19232.6,
0,1,0,1575,8987.92,1,0,1,17423.5,38073.4,
0,1,0,1584,2489.53,1,0,1,15501.2,31433,
0,1,0,1585,1481.41,1,0,1,36852.5,40301.7,
0,1,0,1589,837.747,1,0,1,10879.5,25864.9,
0,1,0,1593,8427.6,1,0,1,11129.5,19707.3,
0,1,0,1594,8997.71,1,0,1,11573.4,22360.2,
0,1,0,1595,8487.91,1,0,1,11410.6,22054.6,
1,2,1,1596,6066.43,1691,1688,3,38919.4,38969.6,
0,1,0,1596,7828.66,1,0,1,12201.7,21485.5,
0,1,0,1598,8018.84,1,0,1,39810.6,17007.9,
0,1,0,1598,3020.38,1,0,1,39225.3,39514.8,
0,1,0,1599,1148.45,1,0,1,38078,40342.9,
1,2,1,1602,9586.33,651,649,2,13548.9,22779.7,
0,1,0,1603,1325.28,1,0,1,11970.3,23837.4,
0,1,0,1607,1068.08,1,0,1,11555.8,17449.9,
0,1,0,1607,8647.49,1,0,1,12583.1,29223.6,
0,1,0,1608,1077.63,1,0,1,12068,29199.1,
4,5,4,1609,23592.2,130,125,5,17510.6,24250.7,
0,1,0,1609,4415.18,1,0,1,27346.4,26434.1,
0,1,0,1609,12926.1,2,0,2,11849.7,29515.3,
0,1,0,1612,7891.93,1,0,1,9237.62,29300.9,
0,1,0,1613,10040.4,1,0,1,9408.26,29459.1,
0,1,0,1615,4297.8,2,0,2,9283.3,30506.7,
0,1,0,1619,856.966,1,0,1,10126.2,30245.5,
0,1,0,1620,7902.24,1,0,1,10183.1,30453.8,
1,2,1,1621,20394.6,5,1,4,9580.55,30772.5,
0,1,0,1626,8105.28,1,0,1,10274.1,28945.5,
0,1,0,1630,3453.93,1,0,1,5140.07,15605.8,
0,1,0,1655,1510.18,1,0,1,5962.17,39967.5,
1,2,1,1662,14442.1,15,13,2,12774.1,36443.5,
0,1,0,1670,9907.17,1,0,1,16100.7,37682.2,
0,1,0,1682,1580.68,1,0,1,6220.07,17656.4,
0,1,0,1682,4239.11,1,0,1,7445.93,17061,
0,1,0,1696,968.452,1,0,1,1070.87,34816.7,
0,1,0,1749,1078.5,1,0,1,37473.4,12620.3,
1,2,1,1758,12056,3,1,2,23775,29708.2,
0,1,0,1796,7846.97,1,0,1,6824.03,38429.6,
0,1,0,1798,1084.71,1,0,1,7229.14,39036.4,
0,1,0,1800,1091.49,1,0,1,10033.5,26109.2,
0,1,0,1809,7392.16,1,0,1,12881.3,13402.9,
0,1,0,1813,9648.94,1,0,1,12162.6,12374.4,
0,1,0,1818,3517.02,1,0,1,11016.6,18786.4,
0,1,0,1819,2119.46,1,0,1,10984.7,19181.8,
0,1,0,1830,8387.09,1,0,1,22412.3,38453,
0,1,0,1843,9057.87,1,0,1,28748,24107.9,
0,1,0,1844,11227.9,2,0,2,28859.3,24347.3,
0,1,0,1846,821.892,1,0,1,29475.3,24235.1,
0,1,0,1847,1368.65,1,0,1,29432.2,24422.7,
0,1,0,1848,3566.81,1,0,1,28023.6,24345.9,
0,1,0,1849,6939.92,1,0,1,28422.5,19998.3,
0,1,0,1851,7800.85,1,0,1,28926.6,22364.7,
0,1,0,1852,3882.19,1,0,1,23954.9,22252.4,
0,1,0,1853,1579.09,1,0,1,24293.4,23972.5,
0,1,0,1855,8717.59,1,0,1,23639.9,23216.8,
0,1,0,1858,1146.23,1,0,1,24158.9,24524.4,
3,4,3,1861,47346,1706,1696,10,34218.9,35378.1,
0,1,0,1880,7672.14,1,0,1,32444.6,4493.06,
1,2,1,1885,19616.6,4,1,3,6955.36,23573.3,
0,1,0,1887,3087.27,1,0,1,30484.5,4826.5,
0,1,0,1905,1756.75,1,0,1,20048.4,26016.1,
0,1,0,1906,7626.08,1,0,1,20331.6,26619.9,
0,1,0,1907,7742.6,1,0,1,20144.7,26802.6,
0,1,0,1909,8824.47,1,0,1,20634.3,29853.7,
0,1,0,1910,2509.03,1,0,1,21966.7,31264,
0,1,0,1914,1104.5,1,0,1,24758.9,33072.3,
0,1,0,1915,7361.33,1,0,1,24770.7,33335.6,
0,1,0,1916,9112.4,1,0,1,23609.6,34177.3,
0,1,0,1941,3655.99,2,0,2,899.947,28881,
0,1,0,1943,7479.34,1,0,1,36269.8,31680.7,
0,1,0,1945,3613.6,1,0,1,30261.7,34211.4,
0,1,0,1948,10409.5,2,0,2,38831.1,35912.6,
0,1,0,1948,1784.13,1,0,1,4231.13,23615.4,
0,1,0,1952,20796.3,3,0,3,31177.7,33309.5,
0,1,0,1958,10162.6,2,0,2,31377.8,39068,
0,1,0,1960,8562.21,1,0,1,31109.4,39343.1,
0,1,0,1961,1407.99,1,0,1,30768.2,39382.9,
0,1,0,1965,2595.95,1,0,1,33571.8,38982.5,
0,1,0,1966,9051.23,1,0,1,33143.8,39606.8,
1,2,1,1973,12506.8,4,2,2,3433.2,27460.9,
0,1,0,1978,9142.55,1,0,1,6812.58,26802.6,
0,1,0,1979,3484.81,1,0,1,6739.34,27082.9,
0,1,0,1980,1438.23,1,0,1,5400.93,26644.8,
0,1,0,1981,1497.94,1,0,1,6203.68,25214.6,
0,1,0,1982,7712.36,1,0,1,6779.72,27315.2,
0,1,0,1984,12254,2,0,2,6216.89,26370.2,
0,1,0,1986,1417.93,2,0,2,6179.93,25423.5,
0,1,0,1989,7830.55,1,0,1,12653.9,36025.8,
0,1,0,1991,1586.18,1,0,1,37341.7,32297,
0,1,0,1995,25331.7,6,0,6,2428.82,22276.1,
0,1,0,2005,6725.2,1,0,1,25983,34888.4,
0,1,0,2007,9094.64,1,0,1,19614.9,28426.7,
0,1,0,2060,3272.37,1,0,1,824.443,36873.9,
0,1,0,2068,7891.9,1,0,1,29059.9,34569.8,
1,2,1,2072,21961.6,9,6,3,3448.66,37552.3,
0,1,0,2074,3597.88,1,0,1,3405.92,37704.6,
