Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	15840	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	2350.798648	178.165512	5.392240	1.034393	1.034393	0.000000	0.641540	-1.000000	-1.000000	0.000000
2	1	2	-1	1617.595439	115.133797	230.021896	0.859242	0.859242	0.000000	0.637849	-1.000000	-1.000000	0.000000
3	1	3	-1	10465.133803	9.129162	217.187637	1.006215	1.006215	0.000000	0.954175	-1.000000	-1.000000	0.000000
4	1	4	-1	1004.772209	84.249115	191.867279	0.722602	0.722602	0.000000	0.644691	-1.000000	-1.000000	0.000000
6	2	1	-1	2731.108610	115.039673	230.244217	1.102555	1.102555	0.000000	0.727389	-1.000000	-1.000000	0.000000
7	2	2	-1	2924.041875	178.123367	5.604473	1.058318	1.058318	0.000000	0.794774	-1.000000	-1.000000	0.000000
8	2	3	-1	9542.946181	9.153365	217.178665	0.996850	0.996850	0.000000	0.961165	-1.000000	-1.000000	0.000000
9	2	4	-1	1351.564208	63.374378	161.561981	1.034223	1.034223	0.000000	0.478785	-1.000000	-1.000000	0.000000
11	3	1	-1	1855.544178	178.379517	5.394778	0.914112	0.914112	0.000000	0.680202	-1.000000	-1.000000	0.000000
12	3	2	-1	3128.452049	114.706039	230.132828	1.311652	1.311652	0.000000	0.738657	-1.000000	-1.000000	0.000000
13	3	3	-1	8593.754708	9.005525	217.210068	0.862006	0.862006	0.000000	0.961175	-1.000000	-1.000000	0.000000
14	3	4	-1	1243.883218	63.621449	161.760681	0.890155	0.890155	0.000000	0.615054	-1.000000	-1.000000	0.000000
16	4	1	-1	4024.906416	178.319397	5.706825	1.647480	1.647480	0.000000	0.661115	-1.000000	-1.000000	0.000000
17	4	2	-1	2399.579454	114.886536	230.002563	1.015690	1.015690	0.000000	0.730261	-1.000000	-1.000000	0.000000
18	4	3	-1	8628.809706	9.105548	217.142059	0.898002	0.898002	0.000000	0.972358	-1.000000	-1.000000	0.000000
20	5	1	-1	2383.566681	114.634010	230.198273	1.056595	1.056595	0.000000	0.694951	-1.000000	-1.000000	0.000000
21	5	2	-1	11239.130151	9.115043	217.204239	1.033770	1.033770	0.000000	0.949498	-1.000000	-1.000000	0.000000
22	5	3	-1	2611.549019	178.495804	5.624387	1.146798	1.146798	0.000000	0.685304	-1.000000	-1.000000	0.000000
23	5	4	-1	570.701001	63.756165	161.899368	0.503183	0.503183	0.000000	0.449468	-1.000000	-1.000000	0.000000
25	6	1	-1	1490.133197	114.896889	230.485870	0.784363	0.784363	0.000000	0.653082	-1.000000	-1.000000	0.000000
26	6	2	-1	2823.018458	178.317673	5.657921	1.041945	1.041945	0.000000	0.825297	-1.000000	-1.000000	0.000000
27	6	3	-1	1263.572042	63.612198	160.843491	1.012791	1.012791	0.000000	0.489201	-1.000000	-1.000000	0.000000
28	6	4	-1	9395.428180	9.232462	217.255981	0.981004	0.981004	0.000000	0.954810	-1.000000	-1.000000	0.000000
30	7	1	-1	10272.934957	9.093278	217.257690	1.006704	1.006704	0.000000	0.964024	-1.000000	-1.000000	0.000000
31	7	2	-1	2896.957622	178.436951	5.853658	1.181427	1.181427	0.000000	0.821250	-1.000000	-1.000000	0.000000
32	7	3	-1	1265.817907	63.645634	162.025406	0.912191	0.912191	0.000000	0.585937	-1.000000	-1.000000	0.000000
33	7	4	-1	2838.315412	114.738747	230.096619	1.011311	1.011311	0.000000	0.808789	-1.000000	-1.000000	0.000000
35	8	1	-1	2240.375206	178.237381	5.506418	0.932883	0.932883	0.000000	0.829828	-1.000000	-1.000000	0.000000
36	8	2	-1	1906.807377	115.386360	230.357330	0.848478	0.848478	0.000000	0.739232	-1.000000	-1.000000	0.000000
37	8	3	-1	1118.637334	84.106636	191.514053	0.887078	0.887078	0.000000	0.500109	-1.000000	-1.000000	0.000000
38	8	4	-1	9372.112834	9.055958	217.236221	0.969507	0.969507	0.000000	0.967349	-1.000000	-1.000000	0.000000
40	9	1	-1	2757.222460	115.046043	230.261642	1.108599	1.108599	0.000000	0.777354	-1.000000	-1.000000	0.000000
41	9	2	-1	2422.199257	178.121033	5.708016	1.241808	1.241808	0.000000	0.713946	-1.000000	-1.000000	0.000000
42	9	3	-1	9628.698056	9.113033	217.312881	0.947121	0.947121	0.000000	0.960018	-1.000000	-1.000000	0.000000
43	9	4	-1	1381.263096	84.286545	191.441513	0.930678	0.930678	0.000000	0.506007	-1.000000	-1.000000	0.000000
45	10	1	-1	9672.017627	9.080782	217.199295	0.942280	0.942280	0.000000	0.977384	-1.000000	-1.000000	0.000000
46	10	2	-1	2001.819254	178.328217	5.613244	1.082998	1.082998	0.000000	0.707143	-1.000000	-1.000000	0.000000
47	10	3	-1	1981.315412	114.778313	230.179993	1.156446	1.156446	0.000000	0.537405	-1.000000	-1.000000	0.000000
49	11	1	-1	1978.762280	118.963036	237.259811	0.926980	0.926980	0.000000	0.718710	-1.000000	-1.000000	0.000000
50	11	2	-1	2754.286599	178.717590	5.658268	1.128762	1.128762	0.000000	0.761513	-1.000000	-1.000000	0.000000
51	11	3	-1	7987.091533	9.024830	217.291809	0.969769	0.969769	0.000000	0.921129	-1.000000	-1.000000	0.000000
52	11	4	-1	1902.937578	115.107216	230.158310	0.908348	0.908348	0.000000	0.698454	-1.000000	-1.000000	0.000000
54	12	1	-1	1216.512975	84.349312	191.748383	0.813227	0.813227	0.000000	0.691903	-1.000000	-1.000000	0.000000
55	12	2	-1	1391.915242	218.218018	98.237503	1.084595	1.084595	0.000000	0.517781	-1.000000	-1.000000	0.000000
56	12	3	-1	2409.138902	114.854141	230.218262	1.044278	1.044278	0.000000	0.802128	-1.000000	-1.000000	0.000000
57	12	4	-1	2652.943427	178.487778	5.580482	1.118657	1.118657	0.000000	0.776432	-1.000000	-1.000000	0.000000
58	12	5	-1	9319.099634	9.007728	217.231812	0.928982	0.928982	0.000000	0.975476	-1.000000	-1.000000	0.000000
60	13	1	-1	3831.298559	115.247864	230.433472	1.526463	1.526463	0.000000	0.651896	-1.000000	-1.000000	0.000000
61	13	2	-1	2767.334683	178.229935	5.617754	1.325926	1.325926	0.000000	0.590617	-1.000000	-1.000000	0.000000
62	13	3	-1	9282.843373	9.058896	217.182816	0.976724	0.976724	0.000000	0.965458	-1.000000	-1.000000	0.000000
64	14	1	-1	1254.806243	178.522217	5.511060	0.778599	0.778599	0.000000	0.624925	-1.000000	-1.000000	0.000000
