# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
54,56,55,1,1.52322e+07,4000,55,3945,28427.4,797.226,
0,2,1,1,1.50477e+07,4000,1,3999,18293.4,36734.9,
4.29497e+09,1,0,1,1.5403e+07,4000,0,4000,1342.97,34662.5,
4,5,4,1,29482.8,794,788,6,13459.1,30656.8,
950,951,950,2,8.88363e+06,3998,1705,2293,10071.8,25752.7,
0,1,0,11,1004.53,1,0,1,19034.1,37961.6,
0,1,0,12,1073.02,1,0,1,34914.9,15718,
265,266,265,15,1.16353e+06,3972,3679,293,31244.8,18698.9,
7,8,7,21,95986.7,40,18,22,33148.1,15823.7,
3,4,3,21,26596,11,5,6,40109.1,36201,
0,1,0,24,2354.09,1,0,1,35635.5,29942.6,
7,8,7,29,43529.2,973,962,11,19214.6,9418.15,
0,1,0,29,3955.5,2,0,2,11848.9,34809.6,
0,1,0,31,2707.59,1,0,1,36160.5,14885.9,
0,1,0,33,787.676,1,0,1,31438.2,30444.3,
0,1,0,42,8255.74,1,0,1,4363.22,39725.3,
0,1,0,43,2664.13,1,0,1,5136.59,38563,
0,1,0,46,9331.11,1,0,1,980.357,27004.9,
0,1,0,52,5076.48,3,0,3,33601.6,11156.6,
0,1,0,62,13881.7,3,0,3,25573,35658.6,
0,1,0,75,4720.26,2,0,2,33791.2,19302.4,
0,1,0,82,1024.34,1,0,1,33956.6,25781.1,
1,2,1,84,10574.2,3,1,2,37512.6,22314.2,
0,1,0,87,1449.69,1,0,1,33196.6,16146.3,
0,1,0,112,2920.52,1,0,1,11099.9,25889.8,
0,1,0,119,8746.25,1,0,1,32111.6,33321.6,
0,1,0,127,2383.02,1,0,1,24924.9,19334.4,
0,1,0,143,1504.53,1,0,1,19169.8,36066.3,
0,1,0,159,2891.74,1,0,1,17671.9,35414.8,
0,1,0,161,1614.13,1,0,1,13613.4,35097.6,
0,1,0,164,18201.4,2,0,2,19405,26227.9,
0,1,0,171,3895.2,2,0,2,33543.5,33615.2,
0,1,0,172,10496.4,2,0,2,30415.9,34358.8,
0,1,0,178,2206.38,1,0,1,28367.8,36723.1,
0,1,0,180,1464.89,1,0,1,28417.9,37742.9,
0,1,0,182,1959.19,1,0,1,26362.5,34465.2,
21,22,21,190,93351.7,3730,3708,22,36594.3,600.572,
0,1,0,193,2674.92,1,0,1,38462,12451.7,
0,1,0,240,2074.19,1,0,1,2075.05,32158.6,
0,1,0,254,3591.69,1,0,1,18563.1,17589.8,
0,1,0,255,11939.2,2,0,2,1614.57,25198.4,
0,1,0,256,3957.72,2,0,2,16637.9,36446.3,
