# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,3478.48,1,0,1,14630.9,17202,
2,3,2,1,46426.4,134,127,7,21198.1,11966.3,
3,4,3,1,137278,1904,1888,16,25139.1,7378.06,
5,6,5,2,114529,3359,3346,13,8408.92,2383.94,
0,1,0,2,51104.7,5,0,5,16526,4369.61,
2,3,2,2,40505.8,1380,1376,4,21580.6,6484.13,
7,8,7,2,165813,3697,3676,21,11474.5,23266.4,
5,6,5,2,208253,3400,3374,26,27592.9,6868.19,
2,3,2,2,94649.1,12,2,10,18471.7,25218,
0,1,0,2,63599.4,8,0,8,24154.6,8350.77,
2,3,2,2,67419.4,153,146,7,25761.4,6766.5,
3,4,3,2,90917.8,3819,3807,12,20495.6,24870,
0,1,0,2,25648.6,3,0,3,9559.57,2011.45,
3,4,3,3,84493,16,7,9,4135.67,3679.74,
3,4,3,3,90617.7,689,679,10,19172.3,22728.9,
2,3,2,3,88200.5,12,4,8,15287.1,8135.02,
0,1,0,3,39912.7,4,0,4,29828.9,7858.99,
2,3,2,4,96559.6,1353,1342,11,6113.54,3204.99,
1,2,1,4,28633.8,7,4,3,22584.9,11282.5,
1,2,1,4,139459,1523,1506,17,30922.5,22019.8,
4,5,4,4,183409,2005,1981,24,10852.8,7741.07,
5,6,5,5,100526,20,10,10,21954.7,32238.8,
0,1,0,5,40866.9,5,0,5,25881.2,12602.6,
5,6,5,5,135729,3489,3475,14,733.448,8882.7,
2,3,2,5,50720.7,350,344,6,14204,16709,
3,4,3,6,138439,3387,3372,15,25852.6,28002.7,
1,2,1,6,63520.9,8,1,7,8684.12,8815.5,
0,1,0,6,69461.2,9,0,9,12814.5,24702.9,
0,1,0,6,24969.1,3,0,3,8459.14,8065.71,
0,1,0,7,45594.1,5,0,5,11034.3,27070.9,
0,1,0,7,39233.3,5,0,5,20016.4,15068.4,
0,1,0,7,15270.9,2,0,2,7744.55,3649.71,
0,1,0,7,52550.4,6,0,6,23760.2,9175.32,
0,1,0,7,37444.3,5,0,5,13804.7,28303.5,
3,4,3,7,293676,2408,2375,33,28751.7,23761.4,
1,2,1,8,30696.2,8,4,4,20365.9,10816.2,
6,7,6,8,209653,45,21,24,28108.5,18145.8,
6,7,6,9,171062,91,68,23,7234.94,3327.54,
2,3,2,9,77056.6,20,10,10,30376.7,29260.7,
0,1,0,9,14766.4,2,0,2,1434.25,27777.5,
0,1,0,9,62784.6,8,0,8,18866.6,7951.69,
1,2,1,9,168832,21,4,17,26814.7,32185.6,
0,1,0,9,42803.1,6,0,6,5865.67,22725.8,
0,1,0,9,66319.8,7,0,7,25088.3,9763.23,
1,2,1,10,58379.8,8,1,7,11133.1,15847.6,
1,2,1,11,80916,824,816,8,2013.21,13558.3,
2,3,2,11,73325.4,14,4,10,15068.2,28675.6,
5,6,5,11,180725,48,26,22,29862.5,16741.4,
0,1,0,11,7535.5,1,0,1,14198.3,22683.8,
0,1,0,12,4316.24,1,0,1,14521.1,27813.2,
6,7,6,12,136902,2476,2457,19,10977.1,4366.86,
2,3,2,12,112975,17,4,13,19572.2,8378,
0,1,0,12,16224.7,2,0,2,21069.8,10286.7,
3,4,3,13,100409,22,11,11,1717.68,20123.7,
7,8,7,13,272847,69,38,31,3068.09,4580.9,
0,1,0,13,32348,5,0,5,3919.06,10362.2,
2,3,2,13,188223,32,8,24,2815.1,27110.7,
8,9,8,13,156189,3254,3233,21,5292.72,4453.56,
3,4,3,14,124836,24,10,14,15516.6,13089.2,
0,1,0,14,23937.4,2,0,2,15393.7,14586.2,
6,7,6,14,288904,53,19,34,8303.65,12461.7,
2,3,2,14,66757.7,11,4,7,9974.11,23409.6,
1,2,1,15,92611,11,1,10,30889.8,25493.7,
5,6,5,15,206498,347,322,25,11841.8,27635.4,
1,2,1,15,156143,21,1,20,30561.7,28181.7,
1,2,1,15,57733.4,515,509,6,11098.3,28786.2,
3,4,3,16,168603,896,880,16,22829.8,20527,
0,1,0,16,8978.54,1,0,1,12661.9,31548.4,
1,2,1,16,58556.8,8,1,7,15728.8,7545.39,
3,4,3,16,88570.8,20,8,12,780.934,21794.5,
1,2,1,17,85778.1,15,4,11,6439.9,4546.72,
3,4,3,18,130907,26,11,15,19411.8,25387.7,
2,3,2,18,76879.5,55,47,8,10565.5,11108.3,
7,8,7,19,296285,59,28,31,14416.6,5060.83,
7,8,7,19,170870,1449,1429,20,7287.15,1755.28,
2,3,2,19,131512,17,3,14,31236,5565.93,
0,1,0,19,11399.8,1,0,1,28376.4,19989,
2,3,2,19,97731.2,31,19,12,30048,19543.9,
4,5,4,19,137197,684,670,14,11654.9,14727.4,
0,1,0,19,45188.4,4,0,4,3498.89,19083.5,
3,4,3,19,144968,24,7,17,21834.8,5387.84,
1,2,1,19,95893.2,15,6,9,14159,7600.23,
2,3,2,19,235805,1817,1792,25,25444.5,4509.85,
5,6,5,19,254812,837,809,28,3238.49,20289.4,
0,1,0,19,24469.7,3,0,3,7539.81,9455.57,
0,1,0,19,83842.9,9,0,9,2405.11,4649.5,
1,2,1,20,35042.4,1577,1573,4,9803.95,23407.3,
1,2,1,20,34511,10,5,5,8374.18,13691.1,
2,3,2,20,56687.8,13,6,7,25659.8,3837.52,
3,4,3,20,194103,1600,1577,23,3736.6,8485.28,
1,2,1,20,35711.4,6,2,4,8455.05,28956.6,
1,2,1,20,65419.4,199,193,6,12559.9,8332.21,
1,2,1,21,48677.5,7,1,6,2899.82,17051.3,
7,8,7,21,418595,1612,1566,46,4631.53,21484.5,
3,4,3,21,71593.1,2170,2162,8,3958.66,14504.8,
1,2,1,21,46145.2,3311,3306,5,15097.8,24759.5,
4,5,4,22,232596,45,15,30,28138.3,25699,
6,7,6,22,276785,1000,968,32,8583.29,16402.5,
3,4,3,22,161850,1896,1877,19,925.868,31270.1,
0,1,0,22,20500.8,2,0,2,23496.3,22237.3,
1,2,1,23,70789.6,13,5,8,18571.3,27331.1,
7,8,7,23,277845,1094,1061,33,5974.53,3028.28,
5,6,5,23,149760,1763,1746,17,3574.34,23543.9,
5,6,5,23,149048,1733,1718,15,15043.7,25616.3,
0,1,0,24,30778.2,3,0,3,4651.23,29121.8,
0,1,0,24,9089.68,2,0,2,11172.6,19465.1,
1,2,1,24,112132,13,1,12,11784.5,11708.9,
1,2,1,24,154898,21,2,19,4704.6,10392.7,
1,2,1,24,51162.7,10,5,5,16675,10349,
3,4,3,24,170689,1040,1021,19,25855.6,14873.2,
1,2,1,24,106564,22,10,12,4601.67,25342.3,
0,1,0,25,30605.1,3,0,3,19204.1,6312.05,
4,5,4,25,122986,3233,3215,18,4798.36,25284.5,
4,5,4,25,154145,35,16,19,9902.38,6005.05,
2,3,2,26,48506.9,1273,1267,6,7429.3,18363.5,
0,1,0,26,68501.1,7,0,7,4890.71,25347.8,
3,4,3,26,131102,3548,3531,17,22592.9,3370.69,
1,2,1,26,24606.9,7,3,4,6930.12,11863.3,
1,2,1,26,26588.8,430,426,4,20735.3,24922.5,
2,3,2,26,80662.4,11,2,9,6609.63,28258,
0,1,0,27,7231.4,1,0,1,7698.57,23838.2,
0,1,0,27,78218.3,8,0,8,9640.75,28944.7,
0,1,0,27,57749.7,6,0,6,18006.9,3387.73,
8,9,8,27,258415,2635,2607,28,29596.7,18224.4,
0,1,0,27,50971.2,6,0,6,27024,23876,
4,5,4,27,179323,2036,2017,19,1135.53,2695.92,
4,5,4,27,125229,27,13,14,24430.7,26497,
0,1,0,27,30848.9,3,0,3,24552.4,21157.5,
3,4,3,28,157278,25,7,18,9978.52,23591.7,
6,7,6,28,174176,2786,2765,21,14254.3,22505.9,
3,4,3,28,120285,1449,1436,13,20698.2,27014.3,
2,3,2,28,77963,21,13,8,16817.9,786.279,
6,7,6,28,190870,4698,4672,26,12801.1,6211.31,
4,5,4,28,164352,2744,2725,19,22597.9,10058.2,
2,3,2,29,79447.4,20,9,11,19897.8,10961.5,
0,1,0,29,143001,15,0,15,15831.3,30518,
0,1,0,29,15142.8,2,0,2,6970.58,11782.9,
0,1,0,30,8851.49,1,0,1,31516.2,24272.2,
0,1,0,30,20018.2,2,0,2,23416.9,17010.6,
7,8,7,31,312477,2316,2281,35,24237.8,19643,
0,1,0,31,13706.8,2,0,2,9099.8,22733.1,
4,5,4,31,248511,3132,3102,30,25561,29218.2,
4,5,4,31,146584,1120,1101,19,20223.9,28531.3,
1,2,1,31,33303.3,1941,1937,4,29829.7,29941.2,
4,5,4,31,242251,948,920,28,3051.12,31111.7,
3,4,3,32,202173,32,9,23,29531.9,13689.6,
2,3,2,32,98491.3,783,772,11,7951.55,13439.9,
0,1,0,32,19298.6,2,0,2,28990.9,8817.44,
1,2,1,33,97850.8,12,1,11,19820.3,6862.86,
1,2,1,33,26179.3,5,1,4,29824.6,4676.57,
3,4,3,33,171990,2267,2250,17,9622.83,24763.5,
2,3,2,33,120385,202,188,14,6899.21,18780.1,
1,2,1,34,40479.2,2328,2323,5,29574.9,17893.5,
1,2,1,34,168961,18,2,16,27603.3,7842.02,
1,2,1,34,165419,21,2,19,6383.57,31342.1,
2,3,2,34,50533.8,1544,1537,7,22126.1,8471.36,
1,2,1,34,132627,1970,1955,15,16981.2,27591.4,
1,2,1,35,58802.2,8,2,6,12266,19426.6,
1,2,1,35,42424.4,10,5,5,15387.4,13644.8,
2,3,2,35,72141.6,990,982,8,14591.6,2487.44,
4,5,4,35,308077,333,296,37,8395.2,5888.75,
1,2,1,36,85644.6,1464,1454,10,16801,8365.17,
0,1,0,37,66240.5,8,0,8,30557.3,11032.3,
0,1,0,37,10979.4,1,0,1,20125.1,30954.6,
1,2,1,37,63761.3,10,2,8,23408.4,24698.9,
2,3,2,37,77216.1,212,204,8,13272.5,24583.6,
3,4,3,37,73484,436,428,8,21935.7,21662.5,
3,4,3,37,194306,630,606,24,15096.9,29208.8,
3,4,3,37,147964,725,708,17,4741.9,30622.7,
2,3,2,37,37217.7,9,5,4,31056.4,12098.5,
3,4,3,37,44193.5,1108,1102,6,4459.99,9750.28,
1,2,1,38,118827,1202,1189,13,28047.7,20654.3,
0,1,0,38,12980.8,1,0,1,14753.1,4177.57,
3,4,3,39,200122,3225,3202,23,25589.5,31854.8,
0,1,0,39,80812.9,8,0,8,16722.8,1972.78,
4,5,4,39,168879,1100,1080,20,25101.1,12024.5,
3,4,3,39,135546,19,4,15,23716.1,29365.7,
1,2,1,39,115068,13,1,12,18055.2,19260.8,
1,2,1,40,29026.1,5,2,3,13395.7,25802.7,
2,3,2,40,45709.7,3501,3496,5,7573.92,26100.3,
5,6,5,40,106923,1704,1692,12,23364.9,23068.1,
1,2,1,41,118953,265,251,14,29127,25396.3,
3,4,3,41,74652.3,452,444,8,7152.31,25657.1,
0,1,0,41,19918.2,2,0,2,14399.2,5196.14,
1,2,1,42,59245.4,2540,2533,7,19492,7700.18,
2,3,2,42,93674,14,3,11,27518.9,24349,
5,6,5,43,174681,2787,2765,22,12500.2,21782.5,
0,1,0,43,36083.9,5,0,5,27685.2,14435.4,
4,5,4,43,136892,691,673,18,6956.34,27665.6,
0,1,0,44,17190.9,2,0,2,9956.77,20607.8,
7,8,7,44,280605,1810,1778,32,32191.2,10114.3,
0,1,0,44,9878.3,1,0,1,11570.7,11854,
1,2,1,44,33721.9,10,6,4,15321,22823.3,
0,1,0,45,15213.2,2,0,2,23790.9,2779.15,
6,7,6,45,232657,1666,1636,30,4522.19,29766.9,
3,4,3,45,86553.3,18,8,10,20918.2,4768.71,
1,2,1,45,70408.9,1205,1197,8,22777.3,27848.1,
0,1,0,45,10506.4,1,0,1,7842.26,25571.6,
3,4,3,45,184295,1053,1032,21,24986.3,6245.51,
3,4,3,45,253931,32,5,27,10604.4,3833.22,
0,1,0,45,13646.4,2,0,2,21716,15275.7,
2,3,2,46,77415.5,2947,2939,8,18140.4,28193.3,
1,2,1,46,36388,10,5,5,2538.97,12387.8,
3,4,3,46,110548,3383,3371,12,19512.2,788.676,
2,3,2,46,120562,17,4,13,11094.5,10220.9,
0,1,0,46,19100.3,2,0,2,10397.6,12203.8,
1,2,1,47,41741.8,929,924,5,25133.2,28888.8,
0,1,0,47,7931.28,1,0,1,8050.63,12506.4,
1,2,1,47,76973.4,8,1,7,8673.76,16361.8,
0,1,0,48,58750.3,8,0,8,31288.1,7339.25,
5,6,5,48,116638,2397,2383,14,21226,15879.3,
2,3,2,48,281791,35,4,31,29675.7,6135.24,
0,1,0,48,43582.5,5,0,5,8743.89,7188.91,
4,5,4,48,62381,1099,1091,8,31343,21082.3,
0,1,0,48,68793.5,9,0,9,19194.9,10408.3,
1,2,1,48,126694,1195,1181,14,12039.8,23805.6,
3,4,3,49,117797,1030,1018,12,21704.9,12968.4,
4,5,4,49,123620,3973,3959,14,28142.9,16558.6,
1,2,1,49,42496.4,9,4,5,2374.66,15822.3,
1,2,1,49,46461.6,113,107,6,12433.2,14889.8,
0,1,0,49,68029.1,9,0,9,10785.8,23554.4,
2,3,2,49,70191.9,14,6,8,13239.3,23322.7,
5,6,5,49,336356,367,332,35,10359.4,29284.2,
8,9,8,49,469442,3591,3543,48,17986.4,20413.5,
7,8,7,50,184857,1684,1662,22,8810.83,4269.62,
2,3,2,50,138246,16,2,14,7440.58,24431.9,
4,5,4,50,337589,696,656,40,771.912,3795.62,
2,3,2,50,200886,27,4,23,31967.2,5042.11,
8,9,8,50,232900,621,596,25,24959,12157.6,
7,8,7,50,132738,1318,1305,13,16593.8,14819.5,
0,1,0,50,9385.72,1,0,1,4146.79,20486.1,
1,2,1,50,18799.8,5,3,2,29554.1,19138.6,
9,10,9,51,285250,183,150,33,30660.4,4295.84,
3,4,3,51,123173,1667,1653,14,7476.5,11608.6,
2,3,2,51,106121,1816,1806,10,9863.44,28693.2,
0,1,0,52,9755.34,1,0,1,11025.9,22887.8,
3,4,3,52,94582,18,7,11,4955.57,12265.3,
1,2,1,52,84218.9,75,65,10,1659.29,23934.5,
5,6,5,52,145955,34,18,16,10026.5,15281.7,
1,2,1,53,115441,308,297,11,11203,1663.97,
8,9,8,53,516051,2024,1969,55,22466.9,20552.9,
1,2,1,53,52831.3,10,2,8,2635.68,15881.8,
0,1,0,53,8880.71,1,0,1,24394.8,17700.5,
2,3,2,53,71245.3,4011,4005,6,22318.8,16140.5,
0,1,0,54,64589.4,7,0,7,30611.7,25891.8,
1,2,1,54,79404.3,10,2,8,16438.1,28719.9,
2,3,2,54,138899,1395,1380,15,8999.97,15829.7,
2,3,2,54,115803,949,936,13,21406.3,4551.17,
2,3,2,54,82611.5,13,2,11,992.97,5124.02,
2,3,2,54,143854,4787,4772,15,26274.3,13960.9,
1,2,1,55,22251.6,4,2,2,27374.4,31649.3,
4,5,4,55,254504,46,16,30,20806.3,13149.2,
2,3,2,55,133538,21,6,15,2085.52,32282.2,
3,4,3,55,163983,21,6,15,2707.91,27790.2,
2,3,2,55,97109.3,23,12,11,9740.51,3392.86,
1,2,1,56,51928.3,8,2,6,25951.7,14396.8,
1,2,1,56,14814,3,1,2,5019.01,22933.6,
9,10,9,56,280401,2429,2396,33,22726.1,27057,
3,4,3,56,257963,4506,4472,34,25879.1,29657,
5,6,5,56,132197,4532,4516,16,17098.8,10788.1,
2,3,2,56,122037,25,11,14,24949.3,32334.1,
4,5,4,56,153708,1356,1336,20,28806.3,16565.9,
2,3,2,56,74715.5,3119,3111,8,16788.4,27068.6,
3,4,3,56,90941.5,15,5,10,10847.7,6701.44,
2,3,2,56,100896,1568,1557,11,7315.44,26766.5,
8,9,8,57,227455,526,497,29,21983.3,16388.3,
1,2,1,57,39086.3,6,2,4,26403.3,7482.32,
2,3,2,57,48520.4,1072,1065,7,23680.6,31222.3,
0,1,0,57,18926.2,2,0,2,28953.2,17947,
2,3,2,58,99982.1,25,14,11,26537.4,3186.77,
1,2,1,58,48704.6,7,1,6,11222.1,9156.71,
3,4,3,58,263630,113,82,31,20132.8,11166.9,
9,10,9,58,268502,2230,2200,30,11824.2,7809.31,
1,2,1,58,29821.6,4,1,3,25523.8,14043.7,
0,1,0,58,17234.9,2,0,2,10461.9,5048.43,
0,1,0,59,7553.2,1,0,1,16104.2,21787.3,
0,1,0,59,75240.3,8,0,8,14753.8,13230.1,
4,5,4,59,137341,4235,4219,16,28222.6,28798.3,
6,7,6,59,263519,3949,3918,31,9560.37,7304.17,
0,1,0,59,45958.1,5,0,5,16518,16415.7,
3,4,3,59,94982.1,19,6,13,13610.1,12019.8,
0,1,0,60,42288.6,5,0,5,12614.5,29015.2,
1,2,1,60,33754.8,2487,2483,4,9677.28,2618.58,
3,4,3,60,153706,3120,3102,18,18130.8,6467.13,
1,2,1,60,35936.3,31,26,5,12237.1,7507.3,
3,4,3,60,153047,24,4,20,8592.9,30355.9,
1,2,1,60,120528,1125,1109,16,30796.5,16377.5,
2,3,2,61,76433.4,539,532,7,11929.3,14281.3,
1,2,1,61,53629.1,8,2,6,7706.81,7365.37,
3,4,3,61,114969,24,10,14,21072,26384,
0,1,0,62,14711,2,0,2,1584.84,20275.7,
0,1,0,62,33429.2,3,0,3,2356.37,1862.71,
0,1,0,62,21901.1,2,0,2,21672.6,23976.5,
5,6,5,62,234356,1578,1552,26,14272.5,17772.9,
5,6,5,62,394218,3740,3698,42,8055.07,28123.2,
0,1,0,62,11277.3,1,0,1,16267.1,5258.96,
2,3,2,63,27784.7,7,4,3,26883.7,19235.2,
4,5,4,63,120533,2481,2467,14,5014.15,13146.5,
1,2,1,64,41364.7,3835,3829,6,14793,10529.1,
1,2,1,64,80582.4,445,435,10,30290.6,19503,
0,1,0,64,92447.2,10,0,10,21698.8,23569.4,
0,1,0,64,9078.97,1,0,1,20526,19308.2,
3,4,3,64,104645,26,13,13,29180.7,12835.3,
2,3,2,64,46164.6,15,9,6,13604.9,4004.4,
1,2,1,64,43620,8,2,6,19559.5,19031.3,
0,1,0,65,9279.97,1,0,1,14191,1417.97,
0,1,0,65,60193.9,7,0,7,12329.4,10161.2,
0,1,0,65,34007.9,4,0,4,7253.44,12564.6,
1,2,1,66,73160.4,12,3,9,10774.6,23032.6,
4,5,4,66,136275,688,672,16,12841.7,24383.5,
0,1,0,66,26369.9,3,0,3,28430.8,2222.56,
1,2,1,66,35160.7,6,2,4,25950.5,4132.96,
0,1,0,66,10360.2,1,0,1,16811.1,13790.9,
1,2,1,67,136071,1641,1625,16,1425,23106.7,
5,6,5,67,337357,2136,2092,44,27167.3,13113.1,
5,6,5,67,191326,3197,3174,23,10823.3,13418.8,
2,3,2,68,87310.5,2153,2142,11,30721.6,26354.4,
4,5,4,68,110600,1348,1335,13,14748,11463.2,
2,3,2,68,45127.2,16,10,6,8734.81,28625,
0,1,0,68,22678.2,2,0,2,6930.95,19131,
5,6,5,68,133176,258,240,18,9685.72,13276.8,
1,2,1,69,89633.9,1318,1307,11,12179,27262.2,
0,1,0,69,17255.9,2,0,2,5617.03,28498.1,
2,3,2,69,82996.3,11,2,9,27145.7,9808.34,
0,1,0,70,96103.7,12,0,12,11315.1,11624.8,
0,1,0,70,83583.8,10,0,10,25994,3686.96,
6,7,6,71,292527,1500,1467,33,5802.92,14320.9,
0,1,0,71,40382.2,4,0,4,17105.5,23412.3,
5,6,5,71,253957,46,18,28,23208.1,14274.3,
4,5,4,72,186917,4484,4460,24,28980.7,17511.6,
0,1,0,72,19342.2,2,0,2,18773.5,2969.43,
