# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
7,8,7,1,253670,3230,3199,31,7539.95,26014.4,
0,1,0,1,50232.5,6,0,6,8135.75,9689.09,
0,1,0,1,15873.5,2,0,2,12217.8,6985.31,
6,7,6,1,247029,1475,1446,29,29111.4,4194.53,
8,9,8,1,187423,2059,2040,19,24492.6,12333.7,
0,1,0,2,62784.9,7,0,7,19886.4,20371.1,
0,1,0,2,18323.7,2,0,2,5776.76,4246.06,
1,2,1,2,39486.7,742,737,5,25161.8,31134,
4,5,4,2,138468,101,84,17,5492.07,26418.5,
2,3,2,2,44240.8,4775,4771,4,11712.4,2719.75,
1,2,1,2,46295.5,14,9,5,20904.4,31873.1,
3,4,3,2,104123,3126,3114,12,16536.6,28209.5,
6,7,6,3,133348,1373,1357,16,16644,14933.9,
6,7,6,3,110718,2238,2224,14,21756.3,20793.8,
3,4,3,3,75279.7,4050,4043,7,25720.9,21381.1,
12,13,12,3,527645,231,168,63,15554.4,22108.8,
1,2,1,3,14906.1,18,16,2,18760.7,32245.2,
12,13,12,4,470832,4566,4512,54,3762.54,8928.82,
6,7,6,4,286872,3034,2999,35,3763.14,22133,
1,2,1,4,21860.4,628,625,3,4034.49,15360.9,
11,12,11,4,291821,4194,4156,38,12987.3,17146.2,
1,2,1,4,18554.8,55,52,3,26881.5,7041.81,
0,1,0,5,35352.5,4,0,4,21513,8452.39,
3,4,3,5,91681,4034,4022,12,14155.6,28802.8,
1,2,1,5,24640.6,10,7,3,12857.2,24238.1,
1,2,1,5,17382,1168,1166,2,20891.8,5694.52,
0,1,0,5,42116.8,5,0,5,29384.2,21258.7,
3,4,3,6,99998.3,4223,4212,11,30629.2,17439,
0,1,0,6,4924.52,1,0,1,4681.14,12936.2,
5,6,5,6,174240,4041,4021,20,25131.3,12046.8,
3,4,3,6,112286,4125,4111,14,7242.86,21456.4,
6,7,6,7,259358,154,120,34,2222.39,8037.15,
10,11,10,7,319141,2746,2706,40,11989.4,8193.49,
13,14,13,7,394074,4182,4137,45,18324.1,29421,
6,7,6,7,117285,2375,2359,16,17985.7,15107.4,
5,6,5,8,234140,588,562,26,24128.1,22939.6,
1,2,1,8,43209.9,776,770,6,818.394,31592.4,
1,2,1,8,59620.5,458,451,7,15708.8,28665.4,
9,10,9,8,223480,307,282,25,22463.5,16739.6,
7,8,7,8,165870,4279,4260,19,22388.5,15199.4,
6,7,6,9,271750,4436,4404,32,20772.2,30102.3,
6,7,6,9,213476,4202,4178,24,16786.2,7327.76,
4,5,4,9,114292,4527,4514,13,27986.8,15662.8,
4,5,4,9,105725,4388,4377,11,17991.4,16941,
0,1,0,9,100346,12,0,12,21788.2,19598.2,
1,2,1,10,193830,25,1,24,1149.79,30105.9,
11,12,11,10,271191,3555,3525,30,17319.8,9077.71,
7,8,7,10,181187,4635,4614,21,7022.13,3641.41,
3,4,3,10,137879,70,49,21,8747.95,25569.8,
2,3,2,10,72491.5,1399,1390,9,22473.8,17821.5,
3,4,3,10,119609,76,60,16,13304.6,32218.4,
10,11,10,10,325974,4150,4113,37,22816.2,20796.1,
4,5,4,10,146484,3499,3482,17,28861.6,24299.8,
4,5,4,10,128314,4256,4237,19,25857.5,18118.1,
3,4,3,11,178682,3382,3362,20,30836.1,9318.92,
12,13,12,11,382205,719,676,43,29126.6,29828.6,
17,18,17,11,575952,4637,4568,69,8208.48,13769.9,
2,3,2,11,42614.1,30,24,6,28632.6,13235.5,
2,3,2,12,34470.4,4507,4503,4,19872.8,20755.4,
5,6,5,13,212702,3741,3718,23,7510.93,5915.99,
2,3,2,13,212036,320,296,24,28841.6,2479.73,
4,5,4,14,63685,2023,2014,9,14605.9,25688.9,
3,4,3,14,387725,454,410,44,3250.24,30763.8,
2,3,2,14,131794,3794,3779,15,8075.01,24171,
1,2,1,15,31857.7,4,1,3,11336.4,22864.9,
4,5,4,15,97399.4,4064,4052,12,11754.6,6941.18,
3,4,3,15,106902,2057,2045,12,5980.79,18005.3,
2,3,2,15,21341.3,3160,3157,3,10572.7,24219.2,
6,7,6,16,229125,3038,3013,25,16617.9,9080.37,
6,7,6,16,191303,4468,4445,23,17479.8,11308,
1,2,1,16,83097.6,2505,2495,10,15727.6,15595.7,
7,8,7,17,195230,4559,4534,25,14913.3,7782.53,
6,7,6,17,142905,4116,4099,17,19881.7,29358.9,
6,7,6,17,193396,2042,2017,25,14689.9,26893.6,
1,2,1,17,28641.9,13,10,3,21350.4,31985.6,
12,13,12,18,380930,2692,2647,45,11600.9,1507.68,
3,4,3,18,134948,53,37,16,3609.47,9165.62,
1,2,1,18,93432.9,37,26,11,16946.4,5546.16,
3,4,3,18,107795,36,23,13,9162.56,7936.74,
10,11,10,18,267359,4527,4496,31,18852.4,26345.2,
1,2,1,19,91357.4,27,17,10,17822.4,4985.83,
15,16,15,19,334509,4857,4819,38,19921.7,15362.5,
8,9,8,19,158479,4000,3981,19,23666.3,30977.1,
6,7,6,19,179708,3699,3678,21,25137.8,24837.2,
1,2,1,19,32526.2,8,4,4,7647.7,3194.73,
3,4,3,19,77288.7,4129,4119,10,20969,23999.9,
2,3,2,19,106955,27,15,12,26232.7,5080.02,
2,3,2,19,89215.9,40,29,11,22201.6,8270.73,
4,5,4,19,143929,4082,4065,17,30978.2,15104,
0,1,0,20,16151.1,2,0,2,9544.1,31846.6,
4,5,4,20,74718.4,201,191,10,3855.78,12688.4,
3,4,3,20,290220,2975,2942,33,839.06,27251.8,
3,4,3,21,82747.4,1990,1979,11,31250.1,12009.5,
3,4,3,21,87603.5,3004,2995,9,3692.6,8720.31,
2,3,2,21,89170.7,3738,3727,11,15855.4,11005.2,
