Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	5000	13084	0.130	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
2	2	1	-1	8245.004618	242.369110	41.343571	0.931087	0.931087	0.000000	0.890965	-1.000000	-1.000000	0.000000
3	2	2	-1	6872.886818	159.042038	113.309280	0.861076	0.861076	0.000000	0.852028	-1.000000	-1.000000	0.000000
5	3	1	-1	7187.449240	242.926620	196.722992	0.868210	0.868210	0.000000	0.872742	-1.000000	-1.000000	0.000000
6	3	2	-1	11511.354356	110.033157	123.755989	0.849639	0.849639	0.000000	0.924857	-1.000000	-1.000000	0.000000
7	3	3	-1	7635.164031	159.030960	113.020706	0.880877	0.880877	0.000000	0.840336	-1.000000	-1.000000	0.000000
8	3	4	-1	9029.842042	242.365280	41.497162	0.872262	0.872262	0.000000	0.916911	-1.000000	-1.000000	0.000000
10	4	1	-1	9125.870952	242.380005	41.718288	0.906406	0.906406	0.000000	0.911210	-1.000000	-1.000000	0.000000
11	4	2	-1	5411.137113	242.972870	196.700699	1.023714	1.023714	0.000000	0.672316	-1.000000	-1.000000	0.000000
12	4	3	-1	10245.196143	96.451775	190.875107	0.860724	0.860724	0.000000	0.921158	-1.000000	-1.000000	0.000000
14	5	1	-1	14143.613852	96.461311	191.054977	1.033425	1.033425	0.000000	0.912891	-1.000000	-1.000000	0.000000
15	5	2	-1	7889.740396	242.370148	41.608627	0.843965	0.843965	0.000000	0.930408	-1.000000	-1.000000	0.000000
16	5	3	-1	2720.904463	102.073761	23.545547	0.568198	0.568198	0.000000	0.735695	-1.000000	-1.000000	0.000000
18	6	1	-1	9763.681414	102.434601	23.607018	0.849237	0.849237	0.000000	0.928762	-1.000000	-1.000000	0.000000
19	6	2	-1	6892.843981	227.729126	244.594009	0.669975	0.669975	0.000000	0.926079	-1.000000	-1.000000	0.000000
20	6	3	-1	8968.530603	242.318558	41.714874	0.878242	0.878242	0.000000	0.869854	-1.000000	-1.000000	0.000000
21	6	4	-1	10441.789351	96.381729	190.963120	0.822326	0.822326	0.000000	0.913696	-1.000000	-1.000000	0.000000
22	6	5	-1	3980.145457	191.187881	187.248810	0.705326	0.705326	0.000000	0.755457	-1.000000	-1.000000	0.000000
24	7	1	-1	6867.018660	96.233192	190.905884	0.798080	0.798080	0.000000	0.871114	-1.000000	-1.000000	0.000000
25	7	2	-1	7255.922868	102.334938	23.633665	0.790989	0.790989	0.000000	0.826218	-1.000000	-1.000000	0.000000
26	7	3	-1	6154.871836	227.772537	244.820251	0.757552	0.757552	0.000000	0.874132	-1.000000	-1.000000	0.000000
27	7	4	-1	4677.562759	110.174454	123.749878	0.842257	0.842257	0.000000	0.749875	-1.000000	-1.000000	0.000000
28	7	5	-1	7502.996416	115.761978	52.969746	0.791668	0.791668	0.000000	0.864073	-1.000000	-1.000000	0.000000
29	7	6	-1	8766.568797	242.442551	41.574245	0.927885	0.927885	0.000000	0.914038	-1.000000	-1.000000	0.000000
31	8	1	-1	9541.315953	242.392059	41.397152	0.953754	0.953754	0.000000	0.905752	-1.000000	-1.000000	0.000000
32	8	2	-1	6812.955549	227.703583	244.595642	0.788337	0.788337	0.000000	0.874365	-1.000000	-1.000000	0.000000
33	8	3	-1	10676.865895	113.521767	67.348892	0.834202	0.834202	0.000000	0.955066	-1.000000	-1.000000	0.000000
34	8	4	-1	10819.689829	115.811127	53.126644	0.859756	0.859756	0.000000	0.917812	-1.000000	-1.000000	0.000000
35	8	5	-1	8703.956772	96.467247	191.086472	0.927142	0.927142	0.000000	0.847747	-1.000000	-1.000000	0.000000
