Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	20144	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	7768.581075	178.019440	4.431460	1.238006	1.238006	0.000000	0.445087	-1.000000	-1.000000	0.000000
2	1	2	-1	9988.593886	239.744797	187.938766	1.698226	1.698226	0.000000	0.288598	-1.000000	-1.000000	0.000000
4	1	4	-1	21051.569032	87.198334	142.720322	2.086156	2.086156	0.000000	0.369621	-1.000000	-1.000000	0.000000
5	1	5	-1	4058.238851	123.069511	41.374916	0.723568	0.723568	0.000000	0.503938	-1.000000	-1.000000	0.000000
6	1	6	-1	6196.922966	218.178024	113.351883	0.937095	0.937095	0.000000	0.562882	-1.000000	-1.000000	0.000000
7	1	7	-1	11190.812786	240.348679	14.495581	1.024016	1.024016	0.000000	0.694749	-1.000000	-1.000000	0.000000
8	1	8	-1	29608.256743	60.563431	176.399307	1.075953	1.075953	0.000000	0.912178	-1.000000	-1.000000	0.000000
9	1	9	-1	8625.950739	188.470581	167.568909	1.305941	1.305941	0.000000	0.459552	-1.000000	-1.000000	0.000000
10	1	10	-1	5144.277588	68.111420	169.630936	1.079238	1.079238	0.000000	0.325678	-1.000000	-1.000000	0.000000
11	1	11	-1	6494.407709	75.602280	124.229027	1.015997	1.015997	0.000000	0.477653	-1.000000	-1.000000	0.000000
12	1	12	-1	24862.465047	189.424973	203.459869	1.030167	1.030167	0.000000	0.905552	-1.000000	-1.000000	0.000000
13	1	13	-1	7314.614196	153.162567	52.203720	0.916245	0.916245	0.000000	0.468769	-1.000000	-1.000000	0.000000
14	1	14	-1	11370.205641	42.055050	58.916855	1.483231	1.483231	0.000000	0.426712	-1.000000	-1.000000	0.000000
15	1	15	-1	16685.537570	50.292538	148.741898	1.010619	1.010619	0.000000	0.862573	-1.000000	-1.000000	0.000000
16	1	16	-1	9927.029114	106.264442	19.506361	1.194223	1.194223	0.000000	0.616343	-1.000000	-1.000000	0.000000
17	1	17	-1	6251.820656	220.464325	122.064728	0.939605	0.939605	0.000000	0.520103	-1.000000	-1.000000	0.000000
19	2	1	-1	4751.384228	86.620110	103.598045	0.828620	0.828620	0.000000	0.513663	-1.000000	-1.000000	0.000000
21	2	3	-1	21560.835544	189.391495	203.316895	0.929683	0.929683	0.000000	0.916196	-1.000000	-1.000000	0.000000
22	2	4	-1	6354.869241	218.570389	134.663147	1.058359	1.058359	0.000000	0.470806	-1.000000	-1.000000	0.000000
23	2	5	-1	8285.128131	222.488983	85.124649	1.098225	1.098225	0.000000	0.581397	-1.000000	-1.000000	0.000000
24	2	6	-1	11033.018689	77.916573	76.175148	1.360772	1.360772	0.000000	0.545025	-1.000000	-1.000000	0.000000
25	2	7	-1	8439.723416	75.511169	124.783737	0.875049	0.875049	0.000000	0.669404	-1.000000	-1.000000	0.000000
26	2	8	-1	12585.267349	80.910873	40.737389	1.445926	1.445926	0.000000	0.594544	-1.000000	-1.000000	0.000000
27	2	9	-1	3913.000918	153.398117	52.687401	0.547986	0.547986	0.000000	0.527580	-1.000000	-1.000000	0.000000
28	2	10	-1	30034.020808	60.522182	176.495407	1.166088	1.166088	0.000000	0.891261	-1.000000	-1.000000	0.000000
29	2	11	-1	6815.899519	217.824295	113.370728	1.153147	1.153147	0.000000	0.433315	-1.000000	-1.000000	0.000000
30	2	12	-1	4128.415602	135.329926	108.407951	0.750131	0.750131	0.000000	0.507956	-1.000000	-1.000000	0.000000
31	2	13	-1	11519.524693	240.116165	14.991786	1.201552	1.201552	0.000000	0.623399	-1.000000	-1.000000	0.000000
32	2	14	-1	15405.563602	50.213589	148.778671	0.944529	0.944529	0.000000	0.908459	-1.000000	-1.000000	0.000000
33	2	15	-1	7471.930400	176.935547	200.184494	0.959467	0.959467	0.000000	0.645177	-1.000000	-1.000000	0.000000
34	2	16	-1	10173.197171	123.294983	40.532379	1.471795	1.471795	0.000000	0.455832	-1.000000	-1.000000	0.000000
36	3	1	-1	8050.063621	217.991196	113.217377	1.165997	1.165997	0.000000	0.545776	-1.000000	-1.000000	0.000000
37	3	2	-1	5411.297403	176.841187	200.120270	0.948498	0.948498	0.000000	0.499038	-1.000000	-1.000000	0.000000
38	3	3	-1	4907.342681	81.099777	40.672527	0.813733	0.813733	0.000000	0.463182	-1.000000	-1.000000	0.000000
39	3	4	-1	8793.874469	195.829803	19.998695	1.259272	1.259272	0.000000	0.414721	-1.000000	-1.000000	0.000000
40	3	5	-1	28586.700065	60.391899	176.340973	1.080316	1.080316	0.000000	0.911385	-1.000000	-1.000000	0.000000
41	3	6	-1	19939.987756	106.060120	19.162838	1.725492	1.725492	0.000000	0.553349	-1.000000	-1.000000	0.000000
42	3	7	-1	6066.303887	12.584698	243.993210	1.104213	1.104213	0.000000	0.372625	-1.000000	-1.000000	0.000000
43	3	8	-1	17254.087207	50.196255	148.769699	1.076401	1.076401	0.000000	0.778220	-1.000000	-1.000000	0.000000
44	3	9	-1	7259.644869	152.788544	52.096313	0.859605	0.859605	0.000000	0.578502	-1.000000	-1.000000	0.000000
46	3	11	-1	11050.578891	240.157135	15.385966	1.088987	1.088987	0.000000	0.724492	-1.000000	-1.000000	0.000000
47	3	12	-1	29888.225597	189.405182	203.370621	1.179029	1.179029	0.000000	0.917388	-1.000000	-1.000000	0.000000
48	3	13	-1	8337.217078	75.468391	124.032242	1.033075	1.033075	0.000000	0.613924	-1.000000	-1.000000	0.000000
50	4	1	-1	29896.498148	60.594601	176.277328	1.110783	1.110783	0.000000	0.898317	-1.000000	-1.000000	0.000000
52	4	3	-1	9692.859142	153.227371	52.219337	1.151888	1.151888	0.000000	0.680613	-1.000000	-1.000000	0.000000
53	4	4	-1	11122.015693	75.307312	124.049538	1.318460	1.318460	0.000000	0.641616	-1.000000	-1.000000	0.000000
54	4	5	-1	31654.212772	189.414780	203.440643	1.126476	1.126476	0.000000	0.932306	-1.000000	-1.000000	0.000000
56	4	7	-1	5732.526077	92.280052	111.629723	1.071287	1.071287	0.000000	0.356716	-1.000000	-1.000000	0.000000
57	4	8	-1	11451.384185	106.615776	18.792654	0.961595	0.961595	0.000000	0.869402	-1.000000	-1.000000	0.000000
58	4	9	-1	23026.621454	176.721481	200.350006	1.987887	1.987887	0.000000	0.513339	-1.000000	-1.000000	0.000000
59	4	10	-1	9782.244054	196.223434	20.179941	1.308429	1.308429	0.000000	0.598022	-1.000000	-1.000000	0.000000
60	4	11	-1	13763.287100	218.808319	134.967834	1.778521	1.778521	0.000000	0.474517	-1.000000	-1.000000	0.000000
61	4	12	-1	15735.684229	50.094242	148.950150	1.103806	1.103806	0.000000	0.760718	-1.000000	-1.000000	0.000000
62	4	13	-1	5824.591856	19.941751	65.093521	0.772494	0.772494	0.000000	0.628933	-1.000000	-1.000000	0.000000
63	4	14	-1	7542.215034	157.466812	126.425995	1.070441	1.070441	0.000000	0.474948	-1.000000	-1.000000	0.000000
64	4	15	-1	10316.556007	240.278061	15.152089	0.992025	0.992025	0.000000	0.686407	-1.000000	-1.000000	0.000000
66	5	1	-1	6971.160588	75.527817	124.370567	0.847904	0.847904	0.000000	0.643608	-1.000000	-1.000000	0.000000
67	5	2	-1	7067.284071	152.829422	52.195019	1.254618	1.254618	0.000000	0.462078	-1.000000	-1.000000	0.000000
68	5	3	-1	13014.548594	106.308571	19.841925	1.914018	1.914018	0.000000	0.254079	-1.000000	-1.000000	0.000000
69	5	4	-1	7358.307385	85.930672	103.567703	0.941284	0.941284	0.000000	0.595644	-1.000000	-1.000000	0.000000
70	5	5	-1	10476.536943	208.287521	47.214729	1.223784	1.223784	0.000000	0.594437	-1.000000	-1.000000	0.000000
