# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
1,2,1,1,17757.2,2895,2893,2,28411.6,742.272,
0,1,0,1,21051.6,1,0,1,38359.2,30070.2,
0,1,0,1,4058.24,1,0,1,13951.7,22835.3,
0,1,0,1,17387.7,2,0,2,19709.2,6552.58,
0,1,0,1,43378.5,3,0,3,34879.7,18130.1,
0,1,0,1,7.7399e+07,4000,0,4000,38542.5,2520.95,
0,1,0,1,7.87059e+07,4000,0,4000,9767.93,28348.7,
0,1,0,1,24456.1,1,0,1,30155.3,26811,
0,1,0,1,14228.8,1,0,1,10897.8,27140.9,
0,1,0,1,216918,13,0,13,12071.6,19881.5,
0,1,0,1,7.93057e+07,4000,0,4000,30388.4,32660.8,
1,2,1,1,163212,254,246,8,24512,8360.69,
0,1,0,1,31323.3,1,0,1,6728.81,9426.7,
0,1,0,1,8.1468e+07,4000,0,4000,8119.68,23930.8,
2,3,2,1,110228,7,2,5,17024.4,3074.01,
0,1,0,1,15486.9,1,0,1,35274.3,19530.4,
4,5,4,2,81028.4,19,14,5,13814.1,16574.9,
763,764,763,2,5.98564e+07,3999,1060,2939,35095.5,21674.1,
0,1,0,2,32161.3,1,0,1,35598.2,13619.9,
0,1,0,2,19133.9,1,0,1,12466.7,12188,
0,1,0,2,38044.9,2,0,2,12960.9,6512.79,
2,3,2,2,69016.4,12,8,4,21665.9,17414.9,
2,3,2,2,315965,18,3,15,28322.3,32026.7,
2,3,2,3,117844,29,23,6,31376.4,3217.21,
0,1,0,3,19901.1,1,0,1,2013.55,39038.9,
0,1,0,4,7310.58,1,0,1,14764.8,17860.8,
0,1,0,4,12934.8,1,0,1,3190.68,10415,
10,11,10,4,609021,53,24,29,25201.7,20193.4,
0,1,0,5,35115.8,2,0,2,33325.5,7546.93,
0,1,0,5,8149.04,1,0,1,16216.7,5940.3,
0,1,0,6,29389.4,1,0,1,14677.4,9320.14,
22,23,22,6,849520,1890,1847,43,35625.8,1201.69,
0,1,0,6,19412.4,1,0,1,2606.12,8322.07,
0,1,0,7,35284.4,1,0,1,32413.9,5862.64,
0,1,0,7,31013.5,1,0,1,19404.1,3237.67,
3,4,3,8,130857,25,19,6,16364.7,14907.9,
0,1,0,9,51672.9,2,0,2,27235.7,27253,
0,1,0,9,14247.2,1,0,1,7558.99,9150.79,
2,3,2,10,658274,39,8,31,22132,6934.02,
0,1,0,10,17263.7,1,0,1,37744.3,10750.6,
0,1,0,11,42794.7,2,0,2,5027.82,3247.37,
0,1,0,13,6742.26,1,0,1,3265.67,19539.8,
0,1,0,21,28515.6,1,0,1,11614,14589.7,
2,3,2,22,221066,12,2,10,5663.11,11127.9,
0,1,0,22,26651.5,1,0,1,10108.4,30673.8,
0,1,0,24,7026.21,1,0,1,22081.9,13404.9,
2,3,2,25,127500,280,274,6,37174.8,4738.99,
0,1,0,25,28889.3,1,0,1,31042.8,15685,
0,1,0,25,20278,1,0,1,30866.7,33747.7,
3,4,3,26,158315,16,8,8,17816.1,38927,
0,1,0,27,5713.96,1,0,1,30954.8,33915.6,
1,2,1,27,52313.7,11,8,3,38755,7285.94,
0,1,0,28,12392.4,1,0,1,20379.3,8299.33,
2,3,2,28,134205,87,81,6,30289.5,3868.15,
0,1,0,30,39887.9,2,0,2,15592.1,12169.1,
1,2,1,30,19586,140,138,2,17239.1,36863,
2,3,2,34,122540,909,903,6,18207.2,26406.7,
0,1,0,43,53239.3,2,0,2,18653.4,1596.88,
0,1,0,53,32195.2,2,0,2,29597.8,11680.5,
8,9,8,60,266576,80,68,12,28744.1,4567,
0,1,0,62,10311.1,1,0,1,36591.9,25462.6,
0,1,0,65,29704.3,1,0,1,29127.6,12578.4,
6,7,6,77,172851,32,24,8,4912.62,28186.1,
0,1,0,85,18311.1,2,0,2,25873.7,21455.3,
0,1,0,87,28162.8,1,0,1,5894.31,32131.5,
0,1,0,93,39271.5,2,0,2,27312.2,15395.4,
1,2,1,93,50213.9,12,10,2,8987.55,33693,
0,1,0,93,16248,2,0,2,705.59,29105.1,
0,1,0,97,56658.3,2,0,2,840.329,30124.6,
0,1,0,107,15134.6,1,0,1,33614.3,14511.1,
16,17,16,107,486116,73,48,25,38181.1,6673.97,
1,2,1,108,49824.4,36,34,2,774.969,573.59,
12,13,12,111,1.06643e+06,382,328,54,17150.4,7606.42,
0,1,0,111,26540,1,0,1,8130.74,16655.3,
0,1,0,120,29500.4,1,0,1,13110.6,20658.9,
0,1,0,122,31469,1,0,1,28921.3,4464.82,
1,2,1,125,30615.3,137,135,2,35154.5,21467.6,
0,1,0,130,5782.97,1,0,1,15464.1,4638.11,
0,1,0,131,33624.6,1,0,1,16592.6,24637,
0,1,0,135,5523.57,1,0,1,38083.5,6594.21,
0,1,0,138,12125.9,1,0,1,34922.3,21532.1,
1,2,1,161,63128.4,34,32,2,35017.1,28403.2,
1,2,1,166,26085.3,44,42,2,22739.7,23094.2,
1,2,1,167,123492,40,34,6,26755.1,6078.9,
0,1,0,197,61381.7,2,0,2,18892.3,29773.2,
0,1,0,201,29036.7,2,0,2,28633.3,7839.61,
1,2,1,217,32479.3,25,23,2,1829.37,11653.2,
0,1,0,220,13765,1,0,1,8550.42,15693,
0,1,0,222,35007.8,1,0,1,9051.56,20976.4,
0,1,0,238,18461.8,1,0,1,15420,23806.9,
0,1,0,256,27464.4,1,0,1,10945.3,14545.3,
0,1,0,278,23655.6,1,0,1,31956,20321.7,
4,5,4,310,256330,280,268,12,15123.3,21690.1,
0,1,0,330,17825.7,1,0,1,12873.1,28417.4,
7,8,7,332,1.1381e+06,429,373,56,33955,8846.71,
0,1,0,365,25977.6,2,0,2,5217.81,37947.1,
