# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,16207,1,0,1,22688,1109.82,
0,1,0,1,802960,49,0,49,28322.3,3436.22,
1,2,1,1,8.18221e+07,4000,1,3999,19985.6,17841.3,
0,1,0,1,106773,5,0,5,29306.3,19312.4,
0,1,0,1,20395.6,1,0,1,9811.98,36034.3,
1,2,1,1,59939.7,1606,1604,2,16113.8,12233.6,
2,3,2,1,64699.7,545,541,4,39539.9,12208.8,
1,2,1,1,508481,3407,3383,24,38862.3,11002.8,
0,1,0,1,32517,1,0,1,15578.4,2582.85,
0,1,0,1,8.3347e+07,4000,0,4000,13737.7,39114.8,
2,3,2,1,480972,3660,3632,28,15698.2,7666.19,
0,1,0,1,41755.5,2,0,2,8233.49,7217.36,
0,1,0,1,7579.95,1,0,1,29429.1,16119.2,
0,1,0,1,8.2758e+07,4000,0,4000,3298.89,19377.5,
1,2,1,1,31952.1,2340,2337,3,27367.8,2140.99,
13,14,13,1,369146,1253,1236,17,5334.98,37882.9,
0,1,0,1,8.37258e+07,4000,0,4000,30253.1,10550.7,
0,1,0,1,132583,6,0,6,12080.6,27657.6,
1,2,1,1,36955.8,5,3,2,12950.5,37864.8,
3,4,3,1,224040,3333,3321,12,8212.59,9197.95,
0,1,0,1,25976.1,2,0,2,14434.7,746.227,
1,2,1,1,15882.9,640,638,2,35550.1,24654.7,
8,9,8,1,304987,64,51,13,17591.6,26592.8,
0,1,0,1,8.2906e+07,4000,0,4000,27111.7,15013.4,
2,3,2,1,28916.6,1601,1598,3,20095.2,7355.27,
0,1,0,1,8.45574e+07,4000,0,4000,37122.4,7040.99,
0,1,0,1,65894.7,2,0,2,2498.68,1025.41,
0,1,0,1,8.33215e+07,4000,0,4000,38871.2,17390.8,
836,837,836,1,5.5265e+07,4000,1329,2671,26018.3,17981,
1,2,1,1,27225.3,17,15,2,23023.8,24758.6,
2,3,2,2,87567.4,208,204,4,21673.4,32227.6,
1,2,1,2,65661.1,1505,1502,3,15680,1672.91,
0,1,0,2,9745.53,1,0,1,32740.5,29971.3,
1,2,1,2,65554.2,2169,2167,2,27442.3,15676.9,
0,1,0,3,20847.6,1,0,1,35215.1,16187.5,
0,1,0,3,5298.06,1,0,1,8011.24,13483.9,
4,5,4,4,145942,39,31,8,30287,22919.5,
