Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	20888	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	23872.434683	147.672668	131.262680	1.526659	1.526659	0.000000	0.778097	-1.000000	-1.000000	0.000000
2	1	2	-1	7585.828712	72.320541	88.068901	1.098104	1.098104	0.000000	0.461390	-1.000000	-1.000000	0.000000
3	1	3	-1	14582.075444	159.161880	146.821838	1.128569	1.128569	0.000000	0.776498	-1.000000	-1.000000	0.000000
4	1	4	-1	8102.082529	59.579243	138.808563	1.219066	1.219066	0.000000	0.502417	-1.000000	-1.000000	0.000000
5	1	5	-1	6295.317634	185.838638	117.018539	1.182725	1.182725	0.000000	0.418853	-1.000000	-1.000000	0.000000
6	1	6	-1	7809.338122	33.575119	27.500887	1.100025	1.100025	0.000000	0.443083	-1.000000	-1.000000	0.000000
7	1	7	-1	9665.668242	105.222580	80.446953	0.882003	0.882003	0.000000	0.714847	-1.000000	-1.000000	0.000000
8	1	8	-1	11669.583372	62.879574	92.468353	1.335762	1.335762	0.000000	0.576842	-1.000000	-1.000000	0.000000
9	1	9	-1	36468.360979	142.439743	101.093918	1.124506	1.124506	0.000000	0.926147	-1.000000	-1.000000	0.000000
11	1	11	-1	20230.777266	18.160936	54.780655	1.115339	1.115339	0.000000	0.899395	-1.000000	-1.000000	0.000000
12	1	12	-1	7406.712835	245.012115	179.238281	0.888252	0.888252	0.000000	0.674008	-1.000000	-1.000000	0.000000
13	1	13	-1	4897.266089	46.845009	188.509842	0.887372	0.887372	0.000000	0.480619	-1.000000	-1.000000	0.000000
15	2	1	-1	37147.302812	142.348160	101.181519	1.031156	1.031156	0.000000	0.922740	-1.000000	-1.000000	0.000000
16	2	2	-1	10961.295505	244.907700	178.987076	1.159670	1.159670	0.000000	0.653472	-1.000000	-1.000000	0.000000
17	2	3	-1	10096.220865	119.814308	196.826859	1.211573	1.211573	0.000000	0.618928	-1.000000	-1.000000	0.000000
18	2	4	-1	8627.975062	62.852264	92.259109	1.147502	1.147502	0.000000	0.539785	-1.000000	-1.000000	0.000000
19	2	5	-1	19635.589061	18.080158	54.915836	1.047275	1.047275	0.000000	0.880227	-1.000000	-1.000000	0.000000
20	2	6	-1	18244.762598	46.721752	188.553528	1.366923	1.366923	0.000000	0.769561	-1.000000	-1.000000	0.000000
21	2	7	-1	16880.393954	159.072433	147.068848	1.085199	1.085199	0.000000	0.833041	-1.000000	-1.000000	0.000000
22	2	8	-1	8766.960233	34.410892	27.934612	1.215839	1.215839	0.000000	0.555730	-1.000000	-1.000000	0.000000
23	2	9	-1	4536.497615	59.805229	138.895691	0.863000	0.863000	0.000000	0.453951	-1.000000	-1.000000	0.000000
26	3	1	-1	29704.157033	142.274490	101.158768	1.119250	1.119250	0.000000	0.900794	-1.000000	-1.000000	0.000000
27	3	2	-1	10202.723008	160.322128	37.652958	1.276496	1.276496	0.000000	0.447862	-1.000000	-1.000000	0.000000
28	3	3	-1	14896.016568	159.124146	147.070816	1.126954	1.126954	0.000000	0.821702	-1.000000	-1.000000	0.000000
29	3	4	-1	7996.173505	62.912460	92.514259	1.093263	1.093263	0.000000	0.607932	-1.000000	-1.000000	0.000000
30	3	5	-1	3238.349472	245.127411	179.174179	0.825987	0.825987	0.000000	0.293279	-1.000000	-1.000000	0.000000
31	3	6	-1	7084.508682	46.677303	188.730057	1.117164	1.117164	0.000000	0.592462	-1.000000	-1.000000	0.000000
32	3	7	-1	6198.808564	241.116455	90.831169	1.188422	1.188422	0.000000	0.432174	-1.000000	-1.000000	0.000000
33	3	8	-1	19418.744494	18.206335	54.767204	1.173503	1.173503	0.000000	0.822580	-1.000000	-1.000000	0.000000
34	3	9	-1	14877.937014	68.593979	122.489349	1.010461	1.010461	0.000000	0.818790	-1.000000	-1.000000	0.000000
36	3	11	-1	5329.878283	9.150575	250.930984	1.056142	1.056142	0.000000	0.347802	-1.000000	-1.000000	0.000000
38	4	1	-1	9515.750453	245.170837	178.908188	1.501923	1.501923	0.000000	0.332607	-1.000000	-1.000000	0.000000
39	4	2	-1	18698.524329	142.422394	100.974258	0.964928	0.964928	0.000000	0.906924	-1.000000	-1.000000	0.000000
41	4	4	-1	13912.455675	122.802834	24.201794	1.242996	1.242996	0.000000	0.747510	-1.000000	-1.000000	0.000000
42	4	5	-1	9089.520177	47.232185	188.748642	1.370934	1.370934	0.000000	0.545003	-1.000000	-1.000000	0.000000
43	4	6	-1	6631.529861	69.544823	23.755060	1.099426	1.099426	0.000000	0.524245	-1.000000	-1.000000	0.000000
44	4	7	-1	8813.304381	59.923351	48.246292	1.406796	1.406796	0.000000	0.495168	-1.000000	-1.000000	0.000000
45	4	8	-1	9584.308195	185.123383	117.242027	1.406088	1.406088	0.000000	0.568514	-1.000000	-1.000000	0.000000
46	4	9	-1	10502.045898	159.245087	147.097244	1.065598	1.065598	0.000000	0.697229	-1.000000	-1.000000	0.000000
48	4	11	-1	16710.937755	18.322334	55.026505	1.090800	1.090800	0.000000	0.783229	-1.000000	-1.000000	0.000000
49	4	12	-1	11785.901651	208.925171	166.378113	1.146381	1.146381	0.000000	0.792304	-1.000000	-1.000000	0.000000
