# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,23872.4,1,0,1,23627.6,21002,
0,1,0,1,7585.83,1,0,1,11571.3,14091,
0,1,0,1,4.8308e+07,4000,0,4000,25520.5,23645.5,
489,490,489,1,3.97954e+07,4000,593,3407,9552.73,22346.8,
6,7,6,1,302528,40,16,24,29641.5,18743.4,
4,5,4,1,108805,26,18,8,5400.58,4400.94,
0,1,0,1,10804.7,1,0,1,16835.6,12871.5,
177,178,177,1,4.58128e+07,4000,186,3814,10181.6,14906.5,
2,3,2,1,486765,1269,1232,37,22784.6,16166,
0,1,0,1,4.79019e+07,4000,0,4000,2949.28,8912.9,
15,16,15,1,559909,91,42,49,39211.6,28653.9,
24,25,24,1,923143,203,129,74,7500.75,30133.7,
1,2,1,2,43854.7,456,453,3,19210.6,31473.3,
3,4,3,3,31120.9,53,49,4,25674.5,5919.94,
0,1,0,3,28652.5,2,0,2,38600.2,14541.6,
0,1,0,3,9311.31,1,0,1,10975,19598.3,
0,1,0,3,10312,1,0,1,1464.09,40149,
1,2,1,4,28206,2229,2227,2,19689.6,3815.26,
1,2,1,4,21182.3,3954,3952,2,11068.4,3823.46,
0,1,0,4,13390.2,1,0,1,9587.74,7719.41,
0,1,0,4,55016,4,0,4,33397.3,26629.7,
1,2,1,4,29363.6,197,195,2,4019.19,33442.1,
0,1,0,5,6905.7,1,0,1,31775.4,7211.46,
0,1,0,5,7373.63,1,0,1,20043.3,2781.07,
2,3,2,5,32424.4,819,816,3,3858.46,14097.7,
0,1,0,5,6532.38,1,0,1,19685.8,18336.1,
0,1,0,5,55722.5,4,0,4,1415.35,34396.2,
0,1,0,6,7606.56,1,0,1,23280.9,10372.4,
1,2,1,7,31905.9,12,9,3,25684.7,16113.3,
0,1,0,7,20435.4,1,0,1,33527,11894.6,
0,1,0,8,352607,31,0,31,16794.5,20905,
0,1,0,9,11428,1,0,1,24080.2,8573.19,
5,6,5,11,359003,39,7,32,5253.47,23047.7,
0,1,0,11,15367.4,1,0,1,2363.1,10551.5,
0,1,0,12,19951.8,1,0,1,7155.31,40052.8,
0,1,0,13,18934.7,1,0,1,36251.8,32611.8,
0,1,0,13,10170.2,1,0,1,32180.9,12165,
1,2,1,15,21929.2,2298,2296,2,26767.8,14977.5,
144,145,144,16,1.71851e+06,3979,3827,152,31071.7,5331.81,
0,1,0,19,15704.8,2,0,2,35261.9,34085.7,
0,1,0,20,16475.2,1,0,1,16954.3,32686.3,
0,1,0,21,19276.9,1,0,1,19865.1,27771.6,
0,1,0,21,10705.7,1,0,1,4368.99,16182.1,
7,8,7,22,102341,1213,1204,9,29928.5,2980.74,
0,1,0,22,15486.8,1,0,1,24043.1,9354.27,
1,2,1,23,37031,207,204,3,33474.5,27782.8,
1,2,1,24,22033.6,43,41,2,13198.8,2614.75,
0,1,0,24,13000.7,1,0,1,37575.8,8084.72,
0,1,0,24,8997.89,1,0,1,22379.1,10075.3,
1,2,1,25,24744,2339,2337,2,26842,10553.7,
5,6,5,25,108513,51,42,9,13358.1,2593.26,
0,1,0,26,18106.2,1,0,1,36497.9,10540.7,
0,1,0,26,9314.25,1,0,1,5393.13,26522.1,
1,2,1,26,17582.9,1800,1798,2,35928.5,3910.96,
0,1,0,26,16813.5,1,0,1,948.554,13715,
0,1,0,28,12050.2,1,0,1,39144.1,4108.38,
0,1,0,28,32114.4,2,0,2,11772.5,20523.1,
0,1,0,28,7219.49,1,0,1,32921.8,8941.62,
0,1,0,28,12767.5,1,0,1,1216.77,23385.1,
1,2,1,28,20608.9,3,1,2,28866.3,5052.66,
0,1,0,29,17669.6,1,0,1,35373.9,17055.1,
0,1,0,29,11845.1,1,0,1,12383.8,12509.5,
0,1,0,29,13334.3,1,0,1,30654.2,6318.3,
0,1,0,30,9028.85,1,0,1,37536.9,1076.92,
1,2,1,30,32752.6,993,991,2,20646.1,21657.2,
0,1,0,30,17098.1,1,0,1,5713.99,16768.2,
0,1,0,32,7924.05,1,0,1,38070.4,24224.1,
2,3,2,33,55017,12,7,5,5148.86,4251.85,
0,1,0,33,25027.3,2,0,2,24908.6,3273.59,
0,1,0,33,19427.5,1,0,1,13781.7,25762.4,
0,1,0,34,12065.7,1,0,1,38921.1,7966.22,
0,1,0,35,8693.21,1,0,1,16274.2,22207.6,
0,1,0,38,13420.1,1,0,1,29291.7,8162.07,
0,1,0,38,8762.76,1,0,1,6572.23,33948.1,
0,1,0,40,7067.41,1,0,1,37585.7,17571.3,
3,4,3,40,178113,24,9,15,17598.6,20590.7,
0,1,0,40,19509.1,1,0,1,15924.7,7705.1,
0,1,0,41,12501.7,1,0,1,4398.21,7046.19,
0,1,0,41,16846.1,2,0,2,17449.9,25572.8,
0,1,0,41,24392.1,1,0,1,29549.8,12871,
0,1,0,43,10551.7,1,0,1,11558.5,31419.2,
