# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1766.06,1,0,1,8883.76,29253.8,
0,1,0,1,2.32697e+07,4000,0,4000,21114.2,20454.5,
0,1,0,1,2.3471e+07,4000,0,4000,20724.2,28595.7,
0,1,0,1,2.34537e+07,4000,0,4000,3798.06,39993.6,
1,2,1,2,18857.5,11,8,3,11902.7,39879.9,
856,857,856,2,7.66671e+06,3995,2689,1306,32056.2,11479.1,
0,1,0,2,9007.25,1,0,1,8318.29,28965.5,
0,1,0,4,8160,1,0,1,8257.62,30967.1,
0,1,0,26,12814.1,2,0,2,2876.12,28926.9,
0,1,0,32,7599.82,1,0,1,34038.9,23065,
0,1,0,53,7528.39,1,0,1,6238.81,32796.2,
0,1,0,55,8642.79,1,0,1,4270.98,31797.7,
0,1,0,56,3698.03,1,0,1,3636.77,31931.7,
0,1,0,57,7957.78,1,0,1,3175.09,32055.9,
0,1,0,59,7697.63,1,0,1,1587.62,34584.5,
0,1,0,60,10273.6,2,0,2,1607.76,34391.4,
0,1,0,62,9833.67,1,0,1,1654.7,34145.5,
0,1,0,72,3032.22,1,0,1,5638.79,39941.4,
0,1,0,74,16317,2,0,2,5190.32,39194.1,
0,1,0,79,3464.32,1,0,1,5116.91,38567.4,
0,1,0,104,6588.48,1,0,1,36011.4,15053.1,
0,1,0,107,14687.5,3,0,3,36908.8,13664.9,
0,1,0,108,16526.5,2,0,2,35861.3,32375.3,
0,1,0,110,8316.21,1,0,1,36629.3,31751,
0,1,0,112,12883.9,2,0,2,39771.5,32936.5,
0,1,0,120,2892.83,1,0,1,15955.6,23549.2,
0,1,0,121,8989.4,1,0,1,9733.86,39411.6,
1,2,1,135,15291.6,3,1,2,13076.7,27396.3,
0,1,0,137,8400.49,1,0,1,15834.1,30677.6,
0,1,0,154,2871.31,1,0,1,36907.6,16422.9,
0,1,0,155,7933.44,1,0,1,35011.6,16607.2,
0,1,0,165,2869.58,1,0,1,17722.7,10857.8,
2,3,2,165,169704,31,2,29,25700,18814.5,
0,1,0,181,2487.39,1,0,1,17405.4,31010.6,
0,1,0,188,9204.19,1,0,1,1593.02,40010.3,
0,1,0,199,7386.48,1,0,1,25546.4,25340.6,
0,1,0,200,1232.82,1,0,1,24921.7,25190.4,
0,1,0,204,3297.07,1,0,1,30867.3,18733.5,
2,3,2,206,28859,8,3,5,27188.2,14141.2,
0,1,0,207,11468.7,2,0,2,36938.7,23991.5,
0,1,0,211,8713.48,1,0,1,37973.4,22936,
0,1,0,212,7170.63,1,0,1,34883,5377.42,
0,1,0,215,1015.08,1,0,1,36018.5,24314.5,
0,1,0,217,21345.2,3,0,3,16597,23516.5,
1,2,1,217,23740.3,6,1,5,32714.5,19072.4,
1,2,1,224,15989,743,741,2,34024.1,19686.8,
0,1,0,227,1580.98,1,0,1,33948.6,17416.4,
0,1,0,228,3549.82,1,0,1,35015.6,16235.1,
0,1,0,229,8782.22,1,0,1,34807.4,15712.5,
0,1,0,233,7831.84,1,0,1,39295.2,16608.8,
0,1,0,238,2512.46,1,0,1,6243.45,30044.4,
0,1,0,239,25776.7,6,0,6,6844.5,29930.6,
0,1,0,255,7699.68,1,0,1,22174.4,39512.8,
0,1,0,273,8986.49,1,0,1,17703.6,28539,
0,1,0,288,2815.45,1,0,1,28529.9,4348.53,
0,1,0,292,9793.96,2,0,2,38240.5,16859.9,
0,1,0,341,3706.52,1,0,1,29690.9,12232,
0,1,0,344,13189,2,0,2,14153.8,29534.8,
0,1,0,346,10013.7,2,0,2,36144.2,16193.1,
0,1,0,348,3135.74,1,0,1,14170.2,20909.9,
0,1,0,349,10182.2,1,0,1,14246.4,21266.5,
0,1,0,364,3558.03,1,0,1,2429.33,36963.7,
0,1,0,395,22061.3,3,0,3,21231.1,31622.4,
4,5,4,399,174761,2844,2808,36,18619.6,23656.4,
0,1,0,420,7666.56,1,0,1,30286.6,23573.8,
0,1,0,421,2445.78,1,0,1,35957.9,38894.5,
0,1,0,438,3065.48,1,0,1,37064.3,23371.7,
0,1,0,454,10317.3,2,0,2,16626.1,37178.3,
1,2,1,459,12435.9,12,10,2,11150,38196.3,
0,1,0,497,2734.08,1,0,1,32155,11228.9,
1,2,1,498,10747.4,7,5,2,32186.7,11026.9,
0,1,0,508,1193.22,1,0,1,32137.6,11399.9,
1,2,1,520,11963.5,17,15,2,17672.3,40269.6,
0,1,0,539,4542.69,1,0,1,20171.1,39551.2,
0,1,0,540,8630.31,1,0,1,20199,39794,
1,2,1,541,24181.9,5,1,4,35548.8,29214.6,
