# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1.67263e+07,4000,0,4000,1342.97,34662.5,
207,208,207,1,1.5527e+07,4000,217,3783,28427.7,797.844,
9,10,9,1,1.66502e+07,4000,9,3991,18293.4,36735,
848,849,848,6,5.33953e+06,3993,2745,1248,10069.7,25752.4,
1,2,1,9,4581.24,4,2,2,13490.9,30655.1,
0,1,0,11,2374.24,1,0,1,19034.1,37961.6,
7,8,7,21,52267.7,34,23,11,33148.9,15838.2,
1,2,1,22,13701.9,6,3,3,40099,36195.1,
0,1,0,24,9842.98,1,0,1,35635.5,29942.6,
3,4,3,29,19684.7,895,889,6,19210.2,9393.44,
0,1,0,29,3854.15,2,0,2,11848.9,34809.6,
0,1,0,31,10975.2,1,0,1,36160.5,14885.9,
0,1,0,42,2081.84,1,0,1,4363.22,39725.3,
67,68,67,42,292992,3885,3816,69,31251.1,18710.9,
0,1,0,43,2266.12,1,0,1,5135.09,38562.4,
0,1,0,46,10658.1,1,0,1,980.364,27004.9,
1,2,1,52,5383.58,3,1,2,33598.2,11142.5,
0,1,0,62,12698.9,3,0,3,25573,35658.6,
0,1,0,75,11641.6,2,0,2,33787.9,19303,
0,1,0,86,1771.01,1,0,1,37560.5,22276.5,
0,1,0,143,2276.15,1,0,1,19169.8,36066.3,
0,1,0,161,9994.69,1,0,1,13619.4,35101.5,
0,1,0,164,1947.92,2,0,2,19405,26227.9,
0,1,0,172,2603.39,1,0,1,30375.5,34337.1,
0,1,0,178,1959.46,1,0,1,28367.8,36723.1,
0,1,0,182,8749.52,1,0,1,26362.5,34465.2,
0,1,0,193,1916.45,1,0,1,38462,12451.7,
0,1,0,254,1435.62,1,0,1,18565.2,17591.3,
0,1,0,256,10510.5,2,0,2,16637.9,36446.3,
0,1,0,256,1816.52,1,0,1,1599.45,25194.3,
0,1,0,281,10899.1,2,0,2,36684.1,8543.84,
0,1,0,295,1549,1,0,1,39920.3,15998.5,
0,1,0,301,2439.97,1,0,1,17830,27897.1,
0,1,0,329,2055.5,1,0,1,21105.2,36626.4,
0,1,0,332,2775.1,1,0,1,10211.7,25938.1,
0,1,0,348,8645.85,1,0,1,7929.08,24668.2,
0,1,0,370,2512.23,1,0,1,2953.55,27779.3,
0,1,0,372,37306.7,8,0,8,2705.42,31989.1,
0,1,0,374,2286.63,1,0,1,25551.9,17693.5,
0,1,0,389,2841.75,1,0,1,36320.4,34825.1,
