Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	9782	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	16649.915014	22.394886	56.478271	0.879401	0.879401	0.000000	0.909621	-1.000000	-1.000000	0.000000
2	1	2	-1	48242.670154	172.948547	146.341751	0.971495	0.971495	0.000000	0.960286	-1.000000	-1.000000	0.000000
3	1	3	-1	64146.122353	223.085037	143.808838	0.991355	0.991355	0.000000	0.982020	-1.000000	-1.000000	0.000000
5	2	1	-1	13786.364549	22.355143	56.372971	0.821404	0.821404	0.000000	0.941053	-1.000000	-1.000000	0.000000
6	2	2	-1	53278.729594	172.935471	146.425171	0.980263	0.980263	0.000000	0.961284	-1.000000	-1.000000	0.000000
7	2	3	-1	60406.031634	223.164429	143.924026	0.946312	0.946312	0.000000	0.980647	-1.000000	-1.000000	0.000000
9	3	1	-1	15589.072534	22.446461	56.442032	0.925418	0.925418	0.000000	0.909575	-1.000000	-1.000000	0.000000
10	3	2	-1	49466.481322	172.957275	146.399155	0.864001	0.864001	0.000000	0.963043	-1.000000	-1.000000	0.000000
11	3	3	-1	56806.459537	223.205338	143.861359	1.023641	1.023641	0.000000	0.980452	-1.000000	-1.000000	0.000000
13	4	1	-1	13641.641126	22.515020	56.513573	0.890611	0.890611	0.000000	0.880916	-1.000000	-1.000000	0.000000
14	4	2	-1	59025.207916	172.876495	146.425354	1.019628	1.019628	0.000000	0.969137	-1.000000	-1.000000	0.000000
15	4	3	-1	57333.710315	223.184052	143.898438	0.920601	0.920601	0.000000	0.973298	-1.000000	-1.000000	0.000000
17	5	1	-1	13349.763601	22.275795	56.657810	0.954537	0.954537	0.000000	0.868987	-1.000000	-1.000000	0.000000
18	5	2	-1	52170.125483	172.901764	146.354706	0.969631	0.969631	0.000000	0.976444	-1.000000	-1.000000	0.000000
19	5	3	-1	55438.815300	223.191284	143.817703	0.934239	0.934239	0.000000	0.981595	-1.000000	-1.000000	0.000000
21	6	1	-1	5770.786140	7.259212	180.057861	0.840045	0.840045	0.000000	0.663331	-1.000000	-1.000000	0.000000
22	6	2	-1	14334.877599	22.287416	56.567070	0.939348	0.939348	0.000000	0.934739	-1.000000	-1.000000	0.000000
23	6	3	-1	55212.765995	223.171616	143.829590	0.929062	0.929062	0.000000	0.966923	-1.000000	-1.000000	0.000000
24	6	4	-1	49798.371372	172.827759	146.495834	0.995128	0.995128	0.000000	0.972443	-1.000000	-1.000000	0.000000
26	7	1	-1	8855.842564	22.219303	56.572639	0.824141	0.824141	0.000000	0.876956	-1.000000	-1.000000	0.000000
27	7	2	-1	52075.868416	172.916504	146.483063	0.976442	0.976442	0.000000	0.974816	-1.000000	-1.000000	0.000000
28	7	3	-1	53486.898745	223.176392	143.839203	0.924391	0.924391	0.000000	0.977808	-1.000000	-1.000000	0.000000
30	8	1	-1	14852.562489	22.425453	56.469521	0.948812	0.948812	0.000000	0.892032	-1.000000	-1.000000	0.000000
31	8	2	-1	45448.711896	172.932236	146.570313	0.881196	0.881196	0.000000	0.963257	-1.000000	-1.000000	0.000000
32	8	3	-1	53832.981155	223.222122	143.862427	0.973351	0.973351	0.000000	0.977157	-1.000000	-1.000000	0.000000
34	9	1	-1	53732.916643	172.981552	146.492310	1.043019	1.043019	0.000000	0.953868	-1.000000	-1.000000	0.000000
35	9	2	-1	57987.720816	223.164093	143.935074	0.948566	0.948566	0.000000	0.974075	-1.000000	-1.000000	0.000000
36	9	3	-1	11298.432241	22.327877	56.379593	0.818434	0.818434	0.000000	0.893123	-1.000000	-1.000000	0.000000
38	10	1	-1	45570.068262	172.880249	146.423843	0.935071	0.935071	0.000000	0.979257	-1.000000	-1.000000	0.000000
39	10	2	-1	54782.023878	223.255981	143.940796	0.930224	0.930224	0.000000	0.983519	-1.000000	-1.000000	0.000000
40	10	3	-1	14168.395973	22.298330	56.527344	0.915819	0.915819	0.000000	0.911682	-1.000000	-1.000000	0.000000
42	11	1	-1	50429.085118	172.852997	146.449585	1.029942	1.029942	0.000000	0.976975	-1.000000	-1.000000	0.000000
43	11	2	-1	55085.193621	223.216644	143.858658	0.973901	0.973901	0.000000	0.970833	-1.000000	-1.000000	0.000000
44	11	3	-1	12273.791755	22.366230	56.446293	0.916070	0.916070	0.000000	0.876617	-1.000000	-1.000000	0.000000
46	12	1	-1	47351.742641	172.793884	146.496841	0.969274	0.969274	0.000000	0.970653	-1.000000	-1.000000	0.000000
47	12	2	-1	12322.198255	22.277882	56.507950	0.826181	0.826181	0.000000	0.900004	-1.000000	-1.000000	0.000000
48	12	3	-1	7300.875709	207.443436	69.786346	0.873373	0.873373	0.000000	0.818621	-1.000000	-1.000000	0.000000
49	12	4	-1	52242.243287	223.206009	143.913879	0.978391	0.978391	0.000000	0.977422	-1.000000	-1.000000	0.000000
51	13	1	-1	49510.397030	172.894073	146.477325	0.983670	0.983670	0.000000	0.968333	-1.000000	-1.000000	0.000000
52	13	2	-1	53857.757935	223.174408	143.877762	0.888998	0.888998	0.000000	0.981064	-1.000000	-1.000000	0.000000
53	13	3	-1	13380.779662	22.335968	56.396877	0.805367	0.805367	0.000000	0.930449	-1.000000	-1.000000	0.000000
55	14	1	-1	13261.591306	22.394602	56.489803	0.861312	0.861312	0.000000	0.896199	-1.000000	-1.000000	0.000000
56	14	2	-1	47958.357546	172.796463	146.440277	0.964012	0.964012	0.000000	0.971398	-1.000000	-1.000000	0.000000
57	14	3	-1	52940.492819	223.145279	143.824921	0.974069	0.974069	0.000000	0.972771	-1.000000	-1.000000	0.000000
59	15	1	-1	58468.444102	223.138977	143.924484	0.965474	0.965474	0.000000	0.985243	-1.000000	-1.000000	0.000000
60	15	2	-1	12626.320551	22.326223	56.517227	0.787375	0.787375	0.000000	0.959600	-1.000000	-1.000000	0.000000
61	15	3	-1	10350.540024	31.531734	120.736092	0.884516	0.884516	0.000000	0.819361	-1.000000	-1.000000	0.000000
