# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
2,3,2,1,2.86064e+06,89,15,74,3580.12,9033.01,
0,1,0,1,1.70769e+08,4000,0,4000,27700,23377.6,
0,1,0,1,1.6052e+08,4000,0,4000,35731.4,22971.3,
0,1,0,6,45839.9,1,0,1,1161.47,28809.3,
0,1,0,12,50196.1,1,0,1,33190.9,11165.8,
0,1,0,15,48710,1,0,1,5045.08,19317.8,
0,1,0,19,49038.7,1,0,1,39647.2,14940,
0,1,0,31,7301.46,1,0,1,16804.2,14393.2,
0,1,0,32,52751.8,1,0,1,20509.9,14442,
0,1,0,33,9521.03,1,0,1,38532.9,38402.3,
0,1,0,35,6553.26,1,0,1,21165.6,11541.8,
0,1,0,47,135672,3,0,3,12302.1,23662,
0,1,0,54,54241.8,2,0,2,4934.36,31432.5,
0,1,0,57,49055.9,1,0,1,39659.6,23693.8,
0,1,0,58,49463.5,1,0,1,39598.8,23273.7,
0,1,0,60,42122.6,1,0,1,35030.9,27067.5,
0,1,0,63,46293.1,1,0,1,35245.1,24915.6,
1,2,1,64,152996,683,680,3,35126.4,24717.2,
0,1,0,66,46026,1,0,1,35802.5,24587.5,
0,1,0,68,8742.09,1,0,1,17834.5,12936.7,
0,1,0,71,99686.7,2,0,2,27191,32997.3,
0,1,0,71,47745.6,2,0,2,38016.1,17723,
0,1,0,71,50568.5,1,0,1,27160.8,32762.1,
0,1,0,72,46891.5,1,0,1,25420.9,33109.8,
0,1,0,73,18510.3,1,0,1,37344.6,17212.8,
0,1,0,73,47978.2,1,0,1,22976.9,35018.1,
0,1,0,73,43862.5,1,0,1,37143,18008.8,
0,1,0,76,46809.9,1,0,1,29697,8765.97,
0,1,0,76,7092.98,1,0,1,40035.1,20042.6,
0,1,0,81,53140.7,1,0,1,37143.9,26049.1,
1,2,1,82,98857.6,296,294,2,36986.2,26898.1,
0,1,0,102,52540.4,1,0,1,29513.2,39324.2,
0,1,0,103,43515,1,0,1,19719.3,11558.8,
0,1,0,105,53558.7,1,0,1,32226.3,37560.1,
0,1,0,107,89004.8,2,0,2,30247.1,31860.5,
24,25,24,107,1.29535e+06,140,110,30,4333.47,11065.9,
0,1,0,109,41105,1,0,1,30268.6,26834.4,
0,1,0,111,45486.8,1,0,1,4281.6,11041.4,
0,1,0,116,6490.29,1,0,1,20550.3,38680.6,
0,1,0,117,86777,2,0,2,11534.7,34454.6,
0,1,0,122,8868.18,1,0,1,22502.5,13129.2,
0,1,0,123,46147.7,1,0,1,22532.4,12932,
1,2,1,124,92115.2,2868,2866,2,21336.2,12954.5,
0,1,0,125,46728.1,1,0,1,21276.5,15665.3,
0,1,0,126,45816.5,1,0,1,20793.4,16378.2,
0,1,0,130,91558.2,2,0,2,16397.1,11324.9,
0,1,0,130,47990.2,1,0,1,12854.4,31889.1,
0,1,0,134,49956.9,1,0,1,23832.4,14047.7,
0,1,0,135,51222,1,0,1,17507.6,23017.5,
0,1,0,143,40756.2,1,0,1,35399.5,28460.1,
0,1,0,144,41123.4,1,0,1,40194.8,2928.82,
0,1,0,151,44124.1,1,0,1,40299.2,8792.51,
0,1,0,151,44988.2,1,0,1,7846.78,8956.72,
0,1,0,151,48328.6,1,0,1,22070.4,20485.9,
0,1,0,155,41151.4,1,0,1,8586.9,8881.73,
0,1,0,155,6854.81,1,0,1,28590.8,39970.1,
0,1,0,157,87289.6,2,0,2,25789.1,36090,
0,1,0,159,1.15711e+06,27,0,27,5633.66,4575.13,
0,1,0,160,44528.2,1,0,1,20851.1,36586.6,
0,1,0,162,50463.6,1,0,1,21296.8,36421.7,
0,1,0,163,44536,1,0,1,20843.4,37929.7,
0,1,0,166,42762.7,1,0,1,24901.2,33967.9,
0,1,0,167,102422,2,0,2,28940.8,18413.8,
1,2,1,168,97402.5,192,190,2,27183.9,32493.5,
0,1,0,172,134420,3,0,3,15526.4,11913.2,
0,1,0,187,47212.7,1,0,1,37936.5,38574.9,
3,4,3,188,278946,17,11,6,3626.75,3699.7,
1,2,1,191,47923.5,2635,2633,2,19816.8,36166.9,
0,1,0,192,48752.1,1,0,1,20623.9,38473.4,
0,1,0,194,5422.31,1,0,1,17389.4,21031.4,
0,1,0,196,92958.8,2,0,2,35911.2,31725,
0,1,0,196,49487.5,1,0,1,13260.6,18850.8,
0,1,0,197,47555.1,1,0,1,28344.1,28621.8,
0,1,0,202,52893.3,1,0,1,12327.9,8464.5,
0,1,0,203,48833.2,1,0,1,26643.9,33381.7,
0,1,0,203,48998.9,1,0,1,11985.5,8934.03,
