Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	4105	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	38271.968631	46.583221	78.036003	0.950054	0.950054	0.000000	0.948462	-1.000000	-1.000000	0.000000
3	2	1	-1	38895.906400	46.523048	77.943825	1.000472	1.000472	0.000000	0.952495	-1.000000	-1.000000	0.000000
5	3	1	-1	32511.332648	46.522003	78.026505	0.941418	0.941418	0.000000	0.969782	-1.000000	-1.000000	0.000000
7	4	1	-1	32076.277530	46.649078	78.057129	0.885136	0.885136	0.000000	0.949380	-1.000000	-1.000000	0.000000
9	5	1	-1	35429.474103	46.565289	78.151222	0.980734	0.980734	0.000000	0.960014	-1.000000	-1.000000	0.000000
11	6	1	-1	39298.431854	46.640518	78.141037	0.996421	0.996421	0.000000	0.955866	-1.000000	-1.000000	0.000000
13	7	1	-1	40285.455600	46.646576	78.079582	0.975707	0.975707	0.000000	0.972023	-1.000000	-1.000000	0.000000
15	8	1	-1	34978.890607	46.623734	78.077850	0.912194	0.912194	0.000000	0.981850	-1.000000	-1.000000	0.000000
17	9	1	-1	34618.774812	46.490341	78.058945	0.928760	0.928760	0.000000	0.966825	-1.000000	-1.000000	0.000000
19	10	1	-1	36444.653594	46.636581	77.979591	0.933941	0.933941	0.000000	0.966423	-1.000000	-1.000000	0.000000
21	11	1	-1	39539.062298	46.540821	78.086792	0.947544	0.947544	0.000000	0.973675	-1.000000	-1.000000	0.000000
23	12	1	-1	42388.486480	46.584164	78.129768	1.022504	1.022504	0.000000	0.961225	-1.000000	-1.000000	0.000000
25	13	1	-1	37548.950148	46.506535	78.050873	0.952557	0.952557	0.000000	0.971634	-1.000000	-1.000000	0.000000
27	14	1	-1	40626.020926	46.570484	78.174782	0.919587	0.919587	0.000000	0.967542	-1.000000	-1.000000	0.000000
29	15	1	-1	33244.113039	46.554070	78.063240	0.938369	0.938369	0.000000	0.962465	-1.000000	-1.000000	0.000000
31	16	1	-1	32814.849589	46.575752	78.065239	0.897109	0.897109	0.000000	0.961237	-1.000000	-1.000000	0.000000
33	17	1	-1	35475.666774	46.634945	78.075020	0.906597	0.906597	0.000000	0.966086	-1.000000	-1.000000	0.000000
35	18	1	-1	35472.277997	46.647026	78.048584	0.984194	0.984194	0.000000	0.969277	-1.000000	-1.000000	0.000000
37	19	1	-1	31590.035739	46.571659	77.925491	0.902503	0.902503	0.000000	0.936133	-1.000000	-1.000000	0.000000
39	20	1	-1	32889.465119	46.763992	78.012947	0.879081	0.879081	0.000000	0.961362	-1.000000	-1.000000	0.000000
41	21	1	-1	35102.585250	46.634914	78.095001	0.929037	0.929037	0.000000	0.965100	-1.000000	-1.000000	0.000000
43	22	1	-1	42172.399816	46.631870	77.962135	1.047831	1.047831	0.000000	0.968024	-1.000000	-1.000000	0.000000
45	23	1	-1	34734.054183	46.651287	78.087837	0.930898	0.930898	0.000000	0.967635	-1.000000	-1.000000	0.000000
47	24	1	-1	34078.428111	46.714005	78.027138	0.911567	0.911567	0.000000	0.970713	-1.000000	-1.000000	0.000000
49	25	1	-1	35865.858196	46.544670	77.949928	0.932699	0.932699	0.000000	0.962942	-1.000000	-1.000000	0.000000
51	26	1	-1	33520.424384	46.646240	77.982040	0.964765	0.964765	0.000000	0.963689	-1.000000	-1.000000	0.000000
53	27	1	-1	36192.457904	46.648811	78.031555	1.005137	1.005137	0.000000	0.977362	-1.000000	-1.000000	0.000000
55	28	1	-1	31931.751397	46.539116	77.998093	0.975692	0.975692	0.000000	0.948486	-1.000000	-1.000000	0.000000
57	29	1	-1	31770.900786	46.676399	77.982109	0.904542	0.904542	0.000000	0.957594	-1.000000	-1.000000	0.000000
59	30	1	-1	35866.568180	46.617329	78.161201	0.938802	0.938802	0.000000	0.954263	-1.000000	-1.000000	0.000000
61	31	1	-1	34855.130576	46.712879	78.065964	0.968579	0.968579	0.000000	0.976456	-1.000000	-1.000000	0.000000
63	32	1	-1	35595.356463	46.677681	78.169930	0.893103	0.893103	0.000000	0.971954	-1.000000	-1.000000	0.000000
65	33	1	-1	34408.226807	46.656364	78.129097	0.922660	0.922660	0.000000	0.964018	-1.000000	-1.000000	0.000000
67	34	1	-1	38017.489777	46.644897	78.029655	1.062567	1.062567	0.000000	0.946455	-1.000000	-1.000000	0.000000
69	35	1	-1	34039.594365	46.588467	78.022774	0.939873	0.939873	0.000000	0.969318	-1.000000	-1.000000	0.000000
71	36	1	-1	34595.903412	46.563080	78.108086	0.907111	0.907111	0.000000	0.978012	-1.000000	-1.000000	0.000000
73	37	1	-1	32911.549414	46.656441	78.121078	0.849984	0.849984	0.000000	0.970635	-1.000000	-1.000000	0.000000
75	38	1	-1	32852.942104	46.652744	78.013252	0.938907	0.938907	0.000000	0.952300	-1.000000	-1.000000	0.000000
77	39	1	-1	32752.070747	46.557808	78.044228	0.825299	0.825299	0.000000	0.962506	-1.000000	-1.000000	0.000000
79	40	1	-1	33272.657084	46.550510	78.159920	0.942282	0.942282	0.000000	0.955813	-1.000000	-1.000000	0.000000
81	41	1	-1	33862.130124	46.580082	78.150764	0.913947	0.913947	0.000000	0.963544	-1.000000	-1.000000	0.000000
83	42	1	-1	34849.732152	46.619957	78.119171	0.894745	0.894745	0.000000	0.974276	-1.000000	-1.000000	0.000000
85	43	1	-1	31907.753558	46.520611	77.980736	0.933292	0.933292	0.000000	0.944044	-1.000000	-1.000000	0.000000
87	44	1	-1	38463.053162	46.570110	78.066017	1.008891	1.008891	0.000000	0.953728	-1.000000	-1.000000	0.000000
89	45	1	-1	35350.214276	46.527336	78.113510	0.899917	0.899917	0.000000	0.954344	-1.000000	-1.000000	0.000000
91	46	1	-1	39379.567613	46.597095	78.129166	0.941859	0.941859	0.000000	0.970992	-1.000000	-1.000000	0.000000
93	47	1	-1	35938.063496	46.609562	78.028740	0.851723	0.851723	0.000000	0.955248	-1.000000	-1.000000	0.000000
95	48	1	-1	37870.671219	46.617329	77.971786	0.932139	0.932139	0.000000	0.968743	-1.000000	-1.000000	0.000000
97	49	1	-1	35953.333117	46.614120	77.983284	0.892915	0.892915	0.000000	0.970937	-1.000000	-1.000000	0.000000
99	50	1	-1	36321.438737	46.608177	78.117363	0.959167	0.959167	0.000000	0.963255	-1.000000	-1.000000	0.000000
101	51	1	-1	33421.660842	46.639328	78.091797	0.916392	0.916392	0.000000	0.970534	-1.000000	-1.000000	0.000000
103	52	1	-1	34883.820325	46.696838	78.030807	0.921332	0.921332	0.000000	0.972831	-1.000000	-1.000000	0.000000
105	53	1	-1	35198.933535	46.589451	78.036469	0.888302	0.888302	0.000000	0.971378	-1.000000	-1.000000	0.000000
107	54	1	-1	41245.402966	46.676037	78.061035	0.943547	0.943547	0.000000	0.962426	-1.000000	-1.000000	0.000000
109	55	1	-1	42543.254414	46.729782	78.172562	0.972022	0.972022	0.000000	0.967702	-1.000000	-1.000000	0.000000
