# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1.32388e+08,4000,0,4000,7442.58,12469.7,
0,1,0,130,26306.1,1,0,1,35505.1,25027.5,
1,2,1,177,80163.6,4,1,3,38322.1,36505.4,
2,3,2,252,89712.7,5,2,3,14355.6,27704.3,
2,3,2,303,493417,50,32,18,35370.6,31943.5,
0,1,0,316,50275.1,2,0,2,24268.6,31034.8,
0,1,0,363,384909,15,0,15,4581.88,21748.2,
3,4,3,400,128735,14,9,5,35525.8,30196.5,
0,1,0,411,27176,1,0,1,30768.5,19387.8,
0,1,0,500,28559.9,1,0,1,40156.7,18462.5,
0,1,0,578,28239.6,1,0,1,8288.04,23776.4,
0,1,0,701,82402.9,3,0,3,35905.7,12822.8,
0,1,0,737,25634.5,1,0,1,37164.8,37063.1,
3,4,3,1013,113506,238,234,4,30621.4,33127.9,
21,22,21,1175,743849,109,81,28,25373.6,39438.2,
0,1,0,1320,72833,3,0,3,18879,19147.4,
0,1,0,1571,22700.7,1,0,1,23072.3,28165.5,
2,3,2,1929,82495.8,63,60,3,30061.4,36066.8,
0,1,0,2045,24393.4,1,0,1,28343.1,33771,
0,1,0,2260,24016.5,1,0,1,36294.3,25812.9,
0,1,0,2365,26011,1,0,1,25828.6,24035.5,
0,1,0,2427,24191.7,1,0,1,24361.5,25216.2,
0,1,0,2486,30045.7,1,0,1,38629.7,3344.23,
0,1,0,2587,82212,3,0,3,22379.7,25738.8,
0,1,0,2805,55120.3,2,0,2,37646.6,36166.6,
0,1,0,2991,28693.7,1,0,1,11365.8,35090.3,
0,1,0,3891,28732.5,1,0,1,35492.9,22149.3,
