Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	3602	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
12	1	12	-1	34445.699680	98.424789	169.120773	0.856506	0.856506	0.000000	0.955528	-1.000000	-1.000000	0.000000
24	1	24	-1	35892.923820	240.731934	152.529282	0.904411	0.904411	0.000000	0.962798	-1.000000	-1.000000	0.000000
35	1	35	-1	61038.151504	145.610657	150.876678	0.901708	0.901708	0.000000	0.971669	-1.000000	-1.000000	0.000000
46	1	46	-1	33390.669556	142.547958	187.825378	0.844129	0.844129	0.000000	0.955777	-1.000000	-1.000000	0.000000
55	2	6	-1	55844.279148	145.573639	150.776581	0.912482	0.912482	0.000000	0.975013	-1.000000	-1.000000	0.000000
93	2	44	-1	75719.764605	150.869431	217.665665	0.898194	0.898194	0.000000	0.977580	-1.000000	-1.000000	0.000000
206	5	4	-1	40066.810203	131.643845	133.680161	0.851631	0.851631	0.000000	0.968113	-1.000000	-1.000000	0.000000
416	9	28	-1	41444.112790	222.327377	222.113022	0.951001	0.951001	0.000000	0.958486	-1.000000	-1.000000	0.000000
468	10	34	-1	42700.743000	124.018692	189.742340	0.908386	0.908386	0.000000	0.965125	-1.000000	-1.000000	0.000000
539	11	52	-1	45949.000191	124.096886	189.768173	0.965040	0.965040	0.000000	0.950333	-1.000000	-1.000000	0.000000
552	12	7	-1	42124.928160	124.192192	189.712418	0.865939	0.865939	0.000000	0.970227	-1.000000	-1.000000	0.000000
555	12	10	-1	28026.344256	70.892044	114.705818	0.857481	0.857481	0.000000	0.951025	-1.000000	-1.000000	0.000000
558	12	13	-1	32519.484981	98.335426	169.197815	0.972108	0.972108	0.000000	0.951745	-1.000000	-1.000000	0.000000
584	12	39	-1	44469.319502	154.252136	87.256950	0.943562	0.943562	0.000000	0.967729	-1.000000	-1.000000	0.000000
605	13	13	-1	37163.273420	154.369064	87.328369	0.864627	0.864627	0.000000	0.959763	-1.000000	-1.000000	0.000000
649	14	10	-1	45735.172424	178.732117	151.248337	0.942308	0.942308	0.000000	0.964613	-1.000000	-1.000000	0.000000
665	14	26	-1	27701.161899	130.250534	173.117615	0.885202	0.885202	0.000000	0.959165	-1.000000	-1.000000	0.000000
698	15	10	-1	39032.390450	138.037292	202.481781	0.846772	0.846772	0.000000	0.969850	-1.000000	-1.000000	0.000000
715	15	27	-1	29642.896759	104.084793	182.990646	0.847802	0.847802	0.000000	0.952121	-1.000000	-1.000000	0.000000
758	16	18	-1	37399.045588	104.082512	182.965652	0.953336	0.953336	0.000000	0.953846	-1.000000	-1.000000	0.000000
800	17	10	-1	30851.266128	56.682941	204.668732	0.875609	0.875609	0.000000	0.951019	-1.000000	-1.000000	0.000000
855	18	17	-1	35634.636987	103.992310	183.044815	0.889119	0.889119	0.000000	0.959088	-1.000000	-1.000000	0.000000
983	21	16	-1	47907.589852	178.993103	119.142570	0.947859	0.947859	0.000000	0.974773	-1.000000	-1.000000	0.000000
1068	23	16	-1	51098.635392	205.460419	141.406631	0.978281	0.978281	0.000000	0.950510	-1.000000	-1.000000	0.000000
1096	24	3	-1	57732.880244	188.626328	223.941025	0.861444	0.861444	0.000000	0.973220	-1.000000	-1.000000	0.000000
1134	24	41	-1	41227.477737	185.548599	166.343704	0.954026	0.954026	0.000000	0.954642	-1.000000	-1.000000	0.000000
1177	25	25	-1	32903.042141	152.109604	157.210312	0.847323	0.847323	0.000000	0.961408	-1.000000	-1.000000	0.000000
1198	25	46	-1	60127.999485	188.568542	223.996475	0.875319	0.875319	0.000000	0.977117	-1.000000	-1.000000	0.000000
1222	26	23	-1	32661.664516	109.657433	211.509811	0.918642	0.918642	0.000000	0.951534	-1.000000	-1.000000	0.000000
1262	27	15	-1	40821.595726	179.038986	119.273270	0.874520	0.874520	0.000000	0.957711	-1.000000	-1.000000	0.000000
1339	29	5	-1	35412.002645	104.048988	183.034988	0.838368	0.838368	0.000000	0.951618	-1.000000	-1.000000	0.000000
1342	29	8	-1	45389.559392	249.144379	231.070541	0.899560	0.899560	0.000000	0.954318	-1.000000	-1.000000	0.000000
1353	29	19	-1	65023.882463	137.929413	202.512314	0.915678	0.915678	0.000000	0.979474	-1.000000	-1.000000	0.000000
1398	30	20	-1	47870.955330	131.577850	133.745209	0.918033	0.918033	0.000000	0.964006	-1.000000	-1.000000	0.000000
1547	33	36	-1	33152.033426	233.224655	216.070251	0.851119	0.851119	0.000000	0.952616	-1.000000	-1.000000	0.000000
1607	34	48	-1	53418.233602	116.298721	202.773529	0.949923	0.949923	0.000000	0.961856	-1.000000	-1.000000	0.000000
1611	34	52	-1	33426.640856	25.516605	142.381378	0.926476	0.926476	0.000000	0.954252	-1.000000	-1.000000	0.000000
1661	35	43	-1	30696.702071	178.650848	151.119980	0.812498	0.812498	0.000000	0.959383	-1.000000	-1.000000	0.000000
1687	36	13	-1	37014.936845	104.106674	183.045502	0.961131	0.961131	0.000000	0.950290	-1.000000	-1.000000	0.000000
1735	37	4	-1	39931.344881	216.075272	76.143494	0.926975	0.926975	0.000000	0.960055	-1.000000	-1.000000	0.000000
1766	37	35	-1	52766.555380	178.602570	151.321899	0.889318	0.889318	0.000000	0.970682	-1.000000	-1.000000	0.000000
1820	38	29	-1	37829.837076	178.677170	151.233521	0.920765	0.920765	0.000000	0.960678	-1.000000	-1.000000	0.000000
1973	41	9	-1	26893.852203	159.290100	139.006912	0.907579	0.907579	0.000000	0.954437	-1.000000	-1.000000	0.000000
2084	43	21	-1	53020.423203	206.072662	238.382034	0.959465	0.959465	0.000000	0.954474	-1.000000	-1.000000	0.000000
2115	43	52	-1	37068.096361	216.162155	76.215317	0.949773	0.949773	0.000000	0.951617	-1.000000	-1.000000	0.000000
2123	44	1	-1	49252.294820	249.099335	231.135895	0.915607	0.915607	0.000000	0.965304	-1.000000	-1.000000	0.000000
