# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
1,2,1,1,70338.6,12,10,2,15740.8,27065.5,
0,1,0,1,61038.2,1,0,1,38517.1,24404.7,
0,1,0,1,89234.9,2,0,2,23294.7,24132.3,
0,1,0,1,75719.8,1,0,1,22807.7,30052.1,
5,6,5,2,400199,3739,3729,10,24230.8,34821.1,
1,2,1,5,66733.6,26,24,2,21057.7,21394,
3,4,3,9,133528,2058,2054,4,35591,35444.9,
3,4,3,10,290998,202,196,6,19854.1,30355.7,
0,1,0,12,32661.7,1,0,1,11342.7,18352.9,
2,3,2,12,186647,2330,2326,4,24661.2,13956.9,
9,10,9,14,691796,125,108,17,28590,24205.7,
3,4,3,14,243439,1993,1987,6,20806.7,27586.4,
7,8,7,15,428914,1442,1432,10,22127.1,32385.6,
3,4,3,15,210060,22,17,5,16650.1,29282.6,
1,2,1,17,111653,65,62,3,9076.66,32739.3,
1,2,1,21,87543.7,7,5,2,28642.6,19073.3,
0,1,0,23,53121.8,1,0,1,32873.7,22625.1,
0,1,0,24,76366,2,0,2,30175.6,35835,
1,2,1,24,275209,24,20,4,29690.4,26618.1,
1,2,1,25,118186,88,85,3,24340.5,25148.2,
0,1,0,26,75038.1,1,0,1,17545.2,33841.6,
5,6,5,29,319052,137,130,7,39857.2,36988.7,
7,8,7,33,458536,3886,3875,11,37293.6,34563.2,
0,1,0,34,41710.8,1,0,1,18607.8,32443.8,
0,1,0,34,30768.6,1,0,1,4082.66,22781,
3,4,3,37,227809,49,44,5,34575.4,12189.8,
0,1,0,41,47557.3,1,0,1,25486.4,22241.1,
1,2,1,43,54546.8,12,10,2,32973.1,38143.4,
0,1,0,44,38214.8,1,0,1,23227.9,28940.1,
0,1,0,45,42546.8,1,0,1,32292.2,19173.3,
0,1,0,46,101268,2,0,2,34614.1,15696.9,
0,1,0,49,46423.2,1,0,1,26214.3,29781.5,
0,1,0,50,46269.7,1,0,1,33469.3,38637.9,
4,5,4,50,272452,3237,3231,6,38957.3,27412.4,
1,2,1,53,82981.3,13,11,2,5859.22,35152.4,
1,2,1,56,78923.4,4,2,2,5625.26,35074.8,
2,3,2,56,181201,15,10,5,23428.7,29110.4,
0,1,0,58,42366.8,1,0,1,22315.5,27002.3,
2,3,2,59,181826,69,65,4,4923.05,18186.8,
2,3,2,60,127518,76,73,3,12919,18565.9,
1,2,1,62,71544.2,16,14,2,39789.8,36358.5,
2,3,2,64,137861,61,57,4,37631.9,37496.5,
0,1,0,67,205386,3,0,3,23131.7,23322.5,
1,2,1,68,223410,10,6,4,37616,12935.2,
3,4,3,71,151257,523,519,4,30999,12083.9,
0,1,0,72,130826,3,0,3,17980.6,9264.5,
0,1,0,76,44889.9,1,0,1,34254.8,33952,
0,1,0,78,42551.5,1,0,1,12272.6,507.413,
0,1,0,80,42023.7,1,0,1,33952.2,25061.3,
0,1,0,81,43540.9,1,0,1,18442.2,39679.7,
5,6,5,81,251698,29,23,6,38936.1,33247,
6,7,6,82,670464,106,91,15,33925.6,27662,
3,4,3,85,433864,36,27,9,23822.3,20586.4,
