# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
39,40,39,1,1.48846e+06,835,754,81,1724.28,9974.07,
8,9,8,1,199678,2873,2862,11,27194.1,28105.3,
0,1,0,1,7.36264e+07,4000,0,4000,988.981,10741.9,
0,1,0,1,7.15554e+07,4000,0,4000,9048,15081.7,
2,3,2,1,121228,12,3,9,28571,32059.5,
1,2,1,1,39398.2,8,5,3,34193.1,27338.6,
347,348,347,1,6.85766e+06,3980,3586,394,38390.8,522.601,
10,11,10,1,273516,169,154,15,39068,31897.4,
1,2,1,1,380524,100,76,24,31452.2,2140.44,
150,151,150,1,6.77198e+07,4000,165,3835,31978.3,720.671,
919,920,919,1,3.55212e+07,4000,1970,2030,22066.8,6829.28,
9,10,9,1,552933,375,350,25,16563.2,19671,
7,8,7,1,252582,317,300,17,25433.2,24611.6,
2,3,2,1,68994.9,1526,1521,5,33213.2,35519,
1,2,1,1,119373,20,14,6,35943,34997,
3,4,3,1,7.03223e+07,4000,4,3996,21183.4,3906.73,
0,1,0,1,65462.1,3,0,3,16277.9,20663.4,
8,9,8,1,127966,3650,3640,10,36212.2,34104.3,
0,1,0,1,30116.5,2,0,2,8431.38,35285.7,
8,9,8,1,766388,3021,2986,35,22146.1,10518.5,
1,2,1,1,86936.8,1258,1254,4,34599.3,33117.6,
13,14,13,1,482301,1074,1052,22,37241.5,21128.4,
0,1,0,1,21462.1,1,0,1,32316.4,4803.77,
0,1,0,1,31405.2,2,0,2,36894.9,24195,
95,96,95,1,6.70358e+07,3999,177,3822,17785.4,40143.8,
55,56,55,1,4.62518e+06,3088,2831,257,14220.1,38385.4,
4,5,4,1,84612.3,2203,2197,6,33369.7,37084.1,
4,5,4,1,107684,3317,3311,6,37799.4,11893.8,
13,14,13,1,435161,1994,1972,22,29638.3,28541.1,
6,7,6,1,512798,116,89,27,21694.9,19934.7,
2,3,2,1,51863.1,2182,2178,4,25814.6,37674.5,
