Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	8233	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	22074.795391	187.510864	189.545029	1.319794	1.319794	0.000000	0.697975	-1.000000	-1.000000	0.000000
2	1	2	-1	62700.845969	109.531448	49.407131	1.098693	1.098693	0.000000	0.945726	-1.000000	-1.000000	0.000000
4	2	1	-1	12605.723272	188.008072	189.604904	1.184402	1.184402	0.000000	0.544169	-1.000000	-1.000000	0.000000
5	2	2	-1	68255.232174	109.625664	49.374825	1.230510	1.230510	0.000000	0.921472	-1.000000	-1.000000	0.000000
7	3	1	-1	60590.100995	109.574257	49.287518	1.074092	1.074092	0.000000	0.952789	-1.000000	-1.000000	0.000000
8	3	2	-1	9836.309770	187.917267	189.722229	0.866678	0.866678	0.000000	0.603570	-1.000000	-1.000000	0.000000
10	4	1	-1	9568.501252	187.574432	189.724930	0.723610	0.723610	0.000000	0.685730	-1.000000	-1.000000	0.000000
11	4	2	-1	64297.889174	109.525551	49.345928	1.176662	1.176662	0.000000	0.943186	-1.000000	-1.000000	0.000000
13	5	1	-1	14804.050088	187.823029	189.725586	1.035667	1.035667	0.000000	0.779409	-1.000000	-1.000000	0.000000
14	5	2	-1	61690.189111	109.651382	49.427921	1.019221	1.019221	0.000000	0.941033	-1.000000	-1.000000	0.000000
17	6	2	-1	11104.619415	187.905167	189.603653	0.919911	0.919911	0.000000	0.676494	-1.000000	-1.000000	0.000000
18	6	3	-1	54973.653043	109.513481	49.399643	1.006937	1.006937	0.000000	0.944709	-1.000000	-1.000000	0.000000
20	7	1	-1	65801.172655	109.543396	49.387501	1.111752	1.111752	0.000000	0.920956	-1.000000	-1.000000	0.000000
22	7	3	-1	11400.870458	73.866692	198.741669	0.787271	0.787271	0.000000	0.794935	-1.000000	-1.000000	0.000000
23	7	4	-1	14037.759959	187.759720	189.605377	0.938715	0.938715	0.000000	0.737311	-1.000000	-1.000000	0.000000
26	8	2	-1	15598.240756	187.901672	189.862442	1.069835	1.069835	0.000000	0.705685	-1.000000	-1.000000	0.000000
27	8	3	-1	58809.080399	109.627991	49.365746	1.039245	1.039245	0.000000	0.951198	-1.000000	-1.000000	0.000000
29	9	1	-1	69094.711222	109.619057	49.278259	1.161652	1.161652	0.000000	0.926639	-1.000000	-1.000000	0.000000
31	9	3	-1	10835.830518	74.511597	195.866470	0.862636	0.862636	0.000000	0.649979	-1.000000	-1.000000	0.000000
32	9	4	-1	16054.424041	58.645924	194.686127	1.339274	1.339274	0.000000	0.574393	-1.000000	-1.000000	0.000000
33	9	5	-1	19505.971089	187.781845	189.907471	1.163550	1.163550	0.000000	0.709283	-1.000000	-1.000000	0.000000
35	10	1	-1	63664.064610	109.574707	49.351601	1.030762	1.030762	0.000000	0.937030	-1.000000	-1.000000	0.000000
37	10	3	-1	11734.415893	187.856766	189.810211	0.881033	0.881033	0.000000	0.659579	-1.000000	-1.000000	0.000000
39	11	1	-1	8720.336501	187.712997	190.065521	0.899534	0.899534	0.000000	0.592953	-1.000000	-1.000000	0.000000
40	11	2	-1	62350.624262	109.599243	49.324345	1.117486	1.117486	0.000000	0.952858	-1.000000	-1.000000	0.000000
42	12	1	-1	71446.184174	109.501907	49.417049	1.210301	1.210301	0.000000	0.948592	-1.000000	-1.000000	0.000000
43	12	2	-1	11908.183824	187.855682	189.680832	0.856538	0.856538	0.000000	0.759404	-1.000000	-1.000000	0.000000
46	13	1	-1	14151.477186	187.572067	189.663086	1.067442	1.067442	0.000000	0.640384	-1.000000	-1.000000	0.000000
47	13	2	-1	61370.407056	109.599022	49.386688	1.121912	1.121912	0.000000	0.953295	-1.000000	-1.000000	0.000000
49	14	1	-1	55307.330354	109.565292	49.384415	1.073931	1.073931	0.000000	0.905125	-1.000000	-1.000000	0.000000
