# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
281,282,281,1,1.94013e+08,4000,331,3669,36207.4,9447.83,
50,51,50,1,6.27519e+07,1354,149,1205,519.717,24319.7,
0,1,0,1,2.07719e+08,4000,0,4000,22163.5,37144.7,
284,285,284,1,1.81684e+08,4000,383,3617,8331.95,27524.4,
0,1,0,1,12624.5,1,0,1,18909.8,23361.3,
2,3,2,1,1.76838e+08,4000,2,3998,7588.17,15220.6,
763,764,763,1,1.12757e+08,4000,1312,2688,39662.3,34082.5,
197,198,197,1,1.56039e+08,4000,221,3779,14320,2435.11,
0,1,0,1,1.60293e+08,4000,0,4000,20491,11023.8,
0,1,0,1,1.56853e+08,4000,0,4000,14309.6,1415.51,
0,1,0,1,1.55521e+08,4000,0,4000,27893.6,28307.3,
0,1,0,1,1.55651e+08,4000,0,4000,29101.6,3602.95,
0,1,0,5,20449.6,1,0,1,22073.7,5641.04,
0,1,0,7,10434.4,1,0,1,14585,25585.8,
0,1,0,24,15829.9,1,0,1,8733.49,34409.7,
0,1,0,27,8222.74,1,0,1,22679.3,19301.9,
1,2,1,33,123898,406,404,2,9415.92,37563.2,
53,54,53,40,2.01703e+06,3815,3760,55,26409.5,32670.4,
0,1,0,45,108949,1,0,1,19084.3,23321.4,
3,4,3,52,377566,665,656,9,25492.9,10516,
0,1,0,55,14775.3,1,0,1,34286.6,23656.6,
0,1,0,67,99933.5,1,0,1,31038.5,7685.9,
1,2,1,71,50834.6,4,1,3,22366.4,31328.9,
0,1,0,80,150622,2,0,2,17794.3,34691.5,
1,2,1,89,55592.4,8,5,3,26220.9,31495.7,
0,1,0,101,9737.39,1,0,1,30846.2,19690.1,
1,2,1,114,217447,840,838,2,33507.9,9272.62,
1,2,1,115,63375.4,1750,1748,2,28646.7,12471.9,
0,1,0,116,18543.6,1,0,1,29707.8,17408,
0,1,0,117,23397.3,1,0,1,26723.2,15838.7,
207,208,207,121,8.49347e+06,3874,3653,221,18282.4,29912.3,
1,2,1,129,42227.9,6,4,2,15775.2,13335,
0,1,0,132,16918.6,1,0,1,31071.9,31726.2,
1,2,1,140,24587.4,3,1,2,10410.8,24993.2,
0,1,0,142,123937,2,0,2,23041,32762.1,
1,2,1,153,18439.7,2512,2510,2,39529.3,34108.1,
0,1,0,156,13465.6,1,0,1,38267.4,15276.8,
1,2,1,165,39816.1,6,4,2,32437,35643.5,
0,1,0,169,9968.49,1,0,1,3673.58,31653.2,
0,1,0,171,100827,1,0,1,36727.7,29397.4,
0,1,0,190,105158,1,0,1,21447.9,21593,
0,1,0,200,55820.9,2,0,2,36998.7,7859.98,
0,1,0,217,22958,1,0,1,35887.6,10703.1,
1,2,1,224,224497,7,1,6,12780.7,14019.4,
0,1,0,229,8668.55,1,0,1,36119.1,13950.9,
0,1,0,247,105880,1,0,1,30274.8,24685,
2,3,2,255,71574.9,137,133,4,13986.8,36191.6,
0,1,0,256,25192.5,1,0,1,25646,3342.75,
0,1,0,258,12117.2,1,0,1,38609.4,7820.66,
0,1,0,280,108037,1,0,1,8797.21,33964.7,
11,12,11,293,657040,419,403,16,29602.5,13191.2,
0,1,0,293,18638,1,0,1,31701,21707,
0,1,0,296,17810.2,1,0,1,13582.6,7671.29,
0,1,0,299,39661.2,1,0,1,14315.5,13107.5,
0,1,0,319,108883,1,0,1,2802.84,19811.8,
0,1,0,321,137063,3,0,3,5998.98,33776.6,
0,1,0,328,16237.2,1,0,1,4848.59,14851.5,
0,1,0,347,7286.24,1,0,1,18386.2,30127.5,
0,1,0,352,16519.6,1,0,1,30091.4,20189.8,
0,1,0,352,11445.9,1,0,1,1700.14,30879.8,
0,1,0,353,117300,1,0,1,20227.1,24760,
11,12,11,357,773586,46,25,21,27402.6,10142.3,
0,1,0,358,123803,2,0,2,33705.7,32735.2,
0,1,0,371,19333.1,1,0,1,32831.6,4015.53,
0,1,0,386,37354.4,3,0,3,10865.6,34839.2,
1,2,1,392,163765,143,140,3,33689.9,11079.4,
1,2,1,396,76774.2,5,1,4,27888.8,15779.6,
0,1,0,414,12337.6,1,0,1,31234.5,27955.5,
0,1,0,443,108403,1,0,1,5937.31,4794.64,
0,1,0,456,109347,1,0,1,31119.4,28108.6,
3,4,3,494,1.44226e+06,43,5,38,18538.3,24831.5,
0,1,0,530,24386.5,1,0,1,17092,25428.4,
0,1,0,532,34992.6,1,0,1,8746.73,11802.6,
69,70,69,535,2.74921e+06,3437,3363,74,20931,25934.6,
0,1,0,546,16065.5,1,0,1,22610.1,29716.6,
0,1,0,550,19566,1,0,1,14226.7,30747.9,
0,1,0,554,100500,1,0,1,15546.1,15256.5,
0,1,0,555,103767,1,0,1,15159.4,15818.2,
0,1,0,557,44263.9,1,0,1,30321.5,15358.8,
0,1,0,561,18755.6,1,0,1,34833,33413.7,
0,1,0,566,20861.6,1,0,1,36598.7,27909.5,
0,1,0,576,40199.3,1,0,1,28215,19691,
