# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
18,19,18,1,364441,72,38,34,22448.6,5432.84,
0,1,0,1,10673.4,1,0,1,14259.2,17669.4,
11,12,11,1,252388,3093,3069,24,6081.08,9700.42,
9,10,9,1,132602,1216,1199,17,34783.9,39866.5,
5,6,5,1,46048.8,140,134,6,27863,11903.2,
11,12,11,1,185344,1703,1681,22,690.202,21550.5,
3,4,3,1,40772.1,2892,2887,5,34143.1,23525.8,
16,17,16,1,1.48199e+06,467,327,140,17892.2,34778,
2,3,2,1,47434.9,2439,2433,6,37324.1,31043.2,
3,4,3,1,82029.4,29,20,9,1436.27,19740.6,
24,25,24,1,442187,3232,3188,44,14631.2,38409.4,
8,9,8,1,137984,850,833,17,9115.94,33241.9,
5,6,5,1,154314,157,139,18,2640.55,38311.2,
16,17,16,1,949867,3730,3655,75,37984.3,9880.53,
16,17,16,1,1.72038e+06,3993,3812,181,6238.33,2659.48,
10,11,10,1,1.15108e+06,501,394,107,8633.42,21257,
0,1,0,1,14070.6,1,0,1,28971.4,4080.56,
7,8,7,1,649697,2735,2670,65,789.498,14730.8,
30,31,30,1,622591,3974,3907,67,31571.8,16842.5,
7,8,7,1,824462,201,122,79,35578.4,6360.49,
22,23,22,1,917306,1401,1325,76,18990.3,39607.1,
6,7,6,1,94750.2,2202,2195,7,31594.1,25727.5,
27,28,27,1,380495,1558,1523,35,34358.5,20855,
1,2,1,1,20388,1309,1307,2,18916.4,2093.74,
17,18,17,1,352888,2711,2676,35,13071.7,17518.9,
19,20,19,1,839381,452,413,39,28550,24800.7,
32,33,32,1,355116,1713,1674,39,31262.5,1380.61,
3,4,3,1,108675,2704,2693,11,19974.1,20876,
11,12,11,1,149826,3113,3100,13,40102.4,32964.1,
0,1,0,1,26666.6,4,0,4,825.194,37386.1,
4,5,4,1,38411.1,1509,1503,6,24876.9,30900.3,
8,9,8,1,204943,2924,2909,15,25658.1,31108.3,
10,11,10,1,291035,160,133,27,26051,12660,
9,10,9,1,193424,154,134,20,29461.5,10604.3,
8,9,8,1,216612,3963,3942,21,26556.9,24568,
14,15,14,1,384286,491,456,35,18976.7,28996.8,
33,34,33,1,969191,3724,3621,103,8405.34,30132.7,
2,3,2,1,42587.8,48,44,4,33415.8,26712.4,
5,6,5,1,127895,3473,3461,12,33724.6,30457.2,
4,5,4,1,239325,45,23,22,22349.7,1144.14,
7,8,7,2,108030,621,611,10,18623.8,1806.34,
0,1,0,2,18251.9,2,0,2,16072.1,13608.6,
11,12,11,2,288732,653,630,23,39608.6,22688.8,
2,3,2,2,49085.7,1014,1009,5,30157.6,20701.7,
52,53,52,2,1.04995e+06,2466,2359,107,35265.7,25765.3,
62,63,62,2,934182,932,845,87,24231.2,9124.41,
15,16,15,2,509232,3629,3588,41,11120.9,16059.9,
1,2,1,2,10165.5,937,935,2,4760.12,27988.2,
13,14,13,2,1.3381e+06,3778,3656,122,39996.7,8379.27,
40,41,40,2,1.43601e+06,683,566,117,17787.7,21752.7,
3,4,3,2,48488.8,132,128,4,25439.6,14056.5,
2,3,2,2,57695.4,1468,1465,3,15346.8,38424.6,
19,20,19,2,240469,2498,2474,24,12464.1,9780.76,
28,29,28,2,610847,3013,2962,51,16245.5,32881,
33,34,33,2,1.15611e+06,2112,2023,89,3055.61,27604.7,
10,11,10,2,123404,2705,2694,11,39026.1,20645.5,
3,4,3,2,289783,472,447,25,3940.1,30586.8,
6,7,6,2,118902,332,320,12,35731.7,4835.9,
11,12,11,2,169952,149,133,16,9980.31,25638,
4,5,4,2,61422.7,180,173,7,12045.1,22012.5,
8,9,8,2,326886,218,191,27,32403.7,25213.9,
27,28,27,2,337052,3498,3464,34,34076.6,31274.7,
14,15,14,2,257689,3868,3848,20,14283.6,7728.46,
3,4,3,3,33140,1790,1786,4,15032.8,22659.3,
16,17,16,3,345189,2234,2202,32,8064.63,11658.7,
19,20,19,3,260053,2490,2465,25,27814.4,33601,
3,4,3,3,57936.3,376,372,4,23707.1,21276.7,
7,8,7,3,156752,746,730,16,15488.2,24667.9,
42,43,42,3,1.40671e+06,3655,3522,133,33442.1,12808.7,
10,11,10,3,423377,689,661,28,24887,36348.8,
23,24,23,3,480854,1831,1790,41,6590.12,11258.8,
4,5,4,3,199887,2652,2633,19,14124.9,29479.7,
4,5,4,3,128633,46,35,11,10485.4,39930.1,
2,3,2,3,38799.1,61,57,4,34220.8,39667.4,
11,12,11,3,187870,2219,2201,18,31025.9,24414.8,
18,19,18,3,747988,354,314,40,8360.31,36106.9,
24,25,24,3,764684,911,851,60,15628.3,7967.84,
8,9,8,3,470383,291,245,46,10898.4,5832.16,
8,9,8,3,222596,2184,2164,20,25533.7,34377.9,
10,11,10,3,142381,1796,1782,14,36027.9,25524.6,
22,23,22,3,1.3328e+06,3915,3839,76,25431.3,29243.3,
10,11,10,3,165120,2520,2504,16,34989.7,20468.5,
14,15,14,3,223905,2664,2643,21,19664.5,37842.9,
33,34,33,3,563790,822,764,58,18555.9,24266.6,
0,1,0,3,21700.7,1,0,1,20894.3,39146.2,
35,36,35,3,1.14782e+06,2655,2586,69,22209.7,7889.21,
1,2,1,3,42067.7,28,24,4,2872.58,39449.9,
2,3,2,3,26880.2,103,100,3,34157,9565.92,
1,2,1,4,53761.1,6,1,5,39219.8,3701.49,
4,5,4,4,65000.4,369,364,5,15485.8,36619.8,
0,1,0,4,4194.9,1,0,1,30430.3,11824.2,
32,33,32,4,776055,2343,2276,67,9465.54,22204.3,
1,2,1,4,28727.7,631,627,4,33849.7,40132.3,
27,28,27,4,1.22383e+06,3733,3600,133,9922.28,7137.67,
26,27,26,4,1.50004e+06,1119,975,144,11155.8,17519.5,
0,1,0,4,9141.99,1,0,1,23758.4,21169.3,
1,2,1,4,30831.4,47,44,3,3415.95,16855.2,
4,5,4,4,64642,2453,2448,5,34793.2,37428,
3,4,3,4,273739,984,976,8,19403.3,28388.8,
7,8,7,4,112688,33,24,9,14282.8,16559.4,
9,10,9,4,128264,603,593,10,17723,21617.1,
29,30,29,4,353897,3939,3902,37,30895.7,8342.22,
2,3,2,4,25207,844,841,3,29595.5,38840.6,
1,2,1,4,33215.3,3562,3560,2,9429.92,10716.6,
4,5,4,4,42408.3,1591,1586,5,33674.5,35430.6,
