# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
13,14,13,1,568881,186,147,39,15039.4,25245.7,
1,2,1,1,99554.7,8,1,7,17883.5,6750.93,
3,4,3,1,295731,35,17,18,37616.1,37495.6,
14,15,14,1,1.04061e+06,3878,3808,70,31506.8,13935.6,
9,10,9,1,346524,3428,3407,21,19755.2,2385.83,
28,29,28,1,1.73807e+06,378,271,107,15848.4,34859.1,
66,67,66,1,2.38655e+06,2350,2201,149,14983,35549.9,
9,10,9,1,1.41056e+06,428,340,88,29362.7,18440.3,
121,122,121,1,3.55808e+06,4000,3773,227,16463.7,4554.94,
12,13,12,1,733593,3134,3090,44,27842.8,15013.1,
33,34,33,1,892331,1311,1252,59,31009.4,15830.5,
6,7,6,1,358777,1570,1548,22,39551.2,37326.9,
78,79,78,1,2.89174e+06,3121,2931,190,3522.46,36880.5,
1,2,1,1,111035,10,1,9,12587,9942.16,
12,13,12,1,822897,344,290,54,986.372,28359.3,
12,13,12,1,1.111e+06,1291,1221,70,31338,32142.2,
16,17,16,1,590793,3716,3681,35,38277.4,3458.08,
2,3,2,1,150141,18,7,11,38509.5,8711.32,
4,5,4,1,147498,577,567,10,23009.7,26419,
7,8,7,1,386528,320,292,28,18573.4,13927.9,
15,16,15,1,916187,2862,2802,60,16493.2,27490.3,
2,3,2,1,66963,9,4,5,34659.2,35840.4,
3,4,3,1,101669,3260,3254,6,36585.4,35640,
7,8,7,1,135779,111,101,10,23616.5,4477.22,
22,23,22,1,1.245e+06,2519,2445,74,30318.7,38634,
19,20,19,1,1.02783e+06,381,319,62,37589.8,12933.9,
43,44,43,1,1.48119e+06,2798,2713,85,20923.8,25568.4,
5,6,5,1,293834,1414,1393,21,37527.5,36367.9,
9,10,9,1,773776,280,235,45,22039.8,5880.42,
12,13,12,1,494537,137,101,36,30071,15427.7,
21,22,21,1,1.2444e+06,2571,2488,83,33080.7,8291.71,
10,11,10,1,492919,1271,1241,30,27549.2,35159.3,
24,25,24,1,742146,1685,1631,54,34086,34116.8,
34,35,34,1,1.40707e+06,2029,1931,98,12114.2,14881.7,
15,16,15,1,518254,1875,1834,41,33810.6,27862.4,
17,18,17,1,717853,184,138,46,38889.4,31258.9,
4,5,4,1,168292,1975,1966,9,20003.5,22878.1,
16,17,16,1,606743,1059,1022,37,28822,36282.2,
31,32,31,1,2.15606e+06,801,658,143,1721.26,19149.4,
14,15,14,1,1.45379e+06,200,94,106,30001.2,28922.7,
8,9,8,1,567352,545,509,36,4191.76,25203.7,
35,36,35,1,1.1842e+06,1810,1742,68,21695.9,24088.7,
18,19,18,1,862705,1847,1797,50,39979.4,30767.5,
5,6,5,1,575998,178,145,33,22844.9,28607.3,
13,14,13,1,2.34402e+06,297,152,145,20960.9,34142.4,
4,5,4,1,104259,2148,2141,7,32715.9,17926.3,
31,32,31,1,703854,338,288,50,34134,30139.4,
2,3,2,1,128763,20,11,9,23844.2,25130.2,
4,5,4,1,163953,74,63,11,14429.8,38851.9,
0,1,0,1,147462,7,0,7,3962.79,17692.9,
74,75,74,1,2.61751e+06,2143,1966,177,1307.71,5461.69,
6,7,6,1,423578,2704,2679,25,39247.6,38160.1,
30,31,30,1,1.38568e+06,3306,3202,104,21392.7,32001.3,
61,62,61,1,2.12255e+06,1778,1652,126,30965.9,25611.8,
25,26,25,1,830927,1081,1020,61,9848.84,19827.6,
18,19,18,1,422135,606,581,25,17910.4,20622.9,
5,6,5,1,672218,1269,1227,42,38351.7,6193.47,
13,14,13,1,610835,2134,2090,44,2858.46,38865.7,
12,13,12,1,983047,2294,2238,56,31013.2,4449.36,
1,2,1,1,169624,174,161,13,36727.5,10654.1,
30,31,30,1,502266,1045,1008,37,10920.9,30462,
31,32,31,1,764408,1673,1624,49,39093.1,36963.6,
12,13,12,1,360220,1235,1207,28,23838.3,26460.1,
5,6,5,1,293697,75,55,20,34925,37447,
2,3,2,1,172869,46,38,8,7701.11,3371.3,
9,10,9,1,332760,2956,2938,18,35878.6,39536.4,
2,3,2,1,96656.5,141,135,6,28510.1,22281.9,
3,4,3,1,239296,24,9,15,37360.3,33047.5,
42,43,42,1,1.3028e+06,923,838,85,7593.85,28953.2,
23,24,23,1,1.79966e+06,1126,987,139,33302.6,38494.1,
22,23,22,2,1.18129e+06,3334,3244,90,6049.27,30446.7,
10,11,10,2,207949,612,594,18,35489.4,38198.8,
0,1,0,2,23746.9,2,0,2,34268.6,20238.9,
6,7,6,2,255474,193,177,16,39447.7,11343.9,
4,5,4,2,254375,210,189,21,20290.7,4644.39,
3,4,3,2,85212.9,2111,2104,7,36469.6,39499.6,
3,4,3,2,194542,1070,1063,7,18784.4,24238.7,
33,34,33,2,1.9154e+06,452,318,134,23886.9,3710.52,
14,15,14,2,146940,2366,2350,16,34933.5,32697.8,
12,13,12,2,274301,80,63,17,32811,34838.3,
37,38,37,2,1.0647e+06,455,382,73,22325.2,22899.3,
1,2,1,2,55436,10,5,5,35415.7,27403.9,
28,29,28,2,453687,437,405,32,21598.1,20541.2,
42,43,42,2,1.10143e+06,2234,2150,84,829.167,39634.8,
5,6,5,2,89560,23,15,8,33957.1,11056.1,
4,5,4,2,179292,234,219,15,31474,25323.5,
2,3,2,2,41587.4,10,7,3,16092.8,4659.52,
1,2,1,2,41953.5,15,12,3,34588.1,28897.5,
2,3,2,2,44263.3,71,66,5,28405.8,21148.5,
6,7,6,2,347202,77,51,26,28679.5,27493.6,
14,15,14,2,399137,3464,3430,34,25033.8,24047,
