Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	493	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
57	57	1	-1	17824.745107	176.232712	227.800919	1.203346	1.203346	0.000000	0.785007	-1.000000	-1.000000	0.000000
61	60	1	-1	40059.839000	152.945938	216.770828	0.887060	0.887060	0.000000	0.963289	-1.000000	-1.000000	0.000000
63	61	1	-1	20574.446071	152.871231	216.781799	0.914830	0.914830	0.000000	0.871594	-1.000000	-1.000000	0.000000
86	83	1	-1	16393.493830	242.104874	217.872070	0.767210	0.767210	0.000000	0.893385	-1.000000	-1.000000	0.000000
103	99	1	-1	13945.274631	237.423279	60.743404	0.793682	0.793682	0.000000	0.811767	-1.000000	-1.000000	0.000000
137	132	1	-1	18947.230204	212.676620	170.326355	1.014464	1.014464	0.000000	0.829497	-1.000000	-1.000000	0.000000
150	144	1	-1	12797.179791	96.018173	169.524612	0.938908	0.938908	0.000000	0.760543	-1.000000	-1.000000	0.000000
203	196	1	-1	16099.363120	189.445328	157.753433	0.975130	0.975130	0.000000	0.806799	-1.000000	-1.000000	0.000000
254	246	1	-1	21053.263397	123.310455	111.398872	1.318815	1.318815	0.000000	0.625595	-1.000000	-1.000000	0.000000
300	291	1	-1	36738.215780	245.664246	169.058167	0.868123	0.868123	0.000000	0.934213	-1.000000	-1.000000	0.000000
302	292	1	-1	36204.600889	245.766083	169.033554	0.898764	0.898764	0.000000	0.943076	-1.000000	-1.000000	0.000000
346	335	1	-1	21685.719568	244.830551	247.956528	0.934802	0.934802	0.000000	0.848567	-1.000000	-1.000000	0.000000
348	336	1	-1	53032.020195	244.800812	248.001648	0.899167	0.899167	0.000000	0.974797	-1.000000	-1.000000	0.000000
375	362	1	-1	80233.551273	167.211136	234.661911	2.427703	2.427703	0.000000	0.535830	-1.000000	-1.000000	0.000000
377	363	1	-1	60978.398006	222.135880	159.487701	0.935833	0.935833	0.000000	0.979823	-1.000000	-1.000000	0.000000
384	369	1	-1	15964.041204	243.189301	73.748192	1.231372	1.231372	0.000000	0.614348	-1.000000	-1.000000	0.000000
409	393	1	-1	18191.372569	239.902466	173.805420	0.881770	0.881770	0.000000	0.789755	-1.000000	-1.000000	0.000000
411	394	1	-1	17282.742962	240.074570	173.701080	1.057657	1.057657	0.000000	0.744959	-1.000000	-1.000000	0.000000
413	395	1	-1	12204.002539	113.413071	73.207397	0.835666	0.835666	0.000000	0.839833	-1.000000	-1.000000	0.000000
414	395	2	-1	12222.493051	239.906250	173.587418	0.941189	0.941189	0.000000	0.685343	-1.000000	-1.000000	0.000000
429	409	1	-1	36816.005939	239.990433	173.847549	0.963477	0.963477	0.000000	0.940201	-1.000000	-1.000000	0.000000
431	410	1	-1	42915.748052	239.899704	173.822205	0.891835	0.891835	0.000000	0.973475	-1.000000	-1.000000	0.000000
436	414	1	-1	18743.117721	239.909790	173.689209	0.891062	0.891062	0.000000	0.854062	-1.000000	-1.000000	0.000000
438	415	1	-1	18119.492896	240.064529	173.733765	0.981417	0.981417	0.000000	0.826060	-1.000000	-1.000000	0.000000
440	416	1	-1	22234.108563	239.873856	173.698959	1.016698	1.016698	0.000000	0.872839	-1.000000	-1.000000	0.000000
442	417	1	-1	23593.298707	239.841721	173.718353	0.953419	0.953419	0.000000	0.908921	-1.000000	-1.000000	0.000000
444	418	1	-1	18826.134912	239.771286	173.950424	0.962226	0.962226	0.000000	0.834968	-1.000000	-1.000000	0.000000
446	419	1	-1	24038.574030	239.914383	173.791748	0.938358	0.938358	0.000000	0.915149	-1.000000	-1.000000	0.000000
448	420	1	-1	22755.844477	240.026505	173.678146	0.856308	0.856308	0.000000	0.907207	-1.000000	-1.000000	0.000000
