Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	14732	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	1766.064376	55.523510	182.836288	1.116495	1.116495	0.000000	0.553295	-1.000000	-1.000000	0.000000
2	1	2	-1	3762.535047	133.054764	128.406403	0.926851	0.926851	0.000000	0.874626	-1.000000	-1.000000	0.000000
3	1	3	-1	8471.070127	130.764786	179.310226	0.922489	0.922489	0.000000	0.945465	-1.000000	-1.000000	0.000000
4	1	4	-1	6535.797895	24.818747	250.462448	0.833613	0.833613	0.000000	0.927532	-1.000000	-1.000000	0.000000
6	2	1	-1	2597.213942	74.137444	249.462585	1.531712	1.531712	0.000000	0.520859	-1.000000	-1.000000	0.000000
7	2	2	-1	1258.590670	201.523178	72.487854	0.892771	0.892771	0.000000	0.466393	-1.000000	-1.000000	0.000000
8	2	3	-1	7727.221886	25.031956	250.558365	0.830252	0.830252	0.000000	0.962404	-1.000000	-1.000000	0.000000
9	2	4	-1	4366.533066	51.989338	181.034668	1.623254	1.623254	0.000000	0.490690	-1.000000	-1.000000	0.000000
10	2	5	-1	9484.011595	130.678452	179.145599	0.877662	0.877662	0.000000	0.953570	-1.000000	-1.000000	0.000000
11	2	6	-1	3071.546012	133.091400	128.252563	0.829256	0.829256	0.000000	0.866040	-1.000000	-1.000000	0.000000
13	3	1	-1	1382.343595	201.306656	72.445457	0.774674	0.774674	0.000000	0.609510	-1.000000	-1.000000	0.000000
14	3	2	-1	6699.369694	25.079483	250.394638	0.849741	0.849741	0.000000	0.933826	-1.000000	-1.000000	0.000000
15	3	3	-1	8285.405095	130.745239	179.225220	0.866192	0.866192	0.000000	0.958962	-1.000000	-1.000000	0.000000
16	3	4	-1	3423.967832	133.348068	128.420135	0.889274	0.889274	0.000000	0.865681	-1.000000	-1.000000	0.000000
17	3	5	-1	1758.518850	74.409538	249.193176	0.798357	0.798357	0.000000	0.742421	-1.000000	-1.000000	0.000000
19	4	1	-1	6509.726682	24.942078	250.406921	0.803447	0.803447	0.000000	0.945129	-1.000000	-1.000000	0.000000
20	4	2	-1	2156.586310	51.610149	193.544113	1.256556	1.256556	0.000000	0.628124	-1.000000	-1.000000	0.000000
21	4	3	-1	9308.047574	130.798355	179.268265	0.905260	0.905260	0.000000	0.965861	-1.000000	-1.000000	0.000000
22	4	4	-1	3263.927349	133.090042	128.297241	0.751232	0.751232	0.000000	0.900393	-1.000000	-1.000000	0.000000
24	5	1	-1	1004.672943	201.670212	72.507721	0.740366	0.740366	0.000000	0.577549	-1.000000	-1.000000	0.000000
25	5	2	-1	3829.307178	133.166351	128.443802	0.868840	0.868840	0.000000	0.882526	-1.000000	-1.000000	0.000000
26	5	3	-1	9503.866385	130.715958	179.284622	0.861554	0.861554	0.000000	0.974678	-1.000000	-1.000000	0.000000
27	5	4	-1	7355.111969	24.979017	250.420853	0.848070	0.848070	0.000000	0.939134	-1.000000	-1.000000	0.000000
29	6	1	-1	8017.951698	24.923349	250.496948	0.944451	0.944451	0.000000	0.943746	-1.000000	-1.000000	0.000000
30	6	2	-1	9192.948436	130.735748	179.209976	0.844818	0.844818	0.000000	0.965005	-1.000000	-1.000000	0.000000
31	6	3	-1	2601.995334	133.238663	128.479294	0.776040	0.776040	0.000000	0.817453	-1.000000	-1.000000	0.000000
32	6	4	-1	1873.093771	201.608292	72.184364	0.992451	0.992451	0.000000	0.677701	-1.000000	-1.000000	0.000000
34	7	1	-1	8461.811643	24.955822	250.566132	0.870553	0.870553	0.000000	0.946478	-1.000000	-1.000000	0.000000
35	7	2	-1	3725.018106	133.122116	128.430222	0.902222	0.902222	0.000000	0.839903	-1.000000	-1.000000	0.000000
36	7	3	-1	10376.923132	130.664703	179.238739	0.885454	0.885454	0.000000	0.967856	-1.000000	-1.000000	0.000000
38	8	1	-1	2733.261919	133.184967	128.361023	0.833658	0.833658	0.000000	0.847301	-1.000000	-1.000000	0.000000
39	8	2	-1	9409.510264	130.783630	179.329239	0.904905	0.904905	0.000000	0.956586	-1.000000	-1.000000	0.000000
40	8	3	-1	7103.968630	24.980061	250.418701	0.798526	0.798526	0.000000	0.954636	-1.000000	-1.000000	0.000000
42	9	1	-1	3977.451489	133.058960	128.356171	0.869530	0.869530	0.000000	0.906516	-1.000000	-1.000000	0.000000
43	9	2	-1	9421.727262	130.712646	179.333725	0.865862	0.865862	0.000000	0.968276	-1.000000	-1.000000	0.000000
44	9	3	-1	7306.894373	24.934677	250.532425	0.935798	0.935798	0.000000	0.956559	-1.000000	-1.000000	0.000000
46	10	1	-1	2970.795106	133.117340	128.405624	0.937303	0.937303	0.000000	0.841173	-1.000000	-1.000000	0.000000
47	10	2	-1	9054.746344	130.712204	179.202347	0.852045	0.852045	0.000000	0.944665	-1.000000	-1.000000	0.000000
48	10	3	-1	7487.405464	24.912910	250.481735	0.879576	0.879576	0.000000	0.956221	-1.000000	-1.000000	0.000000
50	11	1	-1	2219.625733	201.729706	71.958778	1.378074	1.378074	0.000000	0.453149	-1.000000	-1.000000	0.000000
51	11	2	-1	3030.011557	133.202881	128.463943	0.921214	0.921214	0.000000	0.823371	-1.000000	-1.000000	0.000000
52	11	3	-1	9739.691479	130.781494	179.285767	0.949601	0.949601	0.000000	0.968901	-1.000000	-1.000000	0.000000
53	11	4	-1	7763.624152	24.964706	250.420792	0.885806	0.885806	0.000000	0.946150	-1.000000	-1.000000	0.000000
55	12	1	-1	1382.015855	74.628365	249.091675	1.048251	1.048251	0.000000	0.468238	-1.000000	-1.000000	0.000000
56	12	2	-1	1863.152424	201.366013	71.995399	1.027733	1.027733	0.000000	0.620515	-1.000000	-1.000000	0.000000
57	12	3	-1	5038.171401	133.251343	128.312973	1.000423	1.000423	0.000000	0.907388	-1.000000	-1.000000	0.000000
58	12	4	-1	9284.907394	130.777100	179.335464	0.869001	0.869001	0.000000	0.972568	-1.000000	-1.000000	0.000000
59	12	5	-1	7104.460562	25.018011	250.503189	0.823808	0.823808	0.000000	0.962076	-1.000000	-1.000000	0.000000
61	13	1	-1	6860.317269	24.899570	250.431915	0.817394	0.817394	0.000000	0.955633	-1.000000	-1.000000	0.000000
62	13	2	-1	8157.387547	130.767288	179.282150	0.790199	0.790199	0.000000	0.966416	-1.000000	-1.000000	0.000000
63	13	3	-1	2973.571531	133.184280	128.448456	0.892091	0.892091	0.000000	0.781075	-1.000000	-1.000000	0.000000
65	14	1	-1	8436.590603	24.984850	250.500336	0.916655	0.916655	0.000000	0.951763	-1.000000	-1.000000	0.000000
66	14	2	-1	8869.528982	130.637756	179.376114	0.907327	0.907327	0.000000	0.972958	-1.000000	-1.000000	0.000000
67	14	3	-1	4125.673708	133.216919	128.221313	1.005204	1.005204	0.000000	0.871040	-1.000000	-1.000000	0.000000
69	15	1	-1	7592.535823	24.918991	250.484802	0.915020	0.915020	0.000000	0.954010	-1.000000	-1.000000	0.000000
70	15	2	-1	9419.867949	130.663589	179.322617	0.854384	0.854384	0.000000	0.963950	-1.000000	-1.000000	0.000000
71	15	3	-1	3324.887611	133.124924	128.296921	0.787002	0.787002	0.000000	0.892496	-1.000000	-1.000000	0.000000
73	16	1	-1	6534.023388	24.977545	250.545898	0.879045	0.879045	0.000000	0.929606	-1.000000	-1.000000	0.000000
74	16	2	-1	9267.334418	130.673752	179.330109	0.862640	0.862640	0.000000	0.960396	-1.000000	-1.000000	0.000000
75	16	3	-1	4025.209386	133.249054	128.516998	0.819679	0.819679	0.000000	0.906500	-1.000000	-1.000000	0.000000
77	17	1	-1	9025.695772	24.999496	250.406525	1.036755	1.036755	0.000000	0.918328	-1.000000	-1.000000	0.000000
78	17	2	-1	8835.230315	130.774765	179.353210	0.877732	0.877732	0.000000	0.964751	-1.000000	-1.000000	0.000000
79	17	3	-1	3589.716590	133.109833	128.344574	0.836082	0.836082	0.000000	0.887747	-1.000000	-1.000000	0.000000
80	17	4	-1	1935.432640	201.453644	72.314865	0.974080	0.974080	0.000000	0.654448	-1.000000	-1.000000	0.000000
82	18	1	-1	8133.432050	25.025194	250.527557	0.867645	0.867645	0.000000	0.946092	-1.000000	-1.000000	0.000000
83	18	2	-1	8683.064713	130.783051	179.310226	0.871973	0.871973	0.000000	0.963093	-1.000000	-1.000000	0.000000
84	18	3	-1	3615.675059	133.184006	128.490753	0.840507	0.840507	0.000000	0.875625	-1.000000	-1.000000	0.000000
86	19	1	-1	3889.075704	133.286011	128.324875	0.947176	0.947176	0.000000	0.875973	-1.000000	-1.000000	0.000000
87	19	2	-1	7957.260803	25.052658	250.415009	0.898283	0.898283	0.000000	0.956286	-1.000000	-1.000000	0.000000
88	19	3	-1	7729.023015	130.823395	179.205093	0.750648	0.750648	0.000000	0.958225	-1.000000	-1.000000	0.000000
90	20	1	-1	8009.962909	25.041622	250.532486	0.991489	0.991489	0.000000	0.945577	-1.000000	-1.000000	0.000000
91	20	2	-1	8794.695433	130.706329	179.302612	0.916833	0.916833	0.000000	0.981342	-1.000000	-1.000000	0.000000
92	20	3	-1	4005.193743	133.166885	128.275620	0.894136	0.894136	0.000000	0.895371	-1.000000	-1.000000	0.000000
94	21	1	-1	7591.624378	25.039825	250.580994	0.884150	0.884150	0.000000	0.932552	-1.000000	-1.000000	0.000000
95	21	2	-1	1355.450361	201.615585	72.305725	0.945933	0.945933	0.000000	0.577750	-1.000000	-1.000000	0.000000
96	21	3	-1	2851.700602	133.208664	128.572540	0.779415	0.779415	0.000000	0.822021	-1.000000	-1.000000	0.000000
97	21	4	-1	8847.249226	130.807220	179.288071	0.828059	0.828059	0.000000	0.971751	-1.000000	-1.000000	0.000000
99	22	1	-1	8498.607898	24.936783	250.523117	1.040053	1.040053	0.000000	0.965954	-1.000000	-1.000000	0.000000
100	22	2	-1	8780.091776	130.743729	179.276779	0.841529	0.841529	0.000000	0.972290	-1.000000	-1.000000	0.000000
101	22	3	-1	4255.359565	133.248840	128.430984	0.869051	0.869051	0.000000	0.936898	-1.000000	-1.000000	0.000000
103	23	1	-1	7566.848148	25.067400	250.546570	0.872295	0.872295	0.000000	0.941620	-1.000000	-1.000000	0.000000
104	23	2	-1	9350.409992	130.772217	179.230591	0.935126	0.935126	0.000000	0.956978	-1.000000	-1.000000	0.000000
105	23	3	-1	3979.107312	133.266144	128.381851	0.954222	0.954222	0.000000	0.899007	-1.000000	-1.000000	0.000000
106	23	4	-1	1311.353604	201.327377	72.169327	0.784535	0.784535	0.000000	0.666977	-1.000000	-1.000000	0.000000
108	24	1	-1	7621.175548	24.860157	250.464401	1.005192	1.005192	0.000000	0.937041	-1.000000	-1.000000	0.000000
109	24	2	-1	9101.834221	130.798218	179.303543	0.911795	0.911795	0.000000	0.963561	-1.000000	-1.000000	0.000000
110	24	3	-1	3387.399942	133.254471	128.353149	0.768108	0.768108	0.000000	0.842371	-1.000000	-1.000000	0.000000
112	25	1	-1	8212.112285	25.004799	250.426437	0.983168	0.983168	0.000000	0.936953	-1.000000	-1.000000	0.000000
113	25	2	-1	8558.998830	130.727051	179.274612	0.896587	0.896587	0.000000	0.959703	-1.000000	-1.000000	0.000000
114	25	3	-1	3317.560564	133.218765	128.504562	0.747256	0.747256	0.000000	0.912238	-1.000000	-1.000000	0.000000
116	26	1	-1	1141.317354	18.037735	180.813431	0.686122	0.686122	0.000000	0.689596	-1.000000	-1.000000	0.000000
117	26	2	-1	8501.956807	24.915367	250.512589	0.935972	0.935972	0.000000	0.958338	-1.000000	-1.000000	0.000000
118	26	3	-1	9413.670185	130.641312	179.134583	0.845269	0.845269	0.000000	0.976289	-1.000000	-1.000000	0.000000
119	26	4	-1	3600.468861	133.291321	128.446945	0.835795	0.835795	0.000000	0.916251	-1.000000	-1.000000	0.000000
121	27	1	-1	8665.339165	130.744522	179.320648	0.806780	0.806780	0.000000	0.970753	-1.000000	-1.000000	0.000000
122	27	2	-1	2693.440991	133.249863	128.189606	0.693223	0.693223	0.000000	0.863309	-1.000000	-1.000000	0.000000
123	27	3	-1	1329.017249	17.913708	180.772720	0.852220	0.852220	0.000000	0.610433	-1.000000	-1.000000	0.000000
124	27	4	-1	7596.199557	24.955154	250.430130	0.861711	0.861711	0.000000	0.956340	-1.000000	-1.000000	0.000000
126	28	1	-1	7977.846608	24.785091	250.420410	0.997688	0.997688	0.000000	0.943994	-1.000000	-1.000000	0.000000
127	28	2	-1	2967.653110	133.168213	128.438217	0.749054	0.749054	0.000000	0.851623	-1.000000	-1.000000	0.000000
128	28	3	-1	9232.344696	130.781082	179.274872	0.877812	0.877812	0.000000	0.968585	-1.000000	-1.000000	0.000000
130	29	1	-1	7225.588042	24.965073	250.468185	0.893048	0.893048	0.000000	0.936644	-1.000000	-1.000000	0.000000
131	29	2	-1	1335.183205	201.294388	72.205742	0.824306	0.824306	0.000000	0.515055	-1.000000	-1.000000	0.000000
132	29	3	-1	8782.517082	130.769928	179.219131	0.861333	0.861333	0.000000	0.950331	-1.000000	-1.000000	0.000000
