Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	13987	0.160	0.020	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	10465.133803	9.129162	217.187637	1.006215	1.006215	0.000000	0.954175	-1.000000	-1.000000	0.000000
2	1	2	-1	2350.800126	178.165512	5.392239	1.034393	1.034393	0.000000	0.641540	-1.000000	-1.000000	0.000000
3	1	3	-1	1434.492581	115.136093	230.025986	0.807670	0.807670	0.000000	0.635983	-1.000000	-1.000000	0.000000
5	2	1	-1	3027.599955	115.019173	230.261002	1.156745	1.156745	0.000000	0.762190	-1.000000	-1.000000	0.000000
6	2	2	-1	9542.946181	9.153365	217.178665	0.996850	0.996850	0.000000	0.961165	-1.000000	-1.000000	0.000000
7	2	3	-1	2924.041875	178.123367	5.604473	1.058318	1.058318	0.000000	0.794774	-1.000000	-1.000000	0.000000
9	3	1	-1	8593.754708	9.005525	217.210068	0.862006	0.862006	0.000000	0.961175	-1.000000	-1.000000	0.000000
10	3	2	-1	1855.544178	178.379517	5.394778	0.914112	0.914112	0.000000	0.680202	-1.000000	-1.000000	0.000000
11	3	3	-1	3128.581948	114.706024	230.132797	1.311685	1.311685	0.000000	0.738656	-1.000000	-1.000000	0.000000
13	4	1	-1	2399.590981	114.886520	230.002594	1.015694	1.015694	0.000000	0.730261	-1.000000	-1.000000	0.000000
14	4	2	-1	8628.813578	9.105549	217.142059	0.898002	0.898002	0.000000	0.972358	-1.000000	-1.000000	0.000000
15	4	3	-1	4024.906416	178.319397	5.706825	1.647480	1.647480	0.000000	0.661115	-1.000000	-1.000000	0.000000
17	5	1	-1	2383.564524	114.634010	230.198273	1.056595	1.056595	0.000000	0.694952	-1.000000	-1.000000	0.000000
18	5	2	-1	2611.549562	178.495804	5.624387	1.146798	1.146798	0.000000	0.685304	-1.000000	-1.000000	0.000000
19	5	3	-1	11239.130151	9.115043	217.204239	1.033770	1.033770	0.000000	0.949498	-1.000000	-1.000000	0.000000
21	6	1	-1	1490.120322	114.896889	230.485870	0.784358	0.784358	0.000000	0.653081	-1.000000	-1.000000	0.000000
22	6	2	-1	9395.428180	9.232462	217.255981	0.981004	0.981004	0.000000	0.954810	-1.000000	-1.000000	0.000000
23	6	3	-1	1263.572042	63.612198	160.843491	1.012791	1.012791	0.000000	0.489201	-1.000000	-1.000000	0.000000
24	6	4	-1	2823.009932	178.317657	5.657918	1.041943	1.041943	0.000000	0.825296	-1.000000	-1.000000	0.000000
26	7	1	-1	2838.315412	114.738747	230.096619	1.011311	1.011311	0.000000	0.808789	-1.000000	-1.000000	0.000000
27	7	2	-1	10272.934957	9.093278	217.257690	1.006704	1.006704	0.000000	0.964024	-1.000000	-1.000000	0.000000
28	7	3	-1	2896.912611	178.436935	5.853649	1.181415	1.181415	0.000000	0.821250	-1.000000	-1.000000	0.000000
30	8	1	-1	9372.112834	9.055958	217.236221	0.969507	0.969507	0.000000	0.967349	-1.000000	-1.000000	0.000000
31	8	2	-1	2240.337829	178.237396	5.506426	0.932871	0.932871	0.000000	0.829828	-1.000000	-1.000000	0.000000
32	8	3	-1	1906.807377	115.386360	230.357330	0.848478	0.848478	0.000000	0.739232	-1.000000	-1.000000	0.000000
34	9	1	-1	9628.698744	9.113032	217.312881	0.947121	0.947121	0.000000	0.960018	-1.000000	-1.000000	0.000000
35	9	2	-1	2762.381813	178.107178	5.742306	1.318070	1.318070	0.000000	0.706454	-1.000000	-1.000000	0.000000
36	9	3	-1	1380.140867	84.286720	191.440765	0.930084	0.930084	0.000000	0.506008	-1.000000	-1.000000	0.000000
37	9	4	-1	2757.222460	115.046043	230.261642	1.108599	1.108599	0.000000	0.777354	-1.000000	-1.000000	0.000000
39	10	1	-1	9672.017627	9.080782	217.199295	0.942280	0.942280	0.000000	0.977384	-1.000000	-1.000000	0.000000
40	10	2	-1	2001.900738	178.328232	5.613265	1.083029	1.083029	0.000000	0.707143	-1.000000	-1.000000	0.000000
41	10	3	-1	2349.041148	114.768394	230.154922	1.241833	1.241833	0.000000	0.629931	-1.000000	-1.000000	0.000000
43	11	1	-1	1978.762280	118.963036	237.259811	0.926980	0.926980	0.000000	0.718710	-1.000000	-1.000000	0.000000
44	11	2	-1	2754.023090	178.717621	5.658221	1.128687	1.128687	0.000000	0.761513	-1.000000	-1.000000	0.000000
45	11	3	-1	1902.937578	115.107216	230.158310	0.908348	0.908348	0.000000	0.698454	-1.000000	-1.000000	0.000000
46	11	4	-1	7907.360924	9.024299	217.292145	0.964794	0.964794	0.000000	0.919876	-1.000000	-1.000000	0.000000
48	12	1	-1	1216.073209	84.349625	191.748444	0.812978	0.812978	0.000000	0.691904	-1.000000	-1.000000	0.000000
49	12	2	-1	2409.138902	114.854141	230.218262	1.044278	1.044278	0.000000	0.802128	-1.000000	-1.000000	0.000000
50	12	3	-1	2652.867927	178.487732	5.580462	1.118635	1.118635	0.000000	0.776431	-1.000000	-1.000000	0.000000
51	12	4	-1	9319.099634	9.007728	217.231812	0.928982	0.928982	0.000000	0.975476	-1.000000	-1.000000	0.000000
53	13	1	-1	3831.099410	115.247879	230.433502	1.526422	1.526422	0.000000	0.651896	-1.000000	-1.000000	0.000000
54	13	2	-1	9282.843373	9.058896	217.182816	0.976724	0.976724	0.000000	0.965458	-1.000000	-1.000000	0.000000
55	13	3	-1	2767.328568	178.229919	5.617754	1.325925	1.325925	0.000000	0.590617	-1.000000	-1.000000	0.000000
57	14	1	-1	9140.736187	9.086932	217.251785	0.900275	0.900275	0.000000	0.971285	-1.000000	-1.000000	0.000000
58	14	2	-1	2787.405649	114.982574	230.105209	1.188908	1.188908	0.000000	0.749731	-1.000000	-1.000000	0.000000
60	15	1	-1	9199.192657	9.077173	217.170181	0.986389	0.986389	0.000000	0.952766	-1.000000	-1.000000	0.000000
61	15	2	-1	2477.382530	114.954506	230.013626	1.077698	1.077698	0.000000	0.711023	-1.000000	-1.000000	0.000000
62	15	3	-1	1670.896237	178.325714	5.627023	0.993333	0.993333	0.000000	0.779417	-1.000000	-1.000000	0.000000
64	16	1	-1	9161.246782	9.177513	217.290085	1.004722	1.004722	0.000000	0.960868	-1.000000	-1.000000	0.000000
65	16	2	-1	3281.209452	178.220001	5.767784	1.329152	1.329152	0.000000	0.803461	-1.000000	-1.000000	0.000000
66	16	3	-1	1710.421039	115.168823	230.092850	1.035573	1.035573	0.000000	0.479605	-1.000000	-1.000000	0.000000
67	16	4	-1	972.133855	63.376781	161.635101	0.560787	0.560787	0.000000	0.642514	-1.000000	-1.000000	0.000000
69	17	1	-1	2203.363731	114.811180	230.541870	0.895571	0.895571	0.000000	0.741475	-1.000000	-1.000000	0.000000
70	17	2	-1	9499.308560	9.108224	217.164429	0.957360	0.957360	0.000000	0.973601	-1.000000	-1.000000	0.000000
71	17	3	-1	1884.043565	178.440918	5.726190	0.942288	0.942288	0.000000	0.748526	-1.000000	-1.000000	0.000000
73	18	1	-1	9445.726240	9.145590	217.106293	0.951645	0.951645	0.000000	0.950399	-1.000000	-1.000000	0.000000
74	18	2	-1	1860.592891	178.420410	5.640341	0.975479	0.975479	0.000000	0.720065	-1.000000	-1.000000	0.000000
75	18	3	-1	2736.851596	115.052719	229.952896	1.171918	1.171918	0.000000	0.738148	-1.000000	-1.000000	0.000000
77	19	1	-1	9393.383236	8.983541	217.175690	1.005863	1.005863	0.000000	0.954436	-1.000000	-1.000000	0.000000
78	19	2	-1	1146.294108	177.892700	5.701137	0.796743	0.796743	0.000000	0.575042	-1.000000	-1.000000	0.000000
79	19	3	-1	2638.505757	115.047249	230.292648	1.140097	1.140097	0.000000	0.736565	-1.000000	-1.000000	0.000000
81	20	1	-1	9712.516401	9.080799	217.112015	0.899111	0.899111	0.000000	0.971509	-1.000000	-1.000000	0.000000
82	20	2	-1	2295.134196	178.550674	5.940580	0.916235	0.916235	0.000000	0.833011	-1.000000	-1.000000	0.000000
83	20	3	-1	1658.687909	115.223991	229.948700	0.813869	0.813869	0.000000	0.706562	-1.000000	-1.000000	0.000000
85	21	1	-1	1785.388490	178.521271	5.746862	0.862710	0.862710	0.000000	0.693328	-1.000000	-1.000000	0.000000
86	21	2	-1	1614.250164	115.169174	230.181610	0.799826	0.799826	0.000000	0.696104	-1.000000	-1.000000	0.000000
87	21	3	-1	1463.779517	207.415756	99.089363	0.768556	0.768556	0.000000	0.623631	-1.000000	-1.000000	0.000000
88	21	4	-1	9421.493081	9.073080	217.338165	0.993062	0.993062	0.000000	0.956482	-1.000000	-1.000000	0.000000
89	21	5	-1	1468.560313	63.635151	161.460175	0.898408	0.898408	0.000000	0.571220	-1.000000	-1.000000	0.000000
91	22	1	-1	1828.533905	178.499176	5.849374	0.956308	0.956308	0.000000	0.608002	-1.000000	-1.000000	0.000000
92	22	2	-1	2540.405680	115.022568	230.361176	0.886082	0.886082	0.000000	0.830574	-1.000000	-1.000000	0.000000
93	22	3	-1	4436.253478	250.503799	226.102219	0.992120	0.992120	0.000000	0.936168	-1.000000	-1.000000	0.000000
94	22	4	-1	10010.304933	8.972142	217.166199	0.915439	0.915439	0.000000	0.973747	-1.000000	-1.000000	0.000000
96	23	1	-1	1848.596135	178.180161	5.526363	0.827798	0.827798	0.000000	0.727297	-1.000000	-1.000000	0.000000
97	23	2	-1	1861.350946	114.859398	229.853149	0.981451	0.981451	0.000000	0.650455	-1.000000	-1.000000	0.000000
98	23	3	-1	1313.797895	250.593948	225.872406	1.007298	1.007298	0.000000	0.478360	-1.000000	-1.000000	0.000000
99	23	4	-1	9242.817893	9.103687	217.109756	0.871700	0.871700	0.000000	0.967842	-1.000000	-1.000000	0.000000
101	24	1	-1	1515.361913	178.396988	5.204475	0.842896	0.842896	0.000000	0.631584	-1.000000	-1.000000	0.000000
102	24	2	-1	2576.721115	114.985245	230.211929	1.100812	1.100812	0.000000	0.700894	-1.000000	-1.000000	0.000000
103	24	3	-1	9938.005183	9.041633	217.193787	0.986373	0.986373	0.000000	0.974419	-1.000000	-1.000000	0.000000
104	24	4	-1	937.743112	222.722031	187.141220	0.599348	0.599348	0.000000	0.623216	-1.000000	-1.000000	0.000000
106	25	1	-1	9296.244592	9.043400	217.190475	0.928676	0.928676	0.000000	0.961361	-1.000000	-1.000000	0.000000
107	25	2	-1	1919.134781	178.106323	5.588985	0.949793	0.949793	0.000000	0.721485	-1.000000	-1.000000	0.000000
108	25	3	-1	1304.761871	63.844761	161.867569	0.976383	0.976383	0.000000	0.526782	-1.000000	-1.000000	0.000000
109	25	4	-1	1712.649944	115.106995	230.336380	0.895156	0.895156	0.000000	0.651345	-1.000000	-1.000000	0.000000
111	26	1	-1	2519.959638	178.206848	5.813300	1.102479	1.102479	0.000000	0.798254	-1.000000	-1.000000	0.000000
112	26	2	-1	2631.034428	115.172569	230.123230	1.137811	1.137811	0.000000	0.746317	-1.000000	-1.000000	0.000000
113	26	3	-1	9083.852534	8.982481	217.311310	0.975221	0.975221	0.000000	0.957877	-1.000000	-1.000000	0.000000
115	27	1	-1	1804.605746	115.220474	230.019180	0.870319	0.870319	0.000000	0.705084	-1.000000	-1.000000	0.000000
116	27	2	-1	2124.527838	250.757629	226.682632	0.953803	0.953803	0.000000	0.691760	-1.000000	-1.000000	0.000000
117	27	3	-1	2601.098878	178.442810	5.866784	1.239347	1.239347	0.000000	0.737920	-1.000000	-1.000000	0.000000
118	27	4	-1	8887.774553	9.054063	217.136246	0.928118	0.928118	0.000000	0.962831	-1.000000	-1.000000	0.000000
120	28	1	-1	2074.254566	115.043137	230.400818	0.990142	0.990142	0.000000	0.734941	-1.000000	-1.000000	0.000000
121	28	2	-1	2107.165359	178.288162	5.623448	1.172876	1.172876	0.000000	0.566066	-1.000000	-1.000000	0.000000
122	28	3	-1	2021.309121	207.266281	98.862541	1.163728	1.163728	0.000000	0.625477	-1.000000	-1.000000	0.000000
123	28	4	-1	9040.328107	9.074776	217.178406	0.954293	0.954293	0.000000	0.972784	-1.000000	-1.000000	0.000000
125	29	1	-1	9163.500199	9.173274	217.150101	0.915031	0.915031	0.000000	0.969614	-1.000000	-1.000000	0.000000
126	29	2	-1	1654.151753	178.409073	5.577460	0.797979	0.797979	0.000000	0.760386	-1.000000	-1.000000	0.000000
127	29	3	-1	1592.822943	120.241310	58.308319	0.910481	0.910481	0.000000	0.693228	-1.000000	-1.000000	0.000000
128	29	4	-1	2554.633938	63.682194	161.212814	1.379095	1.379095	0.000000	0.539229	-1.000000	-1.000000	0.000000
129	29	5	-1	1240.092245	74.036453	217.482834	0.905840	0.905840	0.000000	0.622103	-1.000000	-1.000000	0.000000
130	29	6	-1	2603.767783	115.125595	230.337524	1.219261	1.219261	0.000000	0.717593	-1.000000	-1.000000	0.000000
132	30	1	-1	2474.822046	114.739105	230.367615	0.977428	0.977428	0.000000	0.788895	-1.000000	-1.000000	0.000000
133	30	2	-1	1048.741552	120.623589	58.142979	0.657625	0.657625	0.000000	0.622394	-1.000000	-1.000000	0.000000
134	30	3	-1	8021.439210	9.126588	217.145737	0.856583	0.856583	0.000000	0.971397	-1.000000	-1.000000	0.000000
135	30	4	-1	1491.337189	178.139862	5.174341	0.645010	0.645010	0.000000	0.732539	-1.000000	-1.000000	0.000000
136	30	5	-1	1412.675767	74.074944	217.637192	0.752370	0.752370	0.000000	0.715031	-1.000000	-1.000000	0.000000
138	31	1	-1	1974.558904	115.032326	230.211884	0.808497	0.808497	0.000000	0.826557	-1.000000	-1.000000	0.000000
139	31	2	-1	1834.133969	120.097694	58.320606	1.014913	1.014913	0.000000	0.694291	-1.000000	-1.000000	0.000000
140	31	3	-1	2392.895401	178.310394	5.423833	1.043555	1.043555	0.000000	0.736942	-1.000000	-1.000000	0.000000
141	31	4	-1	1055.334264	226.003082	93.036568	0.655248	0.655248	0.000000	0.632959	-1.000000	-1.000000	0.000000
142	31	5	-1	9023.544983	9.078175	217.231064	0.883395	0.883395	0.000000	0.974122	-1.000000	-1.000000	0.000000
144	32	1	-1	2100.912371	178.592545	5.476491	1.148508	1.148508	0.000000	0.646655	-1.000000	-1.000000	0.000000
145	32	2	-1	2250.230295	114.886803	230.293198	0.982810	0.982810	0.000000	0.816779	-1.000000	-1.000000	0.000000
146	32	3	-1	9042.825005	8.936251	217.179626	0.907148	0.907148	0.000000	0.976900	-1.000000	-1.000000	0.000000
148	33	1	-1	9815.878125	9.018681	217.196503	0.896431	0.896431	0.000000	0.976131	-1.000000	-1.000000	0.000000
149	33	2	-1	1830.657973	115.101402	230.274170	0.795725	0.795725	0.000000	0.741538	-1.000000	-1.000000	0.000000
151	34	1	-1	2635.577288	115.017357	230.243866	1.174085	1.174085	0.000000	0.686463	-1.000000	-1.000000	0.000000
152	34	2	-1	1900.006387	178.323013	5.614825	1.092139	1.092139	0.000000	0.717766	-1.000000	-1.000000	0.000000
153	34	3	-1	2029.656926	207.291382	98.715408	1.101859	1.101859	0.000000	0.734496	-1.000000	-1.000000	0.000000
154	34	4	-1	9361.045243	8.939861	217.236328	1.034658	1.034658	0.000000	0.955197	-1.000000	-1.000000	0.000000
156	35	1	-1	9501.271992	9.042130	217.103119	0.978358	0.978358	0.000000	0.961863	-1.000000	-1.000000	0.000000
157	35	2	-1	2513.628113	115.059067	230.287552	1.032858	1.032858	0.000000	0.770595	-1.000000	-1.000000	0.000000
158	35	3	-1	1760.389022	178.523956	5.594573	0.992018	0.992018	0.000000	0.572442	-1.000000	-1.000000	0.000000
160	36	1	-1	2598.217856	114.937523	230.101196	0.974942	0.974942	0.000000	0.776702	-1.000000	-1.000000	0.000000
161	36	2	-1	9562.998901	9.067217	217.045425	0.980916	0.980916	0.000000	0.956020	-1.000000	-1.000000	0.000000
162	36	3	-1	2102.405907	178.232224	5.561636	0.999891	0.999891	0.000000	0.631818	-1.000000	-1.000000	0.000000
164	37	1	-1	8867.646620	9.033108	217.186707	0.914839	0.914839	0.000000	0.967089	-1.000000	-1.000000	0.000000
165	37	2	-1	2703.192640	178.259186	5.666973	1.398229	1.398229	0.000000	0.682020	-1.000000	-1.000000	0.000000
166	37	3	-1	1943.014054	63.345440	161.156647	1.102649	1.102649	0.000000	0.663349	-1.000000	-1.000000	0.000000
167	37	4	-1	1647.066691	115.201782	230.229736	0.957465	0.957465	0.000000	0.538033	-1.000000	-1.000000	0.000000
169	38	1	-1	9790.129739	9.094390	217.180695	0.972600	0.972600	0.000000	0.950104	-1.000000	-1.000000	0.000000
170	38	2	-1	2162.622909	115.173843	230.104843	1.080156	1.080156	0.000000	0.696872	-1.000000	-1.000000	0.000000
172	39	1	-1	1976.207568	114.998466	230.253021	1.160269	1.160269	0.000000	0.534204	-1.000000	-1.000000	0.000000
173	39	2	-1	1410.157358	206.978363	99.192009	1.104343	1.104343	0.000000	0.388933	-1.000000	-1.000000	0.000000
174	39	3	-1	2137.951500	178.358704	5.557101	1.115340	1.115340	0.000000	0.664057	-1.000000	-1.000000	0.000000
175	39	4	-1	9509.480372	9.084376	217.165527	0.953560	0.953560	0.000000	0.968217	-1.000000	-1.000000	0.000000
177	40	1	-1	1554.502973	115.172272	230.198929	0.825069	0.825069	0.000000	0.652264	-1.000000	-1.000000	0.000000
178	40	2	-1	2523.970743	178.298965	5.632650	1.073819	1.073819	0.000000	0.677764	-1.000000	-1.000000	0.000000
179	40	3	-1	8035.175251	8.997047	217.136002	0.948967	0.948967	0.000000	0.960845	-1.000000	-1.000000	0.000000
181	41	1	-1	1792.205620	115.216774	230.077866	0.919259	0.919259	0.000000	0.650418	-1.000000	-1.000000	0.000000
182	41	2	-1	2135.887538	178.439407	5.886239	1.023546	1.023546	0.000000	0.659254	-1.000000	-1.000000	0.000000
183	41	3	-1	9789.466569	8.950648	217.159637	0.959067	0.959067	0.000000	0.969486	-1.000000	-1.000000	0.000000
185	42	1	-1	2010.506317	178.380051	5.328817	0.994844	0.994844	0.000000	0.791921	-1.000000	-1.000000	0.000000
186	42	2	-1	2426.140501	27.270138	248.282867	0.990519	0.990519	0.000000	0.767942	-1.000000	-1.000000	0.000000
187	42	3	-1	1261.486628	196.415192	117.781769	0.958736	0.958736	0.000000	0.501459	-1.000000	-1.000000	0.000000
188	42	4	-1	1883.441059	207.344421	98.899452	1.226362	1.226362	0.000000	0.570439	-1.000000	-1.000000	0.000000
189	42	5	-1	2379.334632	114.954445	230.182739	1.079001	1.079001	0.000000	0.687752	-1.000000	-1.000000	0.000000
190	42	6	-1	9099.252139	9.055517	217.252426	0.925178	0.925178	0.000000	0.969077	-1.000000	-1.000000	0.000000
192	43	1	-1	2047.305716	115.105453	230.129547	1.019630	1.019630	0.000000	0.750257	-1.000000	-1.000000	0.000000
193	43	2	-1	1663.922587	178.211533	5.442986	1.051315	1.051315	0.000000	0.587003	-1.000000	-1.000000	0.000000
194	43	3	-1	1309.488532	32.094318	241.014847	0.806204	0.806204	0.000000	0.566824	-1.000000	-1.000000	0.000000
195	43	4	-1	9487.395201	9.196660	217.240372	0.918604	0.918604	0.000000	0.960145	-1.000000	-1.000000	0.000000
197	44	1	-1	10053.630464	9.013440	217.239822	1.050255	1.050255	0.000000	0.975733	-1.000000	-1.000000	0.000000
198	44	2	-1	2528.590481	178.226898	5.486589	1.115260	1.115260	0.000000	0.766721	-1.000000	-1.000000	0.000000
199	44	3	-1	1299.941537	115.599686	230.102905	0.739592	0.739592	0.000000	0.540877	-1.000000	-1.000000	0.000000
200	44	4	-1	1438.960537	195.864975	117.304314	1.005541	1.005541	0.000000	0.469119	-1.000000	-1.000000	0.000000
202	45	1	-1	2116.325387	178.321075	5.384028	0.898148	0.898148	0.000000	0.730144	-1.000000	-1.000000	0.000000
203	45	2	-1	2409.556275	114.832329	229.979431	1.010461	1.010461	0.000000	0.764979	-1.000000	-1.000000	0.000000
204	45	3	-1	1660.593237	207.126831	98.968666	1.026568	1.026568	0.000000	0.578320	-1.000000	-1.000000	0.000000
205	45	4	-1	8772.652085	9.103036	217.274643	0.962820	0.962820	0.000000	0.960826	-1.000000	-1.000000	0.000000
207	46	1	-1	2430.881984	178.426331	5.528719	1.044513	1.044513	0.000000	0.764979	-1.000000	-1.000000	0.000000
208	46	2	-1	2127.596945	115.214714	230.299744	0.872061	0.872061	0.000000	0.765288	-1.000000	-1.000000	0.000000
209	46	3	-1	8697.691820	9.164230	217.272827	0.931196	0.931196	0.000000	0.946775	-1.000000	-1.000000	0.000000
210	46	4	-1	1758.380328	6.127272	168.780640	1.259975	1.259975	0.000000	0.560330	-1.000000	-1.000000	0.000000
212	47	1	-1	9620.310380	9.029171	217.167389	0.919707	0.919707	0.000000	0.963864	-1.000000	-1.000000	0.000000
213	47	2	-1	1642.701052	178.039658	5.963637	0.814097	0.814097	0.000000	0.785555	-1.000000	-1.000000	0.000000
214	47	3	-1	1033.539420	207.288437	99.122726	0.688556	0.688556	0.000000	0.630600	-1.000000	-1.000000	0.000000
215	47	4	-1	2627.327686	115.109474	229.954544	1.019403	1.019403	0.000000	0.817930	-1.000000	-1.000000	0.000000
217	48	1	-1	2297.406369	178.453735	5.631499	1.168224	1.168224	0.000000	0.590768	-1.000000	-1.000000	0.000000
218	48	2	-1	2430.672143	114.965370	229.942657	1.090919	1.090919	0.000000	0.684872	-1.000000	-1.000000	0.000000
219	48	3	-1	1168.648747	207.232391	99.006371	0.871792	0.871792	0.000000	0.438182	-1.000000	-1.000000	0.000000
220	48	4	-1	8951.074548	9.098266	217.198090	0.860373	0.860373	0.000000	0.980231	-1.000000	-1.000000	0.000000
223	49	1	-1	8262.873403	8.978497	217.144485	0.874830	0.874830	0.000000	0.962942	-1.000000	-1.000000	0.000000
