Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	12115	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	67085.277533	80.499260	63.329220	0.913399	0.913399	0.000000	0.981427	-1.000000	-1.000000	0.000000
2	1	2	-1	32309.450542	22.534756	132.488281	1.033553	1.033553	0.000000	0.871062	-1.000000	-1.000000	0.000000
4	2	1	-1	73747.826111	80.474960	63.482483	0.917803	0.917803	0.000000	0.986140	-1.000000	-1.000000	0.000000
5	2	2	-1	11292.233746	181.945862	159.284027	1.337176	1.337176	0.000000	0.582349	-1.000000	-1.000000	0.000000
6	2	3	-1	37457.965371	22.339581	132.294159	1.017774	1.017774	0.000000	0.938287	-1.000000	-1.000000	0.000000
8	3	1	-1	67774.194557	80.459686	63.432774	0.928191	0.928191	0.000000	0.981089	-1.000000	-1.000000	0.000000
9	3	2	-1	33480.735105	22.563847	132.286942	1.031374	1.031374	0.000000	0.893470	-1.000000	-1.000000	0.000000
11	4	1	-1	68586.599044	80.537239	63.437431	0.966137	0.966137	0.000000	0.978547	-1.000000	-1.000000	0.000000
12	4	2	-1	8710.674868	26.269066	227.864166	1.089905	1.089905	0.000000	0.486767	-1.000000	-1.000000	0.000000
13	4	3	-1	31492.681058	22.454828	132.281113	0.961175	0.961175	0.000000	0.959916	-1.000000	-1.000000	0.000000
15	5	1	-1	74030.887220	80.486526	63.402565	0.986254	0.986254	0.000000	0.984563	-1.000000	-1.000000	0.000000
16	5	2	-1	32518.368551	22.389570	132.187714	1.032748	1.032748	0.000000	0.925017	-1.000000	-1.000000	0.000000
18	6	1	-1	13744.936890	181.778946	159.024551	1.318496	1.318496	0.000000	0.653542	-1.000000	-1.000000	0.000000
19	6	2	-1	40337.302834	22.417290	132.504364	1.137814	1.137814	0.000000	0.939456	-1.000000	-1.000000	0.000000
20	6	3	-1	70594.412320	80.421013	63.260422	0.939960	0.939960	0.000000	0.969374	-1.000000	-1.000000	0.000000
22	7	1	-1	8378.533670	181.657532	158.877579	0.974609	0.974609	0.000000	0.619384	-1.000000	-1.000000	0.000000
23	7	2	-1	69692.079811	80.504265	63.459236	0.951212	0.951212	0.000000	0.973084	-1.000000	-1.000000	0.000000
24	7	3	-1	38372.093629	22.389786	132.365570	1.100339	1.100339	0.000000	0.926487	-1.000000	-1.000000	0.000000
25	7	4	-1	4733.553472	250.926544	186.890991	0.711467	0.711467	0.000000	0.413903	-1.000000	-1.000000	0.000000
27	8	1	-1	64410.450453	80.520447	63.375755	0.896802	0.896802	0.000000	0.982100	-1.000000	-1.000000	0.000000
28	8	2	-1	33744.654458	22.421108	132.396484	1.012412	1.012412	0.000000	0.925032	-1.000000	-1.000000	0.000000
30	9	1	-1	73481.431986	80.537430	63.391117	0.930013	0.930013	0.000000	0.978871	-1.000000	-1.000000	0.000000
31	9	2	-1	36146.931096	22.491367	132.406647	1.059533	1.059533	0.000000	0.929809	-1.000000	-1.000000	0.000000
32	9	3	-1	8343.880348	42.910355	113.393532	0.911442	0.911442	0.000000	0.784011	-1.000000	-1.000000	0.000000
34	10	1	-1	68869.438197	80.499237	63.348389	0.950359	0.950359	0.000000	0.975934	-1.000000	-1.000000	0.000000
35	10	2	-1	33039.821832	22.512766	132.354675	1.071046	1.071046	0.000000	0.910206	-1.000000	-1.000000	0.000000
37	11	1	-1	34475.253066	22.557835	132.363113	1.017670	1.017670	0.000000	0.931604	-1.000000	-1.000000	0.000000
38	11	2	-1	70733.584051	80.375122	63.416954	0.951171	0.951171	0.000000	0.971469	-1.000000	-1.000000	0.000000
40	12	1	-1	73213.343046	80.433815	63.445847	0.920798	0.920798	0.000000	0.985117	-1.000000	-1.000000	0.000000
41	12	2	-1	32971.706251	22.368576	132.321732	1.074450	1.074450	0.000000	0.927045	-1.000000	-1.000000	0.000000
43	13	1	-1	9425.632240	103.099373	230.676407	1.039437	1.039437	0.000000	0.609630	-1.000000	-1.000000	0.000000
44	13	2	-1	8072.783130	73.352768	165.048965	0.768015	0.768015	0.000000	0.748156	-1.000000	-1.000000	0.000000
45	13	3	-1	36104.763691	22.427101	132.345062	1.094050	1.094050	0.000000	0.941114	-1.000000	-1.000000	0.000000
46	13	4	-1	69265.348049	80.470352	63.354263	0.896386	0.896386	0.000000	0.979267	-1.000000	-1.000000	0.000000
