# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1.56358e+08,4000,0,4000,12863.3,10140.8,
0,1,0,1,1.66926e+08,4000,0,4000,3571.98,21169.3,
1,2,1,2,83857.3,6,3,3,29087.1,25449.9,
1,2,1,4,82982.6,354,352,2,4253.37,36446.4,
1,2,1,7,63575.4,1342,1339,3,40180.1,29938.2,
0,1,0,9,65468.1,1,0,1,6865.66,18143,
14,15,14,13,579110,1777,1756,21,16478,36853,
0,1,0,13,34925.1,1,0,1,11736.4,26407.8,
0,1,0,21,11295.8,1,0,1,28637.3,24398.8,
0,1,0,22,76358,1,0,1,38491.9,36343.2,
0,1,0,22,71951.3,1,0,1,28633,23959.6,
0,1,0,23,41136.3,2,0,2,30397.1,29137.2,
0,1,0,23,34665.4,1,0,1,33346.4,31228.9,
0,1,0,24,9913.8,1,0,1,31457.1,28904.2,
0,1,0,25,70247.6,1,0,1,31677.5,28590.1,
0,1,0,28,71085.3,1,0,1,24361.1,37088.8,
1,2,1,28,56136.5,3831,3828,3,20073.2,16300,
0,1,0,28,72595.6,1,0,1,22270.6,36396.9,
3,4,3,28,117049,2058,2054,4,34369.8,29773.8,
0,1,0,28,30977.6,1,0,1,19108.1,28539.2,
2,3,2,29,180535,1760,1756,4,24695.8,25212.7,
0,1,0,36,32751.8,1,0,1,37750.1,27776.4,
1,2,1,37,28471.7,1190,1188,2,34467.8,37367,
0,1,0,39,69040.1,1,0,1,2741.52,15554.2,
1,2,1,39,72563.7,5,1,4,15246.9,15048.4,
2,3,2,40,91625.2,2425,2422,3,39951.8,25466.8,
0,1,0,40,36248.7,1,0,1,40318.8,26622.8,
0,1,0,41,22203.9,1,0,1,37649.5,25568.6,
2,3,2,42,106652,3492,3489,3,17068,37487.7,
0,1,0,43,33090.2,1,0,1,17031.5,34665.9,
1,2,1,44,80545.9,3211,3209,2,25721.3,7423.43,
1,2,1,44,80680,1046,1044,2,17142.3,34916.4,
1,2,1,46,104415,3583,3581,2,38859.4,40101.3,
0,1,0,46,34983,1,0,1,35729.8,28833.9,
0,1,0,46,6279.05,1,0,1,33937.4,27540.9,
0,1,0,49,75249.5,1,0,1,29763.9,37193,
0,1,0,50,33012.2,1,0,1,30685,38765.4,
0,1,0,51,4818.9,1,0,1,31635.7,38926.9,
0,1,0,51,72888.6,1,0,1,5222.39,37884.3,
0,1,0,53,34203,1,0,1,27135.6,9615.67,
0,1,0,54,75270.7,1,0,1,25907.1,7765.04,
1,2,1,57,145118,26,23,3,34952.7,23354.9,
0,1,0,58,70623.8,1,0,1,26315,32603.5,
0,1,0,58,9145.18,1,0,1,27705.2,21560.7,
0,1,0,59,44594.2,2,0,2,23357.4,31138.1,
0,1,0,59,18182.2,1,0,1,22782.1,37875.9,
0,1,0,59,40951.8,2,0,2,27317.8,30724.4,
0,1,0,59,76373.4,1,0,1,27010.2,18587.8,
0,1,0,60,8079.45,1,0,1,36188.9,3750.31,
2,3,2,62,136848,5,2,3,18362.1,32138.6,
0,1,0,62,9908.13,1,0,1,32887.7,19606.6,
0,1,0,62,38001.2,1,0,1,19600.2,21116.1,
0,1,0,62,68050.9,1,0,1,31724.6,20000.2,
0,1,0,63,8033.98,1,0,1,31681.3,20316.1,
1,2,1,64,104456,2411,2409,2,24514.2,20343.6,
0,1,0,65,34093.5,1,0,1,26191.9,21405.1,
0,1,0,66,76938.9,1,0,1,25884.9,20817.3,
0,1,0,66,6128.94,1,0,1,29462.3,28753.9,
0,1,0,68,144891,3,0,3,38110.2,2001.93,
0,1,0,69,12069.4,1,0,1,30864.8,21779.8,
0,1,0,70,9777.54,1,0,1,20754.8,28748.9,
1,2,1,72,86844.4,486,484,2,39088.1,21019.2,
0,1,0,73,44685.5,2,0,2,34161.8,34780.2,
0,1,0,73,86364.6,2,0,2,11135.3,703.102,
0,1,0,74,21743,1,0,1,37111,37744,
0,1,0,75,87863.3,2,0,2,34889.6,34902.8,
0,1,0,76,6255.84,1,0,1,14258.8,35239.3,
0,1,0,77,1.58353e+06,42,0,42,1677.42,37155.6,
0,1,0,78,12331.5,1,0,1,19786.3,28862.1,
1,2,1,78,180255,701,698,3,28644.9,39707.3,
1,2,1,79,39486.1,2215,2213,2,24233.6,25639.6,
0,1,0,79,583855,15,0,15,1797.17,19972.1,
0,1,0,79,15628.1,2,0,2,36153.5,35614.1,
0,1,0,79,34598.6,1,0,1,19413.1,31750.2,
0,1,0,79,11676.6,1,0,1,3226.19,36764.9,
0,1,0,80,71554.2,1,0,1,19245,31477.1,
0,1,0,80,33129.5,1,0,1,32859.7,34933,
4,5,4,80,200217,3612,3607,5,32046.8,34723.8,
1,2,1,81,106010,133,131,2,31492.2,34534.5,
1,2,1,81,104431,1325,1323,2,31446.5,34987.5,
0,1,0,82,70065.1,1,0,1,32522.4,30001.9,
0,1,0,82,33537.6,1,0,1,17646.5,23754.2,
0,1,0,82,72185.5,1,0,1,32897.4,30367.3,
0,1,0,82,111248,2,0,2,7455.27,39979.1,
0,1,0,85,32171.3,1,0,1,32238.4,32572.8,
0,1,0,92,53238.6,1,0,1,19354.5,28937.6,
0,1,0,93,15912.1,1,0,1,24179.7,6424.63,
0,1,0,95,106112,2,0,2,37112.1,38377.7,
0,1,0,95,73786.4,1,0,1,32987.6,31966.5,
1,2,1,96,50316.2,3558,3556,2,26491.1,27878.8,
0,1,0,97,70609.7,1,0,1,32398.8,34927.8,
0,1,0,101,8766.94,1,0,1,15458.8,35137.9,
0,1,0,101,38491.6,1,0,1,5483.65,30390.9,
3,4,3,104,182955,3804,3800,4,37582.8,36753.9,
0,1,0,105,19741.5,1,0,1,39250.3,36062.2,
0,1,0,106,8754.98,1,0,1,15045,19909.4,
0,1,0,107,16114.6,1,0,1,18552.3,997.989,
1,2,1,109,46501.1,1917,1915,2,38642.8,40044.3,
0,1,0,109,74316.9,1,0,1,26440.3,9259.95,
0,1,0,112,42962.6,2,0,2,27109.2,16375,
0,1,0,113,6124.95,1,0,1,4202.73,30959.1,
0,1,0,115,35256.8,1,0,1,21281.5,23529.1,
2,3,2,121,145334,452,449,3,31895.4,24680.2,
0,1,0,122,32238.8,1,0,1,38440.1,20926.4,
0,1,0,123,8649.55,1,0,1,32345.9,27773.5,
0,1,0,123,103619,2,0,2,2640.29,22598.5,
0,1,0,124,67116.5,1,0,1,18669.7,28473.4,
0,1,0,126,32787.9,1,0,1,3031.82,19434.7,
0,1,0,126,67251.4,1,0,1,23650.6,34006,
0,1,0,127,38457.9,1,0,1,25237,35982,
0,1,0,127,71384.7,1,0,1,23812.3,36490.4,
0,1,0,128,35290.9,1,0,1,27254.4,35761.4,
0,1,0,128,73774.5,1,0,1,21182.2,37075.1,
0,1,0,129,33582,1,0,1,30021.6,39427.1,
0,1,0,129,14905,1,0,1,17840.7,16378.6,
1,2,1,129,110232,2052,2050,2,27437.7,36089.3,
0,1,0,129,183455,3,0,3,19794.5,23603.5,
0,1,0,130,35546.3,1,0,1,5693.25,26729.7,
0,1,0,130,186802,4,0,4,15167.8,34800.1,
1,2,1,132,102245,303,301,2,35184.1,33308,
0,1,0,132,6552.17,1,0,1,18554.6,4189.56,
0,1,0,133,33843.9,1,0,1,1501.08,19980.7,
1,2,1,134,108986,1710,1707,3,29782.7,3431.27,
1,2,1,135,24015.7,3470,3468,2,38870.1,31364.9,
1,2,1,136,196818,3565,3561,4,40241.2,39805.1,
0,1,0,136,20934.2,1,0,1,18756.6,38175.2,
0,1,0,141,39944.9,2,0,2,35192.3,19781.1,
0,1,0,144,18553.4,1,0,1,35802.9,23040.4,
0,1,0,147,14326.5,1,0,1,29231.5,20675.2,
2,3,2,148,121933,1262,1259,3,30902.8,23190.5,
0,1,0,148,34339.1,1,0,1,12978.3,15755.3,
0,1,0,149,11227,1,0,1,14237.1,15924.5,
1,2,1,162,146028,4,2,2,39508.3,36510.7,
0,1,0,164,8409.77,1,0,1,28754.3,16481.4,
0,1,0,167,37604.8,1,0,1,36993.7,30191.4,
0,1,0,168,72800.5,1,0,1,6139.39,25423.4,
0,1,0,173,33591.7,1,0,1,6692.99,31458.9,
0,1,0,174,109761,2,0,2,32509,24086.4,
0,1,0,176,34687.1,1,0,1,33015.6,29156.8,
0,1,0,176,69836.3,1,0,1,21317.6,9353.74,
0,1,0,177,18830,1,0,1,33682.7,34622.6,
0,1,0,178,73133.9,1,0,1,20625.5,33878.6,
1,2,1,183,49108.6,702,699,3,26909.7,33267.3,
1,2,1,183,105504,1080,1078,2,27707.6,33206.6,
0,1,0,184,29599.5,1,0,1,26550,34004.1,
0,1,0,184,69740.1,1,0,1,28079.5,35485.6,
3,4,3,186,162452,17,11,6,35858.7,36147.5,
0,1,0,189,64917.5,1,0,1,29288.8,13864,
1,2,1,193,114318,1400,1398,2,35281.1,30458.7,
0,1,0,193,8899.18,1,0,1,29703.4,5235.93,
0,1,0,197,34893.5,1,0,1,22689.9,27531.5,
0,1,0,198,8354.41,1,0,1,29723.4,22539.4,
0,1,0,200,34459.2,1,0,1,29140.4,17079.3,
1,2,1,200,133074,3273,3271,2,22449.1,15923.5,
0,1,0,200,29693.9,1,0,1,20771.1,12286.7,
0,1,0,204,18082,2,0,2,29617.8,16457.6,
0,1,0,204,27957,2,0,2,4123.77,34139,
0,1,0,205,37318.6,1,0,1,18812,24884.3,
0,1,0,208,141243,2,0,2,17979.1,14781.1,
0,1,0,210,626386,20,0,20,10845.4,6298.73,
0,1,0,211,11107.3,1,0,1,20353.5,1925.39,
0,1,0,212,132369,4,0,4,12635.9,1399,
0,1,0,213,9132.51,1,0,1,18336.8,6552.14,
0,1,0,214,15198.2,1,0,1,31850.9,13943.2,
0,1,0,217,36495.4,1,0,1,35743.4,9238.32,
2,3,2,218,208048,2214,2207,7,20218.5,27940.9,
1,2,1,219,120049,800,796,4,19524,28214.1,
0,1,0,219,70907.6,1,0,1,3861.92,31337.8,
1,2,1,221,159021,1003,998,5,34620,30604,
0,1,0,221,8735.5,1,0,1,22500.3,22896.9,
0,1,0,224,10288.1,1,0,1,20773.1,3554.74,
0,1,0,224,7949.91,1,0,1,21346,3653.86,
0,1,0,225,9468.97,1,0,1,10515.1,36935.7,
2,3,2,225,237660,1358,1352,6,40082.2,35070.1,
1,2,1,225,86129.6,2314,2311,3,1613.43,26395.6,
0,1,0,227,231354,8,0,8,34269.7,11012.1,
0,1,0,228,69784,1,0,1,1678.76,27690.9,
0,1,0,233,8037.58,1,0,1,11878.6,38480.7,
0,1,0,234,8822.76,1,0,1,7173.88,24944.9,
0,1,0,236,80367.2,1,0,1,37011.8,22932.6,
3,4,3,239,148563,10,4,6,35672,37091.8,
0,1,0,241,36062.6,1,0,1,27703,33616.3,
1,2,1,242,113332,67,64,3,28306.8,19003.5,
0,1,0,242,12661.3,1,0,1,26060.7,36842.4,
1,2,1,242,103071,90,88,2,26233,37449,
1,2,1,243,82159.9,2520,2518,2,29386.7,36720.7,
0,1,0,244,10391.3,1,0,1,30389.4,35044.5,
0,1,0,245,36134.3,1,0,1,35155.3,14888.3,
0,1,0,245,69638.4,1,0,1,34993.4,34691.2,
0,1,0,246,10858,1,0,1,26122,34485.2,
0,1,0,249,10546.2,1,0,1,34327.6,26256.6,
0,1,0,251,515014,16,0,16,5677.9,18692.1,
2,3,2,252,178791,104,101,3,20490.7,16449.2,
1,2,1,254,111357,691,687,4,18754.8,16619.5,
0,1,0,255,31535,1,0,1,9111.2,21582,
1,2,1,256,110890,421,419,2,31451,27345.4,
1,2,1,258,119772,2765,2762,3,37086.4,36462.4,
0,1,0,258,234986,6,0,6,37112.3,33041.3,
1,2,1,260,101189,1467,1465,2,31345.1,17258.2,
1,2,1,260,105930,1542,1540,2,35021.2,14587.1,
0,1,0,260,76855.9,1,0,1,29199.5,15556.5,
0,1,0,271,34592.9,1,0,1,39899.5,9517.92,
0,1,0,274,72746.9,1,0,1,27834.1,26571.7,
0,1,0,274,18223.8,1,0,1,25221.9,6558.52,
0,1,0,275,38381.3,1,0,1,23354,6848.34,
0,1,0,278,211730,4,0,4,16902.9,18751.5,
0,1,0,282,64514.4,1,0,1,26767.7,38237.1,
0,1,0,284,32532,1,0,1,4960.41,25687,
0,1,0,288,68405.8,1,0,1,27254.4,34095.8,
0,1,0,289,32659.4,1,0,1,5313.19,31272.1,
2,3,2,290,284217,1297,1292,5,30338.8,24913.2,
0,1,0,291,31227.3,1,0,1,29717.4,30618.7,
0,1,0,292,89642.7,2,0,2,22682.1,30856,
0,1,0,295,33228.5,1,0,1,29585.3,33431.5,
0,1,0,295,31298.4,1,0,1,22849.3,26288.3,
0,1,0,296,32476.3,1,0,1,33091.1,31383.1,
0,1,0,296,107030,2,0,2,36733.3,28484.5,
0,1,0,297,14771.6,1,0,1,33373.5,34674.1,
0,1,0,297,39099.8,1,0,1,32321.1,35407.5,
0,1,0,304,71379.5,1,0,1,36197.6,29725.1,
0,1,0,311,7195.44,1,0,1,16697.7,28174.9,
0,1,0,312,67796.3,1,0,1,16751.4,28389,
0,1,0,313,34852.7,1,0,1,24525.5,11153.2,
0,1,0,315,71825.9,1,0,1,20762.9,25604.7,
0,1,0,315,47561.1,2,0,2,38679,40264.5,
1,2,1,317,112253,368,366,2,38146.5,10586.9,
0,1,0,318,66859.8,1,0,1,38514.8,11270.3,
0,1,0,319,20209.4,1,0,1,30753.8,1297.53,
0,1,0,319,13592.1,1,0,1,28171.2,10874.8,
0,1,0,327,36090.5,1,0,1,35007.5,38199,
0,1,0,327,15429.6,1,0,1,6453.76,35078.7,
0,1,0,328,72583.4,1,0,1,20345.8,28696,
0,1,0,330,31175.4,1,0,1,27294.5,30527,
0,1,0,333,128698,4,0,4,22121.6,9632.38,
0,1,0,333,18360.4,1,0,1,9157.32,31854.6,
0,1,0,335,36035.4,1,0,1,17100.1,37959.9,
0,1,0,336,10373.2,1,0,1,33606.2,28372,
0,1,0,336,10148.5,1,0,1,15111.1,16781.5,
0,1,0,337,173390,3,0,3,35352.9,34895.6,
1,2,1,338,86803.9,8,5,3,19916,16767.8,
0,1,0,338,332439,7,0,7,18939.3,16165.6,
1,2,1,341,88510.7,14,12,2,26908.7,18822.5,
0,1,0,341,34870,1,0,1,21201,16268.4,
0,1,0,342,20371.3,1,0,1,11977.4,19030.1,
0,1,0,342,71479.3,1,0,1,20984.5,16522.3,
0,1,0,343,38014.3,1,0,1,13845.7,18003.3,
0,1,0,346,39665.1,1,0,1,19658.9,16841.4,
0,1,0,348,64504.9,2,0,2,18780.9,15967.3,
0,1,0,352,72012,1,0,1,38247.7,26764.5,
0,1,0,352,8240.26,1,0,1,12877.6,38320.8,
0,1,0,354,11716.4,1,0,1,20257.5,16301.3,
0,1,0,354,14342.2,1,0,1,21685.7,30986.3,
0,1,0,355,14077.7,1,0,1,21120.1,32127,
0,1,0,356,15331.2,1,0,1,7997.72,37763.4,
0,1,0,356,39109.9,2,0,2,21217,31485.7,
0,1,0,357,72493.5,1,0,1,32771.6,18110.3,
0,1,0,357,30590.9,1,0,1,38956.1,10287.4,
0,1,0,357,159674,3,0,3,37430.4,21675.8,
0,1,0,358,32036.9,1,0,1,21821.6,31621.2,
2,3,2,359,181866,3331,3328,3,22044.2,33798.8,
0,1,0,360,108631,2,0,2,24827.2,33906.4,
1,2,1,361,43348.5,2842,2840,2,25330.1,33599.5,
0,1,0,365,174461,3,0,3,16317.8,33457.5,
1,2,1,365,101622,3331,3329,2,27260.8,31456.3,
0,1,0,366,106678,2,0,2,18850.2,9650.79,
0,1,0,377,35723.9,1,0,1,23268.5,33274.1,
0,1,0,378,70162.7,1,0,1,23828.3,30974.4,
0,1,0,379,33757,1,0,1,28538.1,19391.6,
1,2,1,379,107469,390,388,2,24544.6,28288.9,
0,1,0,380,75216.4,1,0,1,24910.5,28015.7,
0,1,0,380,34321,1,0,1,26718.3,20971.3,
0,1,0,381,68494.3,1,0,1,32754,35598.1,
2,3,2,381,132791,3543,3540,3,31154.3,30889.4,
0,1,0,381,32732.4,1,0,1,27751.3,22057.3,
0,1,0,381,32934.7,1,0,1,30079.4,29106.6,
1,2,1,382,135764,1784,1782,2,32549.8,35616,
0,1,0,382,42952.7,2,0,2,28785.9,17272.6,
0,1,0,382,97174.9,2,0,2,40278.4,24027.6,
0,1,0,382,8575,1,0,1,28487.6,23875.9,
5,6,5,383,2.21902e+06,65,12,53,29382.6,39686.7,
0,1,0,386,10078.6,1,0,1,7296.98,25972.8,
2,3,2,386,418468,1789,1779,10,17085.7,17312,
1,2,1,387,75418.7,381,379,2,26425,31105.4,
13,14,13,387,2.80399e+06,106,44,62,23180.4,12199.2,
