Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	19995	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	10388.631427	155.685669	233.828110	1.029914	1.029914	0.000000	0.745127	-1.000000	-1.000000	0.000000
2	1	2	-1	101055.949113	162.624542	94.264839	0.932556	0.932556	0.000000	0.988040	-1.000000	-1.000000	0.000000
3	1	3	-1	10709.828498	218.711761	89.255951	0.758970	0.758970	0.000000	0.859828	-1.000000	-1.000000	0.000000
4	1	4	-1	11175.411598	223.215607	226.043549	0.953178	0.953178	0.000000	0.713822	-1.000000	-1.000000	0.000000
5	1	5	-1	36252.089070	176.971436	130.286133	1.056624	1.056624	0.000000	0.952815	-1.000000	-1.000000	0.000000
7	2	1	-1	11764.025075	223.276825	226.281479	1.046642	1.046642	0.000000	0.682953	-1.000000	-1.000000	0.000000
8	2	2	-1	11616.381993	155.849792	233.846054	1.265623	1.265623	0.000000	0.573648	-1.000000	-1.000000	0.000000
9	2	3	-1	38226.736047	176.916702	130.148575	1.081879	1.081879	0.000000	0.944682	-1.000000	-1.000000	0.000000
10	2	4	-1	97706.502831	162.666260	94.297455	0.997403	0.997403	0.000000	0.987023	-1.000000	-1.000000	0.000000
11	2	5	-1	17256.477738	218.588425	89.562653	1.049528	1.049528	0.000000	0.855958	-1.000000	-1.000000	0.000000
13	3	1	-1	14746.265525	218.785934	89.493172	0.910170	0.910170	0.000000	0.869037	-1.000000	-1.000000	0.000000
14	3	2	-1	36119.008722	176.965683	130.108917	0.973052	0.973052	0.000000	0.950140	-1.000000	-1.000000	0.000000
15	3	3	-1	100102.820233	162.594711	94.243393	0.940422	0.940422	0.000000	0.984966	-1.000000	-1.000000	0.000000
16	3	4	-1	12945.738723	223.089844	226.230804	0.972842	0.972842	0.000000	0.800340	-1.000000	-1.000000	0.000000
18	4	1	-1	17621.390314	218.715134	89.324852	1.003288	1.003288	0.000000	0.894647	-1.000000	-1.000000	0.000000
20	4	3	-1	19682.458026	223.053375	226.167236	1.290937	1.290937	0.000000	0.812935	-1.000000	-1.000000	0.000000
21	4	4	-1	37974.031544	176.938705	130.169678	1.119665	1.119665	0.000000	0.877228	-1.000000	-1.000000	0.000000
22	4	5	-1	98309.164341	162.626450	94.251915	0.963875	0.963875	0.000000	0.985442	-1.000000	-1.000000	0.000000
24	5	1	-1	13518.196361	218.778549	89.252304	0.877032	0.877032	0.000000	0.863641	-1.000000	-1.000000	0.000000
25	5	2	-1	30903.680130	176.845596	130.164322	0.982141	0.982141	0.000000	0.929876	-1.000000	-1.000000	0.000000
