# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1.56358e+08,4000,0,4000,12863.3,10140.8,
0,1,0,1,1.66926e+08,4000,0,4000,3571.98,21169.3,
1,2,1,2,83857.3,6,3,3,29087.1,25449.9,
0,1,0,4,64305.2,1,0,1,4203.05,36458.3,
0,1,0,7,18677.4,1,0,1,40148.2,29902.6,
0,1,0,9,24571.4,1,0,1,6865.66,18143,
6,7,6,13,241030,547,538,9,16463,36922.8,
0,1,0,13,10992.7,1,0,1,11736.4,26407.8,
0,1,0,21,8038.22,1,0,1,28637.3,24398.8,
0,1,0,22,32253.4,1,0,1,38491.9,36343.2,
0,1,0,22,40420,1,0,1,28633,23959.6,
0,1,0,23,90780.6,2,0,2,30397.1,29137.2,
0,1,0,23,8565.22,1,0,1,33346.4,31228.9,
0,1,0,24,36069.7,1,0,1,31457.1,28904.2,
0,1,0,25,11455.6,1,0,1,31677.5,28590.1,
0,1,0,28,65589.3,1,0,1,24361.1,37088.8,
0,1,0,28,83250.5,2,0,2,20088.2,16321.6,
0,1,0,28,12539.1,1,0,1,22270.6,36396.9,
0,1,0,28,32673.5,1,0,1,34278.5,29773.4,
0,1,0,28,9924.97,1,0,1,19108.1,28539.2,
0,1,0,29,46220.9,2,0,2,24689.8,25212.5,
0,1,0,36,76358,1,0,1,37750.1,27776.4,
0,1,0,37,71951.3,1,0,1,34465.2,37360.5,
0,1,0,39,32331.7,1,0,1,2741.52,15554.2,
1,2,1,39,123631,5,1,4,15246.9,15048.4,
0,1,0,40,71085.3,1,0,1,39934.1,25520.7,
0,1,0,40,36282.2,1,0,1,40318.8,26622.8,
0,1,0,41,14000.9,1,0,1,37649.5,25568.6,
0,1,0,42,5853.38,1,0,1,17082.7,37477.6,
0,1,0,43,72595.6,1,0,1,17031.5,34665.9,
0,1,0,44,33926.2,1,0,1,25775.3,7410.8,
0,1,0,44,6576.81,1,0,1,17094.7,34917.8,
0,1,0,46,67865,1,0,1,38887.5,40130.8,
0,1,0,46,8681.32,1,0,1,35729.8,28833.9,
0,1,0,46,30977.6,1,0,1,33937.4,27540.9,
0,1,0,49,9633.83,1,0,1,29763.9,37193,
0,1,0,50,32273.8,1,0,1,30685,38765.4,
0,1,0,51,70792.4,1,0,1,31635.7,38926.9,
0,1,0,51,67835,1,0,1,5222.39,37884.3,
0,1,0,53,32751.8,1,0,1,27135.6,9615.67,
0,1,0,54,10042.3,1,0,1,25907.1,7765.04,
1,2,1,57,98757.1,26,23,3,34952.7,23354.9,
0,1,0,58,35997.9,1,0,1,26315,32603.5,
0,1,0,58,11798,1,0,1,27705.2,21560.7,
0,1,0,59,24224.7,2,0,2,23357.4,31138.1,
0,1,0,59,71147.4,1,0,1,22782.1,37875.9,
0,1,0,59,45982,2,0,2,27317.8,30724.4,
0,1,0,59,22203.9,1,0,1,27010.2,18587.8,
0,1,0,60,31244.7,1,0,1,36188.9,3750.31,
2,3,2,62,108498,5,2,3,18362.1,32138.6,
0,1,0,62,71882.4,1,0,1,32887.7,19606.6,
0,1,0,62,8663.47,1,0,1,19600.2,21116.1,
0,1,0,62,13072.3,1,0,1,31724.6,20000.2,
0,1,0,63,67607.7,1,0,1,31681.3,20316.1,
0,1,0,64,31949,1,0,1,24529.9,20401.9,
0,1,0,65,72466.3,1,0,1,26191.9,21405.1,
0,1,0,66,34983,1,0,1,25884.9,20817.3,
0,1,0,66,6279.05,1,0,1,29462.3,28753.9,
0,1,0,68,113081,3,0,3,38110.2,2001.93,
0,1,0,69,72888.6,1,0,1,30864.8,21779.8,
0,1,0,70,34203,1,0,1,20754.8,28748.9,
0,1,0,72,75270.7,1,0,1,39147,21019.2,
0,1,0,73,107974,2,0,2,34161.8,34780.2,
0,1,0,73,107767,2,0,2,11135.3,703.102,
0,1,0,74,9145.18,1,0,1,37111,37744,
0,1,0,75,44594.2,2,0,2,34889.6,34902.8,
0,1,0,76,18182.2,1,0,1,14258.8,35239.3,
0,1,0,77,1.48406e+06,42,0,42,1677.42,37155.6,
0,1,0,78,28766,1,0,1,19786.3,28862.1,
0,1,0,78,84830.1,2,0,2,28633.3,39696.3,
0,1,0,79,33724.1,1,0,1,24282,25642.8,
0,1,0,79,681216,15,0,15,1797.17,19972.1,
0,1,0,79,81954.6,2,0,2,36153.5,35614.1,
0,1,0,79,34562.1,1,0,1,19413.1,31750.2,
0,1,0,79,70482.3,1,0,1,3226.19,36764.9,
0,1,0,80,12860.8,1,0,1,19245,31477.1,
0,1,0,80,12458.6,1,0,1,32859.7,34933,
0,1,0,80,32389.1,1,0,1,32066.4,34764.1,
1,2,1,81,83721,133,131,2,31492.2,34534.5,
0,1,0,81,13210.9,1,0,1,31513.8,34986.8,
0,1,0,82,32203.6,1,0,1,32522.4,30001.9,
0,1,0,82,5449.57,1,0,1,17646.5,23754.2,
0,1,0,82,12331.5,1,0,1,32897.4,30367.3,
0,1,0,82,146046,2,0,2,7455.27,39979.1,
0,1,0,85,34209.3,1,0,1,32238.4,32572.8,
0,1,0,92,8003.18,1,0,1,19354.5,28937.6,
0,1,0,93,31483,1,0,1,24179.7,6424.63,
0,1,0,95,80329,2,0,2,37112.1,38377.7,
0,1,0,95,30851.1,1,0,1,32987.6,31966.5,
0,1,0,96,5941.54,1,0,1,26566.9,27884.3,
0,1,0,97,73946.5,1,0,1,32398.8,34927.8,
0,1,0,101,80036.5,1,0,1,15458.8,35137.9,
0,1,0,101,10591.7,1,0,1,5483.65,30390.9,
1,2,1,104,45843.4,291,289,2,37572.3,36705.1,
0,1,0,105,34499.9,1,0,1,39250.3,36062.2,
0,1,0,106,75856.5,1,0,1,15045,19909.4,
0,1,0,107,29606.9,1,0,1,18552.3,997.989,
0,1,0,109,70958.5,1,0,1,38623.2,40004.1,
0,1,0,109,8269.8,1,0,1,26440.3,9259.95,
0,1,0,112,44025,2,0,2,27109.2,16375,
0,1,0,113,8727.14,1,0,1,4202.73,30959.1,
0,1,0,115,34598.6,1,0,1,21281.5,23529.1,
0,1,0,121,11676.6,1,0,1,31925.5,24769.8,
0,1,0,122,71554.2,1,0,1,38440.1,20926.4,
0,1,0,123,33129.5,1,0,1,32345.9,27773.5,
0,1,0,123,84994,2,0,2,2640.29,22598.5,
0,1,0,124,75916.3,1,0,1,18669.7,28473.4,
0,1,0,126,34492.1,1,0,1,3031.82,19434.7,
0,1,0,126,4814.4,1,0,1,23650.6,34006,
0,1,0,127,35421,1,0,1,25237,35982,
0,1,0,127,70588.6,1,0,1,23812.3,36490.4,
0,1,0,128,33695.3,1,0,1,27254.4,35761.4,
0,1,0,128,70736.2,1,0,1,21182.2,37075.1,
0,1,0,129,70065.1,1,0,1,30021.6,39427.1,
0,1,0,129,33537.6,1,0,1,17840.7,16378.6,
0,1,0,129,72185.5,1,0,1,27404.2,36135.3,
0,1,0,129,143419,3,0,3,19794.5,23603.5,
0,1,0,130,53238.6,1,0,1,5693.25,26729.7,
0,1,0,130,195811,4,0,4,15167.8,34800.1,
0,1,0,132,16944.1,1,0,1,35185.5,33339.9,
0,1,0,132,33372.1,1,0,1,18554.6,4189.56,
0,1,0,133,70609.7,1,0,1,1501.08,19980.7,
0,1,0,134,8766.94,1,0,1,29818.6,3374.03,
0,1,0,135,38491.6,1,0,1,38858.9,31394.3,
0,1,0,136,112127,3,0,3,40253.2,39832,
0,1,0,136,70827.7,1,0,1,18756.6,38175.2,
0,1,0,141,28496.5,2,0,2,35192.3,19781.1,
0,1,0,144,16114.6,1,0,1,35802.9,23040.4,
0,1,0,147,38585.1,1,0,1,29231.5,20675.2,
0,1,0,148,7915.98,1,0,1,30919.2,23086.4,
0,1,0,148,74316.9,1,0,1,12978.3,15755.3,
0,1,0,149,34131.1,1,0,1,14237.1,15924.5,
1,2,1,162,14956.5,4,2,2,39508.3,36510.7,
0,1,0,164,35256.8,1,0,1,28754.3,16481.4,
0,1,0,167,67620.2,1,0,1,36993.7,30191.4,
0,1,0,168,8480.7,1,0,1,6139.39,25423.4,
0,1,0,173,69232.7,1,0,1,6692.99,31458.9,
0,1,0,174,40888.3,2,0,2,32509,24086.4,
0,1,0,176,65550.8,1,0,1,33015.6,29156.8,
0,1,0,176,38068.1,1,0,1,21317.6,9353.74,
0,1,0,177,67116.5,1,0,1,33682.7,34622.6,
0,1,0,178,32787.9,1,0,1,20625.5,33878.6,
0,1,0,183,67251.4,1,0,1,26923.1,33265.8,
0,1,0,183,38457.9,1,0,1,27767.8,33158.7,
0,1,0,184,71384.7,1,0,1,26550,34004.1,
0,1,0,184,35290.9,1,0,1,28079.5,35485.6,
3,4,3,186,269196,17,11,6,35858.7,36147.5,
0,1,0,189,76322.7,1,0,1,29288.8,13864,
0,1,0,193,70430.4,1,0,1,35301.5,30414.9,
0,1,0,193,35546.3,1,0,1,29703.4,5235.93,
0,1,0,197,65439.2,1,0,1,22689.9,27531.5,
0,1,0,198,40357.6,1,0,1,29723.4,22539.4,
0,1,0,200,6970.97,1,0,1,29140.4,17079.3,
0,1,0,200,74034.6,1,0,1,22441.4,15964,
0,1,0,200,31703.4,1,0,1,20771.1,12286.7,
0,1,0,204,77093.8,2,0,2,29617.8,16457.6,
0,1,0,204,42454.3,2,0,2,4123.77,34139,
0,1,0,205,67613.9,1,0,1,18812,24884.3,
0,1,0,208,47277,2,0,2,17979.1,14781.1,
0,1,0,210,732420,20,0,20,10845.4,6298.73,
0,1,0,211,33591.7,1,0,1,20353.5,1925.39,
0,1,0,212,214285,4,0,4,12635.9,1399,
0,1,0,213,18830,1,0,1,18336.8,6552.14,
0,1,0,214,73133.9,1,0,1,31850.9,13943.2,
0,1,0,217,35924.3,1,0,1,35743.4,9238.32,
0,1,0,218,6709.65,1,0,1,20160.8,27941.7,
0,1,0,219,6474.59,1,0,1,19612,28209.4,
0,1,0,219,36017.5,1,0,1,3861.92,31337.8,
0,1,0,221,69486.2,1,0,1,34611.6,30716.7,
0,1,0,221,29599.5,1,0,1,22500.3,22896.9,
0,1,0,224,69740.1,1,0,1,20773.1,3554.74,
0,1,0,224,37249.3,1,0,1,21346,3653.86,
0,1,0,225,7025.95,1,0,1,10515.1,36935.7,
1,2,1,225,183094,39,34,5,40063.9,35078.9,
0,1,0,225,114318,2,0,2,1622.08,26436.4,
0,1,0,227,256579,8,0,8,34269.7,11012.1,
0,1,0,228,10877.1,1,0,1,1678.76,27690.9,
0,1,0,233,15441.6,1,0,1,11878.6,38480.7,
0,1,0,234,12515.4,1,0,1,7173.88,24944.9,
0,1,0,236,37318.6,1,0,1,37011.8,22932.6,
3,4,3,239,224548,10,4,6,35672,37091.8,
0,1,0,241,73187.4,1,0,1,27703,33616.3,
1,2,1,242,111321,67,64,3,28306.8,19003.5,
0,1,0,242,11783.1,1,0,1,26060.7,36842.4,
1,2,1,242,43602.7,90,88,2,26233,37449,
0,1,0,243,70083.6,1,0,1,29412.1,36779.6,
0,1,0,244,67172.8,1,0,1,30389.4,35044.5,
0,1,0,245,30172.6,1,0,1,35155.3,14888.3,
0,1,0,245,9076.75,1,0,1,34993.4,34691.2,
0,1,0,246,5896.17,1,0,1,26122,34485.2,
0,1,0,249,68755.2,1,0,1,34327.6,26256.6,
0,1,0,251,415681,16,0,16,5677.9,18692.1,
2,3,2,252,117637,104,101,3,20490.7,16449.2,
0,1,0,254,42931.1,2,0,2,18713.6,16633.1,
0,1,0,255,8178.78,1,0,1,9111.2,21582,
0,1,0,256,70907.6,1,0,1,31465.6,27380.1,
0,1,0,258,37114.9,1,0,1,37077.7,36383.7,
0,1,0,258,140930,6,0,6,37112.3,33041.3,
0,1,0,260,7949.91,1,0,1,31329.1,17317.2,
0,1,0,260,9468.97,1,0,1,35071,14585.8,
0,1,0,260,71056.7,1,0,1,29199.5,15556.5,
0,1,0,271,34048.7,1,0,1,39899.5,9517.92,
0,1,0,274,67390.5,1,0,1,27834.1,26571.7,
0,1,0,274,14639.2,1,0,1,25221.9,6558.52,
0,1,0,275,17434,1,0,1,23354,6848.34,
0,1,0,278,119220,4,0,4,16902.9,18751.5,
0,1,0,282,40755,1,0,1,26767.7,38237.1,
0,1,0,284,69794.2,1,0,1,4960.41,25687,
0,1,0,288,12576,1,0,1,27254.4,34095.8,
0,1,0,289,43333.6,1,0,1,5313.19,31272.1,
0,1,0,290,7894.91,1,0,1,30378.1,25031,
0,1,0,291,10295.3,1,0,1,29717.4,30618.7,
0,1,0,292,46704.9,2,0,2,22682.1,30856,
0,1,0,295,69784,1,0,1,29585.3,33431.5,
0,1,0,295,8037.58,1,0,1,22849.3,26288.3,
0,1,0,296,8822.76,1,0,1,33091.1,31383.1,
0,1,0,296,115702,2,0,2,36733.3,28484.5,
0,1,0,297,11872.9,1,0,1,33373.5,34674.1,
0,1,0,297,13756.4,1,0,1,32321.1,35407.5,
0,1,0,304,67723.7,1,0,1,36197.6,29725.1,
0,1,0,311,9782.92,1,0,1,16697.7,28174.9,
0,1,0,312,10092.8,1,0,1,16751.4,28389,
0,1,0,313,36062.6,1,0,1,24525.5,11153.2,
0,1,0,315,30056.7,1,0,1,20762.9,25604.7,
0,1,0,315,83275.8,2,0,2,38679,40264.5,
0,1,0,317,12661.3,1,0,1,38090.3,10559.8,
0,1,0,318,36409.8,1,0,1,38514.8,11270.3,
0,1,0,319,66660.8,1,0,1,30753.8,1297.53,
0,1,0,319,14616.4,1,0,1,28171.2,10874.8,
0,1,0,327,67543.5,1,0,1,35007.5,38199,
0,1,0,327,10391.3,1,0,1,6453.76,35078.7,
0,1,0,328,36134.3,1,0,1,20345.8,28696,
0,1,0,330,69638.4,1,0,1,27294.5,30527,
0,1,0,333,126334,4,0,4,22121.6,9632.38,
0,1,0,333,8530.79,1,0,1,9157.32,31854.6,
0,1,0,335,36082.7,1,0,1,17100.1,37959.9,
0,1,0,336,9032.57,1,0,1,33606.2,28372,
0,1,0,336,7065.5,1,0,1,15111.1,16781.5,
0,1,0,337,110268,3,0,3,35352.9,34895.6,
1,2,1,338,90631,8,5,3,19916,16767.8,
0,1,0,338,327264,7,0,7,18939.3,16165.6,
1,2,1,341,43041.3,14,12,2,26908.7,18822.5,
0,1,0,341,59121.2,1,0,1,21201,16268.4,
0,1,0,342,9194.16,1,0,1,11977.4,19030.1,
0,1,0,342,31535,1,0,1,20984.5,16522.3,
0,1,0,343,69990,1,0,1,13845.7,18003.3,
0,1,0,346,40899.5,1,0,1,19658.9,16841.4,
0,1,0,348,110063,2,0,2,18780.9,15967.3,
0,1,0,352,9709.67,1,0,1,38247.7,26764.5,
0,1,0,352,16322,1,0,1,12877.6,38320.8,
0,1,0,354,68807.7,1,0,1,20257.5,16301.3,
0,1,0,354,7957.47,1,0,1,21685.7,30986.3,
0,1,0,355,34876.4,1,0,1,21120.1,32127,
0,1,0,356,73453.8,1,0,1,7997.72,37763.4,
0,1,0,356,103537,2,0,2,21217,31485.7,
0,1,0,357,31221.4,1,0,1,32771.6,18110.3,
0,1,0,357,66684.4,1,0,1,38956.1,10287.4,
0,1,0,357,150695,3,0,3,37430.4,21675.8,
0,1,0,357,72746.9,1,0,1,4303.68,36434.5,
0,1,0,358,18223.8,1,0,1,21821.6,31621.2,
0,1,0,359,38381.3,1,0,1,22054.6,33772.1,
0,1,0,360,105676,2,0,2,24827.2,33906.4,
0,1,0,361,71694.9,1,0,1,25348.6,33646.1,
0,1,0,365,131406,3,0,3,16317.8,33457.5,
0,1,0,365,68405.8,1,0,1,27339.3,31446.6,
0,1,0,366,71458.7,2,0,2,18850.2,9650.79,
0,1,0,377,69128,1,0,1,23268.5,33274.1,
0,1,0,378,73693.4,1,0,1,23828.3,30974.4,
0,1,0,379,36154.9,1,0,1,28538.1,19391.6,
0,1,0,379,66441.1,1,0,1,24550.8,28317.5,
0,1,0,380,31227.3,1,0,1,24910.5,28015.7,
0,1,0,380,21626.8,1,0,1,26718.3,20971.3,
0,1,0,381,68015.9,1,0,1,32754,35598.1,
0,1,0,381,33228.5,1,0,1,31124.4,30772.9,
0,1,0,381,31298.4,1,0,1,27751.3,22057.3,
0,1,0,381,32476.3,1,0,1,30079.4,29106.6,
0,1,0,382,37564.2,1,0,1,32520.5,35642,
0,1,0,382,84237.8,2,0,2,28785.9,17272.6,
0,1,0,382,110479,2,0,2,40278.4,24027.6,
0,1,0,382,7195.44,1,0,1,28487.6,23875.9,
5,6,5,383,1.99122e+06,65,12,53,29382.6,39686.7,
0,1,0,386,30590.9,1,0,1,7296.98,25972.8,
0,1,0,386,159674,3,0,3,17205.2,17282.5,
0,1,0,387,32036.9,1,0,1,26456.9,31111.8,
