# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
14,15,14,1,1.13421e+06,86,42,44,19143,15648,
4,5,4,1,578184,16615,16587,28,31498.2,19379.5,
3,4,3,1,77990.2,14669,14665,4,27433.5,35465,
2,3,2,1,160688,529,519,10,19322.1,24598.2,
2,3,2,1,294754,40,27,13,26596.5,17732.8,
1,2,1,1,293702,13844,13828,16,7195.95,17413.5,
8,9,8,1,433295,15663,15639,24,31444,32978.8,
27,28,27,1,2.18779e+06,14594,14440,154,1160.78,13848.8,
7,8,7,1,774221,15363,15315,48,8214.64,1461.07,
4,5,4,1,264268,17782,17768,14,8499.36,28993.9,
4,5,4,1,116929,15351,15345,6,39234.5,32817,
6,7,6,1,632013,305,263,42,30209.6,13826.1,
1,2,1,2,40566,10653,10650,3,18299.3,22774.2,
1,2,1,2,24648,184,181,3,38886,37847,
1,2,1,3,15492,7614,7612,2,7308.45,8568.81,
10,11,10,3,431487,12221,12197,24,21018.9,31553.3,
0,1,0,3,36357.3,3,0,3,33399.7,7277.83,
4,5,4,3,245401,6522,6506,16,37509.9,10019.1,
0,1,0,4,10642.8,1,0,1,32173.3,5871.69,
13,14,13,4,245633,17119,17103,16,26195,34296.6,
5,6,5,5,125683,17943,17933,10,25402.8,28559.2,
6,7,6,5,240817,6951,6935,16,35381.8,37704.8,
9,10,9,5,682752,18659,18620,39,25715.2,17147.1,
13,14,13,5,735540,19225,19194,31,22009.2,21215.7,
1,2,1,6,19996.7,17234,17232,2,7989.31,8210.57,
26,27,26,6,863287,19725,19682,43,34203.5,38367.9,
2,3,2,6,259738,19899,19886,13,5571.64,33898,
4,5,4,6,245458,9360,9346,14,10404.2,4429.19,
0,1,0,6,26662.8,2,0,2,27095.1,966.932,
5,6,5,7,106010,19392,19386,6,16936.6,21565.2,
1,2,1,7,33744.3,8506,8504,2,37071.6,2187.06,
2,3,2,7,543285,78,57,21,28061.1,9802.66,
6,7,6,10,298211,14767,14750,17,38642.4,25760.9,
4,5,4,11,122109,16834,16829,5,29613.6,20813.8,
2,3,2,11,95164.5,4789,4786,3,13498.7,19337.7,
2,3,2,11,111440,13437,13433,4,15413.9,30915.8,
3,4,3,11,67905.5,18290,18286,4,13934.2,29200.4,
4,5,4,12,96622.9,19409,19404,5,34827.6,32427.7,
5,6,5,12,519176,442,417,25,18972.5,15286.2,
1,2,1,13,111390,9663,9658,5,886.137,4076.6,
3,4,3,13,107376,9777,9772,5,20585.1,16488.3,
2,3,2,13,21577.9,5690,5687,3,28920.4,8626.44,
3,4,3,13,55244.9,13028,13023,5,22066,35107.8,
1,2,1,14,19904.3,11577,11575,2,30151.5,7213.61,
0,1,0,14,16715.3,1,0,1,14452,3501.77,
