Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	5450	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	72433.006475	196.272842	213.828659	0.977107	0.977107	0.000000	0.985433	-1.000000	-1.000000	0.000000
3	2	1	-1	78925.321427	196.258163	213.849655	1.010539	1.010539	0.000000	0.982488	-1.000000	-1.000000	0.000000
5	3	1	-1	14021.320498	41.557030	41.113823	1.284665	1.284665	0.000000	0.741721	-1.000000	-1.000000	0.000000
6	3	2	-1	8295.693059	153.861420	167.227676	0.751865	0.751865	0.000000	0.792397	-1.000000	-1.000000	0.000000
7	3	3	-1	72984.589905	196.206619	213.939819	0.989721	0.989721	0.000000	0.975954	-1.000000	-1.000000	0.000000
9	4	1	-1	73918.062887	196.230713	213.957657	1.011183	1.011183	0.000000	0.981817	-1.000000	-1.000000	0.000000
10	4	2	-1	12005.277191	153.452911	167.086563	1.181513	1.181513	0.000000	0.677724	-1.000000	-1.000000	0.000000
12	5	1	-1	78709.475740	196.211472	213.917435	1.046919	1.046919	0.000000	0.981689	-1.000000	-1.000000	0.000000
14	6	1	-1	71686.532021	196.229324	213.927795	0.979468	0.979468	0.000000	0.972863	-1.000000	-1.000000	0.000000
16	7	1	-1	78327.603308	196.227921	213.894241	1.056503	1.056503	0.000000	0.977056	-1.000000	-1.000000	0.000000
18	8	1	-1	70557.789147	196.201508	213.888824	0.983483	0.983483	0.000000	0.959738	-1.000000	-1.000000	0.000000
19	8	2	-1	10144.559205	153.494034	167.212677	0.946148	0.946148	0.000000	0.792311	-1.000000	-1.000000	0.000000
21	9	1	-1	80698.413071	196.220184	213.993942	1.039114	1.039114	0.000000	0.977218	-1.000000	-1.000000	0.000000
22	9	2	-1	10499.547624	153.718414	167.395615	1.033065	1.033065	0.000000	0.770169	-1.000000	-1.000000	0.000000
24	10	1	-1	76670.929739	196.183319	213.973572	0.970032	0.970032	0.000000	0.977940	-1.000000	-1.000000	0.000000
26	11	1	-1	74367.190150	196.228333	213.845581	0.950365	0.950365	0.000000	0.978381	-1.000000	-1.000000	0.000000
28	12	1	-1	81593.203799	196.185471	213.971710	1.055552	1.055552	0.000000	0.984965	-1.000000	-1.000000	0.000000
30	13	1	-1	74165.953654	196.167328	213.985291	0.985364	0.985364	0.000000	0.979141	-1.000000	-1.000000	0.000000
32	14	1	-1	76967.505623	196.162247	213.947418	1.018080	1.018080	0.000000	0.982946	-1.000000	-1.000000	0.000000
34	15	1	-1	85318.715936	196.190704	213.945465	1.065273	1.065273	0.000000	0.975213	-1.000000	-1.000000	0.000000
36	16	1	-1	80344.878238	196.227798	213.842560	1.013909	1.013909	0.000000	0.980628	-1.000000	-1.000000	0.000000
38	17	1	-1	76208.504682	196.171814	213.884827	0.995561	0.995561	0.000000	0.982957	-1.000000	-1.000000	0.000000
40	18	1	-1	84585.303397	196.242538	213.926071	1.064153	1.064153	0.000000	0.977373	-1.000000	-1.000000	0.000000
42	19	1	-1	78790.900158	196.216537	213.925842	1.043586	1.043586	0.000000	0.979704	-1.000000	-1.000000	0.000000
44	20	1	-1	76510.093092	196.197357	213.971970	1.077872	1.077872	0.000000	0.985424	-1.000000	-1.000000	0.000000
45	20	2	-1	11199.813458	221.303314	193.046875	1.216825	1.216825	0.000000	0.664689	-1.000000	-1.000000	0.000000
47	21	1	-1	77387.044228	196.149567	213.998215	1.015628	1.015628	0.000000	0.976732	-1.000000	-1.000000	0.000000
49	22	1	-1	78833.725404	196.217789	213.930298	1.012138	1.012138	0.000000	0.976663	-1.000000	-1.000000	0.000000
51	23	1	-1	80539.125895	196.190842	213.937729	1.056515	1.056515	0.000000	0.974431	-1.000000	-1.000000	0.000000
52	23	2	-1	8625.236917	163.064423	190.830658	0.883174	0.883174	0.000000	0.741083	-1.000000	-1.000000	0.000000
54	24	1	-1	77218.393389	196.207840	213.956879	1.012236	1.012236	0.000000	0.982759	-1.000000	-1.000000	0.000000
56	25	1	-1	77061.997228	196.253296	214.052383	1.031977	1.031977	0.000000	0.977709	-1.000000	-1.000000	0.000000
58	26	1	-1	74362.751841	196.203735	213.960907	1.001891	1.001891	0.000000	0.980816	-1.000000	-1.000000	0.000000
60	27	1	-1	80086.220420	196.188797	213.999069	1.050409	1.050409	0.000000	0.984200	-1.000000	-1.000000	0.000000
62	28	1	-1	10071.359221	221.571747	192.795715	1.150962	1.150962	0.000000	0.655161	-1.000000	-1.000000	0.000000
63	28	2	-1	78408.976822	196.252914	213.922821	1.038635	1.038635	0.000000	0.976092	-1.000000	-1.000000	0.000000
65	29	1	-1	79816.222262	196.201462	213.989395	1.020103	1.020103	0.000000	0.981196	-1.000000	-1.000000	0.000000
67	30	1	-1	79102.343114	196.178177	213.920197	1.054343	1.054343	0.000000	0.979658	-1.000000	-1.000000	0.000000
68	30	2	-1	9795.151907	221.359634	192.882278	1.028174	1.028174	0.000000	0.642242	-1.000000	-1.000000	0.000000
70	31	1	-1	72095.753226	196.262161	213.905289	0.954471	0.954471	0.000000	0.977128	-1.000000	-1.000000	0.000000
72	32	1	-1	82697.122098	196.237839	213.906265	1.091287	1.091287	0.000000	0.982554	-1.000000	-1.000000	0.000000
74	33	1	-1	80601.808532	196.235229	213.918961	1.069646	1.069646	0.000000	0.973528	-1.000000	-1.000000	0.000000
76	34	1	-1	83054.047471	196.254471	213.939407	1.058264	1.058264	0.000000	0.977742	-1.000000	-1.000000	0.000000
78	35	1	-1	77094.412945	196.200623	213.983383	1.000223	1.000223	0.000000	0.987752	-1.000000	-1.000000	0.000000
80	36	1	-1	78921.567209	196.286728	213.924728	0.968311	0.968311	0.000000	0.979974	-1.000000	-1.000000	0.000000
82	37	1	-1	76840.404129	196.198212	213.957199	1.030029	1.030029	0.000000	0.981230	-1.000000	-1.000000	0.000000
84	38	1	-1	76194.215624	196.142761	213.924301	0.996871	0.996871	0.000000	0.980919	-1.000000	-1.000000	0.000000
86	39	1	-1	79189.244414	196.228760	213.968704	1.053491	1.053491	0.000000	0.980280	-1.000000	-1.000000	0.000000
88	40	1	-1	81026.783194	196.219131	213.973984	1.108328	1.108328	0.000000	0.983047	-1.000000	-1.000000	0.000000
90	41	1	-1	72700.960704	196.195007	214.000275	1.041645	1.041645	0.000000	0.980532	-1.000000	-1.000000	0.000000
92	42	1	-1	81749.840888	196.232010	213.940018	1.031321	1.031321	0.000000	0.984918	-1.000000	-1.000000	0.000000
94	43	1	-1	74239.729348	196.257584	213.872086	0.969437	0.969437	0.000000	0.973316	-1.000000	-1.000000	0.000000
96	44	1	-1	77499.596499	196.217606	213.976379	1.046996	1.046996	0.000000	0.980399	-1.000000	-1.000000	0.000000
98	45	1	-1	76161.135626	196.208740	213.932648	1.057066	1.057066	0.000000	0.982386	-1.000000	-1.000000	0.000000
100	46	1	-1	82202.359156	196.279724	213.954269	1.074714	1.074714	0.000000	0.963667	-1.000000	-1.000000	0.000000
101	46	2	-1	11060.717677	41.540539	41.184322	1.180043	1.180043	0.000000	0.646091	-1.000000	-1.000000	0.000000
103	47	1	-1	76071.041480	196.148682	213.936539	1.058623	1.058623	0.000000	0.966142	-1.000000	-1.000000	0.000000
105	48	1	-1	81515.148751	196.209976	214.041626	1.044268	1.044268	0.000000	0.986863	-1.000000	-1.000000	0.000000
107	49	1	-1	74092.347111	196.229034	213.944962	1.035941	1.035941	0.000000	0.968184	-1.000000	-1.000000	0.000000
109	50	1	-1	77577.880285	196.240143	213.904678	1.015573	1.015573	0.000000	0.976021	-1.000000	-1.000000	0.000000
111	51	1	-1	76399.869298	196.240875	213.954895	1.032321	1.032321	0.000000	0.982187	-1.000000	-1.000000	0.000000
112	51	2	-1	9182.828527	82.058090	207.367935	0.952215	0.952215	0.000000	0.799787	-1.000000	-1.000000	0.000000
114	52	1	-1	10726.656652	82.059250	207.326508	0.915853	0.915853	0.000000	0.835322	-1.000000	-1.000000	0.000000
115	52	2	-1	74527.476427	196.190582	213.934708	1.011157	1.011157	0.000000	0.973990	-1.000000	-1.000000	0.000000
117	53	1	-1	73297.781168	196.176300	214.016479	1.017586	1.017586	0.000000	0.974042	-1.000000	-1.000000	0.000000
119	54	1	-1	9315.876665	41.652367	41.187698	0.954884	0.954884	0.000000	0.776094	-1.000000	-1.000000	0.000000
120	54	2	-1	73349.182268	196.221741	213.995895	0.997021	0.997021	0.000000	0.982508	-1.000000	-1.000000	0.000000
122	55	1	-1	81333.657271	196.274429	213.957520	1.040089	1.040089	0.000000	0.973848	-1.000000	-1.000000	0.000000
124	56	1	-1	8192.443297	41.793011	41.654690	0.791491	0.791491	0.000000	0.691099	-1.000000	-1.000000	0.000000
125	56	2	-1	75715.679571	196.213379	213.964935	1.044861	1.044861	0.000000	0.976322	-1.000000	-1.000000	0.000000
127	57	1	-1	77720.719640	196.260910	213.909348	1.048171	1.048171	0.000000	0.981455	-1.000000	-1.000000	0.000000
129	58	1	-1	72612.837012	196.266449	213.958679	0.963425	0.963425	0.000000	0.977553	-1.000000	-1.000000	0.000000
131	59	1	-1	71008.411918	196.190109	213.906281	0.989844	0.989844	0.000000	0.985635	-1.000000	-1.000000	0.000000
133	60	1	-1	72640.849949	196.189453	213.910706	0.993438	0.993438	0.000000	0.983455	-1.000000	-1.000000	0.000000
135	61	1	-1	81414.616880	196.225204	213.942200	1.049606	1.049606	0.000000	0.978733	-1.000000	-1.000000	0.000000
137	62	1	-1	77122.230629	196.174347	214.012253	1.017635	1.017635	0.000000	0.980429	-1.000000	-1.000000	0.000000
139	63	1	-1	68535.078668	196.234116	213.975616	0.986366	0.986366	0.000000	0.983799	-1.000000	-1.000000	0.000000
141	64	1	-1	74093.388241	196.263489	213.932373	1.051402	1.051402	0.000000	0.970052	-1.000000	-1.000000	0.000000
143	65	1	-1	71851.659162	196.211685	213.932953	0.974937	0.974937	0.000000	0.968902	-1.000000	-1.000000	0.000000
145	66	1	-1	72409.273985	196.162292	214.016632	0.990036	0.990036	0.000000	0.972039	-1.000000	-1.000000	0.000000
147	67	1	-1	77057.586391	196.263290	214.006195	1.075788	1.075788	0.000000	0.977478	-1.000000	-1.000000	0.000000
149	68	1	-1	80094.699434	196.214951	214.018402	1.035976	1.035976	0.000000	0.981686	-1.000000	-1.000000	0.000000
150	68	2	-1	7374.522427	41.590347	41.373211	0.928788	0.928788	0.000000	0.575703	-1.000000	-1.000000	0.000000
152	69	1	-1	72736.529158	196.241165	213.998642	0.985259	0.985259	0.000000	0.982449	-1.000000	-1.000000	0.000000
154	70	1	-1	69038.347629	196.241776	213.881134	0.938040	0.938040	0.000000	0.982219	-1.000000	-1.000000	0.000000
156	71	1	-1	77779.244269	196.189316	213.994156	1.025785	1.025785	0.000000	0.983121	-1.000000	-1.000000	0.000000
158	72	1	-1	72199.169247	196.231216	213.984955	0.965451	0.965451	0.000000	0.971952	-1.000000	-1.000000	0.000000
159	72	2	-1	12481.167878	179.124619	111.000496	1.055695	1.055695	0.000000	0.789476	-1.000000	-1.000000	0.000000
161	73	1	-1	11200.763238	179.384750	111.118515	0.885304	0.885304	0.000000	0.829790	-1.000000	-1.000000	0.000000
162	73	2	-1	76561.463109	196.127472	213.963608	1.024887	1.024887	0.000000	0.979450	-1.000000	-1.000000	0.000000
164	74	1	-1	8583.571413	179.160690	111.230591	0.860075	0.860075	0.000000	0.737736	-1.000000	-1.000000	0.000000
165	74	2	-1	77882.747465	196.256760	213.931198	1.013395	1.013395	0.000000	0.971452	-1.000000	-1.000000	0.000000
167	75	1	-1	73039.897603	196.209656	213.946548	0.973389	0.973389	0.000000	0.988209	-1.000000	-1.000000	0.000000
169	76	1	-1	77492.486315	196.215149	213.967041	1.065964	1.065964	0.000000	0.980561	-1.000000	-1.000000	0.000000
170	76	2	-1	12198.703375	179.385254	111.157120	0.887208	0.887208	0.000000	0.857045	-1.000000	-1.000000	0.000000
172	77	1	-1	71379.869159	196.291611	214.003677	0.997975	0.997975	0.000000	0.977651	-1.000000	-1.000000	0.000000
174	78	1	-1	14680.703752	41.283081	40.892212	1.382562	1.382562	0.000000	0.731683	-1.000000	-1.000000	0.000000
175	78	2	-1	77692.558114	196.178574	213.995712	0.983775	0.983775	0.000000	0.986469	-1.000000	-1.000000	0.000000
176	78	3	-1	12365.313211	179.220490	111.410141	1.161119	1.161119	0.000000	0.705173	-1.000000	-1.000000	0.000000
178	79	1	-1	73601.066275	196.237045	213.959671	0.989839	0.989839	0.000000	0.981087	-1.000000	-1.000000	0.000000
