# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,1.45143e+08,4000,0,4000,6442.29,36194.7,
0,1,0,12,38391.7,1,0,1,23562.1,25285.7,
0,1,0,16,38272.7,1,0,1,34371.9,39313.4,
7,8,7,25,355592,697,688,9,25056.6,19834.3,
1,2,1,28,157518,68,63,5,19599.8,29290.1,
3,4,3,36,157956,116,112,4,38258.7,6723.63,
0,1,0,75,45682.3,1,0,1,24014.8,21902,
9,10,9,79,811369,138,117,21,22277,24609,
2,3,2,83,167463,113,109,4,18635.8,14709,
2,3,2,91,129641,753,750,3,37266.9,11434.2,
3,4,3,102,109228,28,24,4,33722.3,6067.09,
1,2,1,126,90595.4,75,73,2,12450.2,28768.5,
11,12,11,131,510961,425,408,17,15296.4,10948.3,
0,1,0,140,45440.3,1,0,1,16330.9,27514,
2,3,2,153,109996,6,2,4,17422.4,12927,
0,1,0,173,40582.4,1,0,1,35137,6586.58,
0,1,0,180,12009.3,1,0,1,27983.9,20431,
23,24,23,180,3.19097e+06,1412,1321,91,19039.6,10285.4,
1,2,1,208,176642,5,1,4,21722.8,23961.6,
1,2,1,234,100161,8,5,3,26732.2,26877,
2,3,2,256,90807.5,292,289,3,23276.6,34865.3,
19,20,19,257,979212,1465,1442,23,19097.3,15942.8,
3,4,3,260,178523,321,317,4,16667.7,36087.1,
3,4,3,265,358979,3317,3308,9,36782.2,13237.4,
1,2,1,302,81436.6,455,453,2,17419.5,18212.3,
2,3,2,353,250689,156,150,6,31691.2,24156.6,
6,7,6,365,297880,180,173,7,29350,24619.4,
1,2,1,400,81692,323,321,2,22313.6,39686.3,
5,6,5,404,973197,384,359,25,24127.6,26369.2,
4,5,4,436,199150,50,43,7,32377.7,23355.5,
4,5,4,456,249272,319,313,6,15761.9,32686,
0,1,0,464,119017,3,0,3,39981.4,14539.3,
1,2,1,478,99176.5,6,3,3,15389.5,24237.3,
3,4,3,487,108658,106,102,4,33847.2,9328.43,
0,1,0,502,14785.1,1,0,1,33891,12018.3,
0,1,0,517,42110.7,1,0,1,39475.8,14358.2,
1,2,1,519,99861.7,58,55,3,36502.8,24046.4,
2,3,2,534,114822,121,116,5,33909.7,21966.1,
14,15,14,537,1.33615e+06,755,721,34,27895,25507.3,
0,1,0,547,41456.1,1,0,1,35606,32799.5,
3,4,3,557,166840,46,42,4,21764.2,25345.3,
0,1,0,588,39390.3,1,0,1,32958.9,20334.8,
0,1,0,608,39744.6,1,0,1,28943.2,21883.3,
9,10,9,663,885410,746,725,21,36253.7,27054.4,
1,2,1,705,91292.4,267,265,2,22887,17206.2,
7,8,7,783,223093,1001,992,9,27684.8,27879.4,
0,1,0,827,42316.4,1,0,1,23355.3,16766.4,
5,6,5,836,170035,685,678,7,20782.7,23202.1,
9,10,9,839,483443,811,797,14,26923.5,29578.1,
1,2,1,932,86629.1,3,1,2,36491.7,28507.3,
3,4,3,934,216584,206,201,5,37468.1,10856.3,
9,10,9,938,504904,230,217,13,33455,25036.3,
1,2,1,1018,47426.6,342,340,2,26301.5,31037.3,
5,6,5,1020,232511,49,43,6,17203.8,16945,
1,2,1,1034,86874.9,189,187,2,25610.4,16633,
11,12,11,1092,651843,622,607,15,28193.6,18704.8,
5,6,5,1104,429445,43,32,11,32738.6,24989.1,
1,2,1,1115,123185,14,11,3,14888.8,19100.7,
1,2,1,1207,52401.9,3,1,2,34432.5,13361.2,
2,3,2,1239,120944,509,506,3,39561.7,19452.4,
1,2,1,1295,53688.9,6,4,2,21401,13284.1,
1,2,1,1313,80817.8,9,7,2,14028.4,32175,
2,3,2,1365,100065,1674,1671,3,37908.7,32184.3,
2,3,2,1400,165998,71,67,4,36965.3,21853.6,
0,1,0,1425,39047.8,1,0,1,12489.1,24700.5,
1,2,1,1430,131481,4,1,3,38385.4,26313.8,
0,1,0,1436,303105,7,0,7,32741,17723.1,
1,2,1,1454,141722,4,1,3,7102.37,33086.1,
8,9,8,1498,437974,294,284,10,25933.5,22692.3,
1,2,1,1507,57281.4,146,144,2,38302.1,12632.5,
0,1,0,1576,38412.8,1,0,1,1978.81,23238.1,
0,1,0,1592,76836.5,2,0,2,23566.7,19923.4,
7,8,7,1617,472709,563,551,12,14428.9,6000.7,
0,1,0,1750,44381.2,1,0,1,22999,20171.8,
2,3,2,1770,280019,37,29,8,29264.8,9348.28,
1,2,1,1804,123337,4,1,3,24914.1,24937.4,
3,4,3,1861,365481,379,368,11,24245,38234.8,
6,7,6,1874,908402,331,303,28,27077.6,31885.4,
4,5,4,1954,207791,50,45,5,16659.7,22155.5,
0,1,0,1955,39029,1,0,1,34230.2,8554.5,
7,8,7,1956,674871,310,294,16,25974.7,31875.1,
0,1,0,1964,87373,2,0,2,36718.4,28055.2,
0,1,0,1967,169600,4,0,4,33381.1,29149.6,
6,7,6,1969,194500,105,98,7,38589.8,26847.4,
0,1,0,1985,211253,7,0,7,35171.1,39594.7,
6,7,6,2033,410859,155,142,13,34406.8,9870.83,
6,7,6,2056,278299,419,412,7,20008.1,40265,
4,5,4,2057,141647,70,65,5,33131.6,16047.5,
5,6,5,2127,223980,396,389,7,27398.2,28727.9,
4,5,4,2131,574390,190,175,15,39609.6,26079.1,
0,1,0,2151,36809,1,0,1,18980.1,23020.2,
11,12,11,2188,726516,754,733,21,34414.1,38912.7,
8,9,8,2205,485543,645,631,14,28771.3,28282.9,
1,2,1,2206,91277.7,5,2,3,12694.2,27364.1,
2,3,2,2233,121858,16,13,3,35957.1,16497.2,
0,1,0,2237,39452,1,0,1,12542.8,38689.6,
0,1,0,2246,41115.3,1,0,1,29871.3,5646.25,
1,2,1,2284,86772.8,3,1,2,19336.4,17996.6,
9,10,9,2289,515897,284,267,17,28776.9,19857.8,
1,2,1,2339,52333.3,86,84,2,18300,35837.9,
5,6,5,2341,387719,17,8,9,35630.1,10226.1,
0,1,0,2350,129169,3,0,3,38202.8,24523.9,
8,9,8,2378,407868,1117,1108,9,39353.1,22764.3,
4,5,4,2379,328853,115,107,8,36564.9,15872.2,
0,1,0,2406,43810.3,1,0,1,20157.5,27332.5,
0,1,0,2445,37428.1,1,0,1,20297.6,24288.1,
0,1,0,2445,38723.4,1,0,1,21959.9,27563.7,
0,1,0,2566,36508.5,1,0,1,25592.8,34223.7,
0,1,0,2589,44393.2,1,0,1,35246.2,21266.6,
2,3,2,2622,314695,10,3,7,37205.6,38439.3,
4,5,4,2629,586704,237,223,14,32363.3,6869.67,
16,17,16,2695,1.27222e+06,984,953,31,28485.8,38719.8,
6,7,6,2710,291468,859,852,7,21041.5,9115.17,
13,14,13,2715,1.79288e+06,348,303,45,37749.4,23153.1,
1,2,1,2730,94675.5,5,2,3,25801.2,7433.85,
11,12,11,2795,1.03779e+06,1206,1182,24,38161.3,22831,
1,2,1,2884,79004.7,3,1,2,22041.3,18790.6,
8,9,8,2902,859215,458,436,22,26119.7,37747.7,
1,2,1,2930,436903,35,23,12,27837.5,33355.3,
0,1,0,2941,120281,3,0,3,22069.8,20797.9,
0,1,0,2991,34180,1,0,1,37929.5,23026,
6,7,6,2992,400589,206,196,10,35022.2,8537.14,
0,1,0,3024,87763.1,2,0,2,38432.3,28707.2,
0,1,0,3025,248016,6,0,6,20978.4,9828.98,
1,2,1,3063,86510.1,298,296,2,11360.6,39190.6,
0,1,0,3153,46846.6,1,0,1,32260.3,19174.9,
0,1,0,3154,40116.4,1,0,1,17182.5,13577,
1,2,1,3169,158910,96,92,4,22879.4,22191.2,
6,7,6,3173,793503,319,300,19,35581.8,7852.04,
3,4,3,3182,164479,522,518,4,35704.3,18766,
8,9,8,3193,443182,492,479,13,16688.5,21931.1,
2,3,2,3195,259061,11,4,7,35660.7,36107.3,
2,3,2,3322,115236,261,258,3,30218.7,29877.6,
1,2,1,3325,52868.9,9,7,2,35320.4,12942.7,
0,1,0,3362,37458,1,0,1,36134.1,787.311,
6,7,6,3456,466141,495,483,12,22755.1,25399.4,
2,3,2,3532,138747,111,107,4,21315.9,20824,
1,2,1,3539,143830,29,25,4,38674.7,20322.9,
0,1,0,3590,46020.2,1,0,1,34481.9,14528.2,
0,1,0,3618,48275.6,1,0,1,33642.4,40023.5,
0,1,0,3664,10615.1,1,0,1,36978.7,19247.4,
1,2,1,3693,104602,5,1,4,37682.8,34175.3,
2,3,2,3775,71130.2,43,40,3,18131.7,25253.1,
4,5,4,3824,180550,65,58,7,38106.2,22013,
0,1,0,3951,43326.2,1,0,1,23286.1,38255.5,
3,4,3,3955,103935,22,18,4,37951.5,33240.6,
2,3,2,3983,136125,7,3,4,30544.2,4777.18,
1,2,1,3989,55870.1,3,1,2,20934.1,24396.3,
