# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,5.39601e+07,4000,0,4000,16994.6,3748.72,
67,68,67,2,1.08684e+06,1618,1540,78,36397.8,11827.1,
0,1,0,16,16292.2,1,0,1,23493.6,1817.39,
0,1,0,43,15421.4,1,0,1,32265.5,3062.35,
0,1,0,46,25346.7,2,0,2,29377.4,30485.9,
0,1,0,46,14395.6,1,0,1,12167.6,13197.7,
0,1,0,104,13938.1,1,0,1,29191.2,22379.3,
4,5,4,196,96540.4,64,57,7,22778.3,3212.98,
0,1,0,199,21296.8,2,0,2,28738.2,38116.6,
0,1,0,310,8473.6,1,0,1,38405.2,16799.1,
0,1,0,366,12802.5,1,0,1,32696.3,33416.4,
0,1,0,465,7976.52,1,0,1,19634.5,13188.2,
0,1,0,516,14848.4,1,0,1,26966.2,22146.7,
2,3,2,554,44234.7,9,5,4,39299.4,19702.8,
0,1,0,559,15568.6,1,0,1,734.702,28934.9,
0,1,0,569,5758.69,1,0,1,35715.4,21865,
0,1,0,641,15231.2,1,0,1,27887.2,948.089,
0,1,0,731,7903.41,1,0,1,30168.7,7274.04,
1,2,1,737,19778.3,3,1,2,33127.2,38669.4,
0,1,0,781,13760.6,1,0,1,10076.7,28461.8,
8,9,8,833,257720,1726,1708,18,12546.5,30963.1,
0,1,0,873,12900.3,1,0,1,10399.6,10827.7,
0,1,0,931,17554.1,1,0,1,21497.1,10041.1,
0,1,0,938,12653.3,1,0,1,15070.7,38828.2,
0,1,0,1018,18580,1,0,1,24211.4,12345.5,
0,1,0,1032,43694.4,3,0,3,38910.5,22816.8,
5,6,5,1077,142477,78,69,9,36144.5,17632.8,
11,12,11,1089,1.09295e+06,147,73,74,10252.7,9268,
0,1,0,1116,116021,8,0,8,25536.5,31240,
1,2,1,1344,27533.4,3,1,2,23088.5,3102.34,
0,1,0,1395,29055.8,2,0,2,25941.4,32421.6,
8,9,8,1787,191271,134,121,13,5382.58,29116.9,
0,1,0,1900,17798.8,1,0,1,22283.8,32215.2,
60,61,60,1900,2.74142e+06,391,206,185,35286.8,16026.7,
0,1,0,1917,14100.6,1,0,1,23585.8,38892.5,
0,1,0,2000,14826.8,1,0,1,35194.2,16094.3,
0,1,0,2461,13710.8,1,0,1,27857.6,27582,
0,1,0,2504,13795.2,1,0,1,8873.75,2627.82,
0,1,0,2612,13020,1,0,1,35446.4,34283,
0,1,0,2811,12653.5,1,0,1,34328.1,35194.7,
0,1,0,3149,13392.9,1,0,1,17072.5,24318.2,
0,1,0,3223,11358.7,1,0,1,22246.2,26130.4,
0,1,0,3259,29118.3,2,0,2,38173.6,18826.9,
0,1,0,3469,15028.9,1,0,1,32291.4,34468.6,
9,10,9,3512,409178,134,106,28,17300,19528.2,
0,1,0,3701,35277.9,3,0,3,37345.4,23362,
0,1,0,3999,20950.8,2,0,2,39297.7,21639.5,
