Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	13045	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	8135.768550	131.762421	114.366341	1.165815	1.165815	0.000000	0.528691	-1.000000	-1.000000	0.000000
2	1	2	-1	4682.657091	195.687195	191.072174	0.770435	0.770435	0.000000	0.543095	-1.000000	-1.000000	0.000000
3	1	3	-1	9626.351149	41.762070	41.741104	1.346442	1.346442	0.000000	0.616431	-1.000000	-1.000000	0.000000
4	1	4	-1	11007.071145	92.466202	195.797180	1.061162	1.061162	0.000000	0.777669	-1.000000	-1.000000	0.000000
5	1	5	-1	72433.006475	196.272842	213.828659	0.977107	0.977107	0.000000	0.985433	-1.000000	-1.000000	0.000000
7	2	1	-1	10290.085447	41.708904	41.599586	1.135048	1.135048	0.000000	0.684183	-1.000000	-1.000000	0.000000
8	2	2	-1	78925.315161	196.258163	213.849655	1.010539	1.010539	0.000000	0.982488	-1.000000	-1.000000	0.000000
9	2	3	-1	9372.449040	131.893967	114.594116	1.289986	1.289986	0.000000	0.658997	-1.000000	-1.000000	0.000000
10	2	4	-1	5940.469708	92.314842	195.966751	0.774346	0.774346	0.000000	0.603267	-1.000000	-1.000000	0.000000
12	3	1	-1	14021.150227	41.557030	41.113831	1.284655	1.284655	0.000000	0.741721	-1.000000	-1.000000	0.000000
13	3	2	-1	72984.465403	196.206619	213.939819	0.989720	0.989720	0.000000	0.975953	-1.000000	-1.000000	0.000000
14	3	3	-1	7960.738737	92.496239	196.012680	1.096146	1.096146	0.000000	0.590637	-1.000000	-1.000000	0.000000
15	3	4	-1	13832.806292	195.889511	190.902130	1.589911	1.589911	0.000000	0.642220	-1.000000	-1.000000	0.000000
16	3	5	-1	8295.912968	153.861420	167.227692	0.751881	0.751881	0.000000	0.792397	-1.000000	-1.000000	0.000000
18	4	1	-1	5025.034136	92.962799	196.077682	0.830631	0.830631	0.000000	0.588756	-1.000000	-1.000000	0.000000
19	4	2	-1	6802.239661	41.423454	41.631489	1.230645	1.230645	0.000000	0.442291	-1.000000	-1.000000	0.000000
20	4	3	-1	73918.062887	196.230713	213.957657	1.011183	1.011183	0.000000	0.981817	-1.000000	-1.000000	0.000000
21	4	4	-1	12005.779805	153.452850	167.086548	1.181545	1.181545	0.000000	0.677724	-1.000000	-1.000000	0.000000
23	5	1	-1	78709.464541	196.211472	213.917435	1.046919	1.046919	0.000000	0.981689	-1.000000	-1.000000	0.000000
24	5	2	-1	11953.895708	92.500221	195.882050	1.285874	1.285874	0.000000	0.677385	-1.000000	-1.000000	0.000000
25	5	3	-1	8380.764180	196.040268	190.961044	1.159679	1.159679	0.000000	0.554672	-1.000000	-1.000000	0.000000
26	5	4	-1	8448.346960	153.679443	167.436508	0.870214	0.870214	0.000000	0.727742	-1.000000	-1.000000	0.000000
28	6	1	-1	7895.081564	92.506844	195.804596	0.979699	0.979699	0.000000	0.665102	-1.000000	-1.000000	0.000000
29	6	2	-1	10214.336796	41.660931	41.325706	1.343545	1.343545	0.000000	0.652627	-1.000000	-1.000000	0.000000
30	6	3	-1	9642.769943	153.777817	167.197830	1.077961	1.077961	0.000000	0.698304	-1.000000	-1.000000	0.000000
31	6	4	-1	71686.439515	196.229324	213.927795	0.979467	0.979467	0.000000	0.972863	-1.000000	-1.000000	0.000000
33	7	1	-1	10413.325280	41.464378	41.189354	1.301901	1.301901	0.000000	0.505319	-1.000000	-1.000000	0.000000
34	7	2	-1	9212.806358	154.082596	167.257996	1.308601	1.308601	0.000000	0.592632	-1.000000	-1.000000	0.000000
35	7	3	-1	78327.574805	196.227921	213.894241	1.056502	1.056502	0.000000	0.977056	-1.000000	-1.000000	0.000000
37	8	1	-1	70557.789147	196.201508	213.888824	0.983483	0.983483	0.000000	0.959738	-1.000000	-1.000000	0.000000
38	8	2	-1	10004.671549	41.592216	41.595272	1.115590	1.115590	0.000000	0.703608	-1.000000	-1.000000	0.000000
39	8	3	-1	10144.555561	153.494034	167.212677	0.946147	0.946147	0.000000	0.792312	-1.000000	-1.000000	0.000000
41	9	1	-1	8267.492957	41.635456	41.375381	1.163641	1.163641	0.000000	0.679092	-1.000000	-1.000000	0.000000
42	9	2	-1	80698.413071	196.220184	213.993942	1.039114	1.039114	0.000000	0.977218	-1.000000	-1.000000	0.000000
43	9	3	-1	10499.574935	153.718414	167.395615	1.033067	1.033067	0.000000	0.770169	-1.000000	-1.000000	0.000000
44	9	4	-1	6351.003130	74.420906	92.633682	1.031764	1.031764	0.000000	0.468046	-1.000000	-1.000000	0.000000
46	10	1	-1	7002.263404	41.582081	41.604141	0.908881	0.908881	0.000000	0.759698	-1.000000	-1.000000	0.000000
47	10	2	-1	5067.499154	196.337692	191.073898	0.819815	0.819815	0.000000	0.493396	-1.000000	-1.000000	0.000000
48	10	3	-1	5819.712242	92.589813	196.042404	0.871236	0.871236	0.000000	0.574996	-1.000000	-1.000000	0.000000
49	10	4	-1	76670.929739	196.183319	213.973572	0.970032	0.970032	0.000000	0.977940	-1.000000	-1.000000	0.000000
51	11	1	-1	74366.546707	196.228348	213.845581	0.950359	0.950359	0.000000	0.978381	-1.000000	-1.000000	0.000000
52	11	2	-1	5926.077389	196.051926	191.146591	0.958231	0.958231	0.000000	0.655015	-1.000000	-1.000000	0.000000
53	11	3	-1	9590.159398	41.866268	41.460083	1.218270	1.218270	0.000000	0.645835	-1.000000	-1.000000	0.000000
55	12	1	-1	81593.203799	196.185471	213.971710	1.055552	1.055552	0.000000	0.984965	-1.000000	-1.000000	0.000000
56	12	2	-1	7577.420534	41.435909	41.305904	1.038462	1.038462	0.000000	0.511425	-1.000000	-1.000000	0.000000
57	12	3	-1	5096.167687	195.908295	191.236084	0.922573	0.922573	0.000000	0.494929	-1.000000	-1.000000	0.000000
58	12	4	-1	7459.534968	74.318474	92.779976	1.069911	1.069911	0.000000	0.666244	-1.000000	-1.000000	0.000000
60	13	1	-1	74165.953654	196.167328	213.985291	0.985364	0.985364	0.000000	0.979141	-1.000000	-1.000000	0.000000
61	13	2	-1	7957.512327	41.589668	41.416168	0.990998	0.990998	0.000000	0.719531	-1.000000	-1.000000	0.000000
62	13	3	-1	5263.003655	74.405655	93.041946	0.686227	0.686227	0.000000	0.762657	-1.000000	-1.000000	0.000000
64	14	1	-1	7639.367489	41.335373	41.447788	1.043771	1.043771	0.000000	0.580554	-1.000000	-1.000000	0.000000
65	14	2	-1	76967.505623	196.162247	213.947418	1.018080	1.018080	0.000000	0.982946	-1.000000	-1.000000	0.000000
66	14	3	-1	6080.082020	195.937576	190.901093	0.891046	0.891046	0.000000	0.615264	-1.000000	-1.000000	0.000000
68	15	1	-1	9472.624655	249.882080	113.736435	1.236325	1.236325	0.000000	0.572441	-1.000000	-1.000000	0.000000
69	15	2	-1	15244.537528	41.785728	41.625446	1.658456	1.658456	0.000000	0.637114	-1.000000	-1.000000	0.000000
70	15	3	-1	85318.715936	196.190704	213.945465	1.065273	1.065273	0.000000	0.975213	-1.000000	-1.000000	0.000000
72	16	1	-1	5311.004754	196.233978	191.422165	0.880351	0.880351	0.000000	0.547723	-1.000000	-1.000000	0.000000
73	16	2	-1	80344.991504	196.227798	213.842560	1.013910	1.013910	0.000000	0.980628	-1.000000	-1.000000	0.000000
74	16	3	-1	8436.006471	249.702652	113.757187	0.936950	0.936950	0.000000	0.749251	-1.000000	-1.000000	0.000000
76	17	1	-1	76208.501638	196.171814	213.884827	0.995561	0.995561	0.000000	0.982957	-1.000000	-1.000000	0.000000
