# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
11,12,11,1,524304,512,491,21,21114.2,18359.4,
898,899,898,1,3.75061e+07,3994,2555,1439,31357.4,30638.6,
209,210,209,1,1.04298e+08,4000,228,3772,6675.77,6678.76,
4,5,4,1,565518,337,319,18,14803.2,31369.3,
0,1,0,1,1.09309e+08,4000,0,4000,31415.1,34288.2,
4,5,4,3,512422,178,154,24,24599.3,26767.3,
5,6,5,9,181627,151,144,7,11904.4,14864.6,
2,3,2,15,171121,116,111,5,39961,18210.5,
4,5,4,17,1.22787e+06,594,549,45,35452.7,30852.6,
2,3,2,18,34232.1,89,85,4,39253.3,31192.5,
0,1,0,21,95057.5,4,0,4,26109.6,30521.8,
3,4,3,22,204222,273,264,9,24150,3996.79,
2,3,2,23,93611.4,10,6,4,34747.6,20167.3,
2,3,2,25,179870,45,39,6,38637.4,34840.6,
1,2,1,26,96797.2,78,74,4,17279.3,19068.1,
8,9,8,49,1.79582e+06,531,478,53,13115.6,33202.5,
20,21,20,49,641080,424,402,22,20708.1,32595.9,
0,1,0,54,59498.1,1,0,1,34583.5,31110.1,
0,1,0,59,11112.1,1,0,1,20284.6,20156.8,
7,8,7,60,281716,491,478,13,23009.8,17501.3,
7,8,7,62,855755,437,405,32,24914.2,8052.11,
7,8,7,63,180012,3849,3841,8,39353.6,36279.6,
1,2,1,70,18057.7,214,212,2,16394.5,13872.3,
2,3,2,72,821629,419,395,24,28655.2,17757.7,
9,10,9,76,445307,2985,2966,19,32486.8,13471.7,
1,2,1,84,82834.5,203,201,2,22814.6,23448.7,
2,3,2,95,82347.7,653,650,3,1960.73,16518.5,
35,36,35,97,1.71868e+06,2345,2288,57,14901.4,2454.77,
1,2,1,98,18150.6,1828,1826,2,12474.1,18475.4,
5,6,5,101,1.08152e+06,625,593,32,25447.4,23214.2,
1,2,1,102,155026,453,449,4,36932,35637.9,
4,5,4,105,350084,258,247,11,10576.9,37171.5,
10,11,10,113,390506,142,126,16,28112.7,23207.4,
0,1,0,122,67977.3,1,0,1,18754.4,23101.3,
0,1,0,125,18937,2,0,2,24059,12376.2,
1,2,1,127,86021.7,241,239,2,16352.8,22710.9,
2,3,2,128,100785,242,237,5,14298.8,31798.8,
5,6,5,151,213770,212,203,9,2348.06,30681,
0,1,0,156,78584.4,1,0,1,15989.6,36330.1,
1,2,1,157,17396.3,9,7,2,33451.2,36786.8,
4,5,4,159,691082,35,11,24,26520,18304.1,
0,1,0,162,6983.92,1,0,1,6780.37,6551.15,
11,12,11,165,1.13645e+06,908,873,35,39415.2,33479.6,
10,11,10,170,2.77835e+06,851,763,88,33343.6,38691.3,
2,3,2,182,279108,67,56,11,20513.8,29508.6,
3,4,3,189,239602,330,323,7,19698.5,30863.9,
4,5,4,194,324895,192,180,12,38342.6,23201.4,
6,7,6,200,519080,80,62,18,27483.4,24600.8,
0,1,0,213,67518.8,1,0,1,39469.7,14142.1,
0,1,0,232,177926,7,0,7,33030.3,4773.25,
9,10,9,232,490284,1345,1330,15,21878.7,16734.4,
5,6,5,234,178061,1388,1381,7,30416.8,37256.8,
0,1,0,235,7568,1,0,1,35486,23984.7,
4,5,4,259,640821,257,239,18,31289.4,8751.27,
0,1,0,272,155242,4,0,4,11740.8,13186.1,
0,1,0,280,11635.1,1,0,1,1412.05,4779.77,
0,1,0,281,9326.87,1,0,1,17609.4,31281.9,
0,1,0,284,66537.6,1,0,1,14439.4,4563.53,
3,4,3,287,625407,293,267,26,12087.3,28871.6,
0,1,0,288,59053.3,1,0,1,40164.3,18274.8,
3,4,3,306,35242.7,604,600,4,7420.69,11761.1,
11,12,11,330,505162,307,283,24,23766.9,10692.9,
2,3,2,333,158971,302,298,4,17783.7,37531.8,
10,11,10,334,216991,3476,3465,11,20825.7,14584.5,
0,1,0,369,91593.3,3,0,3,15527.7,18693.6,
6,7,6,371,400859,72,61,11,21387,5465.15,
29,30,29,372,2.27202e+06,2117,2024,93,30501.8,32035.1,
1,2,1,374,368611,62,46,16,30333.8,9106.11,
28,29,28,389,1.29863e+06,599,544,55,25627.1,8725.59,
1,2,1,392,79472.7,4,1,3,10755.3,31658.7,
27,28,27,397,969539,1954,1919,35,25265.2,16070.6,
3,4,3,401,482945,263,248,15,10854.6,13917.5,
3,4,3,401,1.21505e+06,526,487,39,33800.8,37007.3,
3,4,3,408,97675.9,40,36,4,2784.58,39977.3,
3,4,3,419,565735,303,285,18,13228.4,39354.6,
0,1,0,450,8773.16,1,0,1,25371.5,18903.4,
0,1,0,463,134127,2,0,2,28604.2,17622.5,
0,1,0,471,7690.89,1,0,1,1748.37,39221.7,
1,2,1,475,82338.7,164,161,3,17604.9,25009.3,
2,3,2,481,77344.1,223,220,3,3019,31698.5,
1,2,1,488,242348,8,1,7,36542.4,18383.3,
1,2,1,491,163710,69,65,4,8440.4,33936.7,
3,4,3,493,801921,181,150,31,22122.7,38318.6,
4,5,4,504,170456,148,143,5,9129.8,27234.6,
2,3,2,582,90171.7,646,642,4,2439.01,38593.4,
6,7,6,612,777684,635,609,26,38218.5,15139,
2,3,2,615,143889,56,53,3,12565.8,17708,
0,1,0,622,7409.23,1,0,1,12641.6,17620.7,
0,1,0,644,6214.39,1,0,1,25995.4,20840.9,
66,67,66,661,2.71423e+06,2620,2522,98,13099.7,35231.5,
3,4,3,665,223840,629,624,5,16602.3,27964.7,
0,1,0,687,76651.1,1,0,1,31380.7,30777.4,
2,3,2,701,382641,24,14,10,33767.1,9605.63,
3,4,3,727,239332,162,156,6,20764.4,25057.1,
14,15,14,760,367596,1189,1174,15,37277.5,38650.3,
3,4,3,764,255149,125,117,8,3313.08,37760.1,
0,1,0,790,8219.85,1,0,1,7483,25905.1,
0,1,0,803,9104.73,1,0,1,21735,3474.82,
11,12,11,804,577263,905,885,20,24777.2,3763.05,
8,9,8,804,258372,934,925,9,14181.9,36162.2,
2,3,2,804,230653,13,7,6,18908.2,4131.39,
15,16,15,805,1.30425e+06,1341,1299,42,9270.09,34487,
3,4,3,809,168801,2962,2956,6,34534.4,12231.5,
1,2,1,829,16051.1,344,342,2,12040.1,17954.2,
8,9,8,831,612973,327,304,23,21011.9,11188.2,
10,11,10,856,598022,581,568,13,27381.7,36100.3,
0,1,0,863,8653.26,1,0,1,25989.9,3365.09,
2,3,2,881,544149,234,219,15,37354.2,9082.48,
6,7,6,882,579502,2117,2097,20,32049.6,8593.33,
0,1,0,894,9069.71,1,0,1,40187.8,23350.7,
0,1,0,903,7923.46,1,0,1,31231.2,5815.37,
1,2,1,911,137741,7,4,3,37408.8,6734.79,
7,8,7,942,214816,793,783,10,40010.3,32392.7,
1,2,1,951,147213,160,157,3,38837.6,20021.4,
3,4,3,962,91607.2,305,301,4,27677.3,13399.5,
0,1,0,972,7780.41,1,0,1,8418.11,5228.78,
4,5,4,981,584208,280,261,19,27190.7,18748.7,
5,6,5,1000,279696,865,853,12,31814.1,5208.27,
3,4,3,1005,329171,2283,2272,11,38203.8,36158.9,
15,16,15,1006,1.33898e+06,315,268,47,29889.5,11922.2,
1,2,1,1039,79659.2,960,958,2,7089.45,2696.03,
6,7,6,1050,435491,413,396,17,31340.6,3106.63,
0,1,0,1087,67393.8,1,0,1,26896.2,3374.52,
2,3,2,1116,85693.8,7,4,3,18504.7,36178.6,
0,1,0,1133,63914.2,1,0,1,27835.8,13454.9,
3,4,3,1136,315821,80,64,16,27986.8,37623.5,
1,2,1,1157,203008,12,2,10,30228.7,25637.4,
4,5,4,1190,124502,455,449,6,16049.7,39992.8,
0,1,0,1198,10149,1,0,1,8513.98,28625,
13,14,13,1205,816358,152,120,32,21749.7,39395,
1,2,1,1209,241693,17,9,8,29604,17786.4,
1,2,1,1223,14502.1,69,67,2,5213.57,7718.12,
8,9,8,1233,422219,603,588,15,17395,32595.7,
24,25,24,1248,924866,1690,1650,40,16750.1,8705.46,
6,7,6,1252,263747,2276,2268,8,26601.1,30771.6,
0,1,0,1261,12986.7,1,0,1,13967.2,27587.1,
11,12,11,1277,1.63003e+06,362,301,61,19570.8,28119.1,
7,8,7,1284,426746,1560,1544,16,14024.4,8474.99,
19,20,19,1287,906602,1391,1363,28,23468.6,11091.3,
7,8,7,1300,1.67539e+06,913,857,56,37819,27569.3,
1,2,1,1327,72604.7,6,4,2,10107,34843.7,
0,1,0,1332,64412.4,1,0,1,21765.3,21577.1,
0,1,0,1335,81539.6,2,0,2,21250.1,19422.1,
10,11,10,1344,1.80151e+06,856,792,64,35681.7,39713.8,
0,1,0,1382,67447.7,1,0,1,16010.3,18077.8,
24,25,24,1401,1.03998e+06,1993,1952,41,2106.9,22530.1,
9,10,9,1424,1.37775e+06,1066,1017,49,27179.8,39748.7,
8,9,8,1426,486599,836,820,16,20637.9,6345.77,
0,1,0,1467,9324.94,1,0,1,6878.59,40275.6,
7,8,7,1528,1.53983e+06,259,210,49,27520.8,32904.6,
0,1,0,1582,24808.2,3,0,3,35322.7,37939.7,
3,4,3,1595,91844.1,1797,1793,4,13410.1,28486.9,
2,3,2,1606,89557.4,161,158,3,22156.3,15116.2,
1,2,1,1629,92657.1,246,242,4,10389.2,25260,
2,3,2,1629,682889,490,466,24,19159.8,21613.5,
2,3,2,1645,149581,445,442,3,19629.5,28683.2,
3,4,3,1668,197115,68,58,10,26786.3,29356.5,
4,5,4,1671,1.008e+06,454,421,33,32869.9,21203.8,
48,49,48,1681,2.15368e+06,1959,1874,85,7666.91,39322.6,
4,5,4,1691,909503,442,405,37,31514,16451.1,
1,2,1,1706,102063,430,426,4,9188.39,34370.6,
0,1,0,1721,7115.56,1,0,1,12947.4,16739.3,
12,13,12,1754,519774,814,797,17,10606.7,34822.4,
5,6,5,1778,630051,268,242,26,25876.5,31515.8,
1,2,1,1781,299084,250,243,7,37586.6,14825.5,
1,2,1,1782,18328,110,108,2,19076.6,7080.79,
1,2,1,1787,121136,89,84,5,38942.3,10960.3,
3,4,3,1810,448461,179,161,18,33379.2,7870.61,
