Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	4899	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	12932.542862	106.527260	22.662575	0.973142	0.973142	0.000000	0.850350	-1.000000	-1.000000	0.000000
3	2	1	-1	12834.604543	106.336845	22.746908	0.946118	0.946118	0.000000	0.860421	-1.000000	-1.000000	0.000000
4	2	2	-1	5329.080443	227.455734	73.177933	0.909975	0.909975	0.000000	0.469786	-1.000000	-1.000000	0.000000
6	3	1	-1	15761.503024	106.375374	22.696711	0.915239	0.915239	0.000000	0.912404	-1.000000	-1.000000	0.000000
8	4	1	-1	15706.754801	106.340324	22.781651	0.971114	0.971114	0.000000	0.871099	-1.000000	-1.000000	0.000000
9	4	2	-1	6021.980210	227.407379	73.669197	0.975643	0.975643	0.000000	0.530322	-1.000000	-1.000000	0.000000
11	5	1	-1	14329.175902	106.393227	22.747782	0.989693	0.989693	0.000000	0.813543	-1.000000	-1.000000	0.000000
13	6	1	-1	17731.998190	106.371933	22.901554	0.977221	0.977221	0.000000	0.869599	-1.000000	-1.000000	0.000000
15	7	1	-1	12657.341037	106.418114	22.650366	0.900010	0.900010	0.000000	0.878247	-1.000000	-1.000000	0.000000
17	8	1	-1	12452.100053	106.275154	22.919388	0.867885	0.867885	0.000000	0.821862	-1.000000	-1.000000	0.000000
19	9	1	-1	14423.995176	106.441261	22.866745	0.980718	0.980718	0.000000	0.889148	-1.000000	-1.000000	0.000000
21	10	1	-1	13892.663331	106.388962	22.686794	0.993352	0.993352	0.000000	0.884870	-1.000000	-1.000000	0.000000
23	11	1	-1	19107.055259	106.290588	22.816021	1.144594	1.144594	0.000000	0.882768	-1.000000	-1.000000	0.000000
25	12	1	-1	13248.684507	106.371689	22.813957	0.869384	0.869384	0.000000	0.851251	-1.000000	-1.000000	0.000000
27	13	1	-1	11144.749483	106.451515	22.725048	0.875019	0.875019	0.000000	0.821764	-1.000000	-1.000000	0.000000
29	14	1	-1	10907.492266	106.500931	22.810768	0.873441	0.873441	0.000000	0.875858	-1.000000	-1.000000	0.000000
31	15	1	-1	12243.672898	106.273956	22.872894	0.853471	0.853471	0.000000	0.843692	-1.000000	-1.000000	0.000000
32	15	2	-1	5772.063396	227.835327	73.355774	0.997777	0.997777	0.000000	0.493698	-1.000000	-1.000000	0.000000
34	16	1	-1	14539.904300	106.375465	22.553268	0.925324	0.925324	0.000000	0.867416	-1.000000	-1.000000	0.000000
35	16	2	-1	5802.916737	146.834793	11.358667	0.800875	0.800875	0.000000	0.642892	-1.000000	-1.000000	0.000000
37	17	1	-1	11427.317517	106.439682	22.696434	0.820139	0.820139	0.000000	0.864141	-1.000000	-1.000000	0.000000
38	17	2	-1	4354.561275	227.623291	73.057205	0.752183	0.752183	0.000000	0.577772	-1.000000	-1.000000	0.000000
40	18	1	-1	13598.010688	106.302551	22.763273	0.822901	0.822901	0.000000	0.890699	-1.000000	-1.000000	0.000000
42	19	1	-1	13626.930268	106.418152	22.820499	0.920917	0.920917	0.000000	0.865543	-1.000000	-1.000000	0.000000
44	20	1	-1	13467.397852	106.295952	22.718586	0.886376	0.886376	0.000000	0.895987	-1.000000	-1.000000	0.000000
46	21	1	-1	16143.265812	106.533119	22.760485	0.942592	0.942592	0.000000	0.911964	-1.000000	-1.000000	0.000000
48	22	1	-1	15200.026151	106.373993	22.887575	0.989901	0.989901	0.000000	0.849829	-1.000000	-1.000000	0.000000
50	23	1	-1	14492.181813	106.211998	22.825485	0.980882	0.980882	0.000000	0.876022	-1.000000	-1.000000	0.000000
52	24	1	-1	14349.750810	106.413017	22.763758	0.941144	0.941144	0.000000	0.840278	-1.000000	-1.000000	0.000000
54	25	1	-1	12606.141483	106.510124	22.617413	0.846713	0.846713	0.000000	0.825506	-1.000000	-1.000000	0.000000
56	26	1	-1	14207.632087	106.412010	22.672693	0.874212	0.874212	0.000000	0.886772	-1.000000	-1.000000	0.000000
58	27	1	-1	15498.801030	106.419022	22.580351	0.898423	0.898423	0.000000	0.833379	-1.000000	-1.000000	0.000000
60	28	1	-1	15149.550789	106.417397	22.894333	0.957389	0.957389	0.000000	0.847917	-1.000000	-1.000000	0.000000
62	29	1	-1	15117.681757	106.366867	22.950146	0.871353	0.871353	0.000000	0.906729	-1.000000	-1.000000	0.000000
63	29	2	-1	4496.959216	227.534988	73.879730	0.933930	0.933930	0.000000	0.408074	-1.000000	-1.000000	0.000000
65	30	1	-1	6723.781190	227.785156	73.775124	0.765823	0.765823	0.000000	0.724084	-1.000000	-1.000000	0.000000
66	30	2	-1	13135.744626	106.369354	22.697016	0.960607	0.960607	0.000000	0.848647	-1.000000	-1.000000	0.000000
68	31	1	-1	16834.757931	106.263901	22.841400	1.079563	1.079563	0.000000	0.840607	-1.000000	-1.000000	0.000000
70	32	1	-1	4947.582672	251.733276	142.436005	0.939997	0.939997	0.000000	0.507809	-1.000000	-1.000000	0.000000
71	32	2	-1	8184.949747	226.865982	73.442207	1.276408	1.276408	0.000000	0.541935	-1.000000	-1.000000	0.000000
72	32	3	-1	17637.229771	106.300926	22.857447	1.014204	1.014204	0.000000	0.929827	-1.000000	-1.000000	0.000000
74	33	1	-1	14671.712054	106.258629	22.784554	0.893740	0.893740	0.000000	0.922258	-1.000000	-1.000000	0.000000
76	34	1	-1	15128.053816	106.306091	22.953094	1.048440	1.048440	0.000000	0.847149	-1.000000	-1.000000	0.000000
78	35	1	-1	13871.083359	106.407516	22.807499	1.022033	1.022033	0.000000	0.842696	-1.000000	-1.000000	0.000000
80	36	1	-1	15544.642796	106.457542	22.900921	0.865947	0.865947	0.000000	0.923648	-1.000000	-1.000000	0.000000
81	36	2	-1	9706.438277	227.700333	74.080879	1.335883	1.335883	0.000000	0.550863	-1.000000	-1.000000	0.000000
83	37	1	-1	10626.572990	106.387062	22.841221	0.709546	0.709546	0.000000	0.875767	-1.000000	-1.000000	0.000000
85	38	1	-1	14458.606193	106.432793	22.802778	0.919857	0.919857	0.000000	0.892115	-1.000000	-1.000000	0.000000
87	39	1	-1	13280.083524	106.374008	22.940962	0.908559	0.908559	0.000000	0.889237	-1.000000	-1.000000	0.000000
89	40	1	-1	14965.165769	106.450653	22.838940	0.866911	0.866911	0.000000	0.921955	-1.000000	-1.000000	0.000000
91	41	1	-1	14715.686168	106.320953	22.862247	0.876181	0.876181	0.000000	0.895536	-1.000000	-1.000000	0.000000
93	42	1	-1	17562.621226	106.286263	22.684521	1.095991	1.095991	0.000000	0.824407	-1.000000	-1.000000	0.000000
94	42	2	-1	4260.472247	227.683609	73.071312	0.715048	0.715048	0.000000	0.693742	-1.000000	-1.000000	0.000000
96	43	1	-1	6494.697817	201.659485	19.139681	1.003497	1.003497	0.000000	0.604249	-1.000000	-1.000000	0.000000
97	43	2	-1	14256.725791	106.366470	22.969223	0.948020	0.948020	0.000000	0.908098	-1.000000	-1.000000	0.000000
99	44	1	-1	16716.205317	106.347008	22.835701	1.120620	1.120620	0.000000	0.812273	-1.000000	-1.000000	0.000000
101	45	1	-1	6131.810910	75.912445	83.026962	1.023633	1.023633	0.000000	0.630620	-1.000000	-1.000000	0.000000
102	45	2	-1	15233.442141	106.417679	22.819891	0.969989	0.969989	0.000000	0.880656	-1.000000	-1.000000	0.000000
104	46	1	-1	6971.027127	183.606857	190.563538	0.745092	0.745092	0.000000	0.754938	-1.000000	-1.000000	0.000000
105	46	2	-1	6340.319894	76.047470	82.485306	0.879794	0.879794	0.000000	0.595081	-1.000000	-1.000000	0.000000
106	46	3	-1	6408.410793	227.797577	73.473145	1.168995	1.168995	0.000000	0.465427	-1.000000	-1.000000	0.000000
107	46	4	-1	15365.328481	106.403404	22.752930	0.970470	0.970470	0.000000	0.882839	-1.000000	-1.000000	0.000000
109	47	1	-1	15071.423325	106.482460	22.793377	1.052180	1.052180	0.000000	0.868911	-1.000000	-1.000000	0.000000
110	47	2	-1	10168.109537	183.610321	190.509979	1.001523	1.001523	0.000000	0.654415	-1.000000	-1.000000	0.000000
112	48	1	-1	14560.960494	106.608681	22.836403	0.984840	0.984840	0.000000	0.907250	-1.000000	-1.000000	0.000000
114	49	1	-1	15266.367416	106.347664	22.825043	0.913652	0.913652	0.000000	0.906501	-1.000000	-1.000000	0.000000
116	50	1	-1	17007.156735	106.554230	22.878782	1.009891	1.009891	0.000000	0.833216	-1.000000	-1.000000	0.000000
117	50	2	-1	8184.713750	228.207672	73.272919	1.158751	1.158751	0.000000	0.607814	-1.000000	-1.000000	0.000000
119	51	1	-1	13573.703878	106.267990	22.916056	0.980615	0.980615	0.000000	0.909164	-1.000000	-1.000000	0.000000
121	52	1	-1	10750.029902	106.375565	22.743437	0.822050	0.822050	0.000000	0.806579	-1.000000	-1.000000	0.000000
123	53	1	-1	13715.869114	106.302567	22.606314	0.994292	0.994292	0.000000	0.809160	-1.000000	-1.000000	0.000000
125	54	1	-1	17026.223030	106.435127	22.771627	0.929417	0.929417	0.000000	0.910488	-1.000000	-1.000000	0.000000
127	55	1	-1	12877.657336	106.381836	22.867115	0.837329	0.837329	0.000000	0.873967	-1.000000	-1.000000	0.000000
129	56	1	-1	11873.467523	106.387260	22.700726	0.853300	0.853300	0.000000	0.847843	-1.000000	-1.000000	0.000000
131	57	1	-1	15051.253826	106.602585	22.684301	1.022463	1.022463	0.000000	0.813864	-1.000000	-1.000000	0.000000
133	58	1	-1	16872.032576	106.429352	22.677063	1.092644	1.092644	0.000000	0.858155	-1.000000	-1.000000	0.000000
135	59	1	-1	11346.096069	106.300903	22.990814	0.879391	0.879391	0.000000	0.862886	-1.000000	-1.000000	0.000000
137	60	1	-1	11976.629424	106.270203	22.759012	0.869225	0.869225	0.000000	0.872595	-1.000000	-1.000000	0.000000
139	61	1	-1	12379.462000	106.042274	22.871122	0.862358	0.862358	0.000000	0.858924	-1.000000	-1.000000	0.000000
141	62	1	-1	15183.268392	106.415840	22.794033	0.903218	0.903218	0.000000	0.897127	-1.000000	-1.000000	0.000000
143	63	1	-1	13737.976776	106.473236	22.867249	0.894991	0.894991	0.000000	0.859158	-1.000000	-1.000000	0.000000
145	64	1	-1	14338.146561	106.317245	22.883282	0.965571	0.965571	0.000000	0.863318	-1.000000	-1.000000	0.000000
147	65	1	-1	10814.877720	106.184456	23.002993	0.819817	0.819817	0.000000	0.841755	-1.000000	-1.000000	0.000000
149	66	1	-1	15953.366955	106.301193	22.707119	1.020424	1.020424	0.000000	0.821539	-1.000000	-1.000000	0.000000
151	67	1	-1	15334.943779	106.396164	22.872887	0.948840	0.948840	0.000000	0.899893	-1.000000	-1.000000	0.000000
153	68	1	-1	17900.204471	106.269135	22.670588	1.158871	1.158871	0.000000	0.897359	-1.000000	-1.000000	0.000000
155	69	1	-1	17345.144071	106.505035	22.865396	0.975601	0.975601	0.000000	0.878640	-1.000000	-1.000000	0.000000
157	70	1	-1	15998.567610	106.330299	22.917233	1.039043	1.039043	0.000000	0.882023	-1.000000	-1.000000	0.000000
159	71	1	-1	11475.577209	106.352264	22.864662	0.874221	0.874221	0.000000	0.851469	-1.000000	-1.000000	0.000000
160	71	2	-1	3966.018222	227.903702	73.129944	0.717236	0.717236	0.000000	0.582061	-1.000000	-1.000000	0.000000
162	72	1	-1	13269.600590	106.461258	23.094982	0.882540	0.882540	0.000000	0.880404	-1.000000	-1.000000	0.000000
163	72	2	-1	3365.398687	227.588669	73.917099	0.649405	0.649405	0.000000	0.476782	-1.000000	-1.000000	0.000000
165	73	1	-1	5461.640497	156.341095	152.847794	0.977617	0.977617	0.000000	0.487734	-1.000000	-1.000000	0.000000
166	73	2	-1	11949.727080	106.374306	22.708256	0.825093	0.825093	0.000000	0.893999	-1.000000	-1.000000	0.000000
168	74	1	-1	13010.156728	106.226936	22.677135	0.868247	0.868247	0.000000	0.939320	-1.000000	-1.000000	0.000000
170	75	1	-1	13484.816178	106.265167	22.849009	0.872645	0.872645	0.000000	0.851948	-1.000000	-1.000000	0.000000
172	76	1	-1	15271.749999	106.213943	23.050032	1.081614	1.081614	0.000000	0.806774	-1.000000	-1.000000	0.000000
174	77	1	-1	17484.134799	106.387650	22.909885	1.024239	1.024239	0.000000	0.804755	-1.000000	-1.000000	0.000000
176	78	1	-1	15245.726675	106.133606	23.047005	0.981245	0.981245	0.000000	0.869717	-1.000000	-1.000000	0.000000
178	79	1	-1	15965.007777	106.444031	22.923767	0.910438	0.910438	0.000000	0.903560	-1.000000	-1.000000	0.000000
180	80	1	-1	5179.202882	227.123062	73.939842	0.877814	0.877814	0.000000	0.566451	-1.000000	-1.000000	0.000000
181	80	2	-1	15072.765188	106.341774	22.840565	0.881519	0.881519	0.000000	0.893763	-1.000000	-1.000000	0.000000
183	81	1	-1	5949.533553	116.582397	11.949010	1.081060	1.081060	0.000000	0.549601	-1.000000	-1.000000	0.000000
184	81	2	-1	11833.579422	106.282852	23.172432	0.796268	0.796268	0.000000	0.825794	-1.000000	-1.000000	0.000000
186	82	1	-1	13201.630387	106.357391	22.928093	0.889517	0.889517	0.000000	0.825022	-1.000000	-1.000000	0.000000
188	83	1	-1	15585.008571	106.330154	22.817596	1.007921	1.007921	0.000000	0.896311	-1.000000	-1.000000	0.000000
190	84	1	-1	11111.123931	106.138031	22.916481	0.831410	0.831410	0.000000	0.790917	-1.000000	-1.000000	0.000000
192	85	1	-1	13367.518924	106.335045	22.903181	0.847871	0.847871	0.000000	0.855867	-1.000000	-1.000000	0.000000
193	85	2	-1	7605.712372	227.410812	73.794678	1.144282	1.144282	0.000000	0.611484	-1.000000	-1.000000	0.000000
