# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
0,1,0,1,5.06437e+07,4000,0,4000,16994.6,3748.72,
258,259,258,2,4.84033e+06,2912,2570,342,36392,11817.3,
0,1,0,16,16067.9,1,0,1,23493.6,1817.39,
0,1,0,32,17957.8,1,0,1,40277.3,22789.8,
0,1,0,43,15024.2,1,0,1,32265.5,3062.35,
0,1,0,45,29669.6,2,0,2,12156.8,13241,
0,1,0,46,27278.1,2,0,2,29377.4,30485.9,
0,1,0,73,12256.1,1,0,1,25014.6,24455.6,
0,1,0,81,13693.4,1,0,1,18653.2,1911.84,
0,1,0,104,30842.6,2,0,2,29244.2,22395.8,
0,1,0,108,15741.7,1,0,1,6257.65,19664.3,
1,2,1,185,30479.1,393,391,2,38872.7,33444.1,
4,5,4,196,104254,64,57,7,22778.3,3212.95,
0,1,0,199,27109,2,0,2,28738.2,38116.6,
10,11,10,241,162004,355,343,12,713.451,28882.4,
0,1,0,245,14264,1,0,1,13988.2,6225.06,
0,1,0,310,10182.5,1,0,1,38405.2,16799.1,
0,1,0,366,11865.1,1,0,1,32696.3,33416.4,
0,1,0,417,7967.74,1,0,1,17115.4,24690.2,
0,1,0,465,12534.9,1,0,1,19634.4,13188.1,
0,1,0,516,8541.26,1,0,1,26966.2,22146.7,
0,1,0,530,15454.6,1,0,1,36521.9,4590.23,
1,2,1,552,102479,11,3,8,39294.3,19706.5,
0,1,0,563,9535.43,1,0,1,31934,24431.1,
0,1,0,565,15009.1,1,0,1,31104,23939,
0,1,0,569,11430,1,0,1,35715.4,21865,
0,1,0,641,14509,1,0,1,27887.2,948.089,
0,1,0,662,15370.7,1,0,1,5345.86,31825,
0,1,0,731,13116.3,1,0,1,30168.7,7274.07,
2,3,2,735,43194.7,5,2,3,33150.7,38674.4,
1,2,1,751,30029.8,3,1,2,21926.3,3982.81,
0,1,0,781,11135.9,1,0,1,10076.7,28461.8,
10,11,10,833,393910,1726,1697,29,12552.9,30964.1,
0,1,0,873,14687.8,1,0,1,10399.6,10827.6,
0,1,0,931,7952.96,1,0,1,21497.1,10041.1,
0,1,0,936,10985.7,1,0,1,24492.3,27458.3,
0,1,0,938,18175,1,0,1,15070.7,38828.2,
1,2,1,955,23085.6,10,8,2,38780.9,23198.8,
0,1,0,990,4871.27,1,0,1,40308.7,20392,
1,2,1,1015,21306.2,4,2,2,24204.5,12320.3,
0,1,0,1032,37540.9,3,0,3,38910.5,22816.8,
1,2,1,1046,23833.7,40,38,2,27038.8,33721.4,
1,2,1,1075,131396,49,40,9,25537.6,31239.5,
5,6,5,1077,199553,79,65,14,36144,17647.6,
9,10,9,1082,1.15286e+06,154,70,84,10253.6,9265.84,
0,1,0,1148,17554.3,1,0,1,37677.2,23598,
0,1,0,1333,31233.3,2,0,2,24670.9,29590.1,
1,2,1,1344,29328.3,3,1,2,23088.5,3102.34,
2,3,2,1354,40482.2,18,15,3,37833.3,1261.45,
0,1,0,1373,15304.2,1,0,1,37253,22987.2,
0,1,0,1395,33666.1,2,0,2,25941.4,32421.6,
0,1,0,1453,18587.6,1,0,1,36563.7,11946.7,
0,1,0,1527,15688.8,1,0,1,37198.5,19274.3,
0,1,0,1742,15618.2,1,0,1,7380.59,15546.6,
8,9,8,1787,323719,134,112,22,5389.56,29120,
1,2,1,1898,24457.2,3,1,2,22314.4,32206.2,
53,54,53,1900,3.60162e+06,391,148,243,35290.5,16024.5,
1,2,1,1917,28395.4,5,3,2,23595.1,38918.4,
0,1,0,2000,16694.1,1,0,1,35194.2,16094.3,
0,1,0,2028,14225.3,1,0,1,39589.2,35004.9,
1,2,1,2323,32110.5,70,68,2,16705.9,26882,
2,3,2,2461,41502.6,6,3,3,27910.4,27552.7,
0,1,0,2504,26411.7,2,0,2,8861.25,2643.59,
0,1,0,2612,13369.1,1,0,1,35446.4,34283,
2,3,2,2811,47369.5,11,8,3,34288.8,35177.2,
0,1,0,2824,17113.1,1,0,1,2522.48,1373.83,
0,1,0,2834,13437.4,1,0,1,5112.51,3863.58,
9,10,9,2861,514374,785,750,35,17305.7,19524.2,
0,1,0,3149,14607,1,0,1,17072.5,24318.2,
0,1,0,3223,13530,1,0,1,22246.2,26130.4,
0,1,0,3259,26391.6,2,0,2,38173.6,18826.9,
0,1,0,3279,4928.73,1,0,1,38259.9,6827.4,
0,1,0,3469,11704.6,1,0,1,32291.4,34468.6,
0,1,0,3701,40803.1,3,0,3,37345.4,23361.9,
0,1,0,3995,7034.19,1,0,1,16168.8,24412.1,
0,1,0,3999,20994.3,2,0,2,39297.8,21639.5,
