Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
85	85	4000	1214	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	14214.991825	73.694466	62.064804	0.935314	0.935314	0.000000	0.777440	-1.000000	-1.000000	0.000000
3	1	3	-1	19306.411066	9.719880	29.825094	1.009748	1.009748	0.000000	0.881039	-1.000000	-1.000000	0.000000
5	1	5	-1	12065.806636	70.007736	29.379122	0.930087	0.930087	0.000000	0.799908	-1.000000	-1.000000	0.000000
6	1	6	-1	12404.540418	26.200533	43.782890	0.890995	0.890995	0.000000	0.793664	-1.000000	-1.000000	0.000000
8	2	1	-1	13907.565607	73.790192	62.006161	0.886377	0.886377	0.000000	0.819492	-1.000000	-1.000000	0.000000
11	2	4	-1	17393.623148	26.047182	43.706005	0.882766	0.882766	0.000000	0.902863	-1.000000	-1.000000	0.000000
12	2	5	-1	14334.376971	9.837679	29.813934	0.901161	0.901161	0.000000	0.855318	-1.000000	-1.000000	0.000000
13	2	6	-1	114266.558361	52.805771	2.590811	3.705278	3.705278	0.000000	0.334908	-1.000000	-1.000000	0.000000
15	3	1	-1	14752.499303	9.758068	29.880898	0.810758	0.810758	0.000000	0.882655	-1.000000	-1.000000	0.000000
17	3	3	-1	15960.602112	73.851921	62.089054	1.053357	1.053357	0.000000	0.794027	-1.000000	-1.000000	0.000000
18	3	4	-1	9739.334429	26.067640	43.725906	0.809970	0.809970	0.000000	0.801193	-1.000000	-1.000000	0.000000
19	3	5	-1	4819.632912	52.227467	3.681020	0.649139	0.649139	0.000000	0.212331	-1.000000	-1.000000	0.000000
21	4	1	-1	12392.885308	73.693260	61.909428	0.918650	0.918650	0.000000	0.788400	-1.000000	-1.000000	0.000000
24	4	4	-1	16943.936028	26.274332	43.697701	0.931028	0.931028	0.000000	0.894553	-1.000000	-1.000000	0.000000
25	4	5	-1	13545.713253	9.911739	29.806555	0.902980	0.902980	0.000000	0.862456	-1.000000	-1.000000	0.000000
