# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
34,35,34,1,521379,1475,1428,47,5523.19,2152.52,
16,17,16,1,820992,1121,1044,77,10691,8964.37,
3,4,3,1,475769,157,113,44,3052.93,4549.68,
6,7,6,1,405784,762,729,33,12324.4,12437.8,
2,3,2,1,64192.6,108,100,8,1753.75,11440.3,
7,8,7,1,199183,123,107,16,4721.05,9967.78,
14,15,14,1,555496,706,659,47,6044.17,2539.2,
1,2,1,1,99979,13,1,12,2778.69,10300.5,
5,6,5,1,74134.5,420,412,8,7396.32,12321.8,
11,12,11,1,273595,683,655,28,12795.2,1315.83,
35,36,35,1,530326,2174,2114,60,10469.8,10960.4,
2,3,2,2,49364.1,247,242,5,10599.9,541.856,
1,2,1,4,12236.1,700,698,2,5704.5,2318.82,
6,7,6,9,74888.1,354,345,9,10763.4,1295.28,
5,6,5,16,257524,225,195,30,6213.67,4213.75,
3,4,3,20,106210,77,62,15,1038.74,9534.82,
16,17,16,21,464360,3589,3538,51,6333.78,5521.29,
3,4,3,37,136163,335,326,9,8955.58,12164.8,
17,18,17,61,359873,2956,2916,40,6624.14,8968.71,
21,22,21,113,539762,3313,3251,62,8175.99,8680.31,
16,17,16,170,221611,1515,1491,24,9586.37,1148.85,
1,2,1,278,83971.1,392,382,10,1811.36,11704.6,
10,11,10,324,175829,568,548,20,5987.4,3879.5,
1,2,1,512,29900.5,425,421,4,5295.14,7095.85,
18,19,18,532,341928,3349,3316,33,6114.44,1478.54,
3,4,3,574,155746,138,123,15,7884.49,7439.78,
0,1,0,666,29121.7,4,0,4,5726.35,5534.76,
7,8,7,707,225757,598,569,29,6180.5,7600.18,
9,10,9,727,116840,270,256,14,11160.8,8415.66,
2,3,2,752,92524.9,345,334,11,7348.46,10945.7,
29,30,29,831,417934,2505,2455,50,1644.8,2230.53,
0,1,0,845,5894.31,1,0,1,3218.91,8569.9,
3,4,3,1013,136058,247,230,17,10576.4,10696.8,
0,1,0,1071,6210.61,1,0,1,5311.03,7349.63,
0,1,0,1088,14885.9,2,0,2,10415.1,10948.5,
11,12,11,1119,682063,951,874,77,715.755,8296.01,
1,2,1,1277,20918,10,8,2,1013.72,1481.82,
5,6,5,1599,94074.6,498,490,8,7509.2,1469.34,
0,1,0,1697,14303.4,1,0,1,9093.67,4406.84,
7,8,7,1744,178032,243,233,10,9127.69,1190.9,
8,9,8,2176,287446,415,387,28,8976.85,9868.45,
4,5,4,2304,120630,124,110,14,11284.8,6146.1,
2,3,2,2343,112805,1482,1468,14,6052.22,1979.84,
7,8,7,2358,147141,280,265,15,11302.2,644.775,
0,1,0,2708,47578.1,7,0,7,5992.35,10915.2,
0,1,0,2719,53334.8,6,0,6,1999.01,10957.2,
0,1,0,2778,6123.45,1,0,1,11479.9,12108.8,
1,2,1,2860,68247.9,9,3,6,12838.1,1963.51,
0,1,0,2984,6964.51,1,0,1,8096.6,1826.65,
7,8,7,3044,264968,873,846,27,10023.2,9370.29,
2,3,2,3062,19381,8,5,3,6276.79,5987.33,
0,1,0,3312,36564.4,4,0,4,4507.03,10587.8,
3,4,3,3342,41195.1,427,422,5,8862.62,9527.35,
8,9,8,3372,320073,226,193,33,1352.42,12158,
24,25,24,3505,499948,316,257,59,11798.5,12899.6,
6,7,6,3557,99818.8,244,232,12,634.813,9630.99,
0,1,0,3562,7631.92,1,0,1,3448.05,5322.73,
0,1,0,3563,35707.7,4,0,4,1871.66,7218.33,
2,3,2,3758,96308.6,25,15,10,7617.05,9506.69,
2,3,2,3856,118907,132,119,13,2454.69,8143.98,
0,1,0,3982,221713,17,0,17,7139.13,8992.22,
2,3,2,3992,72157.8,9,2,7,5234.11,9586.35,
