Width	Height	nb_Planes	nb_Points	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
256	256	4000	12417	0.160	0.050	X Y sigma	False
id	Plane	Index	Channel	Integrated_Intensity	CentroidX(px)	CentroidY(px)	SigmaX(px)	SigmaY(px)	Angle(rad)	MSE(Gauss)	CentroidZ(um)	MSE_Z(um)	Pair_Distance(px)
1	1	1	-1	15961.276905	188.869583	247.077560	1.442565	1.442565	0.000000	0.512699	-1.000000	-1.000000	0.000000
2	1	2	-1	14041.480248	217.176117	77.171768	0.952622	0.952622	0.000000	0.837699	-1.000000	-1.000000	0.000000
3	1	3	-1	5042.851303	42.372768	226.001511	0.738580	0.738580	0.000000	0.299631	-1.000000	-1.000000	0.000000
4	1	4	-1	43306.248630	139.825287	51.129951	2.211078	2.211078	0.000000	0.556891	-1.000000	-1.000000	0.000000
5	1	5	-1	6917.432777	61.922802	183.398071	0.917377	0.917377	0.000000	0.618634	-1.000000	-1.000000	0.000000
6	1	6	-1	10141.468735	174.862228	189.185364	1.064831	1.064831	0.000000	0.661462	-1.000000	-1.000000	0.000000
7	1	7	-1	11309.069354	237.934555	56.527790	0.937278	0.937278	0.000000	0.765607	-1.000000	-1.000000	0.000000
8	1	8	-1	12586.812538	188.548187	64.243881	0.836895	0.836895	0.000000	0.882169	-1.000000	-1.000000	0.000000
9	1	9	-1	6449.204941	8.754751	158.914474	0.752910	0.752910	0.000000	0.769972	-1.000000	-1.000000	0.000000
10	1	10	-1	10037.604988	89.216003	131.115173	1.081290	1.081290	0.000000	0.622685	-1.000000	-1.000000	0.000000
11	1	11	-1	9846.889301	197.527359	196.350754	1.124006	1.124006	0.000000	0.721488	-1.000000	-1.000000	0.000000
12	1	12	-1	7984.067166	65.813736	218.899963	0.951370	0.951370	0.000000	0.706331	-1.000000	-1.000000	0.000000
13	1	13	-1	8594.430299	205.549301	14.251683	0.980925	0.980925	0.000000	0.584511	-1.000000	-1.000000	0.000000
14	1	14	-1	14302.402753	75.175880	180.036316	1.089882	1.089882	0.000000	0.873587	-1.000000	-1.000000	0.000000
15	1	15	-1	7759.691913	170.252136	81.151352	1.007899	1.007899	0.000000	0.636004	-1.000000	-1.000000	0.000000
16	1	16	-1	12913.490292	30.126245	230.728058	1.220996	1.220996	0.000000	0.561371	-1.000000	-1.000000	0.000000
17	1	17	-1	23692.093207	141.772980	165.651413	0.978554	0.978554	0.000000	0.917155	-1.000000	-1.000000	0.000000
18	1	18	-1	8553.207143	29.566582	68.207214	1.110478	1.110478	0.000000	0.641385	-1.000000	-1.000000	0.000000
19	1	19	-1	8385.483060	216.781387	187.497391	0.928168	0.928168	0.000000	0.642487	-1.000000	-1.000000	0.000000
20	1	20	-1	9091.122705	251.699265	8.161627	1.368759	1.368759	0.000000	0.360404	-1.000000	-1.000000	0.000000
21	1	21	-1	10029.827246	236.780899	69.222168	1.244148	1.244148	0.000000	0.722249	-1.000000	-1.000000	0.000000
22	1	22	-1	7470.613822	27.578827	240.726868	0.867938	0.867938	0.000000	0.726397	-1.000000	-1.000000	0.000000
23	1	23	-1	10948.655367	144.167236	112.997574	0.895326	0.895326	0.000000	0.905407	-1.000000	-1.000000	0.000000
24	1	24	-1	26807.770778	135.536392	249.631622	1.477603	1.477603	0.000000	0.716646	-1.000000	-1.000000	0.000000
25	1	25	-1	50065.856697	69.006210	242.395615	2.162098	2.162098	0.000000	0.557272	-1.000000	-1.000000	0.000000
26	1	26	-1	7814.346271	130.159348	89.583763	0.968746	0.968746	0.000000	0.619308	-1.000000	-1.000000	0.000000
27	1	27	-1	8696.903316	78.285255	45.736629	0.809737	0.809737	0.000000	0.842479	-1.000000	-1.000000	0.000000
28	1	28	-1	7916.035797	100.657326	132.240707	0.824897	0.824897	0.000000	0.801550	-1.000000	-1.000000	0.000000
29	1	29	-1	9587.744117	172.419189	71.458405	1.018656	1.018656	0.000000	0.660800	-1.000000	-1.000000	0.000000
30	1	30	-1	16312.949409	49.798588	180.000443	1.479025	1.479025	0.000000	0.610953	-1.000000	-1.000000	0.000000
32	1	32	-1	12477.558440	222.877197	88.462631	0.966712	0.966712	0.000000	0.743820	-1.000000	-1.000000	0.000000
33	1	33	-1	9221.729441	18.311813	82.316963	1.165709	1.165709	0.000000	0.755833	-1.000000	-1.000000	0.000000
34	1	34	-1	11762.001728	154.181427	231.708923	0.845509	0.845509	0.000000	0.535073	-1.000000	-1.000000	0.000000
35	1	35	-1	10737.151895	73.373032	149.323502	0.978518	0.978518	0.000000	0.842357	-1.000000	-1.000000	0.000000
36	1	36	-1	11960.786540	222.115631	175.594803	1.028922	1.028922	0.000000	0.775673	-1.000000	-1.000000	0.000000
37	1	37	-1	16444.205811	197.767258	115.336693	1.436134	1.436134	0.000000	0.731073	-1.000000	-1.000000	0.000000
38	1	38	-1	6454.508351	248.432678	174.954865	1.042485	1.042485	0.000000	0.547420	-1.000000	-1.000000	0.000000
39	1	39	-1	12297.727240	182.120819	187.058975	1.174895	1.174895	0.000000	0.711139	-1.000000	-1.000000	0.000000
40	1	40	-1	17179.040444	144.243057	241.233963	0.982056	0.982056	0.000000	0.888244	-1.000000	-1.000000	0.000000
41	1	41	-1	10631.389183	160.572021	86.302032	1.206939	1.206939	0.000000	0.578535	-1.000000	-1.000000	0.000000
43	1	43	-1	10687.595478	92.697334	188.090363	0.776853	0.776853	0.000000	0.818968	-1.000000	-1.000000	0.000000
44	1	44	-1	4975.427166	205.069489	183.904205	0.792885	0.792885	0.000000	0.425824	-1.000000	-1.000000	0.000000
45	1	45	-1	10020.326312	244.435516	121.959602	0.918080	0.918080	0.000000	0.723138	-1.000000	-1.000000	0.000000
46	1	46	-1	10858.142361	204.600479	230.583282	0.877924	0.877924	0.000000	0.730478	-1.000000	-1.000000	0.000000
47	1	47	-1	9121.726893	226.569031	106.127579	0.962813	0.962813	0.000000	0.685322	-1.000000	-1.000000	0.000000
49	1	49	-1	11150.436714	165.547791	97.773438	0.780449	0.780449	0.000000	0.828642	-1.000000	-1.000000	0.000000
50	1	50	-1	7526.282321	50.692242	194.675308	0.888028	0.888028	0.000000	0.656750	-1.000000	-1.000000	0.000000
51	1	51	-1	18105.045217	94.526184	150.410034	0.992009	0.992009	0.000000	0.899684	-1.000000	-1.000000	0.000000
52	1	52	-1	15275.888542	75.671631	240.474274	1.046712	1.046712	0.000000	0.872401	-1.000000	-1.000000	0.000000
53	1	53	-1	9195.267168	124.012955	96.094666	0.927642	0.927642	0.000000	0.678530	-1.000000	-1.000000	0.000000
54	1	54	-1	13508.451207	58.599907	41.959682	0.873573	0.873573	0.000000	0.936141	-1.000000	-1.000000	0.000000
55	1	55	-1	9970.583274	202.707779	207.988358	1.140687	1.140687	0.000000	0.609399	-1.000000	-1.000000	0.000000
57	1	57	-1	15660.753508	158.319992	153.540802	1.271248	1.271248	0.000000	0.688553	-1.000000	-1.000000	0.000000
58	1	58	-1	7528.611700	190.046600	28.516426	0.905962	0.905962	0.000000	0.570029	-1.000000	-1.000000	0.000000
