# seq OFF,# seq ON,blinks,frame,intensity,lifetime,total OFF,total ON,x,y,
16,17,16,1,865991,1121,1044,77,38051,8964.37,
18,19,18,1,589250,922,870,52,24155.2,36579.9,
2,3,2,1,92138.3,12,3,9,27247.8,12943.5,
0,1,0,1,37419.3,3,0,3,19334.2,7994.17,
0,1,0,1,102470,11,0,11,32663.1,31888.9,
2,3,2,1,226600,300,273,27,15423.3,31692.3,
17,18,17,1,374378,330,291,39,1761.67,14189.1,
7,8,7,1,975606,339,255,84,8798.21,29265.2,
0,1,0,1,21143.7,2,0,2,23057,18085.1,
9,10,9,1,331637,933,897,36,22276,8536.77,
6,7,6,1,581145,351,295,56,36106.3,34450.5,
9,10,9,1,447145,896,847,49,18255.4,2528.25,
1,2,1,1,74457.1,20,12,8,38386.1,27982.8,
22,23,22,1,498795,644,594,50,30810.9,17087.5,
5,6,5,1,810717,341,260,81,15198.4,4353.33,
12,13,12,1,660272,1581,1514,67,30616,23774.7,
0,1,0,1,7570.91,1,0,1,12218.7,32515.3,
1,2,1,1,155534,28,12,16,7146.64,9743.76,
4,5,4,1,459509,356,310,46,14929.2,21501.5,
9,10,9,1,173117,809,790,19,27574.8,11366.1,
10,11,10,1,278562,43,14,29,6941.95,28652.3,
8,9,8,1,334265,310,274,36,7260.78,15116.7,
14,15,14,1,407066,706,659,47,33404.2,2539.2,
11,12,11,1,212334,1167,1139,28,39736,27972.4,
2,3,2,1,54032.1,271,266,5,6821.75,17754.5,
0,1,0,1,81151.7,9,0,9,2248.86,26524.1,
7,8,7,1,262846,42,13,29,5439.33,37192.3,
3,4,3,1,227430,94,68,26,7884.13,28704,
6,7,6,1,824400,336,249,87,14827.4,30095.9,
34,35,34,1,435240,1475,1428,47,32883.2,2152.52,
0,1,0,1,10168.2,1,0,1,5353.34,6712.71,
7,8,7,1,921150,141,44,97,36222,16963.3,
5,6,5,1,274888,210,180,30,26247.9,25329.5,
1,2,1,1,99775,101,89,12,23088.4,38577.2,
21,22,21,1,1.34729e+06,2713,2559,154,27470.6,28107.4,
6,7,6,1,375442,369,325,44,15126.9,24034.6,
3,4,3,1,371756,201,161,40,16333.8,7983.16,
65,66,65,1,1.60105e+06,1525,1350,175,3111.8,28608.6,
3,4,3,1,103575,385,374,11,8284.17,27176.7,
11,12,11,1,785475,897,822,75,12648,35748.6,
0,1,0,1,108154,10,0,10,25332.1,24559.9,
10,11,10,1,241014,624,600,24,20806.2,14297,
8,9,8,1,655999,760,696,64,23658.9,12573.9,
10,11,10,1,365546,609,573,36,29157.9,29903.5,
1,2,1,1,57018.4,45,40,5,26450.7,18161.8,
8,9,8,1,170254,742,726,16,5500.13,5429.77,
9,10,9,1,661882,645,584,61,9381.27,9185.97,
15,16,15,1,966383,961,862,99,36889.7,18663.7,
0,1,0,1,25913.3,3,0,3,12115.6,38462.4,
9,10,9,1,416527,780,735,45,32417.2,33279.7,
2,3,2,1,150148,264,251,13,14047.1,9795.42,
40,41,40,1,624813,1311,1249,62,4727.6,10855,
5,6,5,1,109696,26,15,11,9260.6,40027.1,
